country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,32507.0843145555,35059.2730980113,35098.7976687362,35937.5946548103,37768.5660136644,38904.9992478386,34339.9391561123,33729.5119101741,35324.0720643325,34095.6471714416,35901.653313159,35657.2871970529,35972.8664446515,36117.5082112517,37524.9284784013,39287.0195169703,39110.2761899842,28976.4635497124,35696.3093722926,41649.4507917816,44967.3445127078
AFG,966.962032047533,971.633503058856,1076.08735259624,1121.83447075137,1286.9498431073,1333.74726659751,1570.69814518678,1765.53802828895,1744.06062321558,1988.42930381554,2133.24127098647,2224.49074815215,2284.07584789349,2213.1814410479,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.99581512665,2211.28063454007
AGO,3878.50795455112,4262.90601264127,4876.28768389176,5404.38383004397,6095.99926680138,6651.37774105467,6498.16928212825,6607.02219696569,6711.39025723883,7354.94296631261,7561.03920495179,7990.27445672775,7119.72644274401,6843.73589660504,6992.7288342812,7347.79993635052,7528.38241791217,6450.74994625154,7408.12659121059,7924.88880583905,8040.70244971812
ALB,5000.34329467088,5427.87477337732,5865.30563672047,6566.53515410888,7285.02731350339,8228.34226777512,8812.75594953616,9627.08865200455,10207.7455326501,10526.2643721186,10570.9800140158,11259.2559553602,11662.0057774038,12078.8277189549,12771.0037929102,13696.8427457045,14792.2618929217,14512.053775245,16113.1365187234,19429.9213167081,21208.2100254534
AND,41147.8806959814,42717.2377748966,44577.8193346422,46852.6583900414,47501.4309293902,44838.9949993515,42522.9945649587,43853.1712389445,46436.1158605018,45503.0444835288,45609.2307220926,48505.6017354794,50733.2390011701,53110.1426270832,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68470.075948385,71730.6686821645
ARE,91058.6690688492,96981.590791724,99576.6168727168,104995.397894677,99096.7054471438,93017.0906503924,83336.8197425794,83670.9093774571,87709.0444079967,87339.687656397,85514.8024335635,85248.1547348301,71720.3084491294,67702.1473930392,68043.2312133421,75071.1800501443,76884.9468968289,65352.8344194961,67401.1212950201,73777.7443949344,76110.3848456483
ARG,10933.3925490662,12117.6797424618,13464.8128469003,14843.5778656186,16455.1129799188,17276.7570884025,16182.0753478429,17847.6110371438,19104.9909405228,19430.4178068112,19928.989490167,19487.4181748868,19899.1499275245,20105.761359796,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29597.6938429264,30082.3045247323
ARM,3836.22556765401,4377.22759688046,5172.21892096961,6072.75924465718,7136.75405509164,7827.316667339,6811.69247962741,7095.21267972094,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.370051419,21342.5145334886
ATG,20033.2130195805,21527.4546791969,23374.9339326556,26823.3022216683,29710.9257725145,29837.9707172138,26034.5268098361,23958.4212623175,23692.724350004,22377.3619121949,21759.3680239872,21673.3949588348,20989.3858896307,21321.7097579145,21370.3095091624,24524.2137953887,26533.7301936962,22356.7687224849,25733.2948269644,30031.7474698743,32149.1403648823
AUS,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39372.8511038542,42022.7392158859,42863.3483169945,45930.8505081503,46903.770304139,46263.731388772,47260.1529933747,48371.1409956585,50183.6898127634,52673.0638176231,53984.1246979075,58145.5513641715,65834.7848928357,70340.217162223
AUT,31962.9255331065,33523.0204968283,34776.6699535218,37396.0350960866,39193.8173640977,41046.7900352112,40665.5046605019,41740.1149241758,44171.5618687028,46156.4832073037,47519.8522796571,48355.4977624407,49562.5939257986,52397.8635176673,53869.8321183555,56636.4953030539,60354.9279422121,58523.0337816244,62912.1741140595,70675.5146633219,70296.6607641556
AZE,4640.13437290613,5160.47262532578,6741.20096471132,9244.40645520997,11734.7641864862,12972.4427129521,13972.7309052382,14680.8741446231,14804.5744507911,15994.1466501836,17267.5118919537,17563.6122454385,15075.2726347911,14535.8020210633,14315.929643106,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22552.114937879,23597.8378621757
BDI,531.687405262606,551.432352590654,552.917767293667,579.571321312066,593.463755939847,608.670438300926,604.367850925292,613.649848950212,628.667677982637,638.873181633008,687.365920077706,724.360357491385,797.426234406883,771.987433717541,761.26925722129,753.455516066195,779.197990653363,786.515830674648,836.665571337829,888.518158386928,919.906646235639
BEL,30934.5826454577,32063.9826949865,33177.8909458158,35258.985063203,36799.5318686343,37883.3319417819,37885.9059125602,39844.4054386496,41244.8495035213,42483.5250666788,43864.1204196838,45147.6429534057,46084.2424551717,48414.5518065681,50256.0631772784,52466.7330784599,56712.4695719782,56120.0958420466,60611.5271350127,68080.3518934863,68894.3912031901
BEN,1841.60297282304,1915.34644348785,1945.56414050042,2020.60567730018,2135.53787870493,2215.35163855978,2213.32895621837,2220.32854609324,2264.84186926384,2346.08416204547,2511.65309588333,2670.41561399187,2725.33724817144,2842.0246258376,2885.89383987721,2965.30628143664,3148.97969597838,3244.58772756805,3464.2886286745,3844.16493382584,4129.97941493295
BFA,1037.83799373767,1079.00009144106,1171.7643231823,1244.00243841423,1290.49951015474,1351.36041566959,1359.69224907933,1449.42216381509,1531.34338243982,1571.83884477315,1642.89213125776,1661.31773793757,1691.57935387408,1881.75893134407,2042.40295259917,2073.3235382155,2232.16282016585,2380.72282781802,2486.43093147762,2641.87011276969,2754.71346543425
BGD,1746.12725780809,1861.51256287792,2019.73839561092,2195.29485455883,2388.10025156747,2554.85788234607,2675.25945928027,2833.69544366101,3051.26983271811,3434.27815090447,3691.10431102117,3972.50647733491,4212.23578089428,4579.13228682862,4882.60692615639,5490.15881865179,6047.12401504125,6640.58437331062,7441.06913961254,8450.54902533944,9147.77750665547
BGR,8417.47073315879,9201.73973840534,10291.4458776203,11408.0495155875,12822.3130489488,14346.8758795014,14180.7280705653,14955.9157788275,15747.4201648316,16327.2877371365,16649.4008643826,17616.3485657192,18390.9642349989,20065.6884070776,21457.9249725792,22977.7790501903,25434.8488732657,25863.3441481014,29278.7949805816,34826.6467213062,37410.7800415164
BHR,45426.9348593075,46317.0282484903,47268.2721417414,48009.4919934893,49347.494494067,50330.3246512557,48625.6568314106,49254.5770079436,52677.4511190668,56712.5692656153,56310.3117458189,54299.0564613228,48034.2468880503,47428.9018907649,50184.5005767301,51993.1307818652,56599.5214364411,53436.0316999712,54954.6757895532,61562.1414837823,63497.6169362333
BHS,27487.8316637077,28127.0993337793,29635.5365964802,30915.419775357,31760.0844582172,31197.2231023886,29690.1622783644,30125.760841879,30582.0473124073,31100.5660768195,30127.5454307017,31321.7025136306,31687.724047011,31916.2517635492,33703.2226750049,34668.809181369,35406.5739124983,26141.4530002473,29340.4723479708,34719.2847669033,36742.0620432456
BIH,4917.86402408479,5408.16150474843,5955.8392069065,6870.5065279752,7686.4139346005,8586.77804781181,8693.61839746895,9086.74853515985,9761.51519578686,10121.1556428302,10808.3117463605,11167.8674881233,11848.6448826837,12899.3821373872,13627.1353317236,14858.5935927133,16428.7216653786,16369.9294622808,18270.3351779512,21099.4879125724,22391.0978446698
BLR,7361.72161601516,8482.92020173857,9636.89112407696,10994.5981283371,12320.024025772,13886.1314048183,14034.191120749,15339.0999024908,16563.2014078209,18114.7508606707,19014.0529737697,19037.8209530599,18133.5696288888,17832.4778855815,18413.7127377197,20026.0306698699,22301.5766886376,24872.3398993711,27611.1801135156,28429.4948814534,30763.0198215957
BLZ,8863.00540776568,9258.88296120649,9480.48068168702,9924.68920121382,10242.8475585297,9985.97881559762,9744.23020511419,9734.89239719758,9697.85343903603,9266.09146145698,9514.40354285543,9489.94683154866,9538.19054142614,9401.53293960018,9121.74716397996,9527.70914005255,10531.3234398626,9618.01643529994,11677.4610095172,13465.9807069861,13823.4379513758
BMU,61829.3240111626,64790.2739206198,67771.4683748294,73590.1160685129,77894.064620207,77556.4350026444,73336.9875154951,72188.6928297547,70911.542318725,69149.0500342682,71519.6398526584,71988.5383627822,75943.4642970922,80412.1834895484,85680.9701917217,85978.2177227009,90984.457670832,85143.7179221205,92276.2346046359,105048.434014574,108810.998438551
BOL,3620.33772186499,3808.21800383215,4032.72639795408,4282.87164754436,4521.67931995959,4810.27858286787,4919.81031861385,5100.52757233111,5388.5129347759,5866.98414168445,6589.67145543799,7047.20152925339,7152.04465008671,7547.90376778126,8510.26685556152,8952.58785283125,9174.44563456336,8293.99121184441,9454.19814726348,10371.9629040947,10925.2730516706
BRA,9801.96212478865,10525.711378708,11081.247473701,11750.5312440167,12672.5051161153,13445.2454699613,13390.6831318342,14451.715839153,15211.7920395129,15198.0863321248,15722.3335254698,15827.3081625514,14821.438318195,14309.2061473297,14559.0488894794,15463.7426396097,16069.8380163501,16101.618305077,18075.7060063108,19876.8533546887,21107.2821033791
BRB,15826.6634843566,16387.8259929839,17478.1302191628,19019.1336763118,19846.0422354532,20250.1141748194,19253.2687012422,18977.5426796576,19165.0101287625,17936.9937259746,18004.6691202993,17752.5177240704,17804.7490038367,18013.6734415905,17898.8994551274,18551.1686491129,18760.3700129938,15824.49106614,15683.8847128096,19786.3615156208,21336.1575553015
BRN,79632.1721962681,80403.7579276411,81534.1716607374,86114.3372197056,83693.3213426106,80476.7248909599,77957.1442564035,79542.677875612,82735.3914838894,87256.0422331538,83237.1470918238,81225.5484781769,62707.8263582428,56679.5185751306,61657.6802809744,65148.8264520382,69353.6798666178,69787.9633393605,78248.7971101454,81801.7459082792,85267.5530498505
BTN,3942.28144813904,4172.7821695754,4523.35970452719,4860.27017450283,5728.91569800792,6035.21741003071,6466.09744879477,7245.7726387755,7935.46761203249,8577.4073193319,8666.91063640017,9323.39448982717,10213.8139630438,11273.2823798666,11677.4142686794,11969.5614973058,12909.1009832232,12475.0480046964,13458.8126642925,15063.8105697833,
BWA,10223.9550249624,10595.5485454085,11222.4460159809,12304.4512248688,13113.2318455919,13526.1736430579,11445.7127981806,12491.1580840844,13355.1608411236,12474.792512127,13341.1770062004,15003.3197518349,14143.6940733728,16228.1231235664,15700.6650479641,15785.819633781,15960.0156143903,15292.3028420199,17961.3576218457,19977.6508534267,20916.4015457301
CAF,648.193215391801,690.42651403642,702.460624583096,743.287480191679,783.35544526909,797.652806153242,877.252131108951,936.485497362336,980.185520951852,1062.06809941049,709.853481245446,698.963738923072,768.870887999174,826.013301383169,883.810734876066,905.817788941094,984.843183678857,1066.29005423151,1128.55237996459,1218.43422114745,1259.82439976102
CAN,32351.5456968698,33927.6696952532,36328.378994377,38119.3909593545,39575.4770075876,40376.0882836384,38864.0566958538,40098.2537191139,41666.8374590278,42291.9729357094,44301.0562529133,45758.1007297304,44669.4513631838,46470.6466391111,48317.3874457165,49982.5999118348,50498.9731057448,48590.6832121939,56547.8005608561,62707.9414029907,63419.0817401012
