country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,1957789027.13985,2245797232.79212,1925280491.6063,2377953053.37092,2263489180.21641,2702680605.85031,2473150591.76975,2347430362.15644,2369823432.97813,2495561937.38643,2623720622.09359,2643760295.99961,2639315168.02316,2747821767.15291,2947640697.68666,3063985467.98591,3136655453.98201,2412322468.81177,3017311747.77989,3282344962.82564,3233132181.29715
AFG,4330114357.85973,4996781463.93976,6145219406.73031,6962158645.4777,8668787530.00972,9768577941.33211,12642365226.8958,14864149924.334,16062706809.4182,19575474863.7514,21060159748.9596,21036150317.7626,20114103580.5321,19449602244.5449,19032212583.775,19092091282.3498,19698775580.2624,19236860322.2919,15384996781.5891,14887595112.7352,15613673958.5595
AGO,12827056103.3366,19001072908.8889,26682881050.1435,36533903479.9142,51493392701.2754,65661156909.1291,71274868322.3487,75541595072.9602,82604385198.9268,104804655530.747,123089247468.865,130422069415.184,110414347932.605,74246131635.2853,63162374518.4857,61533771356.4081,68335787525.7111,56331404563.5967,56607120856.9807,66532829065.2425,78048984686.834
ALB,5006223194.91595,6361564926.47845,7887616711.3044,9130490634.75616,10274253836.0521,11892990139.3173,12529413394.3485,12709390046.2596,12803937514.4299,12658293562.474,13156891247.9112,13115548996.5957,12635760849.2255,12420735753.6914,12329821974.2681,13995359698.5884,15061348641.3071,15103122328.6399,17281730969.8464,18934409571.2147,21085728668.9891
AND,,,,,,,,,,,,,,,,,3552046783.07492,3284843013.4622,3504828591.53463,3997356408.2079,
ARE,121688462672.034,147125913781.427,172049400253.225,208706760111.203,244207313021.935,282949443992.749,277083140716.798,288831878909.924,318229484609.027,362265412846.294,401300767692.556,419043427246.444,412572607053.29,399842928101.435,381717868787.725,405354216868.242,425698094942.429,386387183789.203,408246550760.262,464198958282.292,513949457968.402
ARG,139193101197.153,129809211585.293,165719405446.532,215445097642.32,258429317135.467,307363845739.273,315586429999.682,378241273935.818,442036314414.039,496044743443.058,543284023697.86,526784533342.356,543279945585.475,532504167159.506,578798149500.896,553193024104.448,504056284870.866,408628794998.707,456257174738.439,536800679798.868,586900838956.78
ARM,2892531561.71732,3546208611.80142,4583264446.29795,5964254728.92669,8093596689.25377,10461447033.5372,9633680634.65683,9988482236.50203,10160338859.1327,11192556124.9892,11911914266.9672,12047457701.7916,11738591314.7376,11045672826.7053,11621380668.6106,12521390580.5486,13777592544.9172,12529414177.0274,13555497545.2684,16864496346.5623,20271184637.3755
ATG,909559498.917737,1011171005.03432,1118685673.1447,1268397129.10264,1413751735.62123,1471330658.06219,1325890584.94749,1227935993.29333,1214841397.0305,1252063996.27776,1263545225.10797,1304076078.02526,1301652850.33079,1356422450.61942,1430962100.14662,1587666497.80655,1666587287.59887,1412036764.01754,1539724314.47477,1754228790.39913,1884713523.39063
AUS,421653386961.295,515189243217.656,620293372915.343,707654616925.255,778775074058.504,901128523062.55,956569409136.996,1030032154957.57,1126104304700.17,1370537555260.8,1528416103087.13,1531110933520.89,1441462730286.21,1308840699663.06,1266055498561.11,1324951828019.18,1390620135689.17,1375516610057.42,1468717768493.45,1579305202101.09,1683419888355.52
AUT,228282678281.415,276723645995.723,319034534538.612,342855673125.055,369226162554.162,409468736096.96,410541956293.109,416252499864.197,425435418150.525,422229636815.652,429846858040.059,431022088623.266,410607240224.229,404088772261.369,396408251593.176,433138790546.463,453320486251.642,437336877987.829,476613830048.496,505746944192.039,502500767868.543
AZE,6888920808.01645,8008534110.71702,10804486131.5096,16262383111.8038,23439011136.9031,34124769814.8521,43168511595.5115,48999368899.6088,51060960441.5519,60209457187.5261,70148952109.5297,73755498527.4149,63779093245.9772,46724202854.7385,40496411673.8245,40589307426.4719,45201352796.0273,45211147661.7476,49737895389.7325,57455146463.8212,67644748293.1306
BDI,827371846.908312,887399115.972421,995526629.395082,1175592856.97361,1332125464.5997,1516882370.28305,1667671719.616,1895260749.61336,2104211718.85903,2314488332.19314,2477670972.34301,2602424271.86036,2652740332.51081,2698513844.91404,2772946891.68494,2751048867.88195,2752978398.27792,2699979060.64512,2815868449.84815,3117740178.45969,3032580386.16075
BEL,281155865504.265,342924439419.124,395908865293.321,421243746628.895,454104375278.785,498712281141.718,506403825896.809,513238281253.822,511887200710.689,521845559295.377,533627028081.953,536318999601.849,514677183556.877,492160849384.873,483165364528.476,525450011098.845,552056129433.882,531809221035.573,593281558318.888,626965840889.403,643394148662.122
BEN,4536166167.59983,5655949819.59524,6571349613.25438,7082441114.55189,7808105575.65281,8977720950.49351,9725278104.95944,9953915591.17863,10357335414.5227,10942496018.25,12214953760.6838,13069865714.7753,12492450830.9458,12171124092.1338,12308707531.9374,13827117872.4608,14878909134.7346,15540581607.2752,17140747136.1004,18598453551.4824,19610877128.0441
BFA,4053974304.16322,5021639687.95271,6137861202.43977,6734050963.72544,7275158296.36519,8431017728.0989,9277584612.73204,10111306844.9205,10923947116.1108,12119235602.2805,13218406478.005,13374188290.8385,12719827561.6676,12626356083.9431,12947522457.5114,14844368558.9627,15808056720.9572,16678684589.9158,18355251578.1944,19356556225.2465,19697494427.106
BGD,62202314641.834,69524380790.8462,76610789245.4358,80896041680.7747,86325073162.2388,95691429190.0205,106130805233.652,118314764905.932,133329559579.162,146832856920.569,158805147550.525,171232930861.854,191338510755.539,225591727898.942,266736774826.827,329854436730.53,366469040884.315,385238514893.684,435560113926.691,483370788216.85,493931962471.176
