country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,2948370456.57127,3225525867.9079,2731404792.87781,3419287359.85238,3239184627.29661,3765110155.12676,3367822203.98781,3238654364.53009,3285948781.36833,3392124836.40284,3565352798.44846,3668236882.17076,3718236361.46908,3748965003.99227,3855139712.91164,3998368962.71691,4078019464.20697,3060060693.30604,3707115221.71699,4298752921.83632,4409838851.02009
AFG,22278932459.8065,23184760643.3197,26587457905.118,29047794272.6439,33788985659.7922,35313783777.5505,43009573651.2942,50028298435.8574,51116377179.4871,60931092223.9816,67669597049.6616,73169249312.8305,77739868999.5339,77790300893.8725,84288052074.0782,90563706789.4257,99263716985.9417,100842500976.582,86285361406.7876,86404553808.371,92106066194.3412
AGO,62849411126.0754,70913698213.9235,83813004195.2673,95412548852.1187,111918245800.688,121290616680.613,131519529290.113,139056775690.597,148439200655.976,170107319469.429,183512440854.782,203841059003.604,190283189913.791,189305603973.104,198430111560.447,212200392143.678,221700228851.995,196402587485.498,234841696168.758,260652412511.774,267395012991.409
ALB,15606909098.5512,16816992275.8169,18018777832.7536,20229823937.2182,22240491865.6427,24373922350.2289,25389293004.353,27763807597.2292,29663117005.6518,30302916579.5136,31131733296.4611,32827332714.5264,33993032983.5689,35304217628.4854,36786624704.6522,39213075311.2855,41673844632.7194,40506691979.7393,44714222424.7827,53074820949.8078,57642524113.146
AND,,,,,,,,,,,,,,,,,4823304975.79605,4557689155.83226,5001856977.27531,5997971077.07895,
ARE,381592358874.316,431585373984.804,471927153778.209,537150991864.939,575477788677.404,593324187774.714,564707689889.197,574645004012.007,623365944406.053,646069508778.395,658628928042.218,688145671097.994,612869145739.18,608359936981.261,632041437006.404,704007752260.489,729820514869.756,611081439463.705,644233156727.809,743389597406.541,803880928445.453
ARG,403199587069.747,418093841975.885,468041504539.791,568762465726.913,641221306542.789,681124430209.466,640800278424.74,711794791170.247,774475577247.848,799850880557.188,830424664582.524,821243666294.275,848959683417.303,863207236895.477,1009263951777.66,1051149861699.34,1016089122555.92,984724060445.269,1167816126453.34,1319279474947.33,1341603252329.93
ARM,12612732340.3183,14428108003.3914,16957992011.7607,19888484243.0828,23374969796.702,25596039723.8938,21751101568.5319,22672636925.8102,23905121367.1988,28120737961.2501,30326204334.4994,30662966874.8916,30505448341.392,32364395080.3965,37214214838.3669,38848121649.4888,44977629504.2597,42854458169.0708,45809032885.4145,55372468997.4982,62106308043.3033
ATG,1471947475.85367,1598392946.15268,1771461330.45719,2057155906.83539,2307991593.77771,2358646635.53339,2083877076.56194,1937718111.57023,1933247647.83594,1824989318.88407,1814560273.01344,1839099536.96228,1766297473.0632,1792865125.8914,1837175016.56012,2126474732.96598,2323489925.70103,2044938020.80673,2294796015.84831,2653403120.06708,2862819845.90303
AUS,577323743433.695,615130754632.649,641891560954.107,684978180322.294,729421949920.085,764950073458.173,843711830169.296,833750215313.28,901074218491.488,944757372014.428,1035808980991.94,1072277311566.56,1079313252546.17,1116133022929.95,1156953422313.79,1213204815278.53,1289553627780.79,1353335014949.38,1477673952729.91,1648430646279.74,1798514656893.21
AUT,260414989432.722,275626072685.817,287476798281.967,312140274176.482,326840910112.088,346680570770.484,341235143809.348,354219456368.955,374289188740.567,392030460346.489,407466618825.439,417609480255.935,426846890617.193,460248078658.206,472121614071.577,498431937162.512,536357627733.865,528028166888.263,571318386895.256,638033083170.465,641575349738.226
AZE,36885190536.8052,40329276720.0812,50118716114.9914,69044832781.3201,85982604501.246,102000099527.384,115788993672.566,124965942250.317,126513330052.276,140261574405.538,154517805868.261,162669717796.334,140815158037.451,133314014398.87,135736345883.151,144624337797.583,160719056708.669,152079420500.552,199651899134.305,213380230565.259,229409722518.441
BDI,3659345899.14874,3911081999.72693,4128357070.46926,4527052338.82865,4822750720.89795,5163304537.63706,5356128029.63131,5723081604.53069,6061589359.64675,6416170661.33507,7180870389.52989,7801364647.63404,8810641482.9621,8672544526.83245,8764485319.4998,8954511427.0355,9576815858.5797,9977971277.88053,10879490984.4508,11885620046.0742,12620673770.4442
BEL,327110233955.51,338782912548.787,352001708926.337,377258845625.056,396459954436.522,415597849908.875,415129244178.866,440667274598.221,452655752838.946,480620383220.801,499349513623.745,514186705056.397,528391165614.716,555959647175.264,579048881302.264,605582412477.965,656816501592.756,649964603129.167,713050272531.793,794534467272.614,818673236616.46
BEN,14468723523.183,15533914339.1855,16349258967.9268,17490099397.8147,19007959450.1528,20420580872.4347,20975883269.9009,21631499483.3635,22827323680.6433,24247664236.3808,26748581226.6548,29319572569.4586,30783169849.1756,33139256276.3922,34658579239.9593,36578611942.2762,39879141291.5087,42079218680.0485,45970615342.8682,52347170519.198,57674233853.5156
BFA,13421047462.2523,14445743187.8126,16155057438.8918,17830162365.8439,19064105718.3303,20539035606.9654,21095292394.1801,22745987554.074,24485121959.0513,26309756409.365,28285423291.7266,28969717707.3022,30316565398.2552,34762910787.0786,39106923342.4676,41036118953.7406,44729069839.1331,49348669869.3869,52126025636.793,56968054381.1989,60808373952.3473
BGD,254435833608.052,275623066083.88,303102046598.448,336538646773.985,372342159950.471,406422852462.346,430340508057.769,460458409325.385,499623842867.126,570177672917.888,616569261196.949,662428199724.602,707741905118.267,770879103187.534,819232336678.198,933669359748.506,1038098559456.84,1150025815983.89,1313226689114.99,1488102430377.48,1631145526646.7
BGR,66512546232.8658,71837953530.6098,79042469729.1358,84566017467.3186,89620327565.9843,102296678673.024,102186090353.069,108292935575.869,112094337190.722,117703084147.993,118282603620.578,125859355337.461,127719613016.307,138256231342.651,148113342478.762,155541119217.219,171864647528.91,172856738898.478,193509884222.494,219021976648.318,229966171766.664
BHR,33183729237.6414,36485618576.1438,40928200129.3074,45150320699.7838,50581652637.2587,53544033726.4957,51306180334.3713,55154566532.2796,55029117258.6701,66402419646.2032,68072823971.4905,68027917039.8448,62309169626.4093,63947711232.7998,71304134632.3664,74049989421.4865,79286106672.1106,73270788848.9241,77554670107.9553,89916702832.0083,94473057221.7317
BHS,9069129868.30645,9410042669.07191,10005513207.9269,10542501712.248,10980618339.7809,11090941388.9295,10609968788.8694,10816620550.2619,11105592422.0829,11373725978.176,11090797233.5774,11499309693.9389,11693011386.8649,11798914382.8977,12573862452.0824,12713786884.9466,13306111287.0186,9794973296.37066,10901904032.4578,13011036750.9012,14064664668.847
BIH,21527646814.3598,24474667688.6299,25415495693.3938,28767074039.0513,31765531289.8917,35149249272.5835,35028272765.4026,35197898782.1178,36819353611.7933,37436128942.486,39547073730.7014,40137117879.452,41970963700.9528,44859774207.8078,46336348884.7154,50036994343.9528,54870204665.184,53707977620.7013,58584646048.0637,66789615391.2897,71088361102.3656
BLR,72222674043.4789,82473657518.2821,93301104734.2889,105274373744.328,116721969821.602,130591011967.101,130469050516.984,142518283295.466,154983303603.244,167296412997.239,173248520791.098,174483588700.131,164291065067.719,160900350090.374,167632916104.313,182188717864.165,203844984018.9,223810524831.542,247425875072.911,251336575100.513,272508378146.407
BLZ,2178063218.89478,2305888186.83234,2446244081.11777,2632139922.98734,2750504753.11525,2750636816.86482,2882652675.65386,2870212365.47207,3005250456.33558,2903701529.10749,3059718914.61548,3097866863.93763,3250819731.43327,3259186743.61953,3216115046.86564,3375862366.52629,3785115743.15433,3650946037.87387,4468004106.86792,5168042703.41498,5476874990.73147
BMU,,,,,,,,4701578067.82602,4635082852.05734,4596631368.50352,4756765522.24698,4747225573.39698,4992912409.27508,5246908291.18516,5670866795.2919,5666125729.75487,5912156946.15506,5643362963.15721,6220347840.73977,7169813264.06563,7336279082.59348
BOL,31542881182.7357,33514887939.4808,36261568756.7457,39365581663.2915,42162991766.3246,45861085196.7945,47363291432.1677,49585817295.8761,53471345613.9369,57984722863.5605,66014570163.9237,72520017752.6327,76087068284.1947,82842020030.4364,93689285672.8123,100534582613.001,104889828073.314,96888851217.7962,109983791247.153,121666837311.076,130010057057.394
BRA,1714272367637.77,1865979623726.29,1987414877083.92,2138389134620.67,2338676738058.18,2496774336197.05,2515168077503.67,2712853462249.96,2894294561187.9,2917485070078.82,3077181547383.86,3107797557672.48,2932875379050.0,2846197824606.73,2924570810530.11,3098565570921.3,3244270827745.74,3289682051501.6,3669595695972.21,4064426514693.09,4321585160962.08
BRB,4030793420.23502,4231832848.32455,4481297484.65089,4822999260.18092,5167728003.85416,5238950747.09652,5053208040.9349,5110790706.81471,4994868254.25312,4804968676.88754,4817802961.81197,4759559588.63669,4767319130.3708,4827371003.08876,4811387396.60834,4985523726.5184,5032198879.66173,4399939590.30707,4344630979.18739,5437853799.82124,5784646437.91345
BRN,27603457273.5978,28375370614.0017,29263918755.7852,31402712553.5495,31183790826.0823,30507586036.8433,30141006400.7251,30978818606.2207,32155329194.6407,34538026369.9608,33848408526.0745,33820608596.9545,27808119521.7328,26009280737.6903,28268746243.1025,28699081649.9803,31524538071.6881,32164200837.8654,35572916554.9574,36424678708.6174,39635373962.4802
BTN,2460686480.77893,2655627507.87852,2953603558.06754,3247957429.99048,3834926034.46426,4035330838.75784,4316930870.06269,4822146569.08448,5305026901.75299,5709319649.62102,5886692413.26615,6393664246.02401,7070877305.61113,7767567930.21814,8085241617.61849,8318863680.93342,9044743246.43476,9047496316.55158,9846215601.24423,11152433315.2781,
BWA,16349952963.2359,17007235899.7754,18835099184.7013,21747090236.1615,24174854403.5278,25034275299.0099,22579133572.1932,24390515125.4732,27515399832.0169,26801040476.3942,27230023589.1521,31594338668.7767,30117036387.5285,33163187364.1,32569558909.601,32918171740.0772,37332836841.0368,36233164460.371,43217375062.5462,48823011433.2171,51994236440.4674
CAF,2653087280.13435,2863350930.10607,2989693787.65017,3228242363.99551,3473911824.83892,3594573770.0122,3961869981.90961,4226562236.19227,4492422406.61788,4918926831.37993,3324981401.57609,3265039171.08106,3603540434.67345,3942112928.35926,4452407772.46887,4749006361.38565,5230877201.10181,5659466490.56345,6162917245.35656,6541994994.36728,6874812269.25088
CAN,998506176807.967,1060259016664.75,1147390008931.78,1221860598242.03,1282434850618.64,1322673547258.16,1284496325205.2,1336628963349.76,1403781260484.68,1442044757903.5,1530453431372.55,1595196682591.57,1570466921580.38,1657591887626.4,1743306959310.54,1821483037220.98,1877057297226.28,1834448846581.77,2144822654560.58,2410982824087.79,2511842313857.42
CHE,302158309982.66,314516531915.321,333621322369.716,370925053381.851,386124159150.376,384345570038.224,416124112903.5,448062844571.02,457549580035.177,483354670209.561,506846623597.975,518723984424.553,546161088699.233,560671216442.423,568390809833.244,580121823006.177,610317495274.777,609053946092.83,692269580547.961,775828712358.641,773681661495.305
CHL,162909681465.401,174121563463.232,188981195876.412,228711518847.374,251050128189.555,254057986121.321,252743553342.144,287919841654.98,318741871194.529,353816711368.114,375186612617.18,385025200175.766,395362607114.711,413012764334.869,433363834230.02,458498081287.065,473247900288.57,460414037004.302,534291755607.461,575574674297.27,612033779066.646
CHN,5043796857552.61,5723515413162.85,6546437115117.82,7646438667782.58,9008385227844.28,10107778077318.6,11038741920461.8,12328903441552.9,13715341860808.5,15177598896780.6,16241642397322.3,17445351113071.7,18129538824739.2,19169812362362.0,20567696024679.6,22355235407453.8,24232656456410.3,25044516316641.5,28620861782223.2,31515177569068.8,34368922355773.2
CIV,31705988245.3116,34425012203.8209,39004792037.2323,40899651407.5218,42690672689.9254,46072548183.5737,48329858660.1497,51905829428.5072,48585323041.0442,55152187769.3865,60504327882.9193,98069384225.3277,108731649059.199,115130993832.18,121709257256.731,132046527045.751,151190324519.851,155606848537.078,173671121074.45,197208408656.596,215288214934.857
CMR,37007036671.3818,41167057129.9343,43242795368.1315,46891301706.7324,49794688564.9356,52518810811.2609,54803332748.6634,56761054669.7612,59872437223.2221,62730540299.587,68054890189.4943,74076522623.9515,78538750618.6809,83664911616.3662,89235394974.8846,97651753918.3907,105876092300.995,112063496623.243,126927699702.63,139812326053.809,150458314798.406
