country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,21020.0,23610.0,19720.0,23920.0,22600.0,26780.0,24340.0,23050.0,23100.0,23970.0,24830.0,24750.0,24460.0,25270.0,27110.0,28130.0,28720.0,22220.0,28020.0,30590.0,30120.0
AFG,190.0,210.0,250.0,270.0,330.0,370.0,460.0,530.0,550.0,640.0,670.0,640.0,590.0,560.0,530.0,520.0,520.0,490.0,380.0,370.0,380.0
AGO,710.0,1020.0,1380.0,1830.0,2480.0,3040.0,3180.0,3240.0,3410.0,4160.0,4700.0,4800.0,3920.0,2540.0,2090.0,1970.0,2110.0,1680.0,1640.0,1870.0,2120.0
ALB,1650.0,2100.0,2620.0,3050.0,3460.0,4040.0,4280.0,4360.0,4410.0,4360.0,4540.0,4540.0,4390.0,4320.0,4290.0,4880.0,5280.0,5320.0,6150.0,6820.0,7680.0
AND,,,,,,,,,,,,,,,,,46450.0,42450.0,44720.0,50150.0,
ARE,29030.0,33220.0,36880.0,41670.0,43420.0,44890.0,41310.0,42040.0,44790.0,49010.0,52160.0,51990.0,48510.0,44750.0,41390.0,43370.0,45070.0,41100.0,42640.0,46070.0,49020.0
ARG,3620.0,3340.0,4230.0,5440.0,6460.0,7600.0,7720.0,9160.0,10590.0,11770.0,12760.0,12240.0,12500.0,12130.0,13070.0,12390.0,11210.0,9040.0,10070.0,11820.0,12890.0
ARM,910.0,1120.0,1460.0,1910.0,2600.0,3390.0,3140.0,3280.0,3360.0,3700.0,3940.0,4000.0,3910.0,3690.0,3900.0,4220.0,4650.0,4230.0,4580.0,5680.0,6780.0
ATG,11680.0,12850.0,14050.0,15740.0,17300.0,17750.0,15750.0,14390.0,14070.0,14350.0,14350.0,14690.0,14560.0,15080.0,15820.0,17460.0,18240.0,15370.0,16670.0,18900.0,20200.0
AUS,21380.0,25850.0,30740.0,34600.0,37390.0,42410.0,44100.0,46750.0,50410.0,60290.0,66080.0,65220.0,60520.0,54100.0,51480.0,53080.0,54890.0,53630.0,57180.0,60710.0,63150.0
AUT,28110.0,33860.0,38780.0,41460.0,44510.0,49210.0,49210.0,49770.0,50700.0,50090.0,50690.0,50430.0,47510.0,46250.0,45060.0,48990.0,51050.0,49050.0,53220.0,55930.0,55030.0
AZE,840.0,960.0,1290.0,1920.0,2730.0,3890.0,4820.0,5410.0,5570.0,6480.0,7450.0,7740.0,6610.0,4790.0,4110.0,4080.0,4510.0,4480.0,4910.0,5670.0,6660.0
BDI,120.0,120.0,130.0,150.0,160.0,180.0,190.0,200.0,220.0,230.0,240.0,240.0,240.0,240.0,240.0,230.0,220.0,210.0,220.0,230.0,220.0
