country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,31660.0,33900.0,27980.0,34400.0,32340.0,37310.0,33150.0,31800.0,32030.0,32580.0,33740.0,34340.0,34460.0,34480.0,35450.0,36710.0,37340.0,28180.0,34420.0,40060.0,41080.0
AFG,980.0,980.0,1090.0,1140.0,1300.0,1330.0,1570.0,1770.0,1740.0,1990.0,2140.0,2230.0,2300.0,2240.0,2360.0,2460.0,2620.0,2580.0,2160.0,2130.0,2220.0
AGO,3500.0,3810.0,4340.0,4770.0,5390.0,5620.0,5870.0,5970.0,6130.0,6760.0,7010.0,7500.0,6760.0,6490.0,6560.0,6780.0,6850.0,5870.0,6800.0,7310.0,7280.0
ALB,5130.0,5560.0,5980.0,6760.0,7490.0,8270.0,8670.0,9530.0,10210.0,10450.0,10750.0,11360.0,11800.0,12280.0,12800.0,13680.0,14600.0,14270.0,15900.0,19110.0,20990.0
AND,,,,,,,,,,,,,,,,,63070.0,58900.0,63830.0,75250.0,
ARE,91020.0,97450.0,101170.0,107240.0,102310.0,94140.0,84200.0,83650.0,87740.0,87410.0,85610.0,85380.0,72060.0,68090.0,68530.0,75320.0,77260.0,65000.0,67280.0,73790.0,76680.0
ARG,10490.0,10770.0,11930.0,14350.0,16020.0,16850.0,15680.0,17240.0,18560.0,18970.0,19500.0,19090.0,19530.0,19660.0,22790.0,23540.0,22590.0,21790.0,25770.0,29050.0,29460.0
ARM,3960.0,4560.0,5390.0,6360.0,7520.0,8290.0,7090.0,7450.0,7890.0,9300.0,10040.0,10170.0,10150.0,10820.0,12490.0,13080.0,15180.0,14470.0,15460.0,18650.0,20770.0
ATG,18900.0,20310.0,22250.0,25520.0,28250.0,28450.0,24760.0,22710.0,22390.0,20910.0,20610.0,20720.0,19760.0,19930.0,20310.0,23390.0,25430.0,22260.0,24850.0,28580.0,30680.0
AUS,29270.0,30860.0,31810.0,33490.0,35020.0,36000.0,38900.0,37840.0,40330.0,41560.0,44790.0,45680.0,45320.0,46140.0,47040.0,48600.0,50900.0,52760.0,57530.0,63370.0,67460.0
AUT,32070.0,33730.0,34940.0,37750.0,39400.0,41660.0,40900.0,42350.0,44600.0,46500.0,48050.0,48860.0,49390.0,52680.0,53670.0,56380.0,60400.0,59220.0,63790.0,70560.0,70260.0
AZE,4480.0,4860.0,5970.0,8140.0,10020.0,11640.0,12940.0,13800.0,13790.0,15090.0,16410.0,17060.0,14590.0,13660.0,13770.0,14550.0,16030.0,15070.0,19690.0,21040.0,22590.0
BDI,520.0,530.0,540.0,580.0,590.0,610.0,600.0,610.0,620.0,640.0,690.0,720.0,800.0,770.0,760.0,760.0,780.0,790.0,840.0,890.0,920.0
BEL,31530.0,32510.0,33590.0,35770.0,37310.0,38800.0,38450.0,40440.0,41010.0,43270.0,44750.0,45870.0,46870.0,49060.0,50900.0,53000.0,57170.0,56330.0,61540.0,68020.0,69450.0
BEN,1830.0,1900.0,1940.0,2010.0,2120.0,2210.0,2210.0,2210.0,2260.0,2330.0,2500.0,2660.0,2710.0,2830.0,2880.0,2950.0,3130.0,3220.0,3430.0,3800.0,4090.0
BFA,1030.0,1070.0,1160.0,1240.0,1290.0,1350.0,1340.0,1410.0,1470.0,1530.0,1600.0,1590.0,1610.0,1800.0,1970.0,2010.0,2130.0,2300.0,2370.0,2530.0,2640.0
BGD,1800.0,1930.0,2090.0,2300.0,2520.0,2720.0,2850.0,3030.0,3250.0,3680.0,3940.0,4190.0,4440.0,4790.0,5050.0,5710.0,6290.0,6920.0,7830.0,8790.0,9510.0
