country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,99.0,,,,,,,,,,99.629997253418,,,
AFG,,,,,,,,,62.0,,,,57.735050201416,,,,,,71.0,83.4000015258789,
AGO,,,,,,,,,,,,85.0,83.9691925048828,,,,,,,85.9000015258789,
ALB,,,,,,99.0,94.8199996948242,,99.0,99.0,,,,,98.5899887084961,,,,,99.0999984741211,
ARE,,,94.0,,,,,,,,,,,,,,98.0,,100.0,100.0,
ARM,,,,,,,,,100.0,,,,,100.0,100.0,,,100.0,,,
AZE,,,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,100.0
BDI,,,,,,67.0,,82.6600036621094,,,,85.0,,86.7550964355469,91.0,,,,,93.9700012207031,
BEN,,,,54.8669395446777,,,,,,63.9409217834473,,,,,66.7997894287109,,,,70.9679870605469,73.5999984741211,
BFA,38.0,,40.0,40.0,47.0,,,47.0400009155273,,,,57.0,,,,64.0,51.0,,66.6459274291992,55.560001373291,
BGD,,,,,54.2743301391602,,,,76.0,76.0,84.0,85.0,86.0,91.0,92.0,92.0,94.0,93.0,94.0,,
BGR,,,,,,,,,98.0,,,,,,,,,,98.2699966430664,,
BHR,,,,,,,,,100.0,,,,,,,,,,,99.0,99.0
BIH,,,,,,,,,99.7512512207031,,100.0,,,,,,,,,99.6999969482422,
BLR,,,,,,,100.0,,,100.0,,,,,,,100.0,,,,
BLZ,,,,,,,,,,,,,97.8281784057617,,,,,,,,
BOL,99.4700012207031,99.5699996948242,99.2699966430664,99.4400024414062,99.75,99.3899993896484,99.6900024414062,,99.2699966430664,99.4899978637695,99.4899978637695,99.6800003051758,99.3899993896484,99.5,99.4300003051758,99.7200012207031,99.6600036621094,99.5800018310547,99.5,,
BRA,95.620002746582,95.7300033569336,96.129997253418,96.7600021362305,97.0199966430664,97.1699981689453,97.4400024414062,97.0,97.9199981689453,98.2300033569336,98.25,98.4499969482422,98.5999984741211,98.6900024414062,98.8000030517578,98.7099990844727,98.7399978637695,98.9599990844727,99.0699996948242,99.0100021362305,
BRB,,,,,,,,,,100.0,,,,,,,,,,,
BRN,,,,,,,,,99.0,,,,,,,,,,99.7099990844727,,
BTN,,,80.0,,,,,,,90.0,,,,,93.0,,,,,98.0,
BWA,92.0,,,,,,,,,,95.754753112793,,,,,,,,,,
CAF,,,,,,,,48.8571014404297,,,,,,,,48.0,64.9038162231445,47.5499992370605,,,
CHL,98.8600006103516,,,98.8899993896484,,,99.1999969482422,,99.2200012207031,,99.0100021362305,,99.2900009155273,,99.0299987792969,,,,,99.1399993896484,
CHN,,,,,,,,100.0,,,,,,,,,,100.0,,,
CIV,,,,,,,,,,58.3326301574707,,59.0,,71.9882278442383,,,93.0,,76.1614532470703,,
CMR,,81.3899993896484,,,89.0,,,85.0,86.9199981689453,,,,,,,87.5969772338867,,88.629997253418,,,
COD,,,,,78.9364166259766,,,,,91.0,92.5599975585938,,,91.0,,90.8175430297852,,,,90.7900009155273,
COG,,,88.0,,,,,,85.6836090087891,,,,,,,,,,85.1900024414062,,
COL,96.7099990844727,97.5,97.5699996948242,98.0,97.0,97.5500030517578,97.4400024414062,97.7699966430664,97.8499984741211,97.7600021362305,97.7799987792969,98.129997253418,98.1699981689453,98.2900009155273,98.2699966430664,98.6800003051758,98.4899978637695,98.6699981689453,98.8000030517578,98.6399993896484,
COM,,,,,,,,,,73.8107681274414,,,,,,,,,,80.9499969482422,
CPV,,,,,,,,,,98.0,,,98.0,,,,,,,98.25,
CRI,,,,,,,,,99.0,,,,,,,74.7799987792969,,,99.4599990844727,,
CUB,,,,,,,,,,100.0,,,,,,,99.5311889648438,,99.8552703857422,,
CYM,,,,,99.0,,,,,,,,,,99.0,,,,,,
CYP,,,,,,,,,100.0,,,,,,,,,,99.8899993896484,,
DOM,94.6500015258789,95.2200012207031,96.1500015258789,95.2600021362305,97.2399978637695,95.620002746582,96.2399978637695,96.1999969482422,96.5400009155273,96.7099990844727,97.629997253418,98.0400009155273,98.1399993896484,98.129997253418,97.7699966430664,98.0299987792969,98.3000030517578,98.6100006103516,98.6999969482422,98.1399993896484,
DZA,,,,94.0,,96.0,,,,,,,,,,97.5940628051758,64.7900009155273,,,,
ECU,89.8099975585938,,96.1600036621094,96.129997253418,95.8899993896484,96.2900009155273,96.8199996948242,96.0999984741211,95.7699966430664,96.2699966430664,95.6500015258789,97.120002746582,98.0199966430664,96.870002746582,97.1900024414062,96.2200012207031,94.0599975585938,94.129997253418,96.1800003051758,96.0999984741211,
EGY,,,90.0,88.0,,,,91.0,,92.0,94.0,,,,89.0,,,,,92.7200012207031,
ERI,,,,,,91.0,,,,,,,,,,93.8186798095703,,,,,
ESP,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,99.0,,,
EST,,,,,,,,,100.0,,,,,,,,,,99.9800033569336,,
ETH,,62.2000007629395,55.8847389221191,,63.0,,,,65.0800018310547,,,,,79.1341705322266,73.5207214355469,,,,,,
FJI,,,,,,,,,,,,,,,,,,,96.1100006103516,,
GAB,,,,,,,,,,87.3895874023438,,,,,,,,,94.955322265625,88.6600036621094,
GEO,,,,,,,,,,,,100.0,,,100.0,99.9046020507812,,,,100.0,
GHA,84.7699966430664,,,,,,,88.0,,,,91.1699981689453,,,89.7702865600586,,,93.5899963378906,,89.8600006103516,
GIN,59.0,,64.1900024414062,,,,,38.0,,71.6900024414062,,57.0,,,,70.0,,,71.3300018310547,,
GMB,,,,,,,,,,,65.9757614135742,,71.0,,,74.9781723022461,,,72.0177917480469,69.6399993896484,
GNB,,,,,,,,,,,,71.2503280639648,,,,,81.8335876464844,,,75.2799987792969,
GNQ,,,,,,,,97.6907577514648,,,,,,,,,,,,,
GRC,,,,,,,100.0,,,,,,,,,,,,,,
GTM,,,,91.379997253418,,,,,,95.0,94.0,94.9100036621094,96.6746673583984,,,95.0,,,,95.8553466796875,
GUY,,,,,,,92.4212112426758,,,,,96.3318634033203,,,,,,99.2650833129883,,97.6100006103516,
HND,,90.1600036621094,89.9100036621094,,93.0,,92.6399993896484,94.4499969482422,94.9300003051758,94.0,93.8499984741211,95.0500030517578,94.9899978637695,94.9499969482422,,94.8899993896484,94.8399963378906,,,,
HRV,,,,,,,,,,,,,,,,,,,99.75,,
HTI,83.0,,,74.3674087524414,,,,,,86.5500030517578,,,,83.3535003662109,88.3847122192383,,,,,,
HUN,,,,,,,,,,,,,,,,,,,98.5,,
IDN,,99.0,,97.0,,100.0,100.0,,99.0,,,100.0,100.0,100.0,99.9300003051758,100.0,,100.0,,,
IND,,,,88.0,,,,,90.0,,,,,93.5549392700195,,,,99.0699996948242,,97.0,98.0
IRN,,,98.0,97.0,,98.0,,,,98.0,98.0,98.0,,98.0,,,,,,98.6900024414062,
IRQ,,,,,,,,,,87.0,,92.0,,93.0,95.0,,,,,,
ITA,,,,,,,,,100.0,,,,,,,,100.0,,,,
JAM,,,,,,,,,,,,,,,,,,,,88.2300033569336,
JOR,99.0,,99.0,,99.0,,,99.0,99.0,99.0,,,,,,97.4217834472656,,,,,99.0
KAZ,,,,,,,100.0,99.9401397705078,,,,,,,,,,100.0,,,
KEN,,,,,83.2054214477539,,,,,,,86.9386901855469,,,,,,,,96.1475219726562,
KGZ,,,,,,,100.0,,,,,,,,,,99.6999969482422,,,,
KHM,,88.0,100.0,,,89.0,88.0,80.5999984741211,,,,90.0,92.0,,,,,,90.3082885742188,95.4400024414062,
KIR,,,,,,,,,,,,,,,,95.8307266235352,,,,,
KOR,,,,,,100.0,,,,,,,,,,99.9000015258789,,,,,
KWT,,,100.0,99.0,98.0,99.0,,99.0,,99.0,99.0,,99.0,,99.0,99.0,,99.0,,,
LAO,,,89.0,,,,,,77.2726669311523,,,,94.0,,91.2002792358398,,,,,95.4400024414062,
LBN,,,,,98.0,,99.0,,,,,,,,,98.0,,,,,
LBR,,,,,63.4510192871094,,,,,,83.75,,,,64.9571304321289,,86.2300033569336,,,,
LCA,,,,,,,,,,100.0,,,,,,,,,,,
LKA,,,,97.0,,97.0,,98.0,,,,,,98.0,99.0,99.0,99.0,99.0,99.0,98.0,
LSO,,,,,,,74.1850280761719,,,,,79.608039855957,,,,92.3531799316406,,,,83.8099975585938,
LTU,,,,,,,,,100.0,,,,,,,,,,99.9400024414062,,
LVA,,,,,,,,,100.0,,,,,,,,,,99.7699966430664,,
MAC,,,,100.0,,,,,100.0,,,,,100.0,,,,,99.620002746582,,
MAR,,81.0,,,,86.0,87.0,,89.0,94.0,,,,,,,,,,98.620002746582,
MDA,,,99.870002746582,,,,,,,100.0,,100.0,,,,,,,99.6999969482422,,
MDG,,,59.0,,,,65.9147796630859,,,78.0,,,,,,81.0,,,82.5261688232422,80.8099975585938,
MDV,,,,99.0,,,,,,,,99.0,,98.0,97.3111572265625,,98.621467590332,,99.5100021362305,,
MEX,,97.120002746582,98.0,98.0800018310547,98.0,98.25,99.0,98.2399978637695,98.0,98.5800018310547,99.0,98.4300003051758,99.0,98.4700012207031,99.0,98.4000015258789,,98.8300018310547,,98.7399978637695,
MHL,,,,,,,,,98.0,,,,,,,,,,,,
MKD,,,,,,,,,,98.8000030517578,,,,,,,,,,,
MLI,,,,47.0,,,,56.0,56.0,,,,61.0,,,58.0,,55.0,,,
MLT,,,97.0,,,,,,98.0,,,,,,,,,,99.2900009155273,,
MMR,,,,,,,,,,,,,,91.1581115722656,,,95.0,,,,
MNE,99.0,,,,,,,,99.0,,,,,,,96.2309875488281,,,99.1699981689453,,
MNG,,,,,,,,98.0,,,,,,,,99.6362991333008,,99.0,,,
MOZ,74.0,,,,,,80.0,,,,,,79.0,,77.0,,,76.0,,,
MRT,,,,,66.3998794555664,,,,,,74.0,,86.7323608398438,,,,,75.2589721679688,77.9199981689453,,
MUS,,,,,,,,,98.0,,,,,,,,,,99.0400009155273,,
MWI,,,,,,,,74.2692489624023,,,,78.7846603393555,72.4917221069336,,,,,81.3013305664062,,73.6600036621094,
MYS,,,,,,,,98.0,,,,,,97.0,97.0,97.0,97.0,,,99.0,
NAM,,,,,83.2385787963867,,,,93.0,,92.0800018310547,,,,,,,,94.4599990844727,,
NCL,,,,99.0999984741211,,,,,,,,,,,,,,,,,
NER,,,52.0,33.0200004577637,,,,,,49.0,,,,,,,,,,55.7999992370605,
NGA,78.0,,,83.0,,75.5659408569336,,,,,86.1699981689453,,,78.4342422485352,,71.8061218261719,,,77.7763824462891,,
NIC,,,89.4199981689453,,,,92.5599975585938,,,,,94.0800018310547,89.6428298950195,,,,,,,,
NPL,,,,94.2399978637695,,,,,90.0,,,,,94.4361572265625,,,96.8068618774414,,95.1399993896484,,
OMN,98.0,,,,,98.0,,97.0,,,,,99.0,,98.0,98.0,,,,100.0,
