country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,99.0,,,,,,,,,,99.5199966430664,,,
AFG,,,,,,,,,47.0,,,,35.8208389282227,,,,,,56.0,62.6599998474121,
AGO,,,,,,,,,,,,77.0,75.6608123779297,,,,,,,83.3000030517578,
ALB,,,,,,99.0,95.6800003051758,,99.0,99.0,,,,,99.0240631103516,,,,,99.5,
ARE,,,95.0,,,,,,,,,,,,,,98.0,,100.0,100.0,
ARM,,,,,,,,,100.0,,,,,100.0,100.0,,,100.0,,,
AZE,,,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,100.0
BDI,,,,,,62.0,,74.4599990844727,,,,80.0,,84.3636779785156,88.0,,,,,93.5599975585938,
BEN,,,,42.3627014160156,,,,,,52.4924697875977,,,,,58.812198638916,,,,65.3227005004883,66.4000015258789,
BFA,31.0,,33.0,33.0,39.0,,,37.189998626709,,,,50.0,,,,59.0,47.0,,62.6698608398438,53.6399993896484,
BGD,,,,,61.8728103637695,,,,78.0,78.0,86.0,86.0,88.0,92.0,93.0,93.0,95.0,94.0,95.0,,
BGR,,,,,,,,,98.0,,,,,,,,,,98.0599975585938,,
BHR,,,,,,,,,100.0,,,,,,,,,,,99.0,99.0
BIH,,,,,,,,,99.4623107910156,,100.0,,,,,,,,,99.6999969482422,
BLR,,,,,,,100.0,,,100.0,,,,,,,100.0,,,,
BLZ,,,,,,,,,,,,,97.9493026733398,,,,,,,,
BOL,98.3000030517578,99.0899963378906,98.8499984741211,98.4100036621094,99.4400024414062,99.1699981689453,99.379997253418,,99.0100021362305,99.3300018310547,99.3199996948242,99.4400024414062,99.4000015258789,99.4199981689453,99.379997253418,99.5699996948242,99.5299987792969,99.5599975585938,99.5199966430664,,
BRA,96.629997253418,96.8099975585938,97.1100006103516,97.5500030517578,97.7799987792969,97.8399963378906,98.0599975585938,98.0,98.4899978637695,98.620002746582,98.7399978637695,98.8499984741211,98.9599990844727,99.0699996948242,99.1399993896484,99.0400009155273,99.0999984741211,99.2300033569336,99.2799987792969,99.2799987792969,
BRB,,,,,,,,,,100.0,,,,,,,,,,,
BRN,,,,,,,,,99.0,,,,,,,,,,99.7699966430664,,
BTN,,,74.0,,,,,,,86.0,,,,,93.0,,,,,98.0,
BWA,94.0,,,,,,,,,,97.4562911987305,,,,,,,,,,
CAF,,,,,,,,36.3562698364258,,,,,,,,38.0,50.6020812988281,38.3400001525879,,,
CHL,99.1100006103516,,,99.1100006103516,,,99.370002746582,,99.4100036621094,,99.0699996948242,,99.3600006103516,,99.0199966430664,,,,,99.3099975585938,
CHN,,,,,,,,100.0,,,,,,,,,,100.0,,,
CIV,,,,,,,,,,48.3099594116211,,53.0,,62.9905815124512,,,84.0,,66.8442687988281,,
CMR,,75.1100006103516,,,83.0,,,81.0,80.6600036621094,,,,,,,81.8933868408203,,86.2399978637695,,,
COD,,,,,65.7765274047852,,,,,84.0,85.9800033569336,,,85.0,,84.0733871459961,,,,88.0999984741211,
COG,,,79.0,,,,,,80.913948059082,,,,,,,,,,82.3600006103516,,
COL,97.5,97.9400024414062,97.9700012207031,98.0,98.0,97.9899978637695,97.9400024414062,98.1800003051758,98.3099975585938,98.2200012207031,98.2699966430664,98.5299987792969,98.5199966430664,98.6500015258789,98.6500015258789,98.879997253418,98.8199996948242,99.0,99.1100006103516,98.9100036621094,
COM,,,,,,,,,,71.5812683105469,,,,,,,,,,82.0199966430664,
CPV,,,,,,,,,,98.0,,,98.0,,,,,,,98.7399978637695,
CRI,,,,,,,,,99.0,,,,,,,80.5500030517578,,,99.5299987792969,,
CUB,,,,,,,,,,100.0,,,,,,,99.6117401123047,,99.8746490478516,,
CYM,,,,,99.0,,,,,,,,,,99.0,,,,,,
CYP,,,,,,,,,100.0,,,,,,,,,,99.9000015258789,,
DOM,95.7399978637695,95.9400024414062,96.7099990844727,96.5699996948242,97.5,96.5500030517578,97.3000030517578,97.0400009155273,97.5699996948242,97.3399963378906,97.9499969482422,98.1399993896484,98.120002746582,98.4800033569336,98.0999984741211,98.5400009155273,98.6999969482422,98.8600006103516,98.8399963378906,98.5299987792969,
DZA,,,,92.0,,94.0,,,,,,,,,,97.4265213012695,74.0299987792969,,,,
ECU,90.7200012207031,,95.8300018310547,95.8199996948242,96.0899963378906,96.1800003051758,96.8300018310547,96.3499984741211,95.9499969482422,96.1699981689453,95.5299987792969,97.2699966430664,97.25,97.0,97.5400009155273,96.5,94.879997253418,95.0800018310547,96.3300018310547,96.370002746582,
EGY,,,85.0,85.0,,,,88.0,,89.0,92.0,,,,88.0,,,,,92.2399978637695,
ERI,,,,,,87.0,,,,,,,,,,93.2723922729492,,,,,
ESP,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,,,
EST,,,,,,,,,100.0,,,,,,,,,,99.9899978637695,,
ETH,,49.9000015258789,44.6059684753418,,55.0,,,,54.8300018310547,,,,,71.7857208251953,72.7548217773438,,,,,,
FJI,,,,,,,,,,,,,,,,,,,97.5800018310547,,
GAB,,,,,,,,,,88.5041427612305,,,,,,,,,93.9814300537109,90.6399993896484,
GEO,,,,,,,,,,,,100.0,,,100.0,99.920539855957,,,,100.0,
