country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,97.0,,,,,,,,,,98.0,,,
AFG,,,,,,,,,17.0,,,,17.0862407684326,,,,,,23.0,26.5965595245361,
AGO,,,,,,,,,,,,53.0,51.9259796142578,,,,,,,62.5,
ALB,,,,,,95.0,,,96.0,96.0,,,,,99.0490417480469,,,,,98.3000030517578,
ARE,,,91.0,,,,,,,,,,,,,,97.0,,97.0,98.0,
ARM,,,,,,,,,100.0,,,,,100.0,100.0,,,100.0,,,
AZE,,,,,99.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,100.0
BDI,,,,,,43.0,,,,,,55.0,,59.4406814575195,61.0,,,,,69.4400024414062,
BEN,,,,18.4429092407227,,,,,,22.093879699707,,,,,28.5498504638672,,,,33.1344985961914,36.4000015258789,
BFA,15.0,,17.0,16.0,21.0,,,,,,,26.0,,,,31.0,25.0,,31.0312004089355,29.1200008392334,
BGD,,,,,43.7408485412598,,,,55.0,54.0,58.0,58.0,62.0,70.0,70.0,71.0,72.0,72.0,74.0,,
BGR,,,,,,,,,98.0,,,,,,,,,,98.1699981689453,,
BHR,,,,,,,,,90.6999969482422,,,,,,,,,,,96.0,96.0
BIH,,,,,,,,,96.8037109375,,95.0,,,,,,,,,97.0999984741211,
BLR,,,,,,,99.0,,,,,,,,,,100.0,,,,
BLZ,,,,,,,,,,,,,91.6316070556641,,,,,,,,
BOL,,,,,86.0,87.0,87.0,,88.0,92.0,,,89.0,,,,,91.0,,,
BRA,,89.0,,90.0,90.0,90.0,90.0,91.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,,,,94.9199981689453,
BRN,,,,,,,,,95.0,,,,,,,,,,96.8600006103516,,
BTN,,,39.0,,,,,,,45.0,,,,,57.0,,,,,63.9000015258789,
BWA,82.0,,,,,,,,,,87.4512100219727,,,,,,,,,,
CAF,,,,,,,,24.355489730835,,,,,,,,26.0,27.1308307647705,26.2000007629395,,,
CHL,,,,,,,,,97.0,,96.0,,97.0,,96.0,,,,,97.120002746582,
CHN,,,,,,,,93.0,,,,,,,,,,95.0,,,
CIV,,,,,,,,,,30.4617195129395,,37.0,,40.7476615905762,,,87.0,,40.2550888061523,,
CMR,,,,,63.0,,,65.0,,,,,,,,66.1617736816406,,73.120002746582,,,
COD,,,,,46.1042518615723,,,,,63.0,,,,66.0,,61.600341796875,,,,71.7300033569336,
COG,,,67.0,,,,,,72.8770599365234,,,,,,,,,,75.370002746582,,
COL,,93.0,93.0,92.0,93.0,93.0,93.0,93.0,94.0,,,94.0,94.0,95.0,,95.0,95.0,96.0,,,
COM,,,,,,,,,,42.6372909545898,,,,,,,,,,56.8699989318848,
CPV,,,,,,,,,,80.0,,,82.0,,,,,,,87.6100006103516,
CRI,,,,,,,,,98.0,,,,,,,94.118766784668,,,98.0999984741211,,
CUB,,,,,,,,,,100.0,,,,,,,96.3534317016602,,99.7171478271484,,
CYM,,,,,99.0,,,,,,,,,,99.0,,,,,,
CYP,,,,,,,,,98.0,,,,,,,,,,99.1500015258789,,
