country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,97.0,,,,,,,,,,97.9700012207031,,,
AFG,,,,,,,,,45.0,,,,50.212100982666,,,,,,52.0,,
AGO,,,,,,,,,,,,80.0,83.7727737426758,,,,,,,82.8000030517578,
ALB,,,,,,97.0,,,98.0,98.0,,,,,98.5719985961914,,,,,98.6999969482422,
ARE,,,89.0,,,,,,,,,,,,,,98.0,,99.0,99.0,
ARM,,,,,,,,,100.0,,,,,100.0,100.0,,,100.0,,,
AZE,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,100.0
BDI,,,,,,53.0,,,,,,70.0,,73.296989440918,76.0,,,,,81.8399963378906,
BEN,,,,40.6161689758301,,,,,,44.9602584838867,,,,,51.0525016784668,,,,56.4600715637207,57.9000015258789,
BFA,29.0,,31.0,30.0,37.0,,,,,,,44.0,,,,49.0,35.0,,44.1221809387207,40.0699996948242,
BGD,,,,,49.8323287963867,,,,62.0,62.0,64.0,64.0,68.0,76.0,76.0,77.0,77.0,78.0,79.0,,
BGR,,,,,,,,,99.0,,,,,,,,,,98.6900024414062,,
BHR,,,,,,,,,93.0999984741211,,,,,,,,,,,99.0,99.0
BIH,,,,,,,,,99.5413284301758,,99.0,,,,,,,,,99.4000015258789,
BLR,,,,,,,100.0,,,,,,,,,,100.0,,,,
BLZ,,,,,,,,,,,,,90.1562881469727,,,,,,,,
BOL,,,,,96.0,95.0,96.0,,97.0,97.0,,,97.0,,,,,97.0,,,
BRA,,88.0,,89.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,93.0,93.0,93.0,,,,94.4499969482422,
BRN,,,,,,,,,97.0,,,,,,,,,,98.2600021362305,,
BTN,,,65.0,,,,,,,66.0,,,,,75.0,,,,,79.1999969482422,
BWA,80.0,,,,,,,,,,86.1221389770508,,,,,,,,,,
CAF,,,,,,,,50.7127113342285,,,,,,,,50.0,59.8423118591309,49.2299995422363,,,
CHL,,,,,,,,,97.0,,96.0,,97.0,,96.0,,,,,97.1900024414062,
CHN,,,,,,,,97.0,,,,,,,,,,98.0,,,
CIV,,,,,,,,,,51.5926704406738,,51.0,,59.6213798522949,,,93.0,,60.2039184570312,,
CMR,,,,,79.0,,,78.0,,,,,,,,79.7137908935547,,83.4000015258789,,,
COD,,,,,76.9156875610352,,,,,88.0,,,,89.0,,87.5136337280273,,,,89.629997253418,
COG,,,86.0,,,,,,86.4343109130859,,,,,,,,,,85.9400024414062,,
COL,,93.0,93.0,92.0,92.0,93.0,93.0,93.0,93.0,,,94.0,94.0,94.0,,95.0,95.0,95.0,,,
COM,,,,,,,,,,56.4798011779785,,,,,,,,,,66.5500030517578,
CPV,,,,,,,,,,90.0,,,92.0,,,,,,,94.4700012207031,
CRI,,,,,,,,,97.0,,,,,,,,,,97.9899978637695,,
