country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,97.0,,,,,,,,,,97.9899978637695,,,
AFG,,,,,,,,,31.0,,,,33.7538414001465,,,,,,37.0,,
AGO,,,,,,,,,,,,66.0,66.2358627319336,,,,,,,72.4000015258789,
ALB,,,,,,96.0,,,97.0,97.0,,,,,98.8162307739258,,,,,98.5,
ARE,,,90.0,,,,,,,,,,,,,,98.0,,98.0,98.0,
ARM,,,,,,,,,100.0,,,,,100.0,100.0,,,100.0,,,
AZE,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,,100.0
BDI,,,,,,48.0,,,,,,62.0,,65.6877365112305,68.0,,,,,75.5400009155273,
BEN,,,,28.7021102905273,,,,,,32.9488182067871,,,,,38.871208190918,,,,43.834171295166,47.0999984741211,
BFA,22.0,,24.0,22.0,28.0,,,,,,,35.0,,,,39.0,30.0,,36.9673805236816,34.4900016784668,
BGD,,,,,46.6636009216309,,,,59.0,58.0,61.0,61.0,65.0,73.0,73.0,74.0,75.0,75.0,76.0,,
BGR,,,,,,,,,98.0,,,,,,,,,,98.4199981689453,,
BHR,,,,,,,,,92.3000030517578,,,,,,,,,,,98.0,98.0
BIH,,,,,,,,,98.1420364379883,,97.0,,,,,,,,,98.3000030517578,
BLR,,,,,,,100.0,,,,,,,,,,100.0,,,,
BLZ,,,,,,,,,,,,,90.9160385131836,,,,,,,,
BOL,,,,,91.0,91.0,91.0,,92.0,94.0,,,92.0,,,,,94.0,,,
BRA,,89.0,,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,,,,94.6900024414062,
BRN,,,,,,,,,96.0,,,,,,,,,,97.5899963378906,,
BTN,,,53.0,,,,,,,55.0,,,,,67.0,,,,,72.0999984741211,
BWA,81.0,,,,,,,,,,86.8231811523438,,,,,,,,,,
CAF,,,,,,,,36.7526092529297,,,,,,,,37.0,42.4427909851074,37.4900016784668,,,
CHL,,,,,,,,,97.0,,96.0,,97.0,,96.0,,,,,97.1600036621094,
CHN,,,,,,,,95.0,,,,,,,,,,97.0,,,
CIV,,,,,,,,,,40.9816284179688,,44.0,,50.039680480957,,,90.0,,50.0006408691406,,
CMR,,,,,71.0,,,71.0,,,,,,,,72.5471267700195,,78.2300033569336,,,
COD,,,,,61.2055511474609,,,,,75.0,,,,77.0,,73.5530319213867,,,,80.5400009155273,
COG,,,76.0,,,,,,79.3111724853516,,,,,,,,,,80.6100006103516,,
COL,,93.0,93.0,92.0,93.0,93.0,93.0,93.0,94.0,,,94.0,94.0,95.0,,95.0,95.0,96.0,,,
COM,,,,,,,,,,49.1961402893066,,,,,,,,,,61.7099990844727,
CPV,,,,,,,,,,85.0,,,87.0,,,,,,,91.0,
CRI,,,,,,,,,97.0,,,,,,,,,,98.0400009155273,,
CUB,,,,,,,,,,100.0,,,,,,,97.6549072265625,,99.6731109619141,,
CYM,,,,,99.0,,,,,,,,,,99.0,,,,,,
CYP,,,,,,,,,99.0,,,,,,,,,,99.3600006103516,,
DOM,,,,,88.0,,,90.0,90.0,90.0,91.0,92.0,92.0,94.0,,,,,,95.5,
DZA,,,,73.0,,75.0,,,,,,,,,,81.4078369140625,,,,,
ECU,,,,,92.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,94.0,93.0,,,94.0,94.0,94.0,
EGY,,,67.0,66.0,,,,72.0,,74.0,72.0,,,,71.0,,,,,74.5,
ERI,,,,,,65.0,,,,,,,,,,76.5705184936523,,,,,
ESP,,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,98.0,,99.0,,,
EST,,,,,,,,,100.0,,,,,,,,,,99.870002746582,,
