country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,18.43017,18.45109,18.0776,18.16434,17.41751,17.29188,17.08591,16.82253,15.08609,14.78869,,,,,,,
AFG,,,,42.32602,42.7703,43.72982,42.83639,44.41709,43.51915,44.67743,45.71171,,43.38836,44.58162,47.98298,48.78979,
AGO,,,,,41.0124,,,45.58651,42.54306,,,,50.02951,,,,
ALB,21.49541,,,,,19.4078,20.17793,19.70208,19.86917,19.48298,19.12103,18.92294,18.61557,18.19844,17.94478,17.57287,
AND,12.0758,12.65282,11.47472,10.4891,10.24769,10.02679,10.33256,9.64018,9.84527,9.58237,9.33028,9.51991,9.93795,10.06635,10.5,10.49757,
ARE,15.21595,15.00218,15.23077,15.47687,17.19022,,15.60016,16.83357,17.03397,18.18358,16.06864,18.93254,23.61794,24.52278,,,
ARG,,17.95223,17.44373,17.1849,16.36028,17.22969,,,,,,,,,,,
ARM,18.8372,20.26241,21.19732,21.24161,19.3076,,,,,,,,,,,15.41859,
ATG,,,,,21.50372,17.12889,16.22446,15.0656,14.51203,13.84503,,14.2465,14.33428,,12.05576,12.40564,
AUT,13.1816,13.13389,12.40884,12.23292,11.86203,11.62932,11.36314,11.02831,10.89398,10.82489,10.7043,10.71766,10.58415,10.30374,10.01653,,
AZE,15.26139,14.27144,13.44831,12.496,11.61559,11.29601,11.08342,11.04222,11.16445,11.92302,12.14857,12.62333,13.49787,15.48619,15.458,15.42982,
BDI,49.90569,51.24546,48.70398,54.18522,51.99833,,51.36121,50.6021,48.31143,47.10468,45.00022,43.65376,43.22109,49.66066,49.61434,42.52383,
BEL,,,11.4904,,,11.179,11.14094,11.03429,11.18924,11.20289,11.14292,11.23947,11.23127,11.30569,11.27695,,
BEN,62.1705,51.583,46.8289,43.62338,,44.55301,44.86809,46.3918,44.20067,44.14979,43.72854,45.92349,45.04478,41.63992,43.56977,39.19712,
