country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,113.902641296387,116.187538146973,116.397911071777,117.467498779297,119.884132385254,118.331169128418,120.840927124023,115.082893371582,106.697891235352,104.380500793457,116.108016967773,117.881591796875,115.888189738625,114.176291793313,,109.199996948242,109.697891235352,109.24609375,111.720100402832,104.667572021484,
AFG,96.5536804199219,106.252662658691,100.229690551758,103.932243347168,101.086456298828,103.413963317871,99.3697204589844,102.903442382812,100.290298461914,106.283401489258,107.695976257324,109.115516662598,106.182418823242,106.150283813477,106.129997253418,107.780532836914,110.007507324219,,,,
AGO,,,,,104.233329772949,111.10994720459,110.201789855957,111.87287902832,126.245147705078,,,,119.14225769043,107.026964874435,122.235166180926,88.5748689656161,,,88.8339920043945,86.7067961582083,
ALB,107.598258972168,104.131721496582,107.016143798828,105.477783203125,103.488441467285,100.383003234863,100.923736572266,99.8618316650391,101.580268859863,102.067359924316,101.474952697754,105.770576477051,105.688652038574,105.324783325195,105.414970397949,104.568023681641,102.589538574219,100.020973205566,97.1074981689453,96.3712310791016,93.7138137817383
AND,95.1090698242188,92.978630065918,84.2615509033203,84.4279937744141,86.8720626831055,89.4464416503906,90.2379989624023,90.1155624389648,89.0909118652344,88.1348724365234,87.6535186767578,88.2352905273438,88.9553527832031,90.1719436645508,89.3710708618164,89.6744766235352,89.352897644043,88.7170867919922,88.8840789794922,90.147346496582,97.6228637695312
ARE,117.259651184082,110.694122314453,105.719909667969,100.258071899414,97.2815780639648,,78.3093872070312,80.5201187133789,79.7749786376953,82.2291564941406,82.4103317260742,86.75390625,91.7827072143555,88.7415466308594,81.799201965332,,90.9360885620117,93.7939682006836,,,106.259948730469
ARG,114.676582336426,115.667877197266,114.744766235352,116.316131591797,117.350616455078,118.43701171875,118.401557922363,118.234718322754,117.463752746582,116.51634979248,114.509239196777,113.961883544922,113.778198242188,112.944267272949,111.681457519531,111.545608520508,111.36531829834,110.617813110352,110.156112670898,108.722412109375,
ARM,93.5719833374023,94.7377319335938,93.726318359375,95.9769287109375,106.073532104492,107.106376647949,105.322792053223,96.6795196533203,96.5201721191406,96.4941024780273,99.3458786010742,100.915573120117,102.382690429688,103.061706542969,101.619812011719,100.061309814453,97.3231430053711,96.6205673217773,93.8099975585938,92.9023818969727,93.8079528808594
ATG,,,,,115.968322753906,117.967552185059,117.42163848877,119.558059692383,116.570022583008,113.029838562012,112.632625994695,111.841667175293,109.831062316895,106.868642677458,109.164749145508,112.091682434082,112.122237257555,,,,
AUS,102.854759216309,103.302062988281,103.397911071777,103.562561035156,105.422981262207,105.24462890625,105.215629577637,105.488502502441,105.274879455566,105.669723510742,105.802581787109,105.461601257324,101.665489196777,101.180686950684,100.637657165527,100.398712158203,100.199699401855,99.9011077880859,99.9291534423828,99.1329879760742,
AUT,102.384437561035,102.736419677734,102.08748626709,102.310897827148,102.771659851074,102.266273498535,101.361312866211,100.835540771484,100.558326721191,100.335113525391,100.746078491211,100.970321655273,101.104393005371,100.428077697754,101.104568481445,101.370300292969,101.776290893555,101.560852050781,101.644119262695,100.77562713623,
AZE,96.2132415771484,97.2613296508789,95.526969909668,94.2166595458984,94.7712020874023,94.0724716186523,95.0685729980469,93.7622985839844,95.5736312866211,97.9553070068359,100.500450134277,106.05989074707,106.601486206055,106.431739807129,103.294097900391,99.7220993041992,97.9353485107422,98.2360687255859,97.7304992675781,99.8082962036133,101.979698181152
BDI,76.1811599731445,81.4659194946289,86.9328231811523,110.781700134277,124.006248474121,127.552742004395,135.512664794922,139.46711730957,140.372177124023,135.609924316406,130.219497680664,125.404472351074,120.036262512207,116.194183349609,111.118583679199,107.725219726562,104.938018798828,105.158096313477,,,
BEL,103.77693939209,103.039421081543,103.112442016602,102.793403625488,102.451301574707,102.265731811523,102.259460449219,102.236808776855,101.269889831543,101.520362854004,103.191062927246,103.104873657227,102.243827819824,102.055862426758,102.752861022949,102.500366210938,102.148559570312,102.064270019531,101.821136474609,102.176986694336,
BEN,96.3288879394531,100.354598999023,97.6395721435547,97.9188232421875,,110.888137817383,116.08260345459,117.383979797363,119.239990234375,123.163383483887,124.061050415039,124.522239685059,127.121139526367,125.554527282715,121.606216430664,117.116798400879,112.029891967773,109.148918151855,110.70588684082,113.04891204834,
BFA,47.7917098999023,52.4313697814941,56.9559211730957,60.6565017700195,66.1942977905273,71.7466125488281,76.2457580566406,76.8965606689453,80.1960678100586,82.4147720336914,83.6841430664062,84.8977890014648,85.4470291137695,87.6474685668945,89.7315216064453,91.7203674316406,89.9551162719727,87.8472290039062,87.1249923706055,82.3567962646484,72.3235702514648
BGD,,,99.953498840332,99.9751205444336,98.1889877319336,95.1065979003906,97.6258010864258,99.7353480605127,,,,,,,109.125360305532,112.427695363555,,118.429237365723,115.448180712787,117.659457498739,111.595384386687
BGR,111.694488525391,111.75122833252,110.920433044434,108.823188781738,106.104972839355,104.157562255859,102.061912536621,101.400619506836,101.120269775391,100.363082885742,98.7911834716797,99.2496109008789,99.1272201538086,98.0771636962891,97.5942993164062,96.7923202514648,96.4398803710938,96.5437622070312,95.6110992431641,95.8885192871094,
BHR,94.4737396240234,94.7030868530273,94.840087890625,101.590881347656,,,,,96.224967956543,99.5238571166992,105.874481201172,105.241493225098,102.214332580566,102.698867797852,100.925018310547,98.7649765014648,98.0046920776367,,,92.3441925048828,93.7412872314453
BHS,,89.5015029907227,93.8854064941406,91.7428588867188,95.1187591552734,94.086540222168,88.5955276489258,85.5779190063477,91.7459716796875,86.7748336791992,79.9269714355469,80.436882019043,,,,,,,93.8210525512695,,77.9319305419922
BIH,,,,,110.146438598633,107.445472717285,108.244560241699,88.5761795043945,88.9700088500977,89.0230484008789,88.8709106445312,89.467658996582,91.1704864501953,90.997673034668,91.3840866088867,90.6376724243164,90.1631317138672,88.8544692993164,88.2447814941406,87.8222198486328,87.2372436523438
BLR,104.92317199707,103.449501037598,101.108100891113,99.3765563964844,97.7906723022461,97.4913024902344,98.1668395996094,97.6069869995117,96.9309768676758,95.8345794677734,94.9301605224609,95.1305313110352,96.0522003173828,97.3474578857422,97.40283203125,96.7058029174805,95.6502075195312,94.4190673828125,94.5295486450195,94.7119674682617,94.7357864379883
BLZ,117.999946594238,119.636672973633,119.476409912109,119.14533996582,117.114227294922,114.764373779297,114.128028869629,112.668518066406,112.076461791992,115.074172973633,113.438339233398,112.721199035645,113.607513427734,115.647926330566,114.81812286377,113.662620544434,112.805587768555,110.308288574219,105.283950805664,99.9364624023438,96.9522933959961
BMU,108.205810546875,108.33332824707,108.181823730469,107.24437713623,,,,108.885101318359,107.73233795166,106.142997741699,104.992362976074,104.431991577148,105.57536315918,104.325569490658,101.281065846785,98.2934284258788,94.0862944162437,90.4895461499235,87.7107818088912,85.4245880861851,86.3020706176758
BOL,116.677192687988,115.955810546875,115.199371337891,113.561637878418,112.767723083496,111.650062561035,108.031242370605,105.487678527832,101.712623596191,99.2259063720703,97.7157592773438,96.2360534667969,95.8293914794922,96.1937713623047,97.0588989257812,97.7159881591797,98.238639831543,98.6972885131836,98.8565673828125,99.5986480712891,98.9345397949219
BRA,,,,,,,,,,104.7822265625,109.945137023926,110.316459655762,109.152183532715,108.757843017578,109.80850982666,108.623291015625,107.407470703125,105.498199462891,103.4716796875,103.970321655273,
BRB,103.013526916504,101.127822875977,100.565002441406,101.043678283691,100.561050415039,101.043647766113,100.295677185059,100.145851135254,100.810638427734,,,96.8126907348633,96.3370819091797,97.0370712280273,96.8223114013672,97.6479110717773,98.8424072265625,99.529296875,98.1502075195312,95.5793075561523,93.4459228515625
BRN,106.533660888672,107.64981842041,107.534820556641,108.030937194824,107.867378234863,106.228958129883,105.583908081055,104.968899862305,103.95630139606,103.402989406472,103.359363489023,102.229854163556,101.666037498427,102.450446801509,100.113736888664,99.0000502487312,97.6141311108347,97.5303175657393,96.2353284955925,94.5624818507405,93.4857364265995
BTN,86.2471237182617,89.6812591552734,92.7624130249023,97.1489715576172,101.165946960449,104.593849182129,109.032806396484,111.82495880127,113.172569274902,112.417518615723,106.14119720459,104.005027770996,102.483356556743,100.943069458008,99.7384333534538,99.2878657487091,97.9621638115165,103.800831156233,103.032884208353,106.082127409623,
BWA,105.01294708252,104.962112426758,105.352920532227,105.866920471191,104.853553771973,104.299697875977,104.584953308105,,,101.333695422588,100.564829737842,97.7604713332212,97.9927597045898,,,,,,93.7229537963867,96.9256945502565,
CAF,60.6617584228516,52.0010986328125,57.7481918334961,57.3033485412598,66.1976470947266,76.476432800293,78.0168533325195,79.885383605957,79.5864410400391,79.6397705078125,,,,89.8505020141602,110.711418726824,,,,,,
CAN,,99.4190063476562,98.5796737670898,99.7602920532227,99.5356979370117,98.5952835083008,99.5911026000977,99.1202697753906,98.5558700561523,99.4407119750977,99.3510589599609,99.4990463256836,99.8411407470703,98.5470275878906,98.7742080688477,99.0210189819336,97.7884292602539,97.7384185791016,96.293083190918,96.0115737915039,
