country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,100.26954,97.97023,104.25824,107.32394,104.14286,104.92754,105.43319,100.59084,,,113.21321,108.88554,,,,,
AFG,145.41959,,87.24497,,74.02942,,84.41596,91.0462,95.58944,101.38488,96.46611,92.19567,87.5875,,,90.44738,
AGO,,,,,,126.30957,123.94696,122.83605,120.47758,,,,,,,,
ALB,100.24219,97.8321,97.54111,94.56109,98.19055,100.22164,84.64284,99.9652,98.59591,103.59897,108.28843,109.80566,111.83151,112.15617,112.06482,111.1671,
ARE,,,,,106.51431,,,,,105.30311,101.37784,104.96148,97.08431,,,,
ARG,109.72206,109.02086,107.99802,109.04334,107.32327,105.61604,106.97319,106.08746,106.92857,103.87017,101.86259,101.99497,105.02833,106.07442,106.03708,,
ARM,93.05187,94.02489,102.21124,107.71846,,100.1584,101.58598,105.49256,103.1168,100.83944,96.96201,96.82875,96.11416,97.78775,96.50902,92.50577,
ATG,,,,,111.54401,108.28488,104.41826,,107.08783,97.55352,,110.53412,112.35294,,95.05095,99.57082,
AUT,,101.21564,,,,,,,97.68527,98.93467,98.18161,97.99521,98.14376,99.22767,101.07732,,
AZE,90.85901,96.65539,85.6781,85.40494,90.51734,95.00388,93.52972,88.34544,98.17106,102.30475,110.11192,110.58538,101.66019,104.18837,102.28571,94.871,
BDI,73.8553,82.86054,81.59473,167.03651,140.54064,123.61787,125.49434,131.68281,133.97347,129.51239,128.88378,131.83989,137.4657,138.89483,125.00741,127.02607,
BEL,,97.23276,,98.01692,99.39685,96.64191,94.80501,96.64809,98.21292,97.28215,99.94111,98.5628,99.08476,98.47758,98.36288,,
BEN,92.38007,97.91551,100.37305,113.27211,,151.00665,,142.03888,140.14543,150.55762,149.74043,152.596,157.95207,155.48541,146.31718,143.51042,
BFA,49.10153,66.03634,68.46562,69.14674,77.43007,86.00839,81.47572,87.21232,87.92227,89.94089,92.75426,96.8213,102.0643,103.40907,106.10846,108.13255,
BGD,,,124.86697,125.75152,107.27446,108.93593,114.14046,117.22117,130.03518,,126.46843,,116.85365,106.04715,105.79181,109.285,
BGR,105.40104,104.97617,97.27837,105.53386,118.13941,115.81082,104.90311,101.749,100.553,98.72813,95.96103,94.80501,91.44641,89.8141,91.35652,,
BHR,91.74922,90.14143,90.00672,96.26337,,87.30398,90.07312,97.78295,98.249,95.85038,95.60726,97.60723,100.37405,101.52766,96.36419,89.51348,
