country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,100.39578,105.31915,97.83784,99.44675,106.41562,105.62588,98.86846,101.69731,,,103.72493,113.00578,,,,,
AFG,228.14938,,132.9678,,109.74353,,119.83002,126.01858,128.28115,131.9785,135.51959,131.42271,128.48692,,,130.19382,
AGO,,,,,,148.62822,147.60201,153.37827,193.41727,,,,,,,,
ALB,97.96454,95.79639,97.42061,95.1472,96.78653,99.76732,88.21865,96.42998,97.06825,100.20248,105.53005,105.76165,110.29387,106.79031,111.01502,107.25466,
ARE,,,,,106.37198,,,,,104.19579,100.18217,104.39267,98.28109,,,,
ARG,106.48515,106.08572,105.37281,106.65662,104.96647,103.74935,105.26675,104.91168,105.34315,102.65506,101.59687,102.81287,105.99185,106.77308,106.36393,,
ARM,92.49686,91.38771,100.69396,104.0373,,97.35666,97.62086,104.26625,103.447,98.93369,95.10405,95.02113,96.08285,97.86932,95.88667,91.35214,
ATG,,,,,118.65358,113.96333,99.85694,,105.69715,99.40565,,119.97106,116.33238,,96.87943,97.49652,
AUT,,101.5985,,,,,,,97.90298,99.62462,98.65956,97.56554,99.42133,98.86347,100.93894,,
AZE,94.38698,101.5614,94.07818,96.09134,90.30116,95.06761,95.22881,90.52027,99.6053,105.04427,113.8334,110.25872,100.89099,104.40557,101.17666,94.83458,
BDI,85.85253,91.54917,88.72248,167.42605,147.87648,130.4881,130.68487,136.03075,136.68204,133.67224,130.83411,133.24319,140.41274,140.11878,127.73903,129.07338,
BEL,,95.84824,,96.40862,98.00776,94.83866,93.61508,94.75959,96.43013,95.81548,98.25486,97.20071,98.10329,97.18425,96.72237,,
BEN,113.73999,116.98027,114.01886,128.06654,,165.94578,,151.04047,152.7596,161.64856,160.03881,162.09712,165.86245,161.80362,153.42447,150.23122,
BFA,65.04788,75.64735,80.92553,81.58709,88.18197,93.76374,87.64244,93.04386,93.31308,95.82937,98.34788,104.24473,108.6318,109.57798,111.70716,113.96378,
BGD,,,120.23848,121.6297,104.79625,106.48229,109.25808,114.32137,130.87991,,125.10199,,116.69252,101.88656,96.36066,101.94605,
BGR,105.47109,107.16262,99.53664,105.60128,117.09047,114.94279,105.04785,102.67787,100.30167,99.59464,96.65345,96.24042,92.96636,90.57892,90.64485,,
BHR,87.74974,88.3329,86.49351,89.99533,,85.85265,88.86591,94.07902,95.80347,95.54439,93.63965,99.65446,102.6612,102.99528,97.59457,88.81982,
BHS,,101.44642,102.77687,102.62232,107.09265,105.53423,99.16747,86.35783,92.62425,88.13828,85.12397,84.26428,86.14244,81.82714,83.00034,82.75255,
BLR,99.75952,97.9846,100.10624,105.98091,107.7623,109.30704,104.16229,100.04713,98.91388,97.85873,97.68287,101.18673,102.92758,106.64436,98.26677,94.02399,
BLZ,99.0461,101.6671,105.54273,111.18987,109.83565,107.51899,103.24544,104.66295,102.06601,104.25856,105.39918,104.86039,107.47785,103.52021,103.92514,99.27705,
BMU,106.06796,,,,,,,100.27174,102.77008,99.15254,96.26437,,75.60241,,,,
BOL,122.5292,124.55234,125.24212,125.31422,124.0654,116.20498,96.73226,90.50245,88.00003,92.16413,94.30229,93.55185,94.92202,95.96797,100.28159,99.41076,
BRA,,121.60334,,,,,,,,,,,,,,,
