country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,93.9307,94.63489,97.80506,98.6384,98.86144,99.05832,95.89151,98.91975,,,,99.23471,,,,,
AGO,,,,,,75.37373,74.65254,75.80242,78.02393,,,,,,,,
ALB,91.69871,90.92345,,,,86.78701,85.34118,85.95611,86.99052,89.53195,91.90565,93.78369,94.17835,94.05692,95.53947,94.52966,
ARE,,,,,86.66614,,,,,86.53352,85.55659,90.21069,93.73636,94.55178,95.02753,,
ARG,98.87379,98.57855,98.81425,98.85437,99.13952,99.13278,99.09709,98.7319,98.91685,99.05122,99.11341,99.44461,99.49576,99.10172,99.184,,
ARM,82.67607,,81.05196,83.44942,87.87505,,,,95.15386,96.41176,95.00256,93.76733,92.69541,92.23963,91.94625,90.72273,
ATG,,,,,97.35554,96.64587,95.5628,95.1015,95.53796,94.10914,,91.88907,94.16545,,94.19429,95.69547,
AUS,94.8527,95.2255,95.50656,95.63832,96.41764,96.53968,96.68084,96.98847,97.57037,97.88079,97.38938,97.04009,96.9821,96.65012,96.38096,,
AUT,87.47243,87.70025,87.83857,88.24542,88.16804,87.76118,87.44103,87.36683,87.15916,88.39229,88.38265,88.70387,88.59448,88.84197,88.61718,,
AZE,83.28454,84.21228,83.86862,83.15377,83.3748,83.88997,85.17391,84.44645,86.61261,89.10507,93.50729,94.6666,94.14265,94.92858,93.7475,92.42467,
BDI,52.81008,54.41122,57.65405,74.35688,81.83963,92.38812,90.49009,95.37413,,,,,,,94.87551,92.8047,
BEL,97.71071,96.10918,95.74554,96.05934,96.98175,97.56414,97.482,97.25467,97.38063,97.69174,97.70043,97.64411,98.06739,98.29369,98.76482,,
BEN,83.4165,86.69745,81.92453,84.66898,,90.1357,94.2321,94.92278,94.8091,95.50633,,96.36058,,,97.03352,97.21103,
BFA,38.65198,41.14892,45.7476,48.74733,54.03414,59.9701,62.7928,59.91302,64.89106,65.68288,66.59063,67.7983,69.38962,75.20863,76.42387,78.64517,
BGD,,,93.68999,93.43051,,92.56719,92.54123,90.53203,,,,,,,,,
BGR,94.307,95.46767,94.18482,95.18675,97.78147,98.04598,97.74258,97.95684,97.97584,95.726,93.90701,92.61403,90.40649,87.58166,86.4454,,
BHR,92.38448,91.59966,89.10805,90.50941,,,,,90.22637,91.19673,92.26165,94.30002,96.45648,96.26462,97.27864,96.71489,
BHS,,88.80686,90.23928,86.01952,86.93278,85.77192,81.81508,80.42244,85.58313,79.93012,74.72864,75.44279,79.81499,75.35743,,74.22717,
BLR,93.07121,91.53975,89.60983,89.71155,89.59185,,,91.05012,90.70014,93.98101,93.23412,93.11386,93.96598,96.08237,95.61727,94.92861,
BLZ,92.11363,93.30201,92.96664,93.62886,93.3871,93.81454,94.92075,95.41596,95.14914,96.65387,95.743,96.35903,96.20372,96.11602,96.18248,95.94237,
BMU,,,96.99323,,,,,,93.46006,92.71386,,,,,,,
BOL,95.2292,94.82356,94.96596,95.07125,94.89489,94.08623,93.52178,90.89746,88.24213,86.63318,86.31707,86.31873,87.3167,88.81425,90.87779,92.85137,
BRA,93.17962,94.42334,94.85334,,91.58906,97.54903,95.52765,,95.00738,98.0755,93.76937,94.84088,94.73055,95.47144,96.29925,,
BRB,91.5808,90.45634,90.23547,92.05669,94.74497,96.7412,93.71878,94.95407,93.44599,,,92.54496,93.76577,95.42938,94.99257,96.69287,
BRN,,,,,,,93.18006,,,92.69992,93.51439,92.53427,92.48465,93.75145,93.53285,93.14673,
BTN,,,69.57875,73.53461,,79.444,84.17788,86.28016,87.89042,90.24338,88.33726,,88.17317,87.5304,87.42576,88.02597,
BWA,87.47464,88.40905,87.65819,88.6352,87.27144,85.99029,85.5554,,,87.75564,88.02718,87.65678,,,,,
CAF,,,47.50865,47.71847,55.57831,63.99067,64.03461,65.95599,63.8246,66.29549,,,,,,,
CAN,,,,,,,,,,99.45167,99.43231,99.39113,99.58907,99.95587,99.8825,,
CHE,94.93663,94.779,93.7217,93.28557,93.25728,93.90496,94.03709,93.96341,93.86312,93.70195,93.6342,93.77291,93.31881,93.53763,93.19583,,
CHL,,,,,95.39165,95.90266,94.26372,95.45718,94.8,94.51162,93.65419,93.42186,93.43477,94.0068,94.74067,,
CIV,56.0829,,,,,,55.83834,,,,66.9161,72.34108,76.73595,83.16992,85.57232,90.32837,
CMR,,,,,,83.07519,85.56531,,88.72421,91.38752,,91.7001,92.07438,94.493,92.87395,,
COG,,,51.82475,55.27637,,,,86.245,,87.88284,,,,,,,
COL,,92.72557,94.1217,92.67949,91.89814,92.72779,92.9001,91.85368,91.81058,90.2152,90.20282,90.46317,91.9363,92.99662,93.13491,92.91999,
COM,,,,,79.17413,,,,,,84.62552,80.85214,,,79.83747,80.75383,
CPV,95.57941,94.56666,95.31446,96.31027,96.65032,96.15012,95.43499,94.47048,93.2143,93.65455,93.09431,93.20062,93.24357,92.59373,92.86236,93.42191,
CRI,,,,,,,,,98.39715,98.48145,97.84257,96.98747,97.60783,98.18412,96.34224,97.33255,
CUB,97.33076,97.43389,96.63556,95.8703,96.46826,96.27754,97.87644,98.55296,98.54931,97.81573,97.78205,94.98571,93.98312,94.46077,95.57823,97.73994,
CYP,96.14328,96.11749,99.34591,99.21867,99.04305,98.70243,98.74389,98.96982,98.719,97.9124,97.29695,96.91133,97.36852,96.72966,97.49342,,
CZE,,,,,89.22317,88.6485,88.92463,88.90289,88.00827,88.24667,87.95611,88.11683,88.69066,88.79724,89.3503,,
DEU,84.99832,86.23536,87.00548,88.30855,88.72921,88.31105,88.027,88.84321,88.51651,88.29428,87.93699,87.89669,89.23147,90.41737,90.14286,,
DJI,,34.67098,36.13749,39.33961,42.162,48.01862,47.87648,,58.16695,,58.87689,61.38047,60.7187,57.24558,59.96016,61.80335,66.48037
DMA,88.03911,84.56946,83.42215,81.8969,83.08997,83.93383,87.39084,,95.64645,,,,,95.42178,,,
DNK,,97.74303,95.6588,95.9751,96.55403,95.95982,95.99777,95.89593,97.48009,97.95569,98.33161,98.03298,98.37249,98.69361,98.53748,,
DOM,89.83362,82.90168,84.25703,81.78003,87.68849,84.02008,89.54384,91.87024,91.88699,91.01404,90.84502,89.28355,93.52992,93.32844,92.87434,92.71356,
DZA,92.40589,92.86403,93.09766,93.20169,95.24939,96.36304,97.44184,97.23353,97.5945,97.31376,,,97.54838,97.5908,97.5883,97.63517,
ECU,97.01792,,95.95781,95.93721,96.72017,94.52771,92.34961,92.62287,91.98807,91.67788,91.50564,91.35484,91.6503,91.66046,91.64154,90.94167,
EGY,89.50439,90.66548,89.13222,88.2461,92.40917,,93.55801,95.94726,93.51389,98.53698,,98.0269,,97.45606,97.02531,97.03257,
ERI,72.44337,77.97488,82.46788,83.71832,77.29299,72.48675,67.39935,62.77906,65.78386,67.71657,64.40639,63.25635,59.76386,,51.75237,51.45515,
ESP,99.85653,99.73118,99.65855,99.71458,99.82284,99.82827,99.77222,99.71354,99.73417,99.69626,99.55937,99.47472,99.39278,98.78967,97.27171,,
EST,94.52595,93.9248,93.81157,93.00778,94.47473,94.11625,93.78504,96.75183,97.38176,97.40301,96.16833,94.15752,93.48484,93.48397,93.68129,,
ETH,46.78406,49.57821,60.38556,65.01391,70.07064,75.77882,75.36213,73.35168,77.23446,78.49475,,85.10069,84.62346,,,,
FIN,98.52116,97.57685,97.1783,96.6628,97.26075,97.71417,97.87074,98.21163,98.48757,99.0129,99.03438,99.36498,99.11706,99.05594,98.62944,,
FJI,99.36104,96.70622,,99.12584,96.31323,96.8042,96.73256,,96.74118,96.97145,97.10737,,98.72797,96.76212,,,
FRA,95.19437,95.15357,98.55515,98.57178,98.49684,98.06303,97.70589,97.35002,98.37009,98.27769,98.30237,97.56809,98.43569,98.82171,98.92727,,
FSM,,,,,,,,,,,,86.23183,85.45699,,,,
GBR,99.90834,98.13312,98.78009,98.42751,96.53232,98.63343,97.88299,98.01015,98.11699,98.35876,99.72456,99.89948,99.93433,99.65208,99.49182,,
GEO,,93.55358,92.75616,91.67211,94.73061,98.30193,96.56654,,97.24953,98.51891,99.28296,99.10612,99.58342,97.8812,97.91476,96.43624,
GHA,59.57402,,63.70558,62.81248,68.15086,73.32313,72.36103,,80.58882,79.38927,84.93016,86.99201,89.28957,86.38027,85.1822,84.48045,86.15823
GIB,,,,,,,,,,,,,,99.70191,,,
GIN,58.66561,61.3667,62.90998,64.5528,66.27116,65.68297,66.88138,68.67825,72.46964,73.05369,74.10601,76.90338,,76.01588,,,
GMB,64.04565,64.76537,62.77374,67.29195,66.68337,64.00752,,63.27525,65.36207,67.57606,65.84188,68.70101,71.9013,73.64662,76.0989,76.81635,
GNB,,,,,,,,71.25324,,,,,,,,,
GNQ,65.84711,,,,,47.10148,45.87645,45.07741,45.20342,46.47964,,,43.48324,,,,
GRC,95.74776,96.728,95.79944,95.50275,95.31785,,,96.8096,96.95325,97.73128,97.49025,96.53303,97.32526,97.94221,98.22037,,
GRD,,96.28962,93.1893,,95.27801,93.64296,,,,,,,,,,95.86628,
GTM,,89.31913,90.80877,92.28846,93.29561,93.686,96.29742,95.20853,92.72544,89.87772,87.41445,85.56198,85.21609,84.59497,85.58408,86.88631,
GUY,91.33466,,,,,92.743,88.01357,91.70702,93.15013,93.09037,,,,,,,
HKG,,,,,,,,,,94.19961,93.79324,94.29161,93.80718,96.37164,95.72751,95.45476,
HND,85.74802,85.2252,82.83074,86.78015,81.51275,84.95118,84.14619,84.76193,85.94403,82.9426,79.47982,79.18979,77.96419,79.58265,80.09489,,
HRV,93.61944,,90.43858,90.07755,89.78888,88.02296,85.8984,85.81516,87.64469,89.14168,88.65935,88.74208,88.94188,87.6378,88.0407,,
HUN,88.63265,88.68183,89.3733,90.61516,89.72605,91.18075,91.91353,92.05381,91.45924,90.78135,90.77126,91.07825,91.23812,91.39837,90.83399,,
IDN,90.64128,89.73712,88.93075,91.79173,93.81578,93.13418,93.76106,94.22952,93.73808,92.85318,90.5756,90.00059,,92.77266,94.09782,93.4963,
IND,83.57377,,,,91.12498,90.8729,90.65366,90.95531,90.37191,91.57155,92.25734,,,,,,
IRL,94.8888,94.91075,94.81635,95.19238,95.33288,95.40736,95.46813,95.20748,97.52724,95.33033,95.2089,95.35688,95.75035,95.87164,95.78041,,
IRN,96.04654,97.76144,95.32962,95.87482,95.12881,,97.70461,96.5537,96.70394,97.93445,98.63946,99.52212,99.69128,99.70946,99.70291,,
IRQ,94.37695,92.99956,,,92.79598,,,,,,,,,,,,
ISL,98.20419,96.5557,96.76546,97.22027,98.03954,99.1549,99.6124,99.2208,98.72088,98.15848,98.03622,98.12777,98.56708,99.45437,99.83367,,
ISR,98.01712,97.5958,97.47827,97.00818,97.24211,97.2073,96.90787,97.04351,96.69502,97.30131,96.88277,96.71318,97.20197,96.73324,97.01884,,
ITA,98.44817,98.64055,98.408,98.39118,98.43845,98.24087,97.61927,97.63938,97.18455,97.42164,97.81952,97.13266,96.56912,96.00704,95.65574,,
JAM,89.77681,91.53535,,,,,,,,,,,84.96535,84.05713,82.51691,81.0188,
