country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,95.0455017089844,95.5102233886719,,94.6958084106445,87.9873733520508,97.2314834594727,,,,,99.6061096191406,,,,,,,85.2162322998047,,,
AGO,,,,,,25.7305793762207,26.8638496398926,,,,,,,,,,,,,,
ALB,91.2317504882812,,,95.3582534790039,93.3642578125,94.3882522583008,95.4425582885742,97.8855972290039,99.1443328857422,99.837272644043,99.1460571289062,96.3899307250977,89.0525665283203,93.6810913085938,93.2599334716797,88.6329116821289,90.0643081665039,92.0852432250977,91.8866500854492,85.7518463134766,
AND,,,,,,,,,,,70.3479537963867,,,70.1483688354492,,,,,,,
ARE,94.7961883544922,95.5428695678711,98.8541030883789,96.6822128295898,,,,84.3422393798828,,93.1748123168945,,,,,,,,,,,
ARG,92.8492126464844,85.6763687133789,93.1074905395508,94.3880233764648,96.0604095458984,92.9204788208008,93.8125686645508,93.1348571777344,95.1008834838867,94.1720581054688,96.1908187866211,95.5563735961914,97.9065628051758,94.1917495727539,94.4696273803711,93.861930847168,95.5229263305664,96.7330322265625,95.2829284667969,,
ARM,96.4129486083984,98.7371215820312,98.1034164428711,97.3562088012695,,,97.7626571655273,95.9883804321289,94.2667617797852,,90.3983383178711,98.5752410888672,94.4957122802734,93.0271835327148,93.6105499267578,97.1190338134766,99.3325119018555,99.7721786499023,98.0104370117188,98.7530364990234,
AUT,99.2590026855469,,,,,,,100.0,100.0,100.0,99.820198059082,99.8797836303711,99.5886383056641,,99.7342987060547,99.7970733642578,99.7817001342773,99.7893295288086,99.3888931274414,,
AZE,99.8637237548828,98.1150512695312,93.5922622680664,99.9189224243164,98.4449081420898,96.6606063842773,97.5028610229492,95.6248016357422,98.8641662597656,97.5897216796875,99.9072036743164,95.0935592651367,98.8409118652344,98.3855667114258,,96.7610473632812,93.1676330566406,,98.361213684082,98.6767120361328,
BDI,57.761848449707,65.5174102783203,,68.4529800415039,63.8943786621094,,61.0761299133301,54.4852485656738,47.2705383300781,50.9612998962402,59.0685615539551,48.306999206543,47.6685905456543,46.0094184875488,47.3229293823242,47.5691413879395,53.7120399475098,,,,
BEN,63.3102798461914,,,,,,51.3523712158203,52.9566497802734,57.7763786315918,51.5382804870605,52.3281593322754,55.7402610778809,46.3418884277344,,,32.5001602172852,37.5757789611816,53.2162017822266,54.3765907287598,,
BFA,71.3195419311523,70.1614303588867,66.1808624267578,73.8424530029297,70.6811294555664,71.5386276245117,66.5994415283203,,72.7853775024414,74.5708618164062,74.631103515625,70.701171875,73.9205932617188,70.9876403808594,73.6684875488281,62.0553894042969,61.1442909240723,69.5299987792969,52.7968215942383,36.0481910705566,
BGD,,,,,,66.0710296630859,70.6372375488281,,,,,,,,,,,,,,
BGR,94.252799987793,93.2094573974609,94.6079330444336,94.345817565918,94.1452178955078,93.5460586547852,97.1029510498047,96.450309753418,96.378547668457,95.7928771972656,98.2072677612305,96.1510314941406,93.4129791259766,94.5932998657227,96.2631607055664,95.6638488769531,96.0557632446289,97.1132965087891,96.8147506713867,,
BHR,98.6960830688477,96.9109573364258,,,,,,,96.5091018676758,,,,99.1384963989258,97.7678909301758,96.2004165649414,97.3610382080078,,,,99.8327178955078,
BHS,,,84.3010177612305,,91.968147277832,87.418098449707,87.7150421142578,,74.918586730957,64.5975036621094,,,,,,,,,,,
BIH,,,,,,,98.4148788452148,79.9998931884766,83.6339492797852,82.7265777587891,86.6294097900391,97.6205825805664,94.4909820556641,98.083869934082,95.3548431396484,94.4012832641602,94.0228118896484,95.4363632202148,94.0595321655273,98.0371932983398,
BLR,,98.3248901367188,100.0,99.2626266479492,100.0,,,99.6074066162109,99.3375701904297,98.2632827758789,98.1811294555664,98.6009979248047,99.5791702270508,97.6082382202148,98.7380065917969,98.0769577026367,98.5257720947266,98.7800216674805,91.7450637817383,98.1519622802734,
BLZ,,,92.6188507080078,86.117073059082,90.0095672607422,96.1940307617188,91.4336166381836,88.752082824707,,91.367073059082,93.5308532714844,99.7655181884766,,95.4157867431641,96.158447265625,,88.3167114257812,96.7825164794922,,87.6006164550781,
BOL,,,,,,,84.5791320800781,87.0322875976562,90.4737701416016,97.0481872558594,95.5637664794922,96.9910202026367,97.3735885620117,95.6119689941406,96.3788986206055,98.5140914916992,97.2203216552734,,97.3531112670898,97.0146713256836,
BRB,97.7058563232422,,,,,,,,,,,,,,,,,97.4488906860352,97.3139724731445,,
BRN,95.125358581543,97.0050506591797,96.8326568603516,96.9189224243164,96.1823196411133,,96.3272323608398,,95.1027526855469,,,,,92.3037719726562,,93.7081069946289,97.6489410400391,,,,
BTN,,,87.7407302856445,,,94.8598327636719,91.6940231323242,93.4257888793945,98.6957473754883,,,,,93.1040878295898,,,,,,,
BWA,87.5813522338867,87.9032669067383,88.8639297485352,,,94.6768264770508,,,,95.3852233886719,,,,,,,,,,,
CAF,,,,,,40.6962585449219,38.8664512634277,43.9173393249512,45.3539199829102,,,,,,,,,,,,
CHE,,,,,,,,,,,,,,99.616813659668,99.8937911987305,99.6182708740234,99.2301330566406,99.5588684082031,99.8011703491211,,
CHL,,,,,,,,97.6268997192383,99.3583984375,,99.9510498046875,99.9473571777344,100.0,99.9019088745117,99.602180480957,99.971061706543,98.4065399169922,99.0921325683594,,,
CHN,,,,,,,,,,,,,,,,,96.6628570556641,96.711051940918,,,
CIV,,,,66.5254821777344,,59.3737182617188,,,79.3766021728516,71.3335189819336,69.356201171875,80.4575881958008,80.9007797241211,,,,78.5026321411133,72.4674072265625,68.0912704467773,,
CMR,,,,60.5247611999512,56.0954399108887,69.0040283203125,65.3839492797852,57.2767486572266,70.449836730957,,,67.071418762207,57.4007987976074,41.2615585327148,38.3605690002441,64.2412719726562,,,68.2769165039062,66.9485931396484,
COD,,,,,73.205078125,,51.1329917907715,48.5172309875488,65.840202331543,55.0146903991699,,60.5060005187988,,,,,,73.9979629516602,,,
COG,,,,,70.5366134643555,,,,,,,,,,,,,,,,
COL,,83.6438522338867,84.7549514770508,89.2309494018555,,,85.1106033325195,87.1127395629883,87.0392990112305,71.2388229370117,86.0768432617188,90.9490585327148,92.2972030639648,93.9779815673828,94.9148178100586,97.4035491943359,97.5060424804688,97.6595230102539,92.941520690918,,
COM,,,,,,,,,,,78.0298233032227,,,,,,,,,,
CPV,89.2205810546875,,90.1569366455078,,86.9853210449219,,,89.0823822021484,,93.4926528930664,92.291633605957,89.5074081420898,91.0121231079102,,,,88.7852401733398,96.9170913696289,,,
CRI,,86.5210037231445,91.6470184326172,85.6359329223633,95.578742980957,95.6090927124023,90.0318832397461,92.513801574707,89.7123489379883,89.3440322875977,91.3585968017578,94.5796127319336,96.6131362915039,,,,,97.8667221069336,,,
CUB,96.2144622802734,97.7342071533203,97.9382019042969,97.1363983154297,97.0254592895508,95.4868392944336,96.1380310058594,96.0841674804688,97.5995178222656,96.9449691772461,97.0842895507812,94.8594818115234,96.4079132080078,95.7601776123047,97.111930847168,97.1551208496094,96.4755935668945,97.6848297119141,94.8800964355469,88.6564712524414,
CYP,97.2535781860352,97.713752746582,99.6594696044922,98.7766571044922,96.7720794677734,,,,,95.9889526367188,91.7763900756836,97.0143966674805,98.5925827026367,99.0222778320312,,,99.1409606933594,96.0702896118164,100.0,,
CZE,98.5865936279297,98.6810607910156,99.200309753418,98.5425567626953,98.8530120849609,99.7981414794922,99.0694808959961,99.2305221557617,99.3824615478516,99.4706192016602,99.3900604248047,99.5439987182617,99.5616836547852,99.5530395507812,99.4745178222656,99.5491714477539,99.5705337524414,99.6010589599609,99.5646133422852,,
DEU,99.3512191772461,99.3466415405273,98.4170608520508,97.9865112304688,96.0884628295898,,96.7848281860352,96.9556274414062,,96.264518737793,,,,,,,,,,,
DJI,,,,,,,,,,70.7839279174805,,,,,,,88.4726104736328,88.3077697753906,85.5839309692383,74.0282669067383,
DMA,80.1733627319336,,,84.8222808837891,88.6007080078125,,90.3862991333008,95.975959777832,85.9106521606445,,,77.4446029663086,,,,,,,90.7855834960938,,
DNK,,91.2135391235352,,,98.775032043457,99.5116500854492,99.1679916381836,,,98.8132934570312,99.4870376586914,99.9362716674805,,,99.8143692016602,99.8168563842773,99.8524017333984,99.7070693969727,99.3080215454102,,
DOM,,,,,,,,,82.6785736083984,95.5005569458008,80.7603302001953,,86.1366729736328,80.8602523803711,81.6982192993164,94.2157135009766,86.8427963256836,59.842960357666,,95.8232803344727,
DZA,95.4218215942383,95.1296615600586,92.1704711914062,94.6823425292969,94.6923904418945,,97.1044387817383,95.1325531005859,94.5527801513672,97.6710510253906,94.5389404296875,94.6390228271484,94.0604400634766,95.9844665527344,97.2509994506836,91.8907470703125,,87.7981491088867,93.4629135131836,,92.9309768676758
ECU,73.2322463989258,76.6571807861328,76.2162704467773,82.0443572998047,,91.776008605957,91.3345108032227,96.5195236206055,86.9813232421875,93.5975570678711,,82.9118881225586,91.4972305297852,91.6867523193359,98.7291793823242,96.6799774169922,95.3143005371094,97.4303970336914,99.8153228759766,86.0724716186523,
EGY,98.9686889648438,,94.2490692138672,,,,96.6294631958008,,,,,,,97.0382766723633,,99.52294921875,99.9692535400391,100.0,,,
ERI,73.4141693115234,74.1343612670898,69.5937576293945,60.9776802062988,68.6332168579102,71.9647216796875,66.8827285766602,87.8957672119141,83.9051818847656,77.1157531738281,,74.4133834838867,,,79.7799301147461,,,,,,
ESP,,,99.2837905883789,,,99.9977416992188,,97.4185333251953,96.5746383666992,95.8031387329102,96.6376113891602,97.5837020874023,99.3617630004883,99.9814605712891,100.0,99.9479598999023,99.7720336914062,100.0,99.9311599731445,,
EST,98.0467987060547,98.7533111572266,96.9386215209961,96.7318878173828,97.5249633789062,98.6017990112305,97.6327209472656,97.1826782226562,96.5749130249023,96.4572296142578,97.6277923583984,98.3199462890625,99.0446166992188,99.4003829956055,99.5791015625,99.6889801025391,99.6509780883789,99.6400299072266,99.7968978881836,,
ETH,47.364429473877,63.2790412902832,64.9346466064453,59.1562690734863,45.6092185974121,41.3681602478027,37.528881072998,41.6307601928711,39.6148414611816,,,39.287281036377,,,,,,,,,
FIN,99.8477401733398,99.9979400634766,100.0,99.4560775756836,99.7967300415039,99.2776184082031,99.9114990234375,99.3671722412109,99.9836120605469,99.5574264526367,99.7701721191406,99.9605178833008,99.8962631225586,99.9812393188477,99.6458129882812,99.4460983276367,99.654411315918,99.9789123535156,99.1012878417969,,
