country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,93.462158203125,91.866081237793,,92.134147644043,84.975227355957,85.7763671875,,,,,92.3918914794922,,,,,,,86.0003280639648,,,
AGO,,,,,,29.2080898284912,36.5502700805664,,,,,,,,,,,,,,
ALB,88.7250289916992,,,92.6314086914062,93.5049591064453,93.189697265625,95.0656661987305,97.8377990722656,98.4688186645508,97.6190872192383,98.3262481689453,95.1202163696289,88.6568603515625,92.7326736450195,91.6376495361328,89.4171981811523,88.8719787597656,91.8126983642578,91.174186706543,86.1792984008789,
AND,,,,,,,,,,,70.979621887207,,,68.5560989379883,,,,,,,
ARE,93.3530502319336,94.9103012084961,97.0696411132812,96.6442337036133,,,,84.5492935180664,,90.8167037963867,,,,,,,,,,,
ARG,97.3456573486328,87.9300765991211,95.8808212280273,95.2816467285156,98.7339401245117,94.6034774780273,96.7308197021484,93.1193313598633,97.4299697875977,94.9498825073242,95.8035125732422,95.034538269043,97.0606994628906,93.8259963989258,93.9593963623047,93.8678131103516,93.3720092773438,96.2967300415039,96.0056381225586,,
ARM,96.182746887207,98.6285781860352,98.8852920532227,98.0146102905273,,,96.3007965087891,95.9867401123047,94.2086563110352,,90.0380401611328,99.9131011962891,94.889030456543,94.0771484375,95.165283203125,94.9649505615234,99.3733215332031,99.4658889770508,97.069450378418,98.2326431274414,
AUT,96.3429412841797,,,,,,,98.8585433959961,99.4888381958008,99.2395401000977,99.1884918212891,98.996208190918,99.519416809082,,99.4899826049805,99.7527618408203,99.458251953125,99.6307678222656,99.4730606079102,,
AZE,95.7805786132812,97.6339111328125,100.0,97.5796966552734,100.0,99.9936218261719,95.3796691894531,98.5988998413086,97.6041870117188,99.8637619018555,95.0528182983398,99.8544387817383,98.8605804443359,91.3973770141602,,94.8790893554688,97.3623123168945,,100.0,99.3640594482422,
BDI,58.0185890197754,60.7194404602051,,61.472339630127,55.9484100341797,,51.8393402099609,47.2584114074707,40.5271492004395,47.0520896911621,46.526798248291,40.8645782470703,41.0066986083984,40.4508018493652,40.2373008728027,38.5476684570312,45.7311592102051,,,,
BEN,64.8487701416016,,,,,,56.1278915405273,58.3122901916504,60.4824409484863,54.7155990600586,54.3069686889648,58.6498413085938,48.5324897766113,,,35.2528114318848,39.8841896057129,54.9436187744141,53.9010696411133,,
BFA,67.7354736328125,68.1308288574219,63.187198638916,70.6426620483398,67.6672973632812,70.8426208496094,61.226261138916,,65.6708068847656,64.3040237426758,64.8937530517578,62.2313499450684,64.1925735473633,60.8077507019043,64.4015274047852,50.449291229248,48.4816284179688,55.2993583679199,39.9423904418945,26.5304794311523,
BGD,,,,,,67.137939453125,61.9493408203125,,,,,,,,,,,,,,
BGR,93.1124420166016,91.3640823364258,95.058723449707,93.9209899902344,93.2598495483398,93.9973220825195,97.6165008544922,96.8138275146484,97.466438293457,96.1876525878906,97.5040893554688,96.0867309570312,93.568359375,94.3584823608398,96.4478302001953,96.0066528320312,95.6237411499023,97.9377136230469,98.5739898681641,,
