country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,7.53843,7.32007,7.93138,7.67107,7.5194,6.42107,5.58197,6.47303,,,7.18803,6.30288,,,,,
AFG,,,,,,,,,,,,,,3.4347,3.5128,3.80515,
AGO,,,,,,9.70141,11.66698,11.69095,12.92893,,,,,,,,
ALB,2.39117,1.77669,,,0.91766,0.9324,1.09076,0.81278,0.72451,0.66712,0.61851,0.60685,0.68174,0.62244,0.76162,0.68867,
AND,0.0,0.0,0.0,0.0,2.53589,2.16981,1.92669,2.33,1.7673,1.85376,1.51278,0.83551,1.11845,0.9009,1.02489,0.72499,
ARE,2.05899,1.80857,1.52612,1.6504,1.70542,,1.93083,1.89932,0.0,0.0,0.0,0.16059,0.15269,,,,
ARG,5.14743,5.17328,5.1487,5.31301,4.86911,4.59795,4.11543,3.74523,3.29909,2.91881,2.28328,1.71375,1.59519,1.86174,3.15431,,
ARM,0.07885,0.11366,0.14923,0.23408,0.17435,0.11589,0.21069,0.16155,0.12231,0.17797,,0.21283,0.4485,0.79167,0.28835,0.31262,
ATG,,,,,1.69671,4.11965,6.66055,5.66923,4.09662,2.40079,,1.8999,2.33081,,1.41538,1.04397,
AUT,,1.07381,,,,,,,2.13987,2.12738,2.25572,2.34599,2.39619,2.51677,2.59597,,
AZE,0.28601,0.2539,0.29312,0.27657,0.23805,0.26678,0.25615,0.23877,0.2775,0.23848,0.23481,0.16854,0.1427,0.13205,0.05964,0.1251,
BDI,26.87673,30.59001,30.40725,28.43093,32.4476,34.0314,32.34222,33.87014,36.4578,33.34053,29.09918,23.93475,22.22314,21.06996,22.9761,24.33103,
BEL,,,,3.05424,3.06667,3.27374,3.19861,3.17225,3.06503,2.89847,2.53154,2.40586,2.39951,2.19315,2.12826,,
BEN,19.96873,23.16275,16.90916,,,14.32989,,13.31692,10.75174,11.55756,11.17641,10.6494,10.40016,9.57495,,14.79478,
BFA,15.1996,12.83979,11.73499,11.83553,11.70836,10.45402,10.58407,10.12688,,8.23129,7.50961,7.00582,5.63801,5.63816,6.34707,5.63368,
BGD,,,10.09126,10.70389,,12.93843,12.6966,12.27985,,,,,,,4.45949,3.77704,
BGR,1.90063,1.83836,1.98032,1.9583,1.76037,1.47006,1.24347,0.50078,0.18141,0.13946,0.10367,0.07273,0.09488,0.06634,0.07254,,
BHR,,2.71285,2.26707,2.31469,,,,,1.07732,0.90695,0.97308,0.63364,0.64278,0.49696,0.37536,0.35806,
BHS,,0.0,0.0,0.0,0.0,0.0,0.0,2.66065,2.85445,2.56879,2.30784,1.86809,2.40584,2.50325,,2.51641,
BIH,,,,,,0.05083,0.04356,0.0327,0.0337,0.04443,0.08227,0.09838,0.10608,0.13911,0.12518,0.08919,
BLR,0.2483,0.10572,0.07006,0.05317,0.05046,0.04153,,,0.0622,0.0292,0.0381,0.02895,0.02868,0.03055,0.03904,0.0424,
BLZ,7.74642,9.03185,10.14886,8.91524,7.86133,6.95494,6.7538,6.22366,6.60084,6.23636,5.90087,5.36999,6.13656,5.43162,5.35294,5.12112,
BOL,,,,,,,,5.11012,5.73993,5.32853,4.80547,3.48896,1.65361,1.83983,1.88383,1.82557,
BRN,,1.41448,1.38908,0.92812,1.28667,0.46738,0.30245,0.06556,0.09446,0.04834,0.05871,0.10508,0.07657,0.42338,0.20864,0.05216,
BTN,,,,6.08993,,5.53409,5.74468,5.53951,4.90079,4.51493,5.01731,5.31759,,5.04232,3.97532,6.05873,
BWA,3.53788,3.49342,3.60655,3.57193,3.8113,3.57609,3.58237,,,3.52204,3.25023,4.29022,,,,,
CAF,,30.77941,29.59213,28.18088,,26.02468,23.74902,20.8708,23.45976,22.91134,,,,22.85171,,,
CAN,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,
CHE,1.52233,,1.4673,1.31255,1.32676,1.37171,1.33802,1.34414,1.24833,1.2321,1.11665,0.86136,0.95049,1.16692,1.05567,,
