country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,10.27584,9.62698,10.5949,9.83452,9.28746,8.40287,8.26317,8.29859,,,9.01364,8.31368,,,,,
AFG,,,,,,,,,,,,,,3.75369,3.79334,4.25504,
AGO,,,,,,9.39781,10.60047,10.16262,8.62112,,,,,,,,
ALB,3.20619,2.66338,,,1.74874,1.43749,1.62405,1.10975,1.00543,0.91256,0.85709,0.84666,0.98267,0.893,1.07166,0.99182,
AND,0.0,0.0,0.0,0.0,3.29482,3.41484,2.94118,2.51767,2.24618,2.74223,2.51046,1.95349,1.41102,1.46667,0.94851,0.75355,
ARE,3.16448,2.64673,2.18159,2.25377,2.04393,,2.13525,2.0941,0.0,0.0,0.0,0.27052,0.18845,,,,
ARG,7.48821,7.66215,7.57278,7.70112,7.28417,6.82001,6.10616,5.5125,5.0015,4.45471,3.38954,2.50077,2.34223,2.60186,3.45051,,
ARM,0.11746,0.13514,0.16194,0.14353,0.17082,0.09093,0.23647,0.15326,0.12612,0.15572,,0.19658,0.297,0.62146,0.23075,0.2385,
ATG,,,,,2.41922,7.00786,5.38963,8.21664,5.47535,5.52374,,3.01308,3.77941,,2.14948,1.69195,
AUT,,1.40704,,,,,,,2.76284,2.76688,2.87589,2.95763,3.08272,3.15411,3.22086,,
AZE,0.38114,0.27626,0.288,0.29276,0.32402,0.32358,0.28675,0.28847,0.28223,0.24525,0.22,0.14635,0.14356,0.13742,0.07715,0.1308,
BDI,26.17439,27.81361,30.40666,29.20373,31.50216,33.48954,32.28503,33.51854,35.98125,32.79489,28.86877,24.5765,22.9898,23.00624,24.81492,27.11869,
BEL,,,,3.29904,3.26155,3.50014,3.39187,3.34828,3.21412,3.01853,2.68211,2.56491,2.58448,2.36465,2.2928,,
BEN,19.89452,23.00914,16.68869,,,14.27939,,13.44996,10.90059,11.65282,11.26155,11.01254,11.0379,10.22641,,15.39962,
BFA,15.0094,13.19078,12.07545,12.08555,11.78385,10.56745,10.54434,10.11862,,8.13407,7.2587,6.75048,5.54235,5.67524,6.35998,5.7699,
BGD,,,10.40328,11.17551,,13.37555,13.81791,12.64572,,,,,,,5.03379,4.51672,
BGR,2.61798,2.6583,2.66912,2.6488,2.51309,2.14353,1.92679,0.73208,0.25606,0.18471,0.15171,0.12116,0.12563,0.08127,0.08364,,
BHR,,3.59189,3.29838,3.00933,,,,,1.22835,1.11693,0.84768,0.74744,0.65655,0.46955,0.31838,0.29937,
BHS,,0.0,0.0,0.0,0.0,0.0,0.0,4.36432,4.62169,4.13056,4.0701,4.05211,3.89124,4.15712,,3.93145,
BIH,,,,,,0.10173,0.07891,0.09706,0.07863,0.09697,0.11255,0.15225,0.16298,0.16946,0.15625,0.09632,
BLR,0.24782,0.10243,0.06808,0.05446,0.05024,0.04343,,,0.06271,0.02991,0.03782,0.03067,0.02918,0.0351,0.04815,0.04359,
BLZ,11.04442,12.45624,12.9816,11.72401,10.88937,9.42471,9.53369,8.79654,9.79213,8.87425,8.42264,8.25603,8.35982,8.08403,8.07363,8.10373,
BOL,,,,,,,,6.39946,7.48713,6.9885,6.50482,4.82387,2.31757,2.63311,2.66304,2.67941,
BRN,,3.63478,3.04382,2.22361,2.8227,1.1397,0.76757,0.19248,0.19032,0.09064,0.07391,0.28445,0.23549,0.82427,0.3425,0.10837,
BTN,,,,7.58696,,7.23526,7.44722,7.12168,6.56693,6.12146,6.68162,7.17286,,6.96267,5.44508,8.50593,
BWA,5.81471,5.66986,5.7806,5.72458,5.93025,5.49031,5.47805,,,5.75755,5.48458,6.25473,,,,,
CAF,,30.315,29.4344,28.17498,,25.32699,23.8423,20.55552,21.96232,22.59219,,,,22.47955,,,
CAN,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,
CHE,1.75523,,1.78327,1.54644,1.57653,1.5805,1.53831,1.51507,1.45118,1.38877,1.34224,1.04757,1.17578,1.29237,1.31849,,
CHL,,,,,,,,,6.0636,5.78495,5.41721,5.01452,4.50065,4.1844,3.78886,,
CHN,,,,0.29661,0.27134,0.31232,0.30761,0.30328,0.27998,0.19447,0.1684,0.08758,0.02053,0.01434,0.0149,0.00905,
CIV,17.48105,,,23.39541,22.31221,,18.87309,,,20.01108,20.66348,15.32021,15.54429,13.14107,11.25333,,
CMR,26.40054,25.59969,26.12743,26.75652,20.76794,17.45014,15.16302,13.53567,12.8913,12.72062,,13.19783,12.56465,12.13798,12.47202,12.53458,
COD,,,,,15.55786,15.15963,15.15612,13.99319,12.13299,11.02105,10.70257,,9.76425,,,,
COG,28.41356,25.13263,24.71084,21.47057,21.47834,23.2166,20.51257,19.7011,19.40558,24.77563,,,,,,,
COL,,4.73487,4.59686,4.36857,4.18241,3.96393,2.26489,2.2235,2.95575,2.76456,1.75928,1.8669,2.73241,2.34328,2.6218,1.95474,
COM,29.34417,28.18366,,,26.95072,24.45768,,,,,21.96242,18.38574,,,17.37506,17.38876,
CPV,15.5081,14.99097,18.12176,16.44617,15.25898,13.93007,12.30689,11.60712,12.71742,12.11208,12.16453,11.15569,10.37112,10.8478,10.24849,9.80214,
