country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,100.0,100.0,100.0,99.4755172729492,100.0,99.4818725585938,99.8281784057617,100.0,99.8344421386719,99.5008316040039,,,,,,,,,,,
AGO,,,,,,,,,47.4864196777344,,,,,,,,,,93.2844390869141,,
ALB,,,,,,,,,,,,,,,,,,,61.7683296203613,,
AND,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARE,,60.8508605957031,59.9652290344238,,,,,,,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,,,100.0
ARM,,66.6566390991211,77.4559631347656,,,,,,,,,,,,,,73.6243896484375,75.1177825927734,73.8539505004883,81.2841720581055,84.1314315795898
ATG,,,,,67.286247253418,52.8888893127441,57.1222991943359,54.7523384094238,64.8395690917969,60.1324501037598,,70.1680679321289,65.2916107177734,,55.1515197753906,53.0135307312012,47.5352096557617,,,,
AZE,99.6254577636719,99.818962097168,99.9763336181641,99.9814071655273,99.9977264404297,99.9408721923828,99.9163513183594,99.979362487793,99.9884414672852,99.9927215576172,99.5684204101562,99.3514099121094,99.2799377441406,,98.0378189086914,99.5214309692383,99.8314895629883,99.8605575561523,99.7094573974609,99.7695693969727,99.354736328125
BDI,,,87.5099792480469,,87.4158630371094,,91.1890563964844,,94.1818923950195,94.9871597290039,,92.1513366699219,100.0,100.0,100.0,100.0,100.0,,,,
BEN,77.9996032714844,72.1768417358398,,,,,40.3982200622559,42.631031036377,46.8895606994629,,,67.59375,69.09716796875,70.4166107177734,68.2663497924805,70.4254608154297,71.2228927612305,76.9972991943359,75.0768890380859,,
BFA,86.8469772338867,89.4923477172852,88.2582168579102,86.9417572021484,87.6678924560547,87.6603927612305,86.1144638061523,,,94.8324813842773,85.5863876342773,84.3585968017578,85.4200134277344,73.193733215332,85.8375625610352,87.5757293701172,88.5932464599609,89.4517974853516,90.9827728271484,88.3963165283203,90.5297622680664
BGD,,,53.4021987915039,51.4322395324707,55.9990005493164,54.3633308410645,58.4075317382812,,57.7341499328613,,,,47.5789985656738,50.4313201904297,50.4312705993652,48.4873123168945,67.9253082275391,65.6220779418945,66.1732940673828,73.6041870117188,77.2605895996094
BHR,,,,,,,,,80.3359832763672,82.0623397827148,82.194221496582,82.7675399780273,82.4818267822266,83.6934280395508,83.7441101074219,100.0,100.0,100.0,,100.0,100.0
BHS,,91.5348815917969,,88.8222732543945,94.4628067016602,91.0844421386719,84.4204177856445,91.548713684082,94.2885818481445,94.4308395385742,87.4098663330078,81.4687271118164,89.6463012695312,90.0682830810547,89.6463012695312,89.782470703125,92.780029296875,,90.6504135131836,,92.4941711425781
BLR,97.7423629760742,98.5277786254883,99.7972183227539,99.6296081542969,99.8100662231445,99.7715530395508,99.8662033081055,99.7615814208984,99.8773498535156,99.6439895629883,99.6285095214844,99.4370727539062,99.3871688842773,99.4728622436523,99.6488418579102,99.5548782348633,99.515022277832,99.4790267944336,99.3466720581055,99.3698425292969,99.4172592163086
BLZ,40.985050201416,51.4461784362793,,39.3763885498047,45.4585494995117,42.7577209472656,42.5376281738281,45.2048988342285,47.5115013122559,54.3443298339844,48.7762985229492,60.7496795654297,67.5039215087891,72.8448333740234,75.0073776245117,79.2283706665039,82.2722091674805,86.0662002563477,87.0052032470703,88.1410293579102,88.6065902709961
BMU,100.0,100.0,100.0,100.0,,,,,100.0,100.0,,100.0,,100.0,,,,,,,
BOL,,,,,,,,,73.3314208984375,76.9604415893555,80.7968673706055,83.4934997558594,85.2063903808594,86.4089508056641,86.445198059082,87.6342391967773,88.1935577392578,88.7058563232422,88.4527969360352,89.2631912231445,90.1220016479492
BRA,,,,,,,,,,,,,,,,,91.1676483154297,92.2419967651367,93.0000381469727,,
BRB,,,73.2471084594727,,70.3799133300781,60.9540596008301,58.0584907531738,58.495979309082,55.4069786071777,,,68.7687683105469,65.8333282470703,69.0276870727539,79.8063583374023,76.470588684082,75.1072998046875,75.0677490234375,75.7970123291016,75.8296813964844,75.0
