country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,332147.0,364215.0,392925.0,478089.0,,,,,,,,,,,,
ALB,3016.0,4513.0,,,,6110.0,6431.0,6573.0,4741.0,3247.0,3184.0,,,,,,,4859.0,7186.0,8802.0,10813.0
AND,,,,,,,,,,,,185.0,192.0,165.0,158.0,182.0,213.0,222.0,208.0,182.0,
ARE,,,5402.0,10702.0,15171.0,,54213.0,49776.0,52222.0,51188.0,51349.0,37979.0,43227.0,45678.0,77204.0,,63188.0,47679.0,,,312.0
ARM,11228.0,,7693.0,6581.0,4935.0,,,,4945.0,4434.0,2129.0,1750.0,,,,,3312.0,4687.0,7192.0,8110.0,6573.0
ATG,,,,,,,,,,,40.0,83.0,,,,,,,,,
AUS,9412.0,6988.0,2227.0,1847.0,,,,,22214.0,18313.0,,,,,,1206.0,1191.0,5074.0,2619.0,2081.0,
AUT,3610.0,2296.0,2427.0,3749.0,2997.0,2458.0,2208.0,2211.0,3151.0,3293.0,2681.0,2344.0,2210.0,3320.0,2443.0,2280.0,2291.0,2115.0,1792.0,2964.0,
AZE,52165.0,43360.0,45478.0,44302.0,34881.0,34147.0,31015.0,31744.0,26499.0,20869.0,8359.0,,,,3367.0,12040.0,21341.0,21208.0,26041.0,14382.0,5710.0
BDI,282480.0,265984.0,242701.0,125735.0,77502.0,28302.0,36587.0,11332.0,4927.0,14335.0,,33495.0,56261.0,73779.0,121883.0,158487.0,180232.0,180385.0,,,
BEL,,1745.0,1455.0,2460.0,3031.0,3764.0,4248.0,4521.0,7467.0,6764.0,6659.0,6865.0,7032.0,7388.0,5342.0,5195.0,5280.0,4892.0,5818.0,4873.0,
BEN,,,,162785.0,,126758.0,82945.0,,,,,,,,,80122.0,127747.0,135169.0,112290.0,88224.0,
BFA,708028.0,699837.0,665509.0,641022.0,597140.0,537302.0,509294.0,567637.0,520229.0,520178.0,521627.0,526772.0,525375.0,457085.0,455788.0,435873.0,467002.0,519839.0,537386.0,604459.0,797079.0
BGD,,,92629.0,74014.0,,645381.0,388677.0,557327.0,,,,,,,,,,,,,
BGR,,,,,,,1102.0,931.0,1530.0,2924.0,4307.0,3336.0,3167.0,3832.0,4091.0,4968.0,5374.0,5223.0,6092.0,6211.0,
BHR,3135.0,3045.0,3394.0,1056.0,,,,,2623.0,1120.0,,,,,,663.0,1130.0,,,4740.0,4127.0
BHS,,3715.0,2979.0,3404.0,3119.0,3437.0,4011.0,4524.0,2825.0,3797.0,,,,,,,,,,,4318.0
BIH,,,,,,,9958.0,9840.0,9775.0,10878.0,10751.0,10455.0,10143.0,9157.0,8029.0,8647.0,,11122.0,11526.0,12162.0,12522.0
BLR,,,,,,,,,,9607.0,10480.0,12588.0,10409.0,11361.0,12756.0,14270.0,17191.0,17828.0,17256.0,20062.0,13423.0
BLZ,,,,,101.0,335.0,391.0,283.0,457.0,,16.0,,,,,,,,1164.0,2017.0,2566.0
BOL,,,,,,,8265.0,27047.0,43987.0,66563.0,74397.0,78810.0,78733.0,72735.0,62618.0,50541.0,41292.0,33501.0,27246.0,21648.0,27126.0
BRA,,,,,,,,,,400219.0,304494.0,320958.0,321036.0,301028.0,260722.0,311870.0,290889.0,385978.0,408419.0,265585.0,
BRB,,230.0,453.0,351.0,173.0,165.0,293.0,191.0,336.0,,,578.0,426.0,201.0,496.0,358.0,290.0,311.0,462.0,666.0,879.0
BRN,,,,,,,,9852.0,10587.0,,,,,,,,663.0,392.0,676.0,593.0,636.0
BTN,,,14353.0,11276.0,,6733.0,4008.0,2879.0,2949.0,2712.0,3707.0,,4445.0,4619.0,4529.0,3237.0,,983.0,68.0,329.0,
BWA,24209.0,24471.0,21237.0,20441.0,22084.0,23281.0,24057.0,,,21455.0,23105.0,24730.0,,,,,,,,17576.0,
CAF,,,224451.0,229845.0,212983.0,187347.0,190658.0,186598.0,197843.0,190143.0,,,,,114884.0,,,,,,
CAN,,,,,,,,,,3680.0,6736.0,6243.0,,24185.0,22482.0,19250.0,33423.0,33468.0,49501.0,51359.0,
CHE,,,,,,,,,2240.0,3102.0,,,58.0,183.0,287.0,234.0,164.0,261.0,434.0,591.0,
CHL,,,,,29519.0,29007.0,38466.0,25791.0,27937.0,25976.0,25386.0,22811.0,21550.0,19771.0,18922.0,16412.0,14825.0,21557.0,20885.0,15069.0,
CIV,796113.0,,,,,,875719.0,,,,666781.0,638456.0,598860.0,431727.0,412430.0,333560.0,305964.0,276833.0,290304.0,293992.0,127461.0
CMR,,,,,,,,,266051.0,,,,,185396.0,221695.0,417884.0,276657.0,,,,
COG,,,125948.0,139392.0,,,,50756.0,,27492.0,,,196219.0,,,96666.0,,,,,77678.0
COL,,13183.0,,,,,,,,33539.0,,,56732.0,86514.0,66417.0,79250.0,84680.0,105882.0,126650.0,131157.0,
COM,,,,,14786.0,,,,,,5494.0,5177.0,,,5804.0,7458.0,,,16966.0,,15300.0
CPV,1982.0,2601.0,2663.0,2631.0,3032.0,3124.0,3079.0,2760.0,3089.0,2874.0,2933.0,3075.0,3179.0,3590.0,3817.0,3789.0,3679.0,3882.0,3433.0,,
CRI,,,,,,,,,,2438.0,5428.0,10317.0,12535.0,11632.0,14495.0,7873.0,6135.0,8634.0,9944.0,10331.0,
CUB,3591.0,,4973.0,4525.0,3801.0,7003.0,5458.0,7692.0,11053.0,9105.0,2977.0,7733.0,9765.0,9422.0,10714.0,10730.0,9592.0,7906.0,7295.0,14402.0,15377.0
CUW,,,,,,,,,,,,,,,,,,,,,165.0
CYM,,76.0,169.0,112.0,28.0,90.0,,,44.0,,,,,,,,141.0,305.0,620.0,643.0,
CYP,305.0,455.0,285.0,98.0,139.0,,,,,349.0,410.0,478.0,332.0,423.0,320.0,229.0,,,,,
CZE,,,,,,,1142.0,2064.0,2812.0,668.0,1594.0,3784.0,5332.0,6834.0,8080.0,5731.0,5044.0,4014.0,,,
DEU,28327.0,30459.0,26061.0,26734.0,22984.0,22343.0,22462.0,15919.0,6991.0,10644.0,11219.0,15234.0,9857.0,20282.0,11219.0,8367.0,9906.0,13442.0,16955.0,22689.0,
DMA,,,,68.0,404.0,439.0,134.0,,,,,,137.0,150.0,,,479.0,380.0,403.0,383.0,406.0
DNK,,3679.0,3871.0,1871.0,777.0,950.0,790.0,1014.0,863.0,792.0,984.0,892.0,1012.0,1446.0,1144.0,753.0,842.0,643.0,905.0,1150.0,
DOM,68919.0,79822.0,72373.0,75807.0,44418.0,65737.0,,42440.0,33508.0,38288.0,38148.0,46476.0,25447.0,23668.0,28422.0,30018.0,19946.0,19231.0,54305.0,39475.0,74287.0
DZA,26918.0,18786.0,18179.0,30385.0,37900.0,28816.0,,,,,,,,,,,,,,,
ECU,26297.0,,31044.0,19477.0,5620.0,13363.0,,,,7290.0,8711.0,,14668.0,14181.0,10881.0,,,,1509.0,,28102.0
EGY,610612.0,554112.0,,,,,,,,555302.0,,569399.0,,387762.0,334047.0,264622.0,157627.0,72393.0,22733.0,,
ERI,57866.0,60820.0,62568.0,68759.0,81369.0,91955.0,97050.0,102010.0,95627.0,91746.0,96256.0,97318.0,100610.0,,111997.0,112609.0,115626.0,,,113518.0,
ESP,,,,,,8225.0,10003.0,21510.0,24104.0,29246.0,34606.0,36981.0,39946.0,38638.0,35358.0,32201.0,27025.0,23953.0,24304.0,23033.0,
EST,,,,,,,,,,,,926.0,966.0,988.0,1025.0,1004.0,966.0,972.0,907.0,772.0,
ETH,3595411.0,3458310.0,2803096.0,2497881.0,2169102.0,1803302.0,1826508.0,2032970.0,2125630.0,1769029.0,,1509008.0,1651786.0,,942426.0,,,,2451436.0,2371739.0,2322036.0
FIN,2170.0,2117.0,1947.0,2013.0,2033.0,2005.0,2164.0,2116.0,2078.0,2161.0,2192.0,2179.0,2733.0,2826.0,3087.0,3028.0,3480.0,2973.0,2534.0,3689.0,
FJI,4329.0,2824.0,,4413.0,5442.0,5815.0,6282.0,,6016.0,5413.0,6256.0,4968.0,3871.0,2509.0,,,,,,,
FRA,69571.0,67803.0,,,,8927.0,16082.0,25808.0,1185.0,249.0,6008.0,23727.0,8912.0,523.0,,,,,,,
FSM,,,,,,,,,,,,1039.0,1351.0,977.0,942.0,,493.0,1063.0,981.0,993.0,
GAB,,,,,,,,,,,,,,,,,37820.0,,,,
GBR,,11502.0,1233.0,15645.0,44503.0,10278.0,17091.0,12931.0,24448.0,39862.0,41647.0,37183.0,32522.0,29259.0,19622.0,9549.0,,,,,
GEO,,,,,,,,,,,,,,,,,,,,1584.0,3973.0
GHA,574279.0,,491943.0,445162.0,374403.0,296893.0,317330.0,,233734.0,,,,,,187859.0,224232.0,170267.0,279742.0,464214.0,,
GIN,343773.0,328349.0,318034.0,302764.0,290447.0,302025.0,293245.0,278606.0,235825.0,244147.0,233508.0,205443.0,289666.0,247031.0,,212293.0,229074.0,203262.0,246709.0,,
GMB,47985.0,46849.0,49831.0,45603.0,44579.0,51437.0,,57328.0,59744.0,57195.0,60389.0,62921.0,60529.0,54667.0,51713.0,49997.0,43246.0,38669.0,40004.0,,
GNB,,,,,,,,38870.0,,,,,,,,,,,,,
GNQ,25271.0,,,,,39546.0,39234.0,38810.0,37845.0,38375.0,,,53217.0,,,,,,,,
GRC,15672.0,11507.0,10059.0,11233.0,9312.0,,,6640.0,6918.0,7619.0,8964.0,10433.0,8717.0,6542.0,7985.0,10701.0,10925.0,12186.0,12106.0,,
GRD,,,390.0,,100.0,,,,,,,652.0,,145.0,,423.0,,,1383.0,,
GTM,,97796.0,83483.0,69697.0,57391.0,55339.0,,,33014.0,63655.0,89470.0,111805.0,118151.0,129151.0,120722.0,109374.0,112043.0,107518.0,91268.0,88928.0,86486.0
GUY,5012.0,,,,,,2212.0,,,,,,,,,,,7652.0,7923.0,,6647.0
HKG,6093.0,9201.0,6901.0,4754.0,5014.0,,,,,,,,,,,,119.0,,,2561.0,
HND,52483.0,43853.0,70167.0,49014.0,85449.0,69687.0,82770.0,81364.0,85635.0,107449.0,125987.0,132228.0,134452.0,126650.0,118877.0,109109.0,105701.0,112100.0,126108.0,116411.0,118309.0
HRV,847.0,,,,,,1781.0,,,,,,,,,,,,,,
HUN,,,,540.0,1340.0,2482.0,3664.0,4212.0,4536.0,3070.0,4746.0,6747.0,8206.0,9808.0,9958.0,8764.0,8322.0,7955.0,6890.0,6403.0,
IDN,327605.0,436807.0,612808.0,409475.0,,214086.0,,,,,98561.0,430781.0,,1003468.0,1035605.0,1146950.0,,,,,
IND,5825788.0,,,,,,226939.0,161385.0,218001.0,991608.0,,,,1715638.22744624,2947550.26336213,3267403.41726254,3885004.97333086,2004694.29891574,1130417.80301703,,907274.745751105
IRN,,,,,,,,,,,,,,80821.0,56539.0,,55558.0,91464.0,,,
IRQ,446031.0,481488.0,,,401357.0,,,,,,,,,,,,,,,,
ISL,263.0,243.0,251.0,285.0,223.0,240.0,243.0,177.0,195.0,171.0,183.0,182.0,162.0,140.0,159.0,195.0,174.0,235.0,221.0,257.0,
ISR,16535.0,15642.0,16764.0,16491.0,16260.0,16522.0,9100.0,8362.0,7615.0,7345.0,8769.0,10426.0,11751.0,11440.0,14613.0,15948.0,17272.0,17892.0,17583.0,17822.0,
ITA,,,,,,,,,,5985.0,11843.0,17075.0,21058.0,23721.0,24164.0,23481.0,23460.0,21179.0,27996.0,32597.0,
JAM,21455.0,16785.0,17685.0,,,,,,,,24602.0,25045.0,26047.0,25687.0,26319.0,26496.0,26665.0,15354.0,19960.0,12046.0,17291.0
JOR,28433.0,22644.0,23910.0,25250.0,32830.0,45452.0,,52114.0,49436.0,48865.0,31346.0,,,19459.0,12516.0,11773.0,12053.0,10821.0,16133.0,12195.0,12698.0
KAZ,,,,8667.0,13263.0,15662.0,16583.0,16747.0,10228.0,6604.0,9305.0,14282.0,19426.0,26114.0,12472.0,9329.0,5828.0,58285.0,63822.0,62099.0,30931.0
KEN,434717.0,468551.0,436261.0,458346.0,173524.0,296788.0,261666.0,,,542053.0,,,,,,,,,,,
KGZ,19644.0,6465.0,12424.0,11664.0,11646.0,11288.0,12196.0,11672.0,12473.0,10958.0,8724.0,6781.0,7427.0,7625.0,8012.0,5810.0,9401.0,14656.0,17084.0,20476.0,3648.0
KHM,,,,,,,,50249.0,,,,57817.0,27324.0,52144.0,63532.0,52927.0,45876.0,55913.0,69264.0,108346.0,37807.8220417819
KIR,,,,,,,,,,,,,,,,,,209.0,465.0,654.0,1143.0
KNA,,,,,,66.0,,,,,,,,,,,,,,,
KOR,18131.0,23830.0,9161.0,5998.0,1426.0,,19242.0,,15407.0,18378.0,33024.0,40553.0,2483.0,9493.0,25681.0,25299.0,12669.0,19204.0,20422.0,15583.0,
KWT,,,1477.0,,,,,,,690.0,3441.0,6197.0,,,,,,,,,
LAO,82985.0,75930.0,70744.0,69210.0,62917.0,56665.0,48543.0,31477.0,29235.0,28914.0,20620.0,17684.0,20938.0,23621.0,26352.0,27890.0,26241.0,25232.0,24271.0,31254.0,30665.0
LBN,,,,,,,,,,,,,,,,,,,,,77820.0
LBR,,,,,,182927.0,,,114692.0,,,328976.0,197088.0,78769.0,103692.0,,,122235.0,145167.0,153645.0,
LCA,,483.0,749.0,515.0,471.0,355.0,197.0,434.0,486.0,568.0,599.0,634.0,544.0,530.0,400.0,310.0,203.0,140.0,,,
LIE,,,,,,,,,,,,17.0,,,,,,,,,
LKA,20972.0,7441.0,34431.0,38868.0,44558.0,52328.0,72292.0,60293.0,64164.0,68359.0,62674.0,59277.0,37845.0,32595.0,31419.0,31507.0,31773.0,20485.0,,,
LSO,26068.0,28023.0,26394.0,23411.0,27493.0,24897.0,24684.0,23550.0,22698.0,21284.0,19546.0,21372.0,22238.0,21022.0,18639.0,26865.0,27949.0,34877.0,45921.0,45042.0,48185.0
LTU,155.0,,,,,,,,,,,,,,,,,,610.0,,
LUX,694.0,778.0,403.0,524.0,470.0,491.0,,540.0,754.0,274.0,380.0,520.0,419.0,405.0,571.0,536.0,321.0,327.0,361.0,35.0,
LVA,,,,,,,449.0,429.0,391.0,712.0,893.0,921.0,982.0,814.0,667.0,401.0,472.0,561.0,531.0,620.0,
MAC,1702.0,1612.0,1731.0,1827.0,1646.0,1458.0,1267.0,1096.0,684.0,813.0,671.0,303.0,157.0,89.0,,31.0,713.0,1453.0,2201.0,2850.0,2717.0
MAR,281655.0,279257.0,265376.0,248405.0,230717.0,227008.0,229955.0,160616.0,129962.0,138223.0,114056.0,128317.0,,126778.0,104478.0,63762.0,32337.0,,,,
MDG,315001.0,,,,,,,,,,,,,,,,58411.0,13984.0,,,
MDV,,,,,,431.0,,655.0,221.0,711.0,599.0,324.0,,72.0,349.0,201.0,214.0,11.0,,1088.0,1849.0
MHL,,,,,,,,,,,,,143.0,41.0,,,,48.0,25.0,15.0,
MKD,903.0,611.0,563.0,1399.0,873.0,2331.0,1327.0,,,1472.0,1936.0,2233.0,1195.0,,1415.0,1839.0,3773.0,3665.0,3891.0,1401.0,
MLI,561043.0,549884.0,531496.0,528465.0,522791.0,,484680.0,490700.0,498810.0,548719.0,,636062.0,700500.0,711699.0,649418.0,797796.0,,,,,707138.0
MLT,,,,,,,,,,,,,,,154.0,188.0,377.0,555.0,712.0,941.0,
MMR,112236.0,115567.0,79012.0,72533.0,,9578.0,24321.0,3237.0,,,,,,,,,,,,,
MNE,515.0,,426.0,885.0,979.0,832.0,,,,59.0,,,,339.0,,,,,,,
MNG,14326.0,6102.0,8698.0,3369.0,4093.0,2032.0,2204.0,1526.0,1971.0,3303.0,5527.0,5546.0,5709.0,4639.0,5799.0,4343.0,5662.0,7550.0,8693.0,8552.0,8382.0
MOZ,,598862.0,512914.0,442172.0,343295.0,270254.0,235973.0,208627.0,248634.0,238316.0,207546.0,185939.0,162180.0,186032.0,226236.0,129996.0,,,,,
MRT,92275.0,76676.0,79537.0,73068.0,68809.0,75082.0,77961.0,78936.0,80783.0,88702.0,90867.0,88941.0,,107702.0,95968.0,95721.0,106573.0,,,,
MUS,,1217.0,974.0,847.0,1005.0,1106.0,1412.0,1192.0,1557.0,3951.0,2731.0,2506.0,2340.0,2024.0,1964.0,894.0,1617.0,1731.0,2294.0,,527.0
MWI,,,,,7680.0,,,,,,,,,,,,,,,,
MYS,91284.0,61668.0,50284.0,69080.0,61469.0,69220.0,43271.0,71830.0,63500.0,57545.0,51770.0,73908.0,69779.0,67603.0,51440.0,37752.0,58112.0,45760.0,48019.0,59902.0,12454.0
