country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,124313.0,149930.0,117887.0,72058.0,,,,,,,,,,,,
ALB,130.0,3715.0,,,,7271.0,6742.0,7814.0,5475.0,3926.0,3006.0,,,,,,,1574.0,3695.0,4758.0,6226.0
AND,,,,,,,,,,,,188.0,198.0,192.0,187.0,160.0,154.0,205.0,164.0,140.0,
ARE,,,1968.0,10033.0,12658.0,,49915.0,48639.0,51749.0,49194.0,49564.0,40433.0,39375.0,40295.0,68952.0,,55774.0,40512.0,,,607.0
ARM,11887.0,,9637.0,8142.0,6010.0,,,,4596.0,4105.0,1456.0,987.0,,,,,2153.0,3639.0,6108.0,7498.0,6286.0
ATG,,,,,,,,,,,272.0,72.0,,,,,,,,,
AUS,16588.0,13978.0,8489.0,7176.0,,,,,30270.0,27116.0,,,,,,3085.0,3645.0,8118.0,5729.0,4640.0,
AUT,3820.0,3220.0,3253.0,3051.0,2218.0,2167.0,2430.0,2021.0,3533.0,2986.0,2126.0,1856.0,2141.0,3226.0,1967.0,1929.0,1855.0,1864.0,1441.0,2817.0,
AZE,36573.0,34765.0,31950.0,28984.0,36402.0,36214.0,30733.0,32323.0,23500.0,17642.0,185.0,,,,8799.0,12763.0,34346.0,33109.0,26875.0,13068.0,3747.0
BDI,226040.0,229160.0,209122.0,110799.0,66609.0,23041.0,46682.0,26275.0,25815.0,35762.0,,63488.0,85042.0,103976.0,149231.0,183090.0,209267.0,211326.0,,,
BEL,,2534.0,2483.0,2989.0,3593.0,4080.0,4544.0,4751.0,7804.0,7002.0,6728.0,6873.0,7138.0,7606.0,5621.0,5528.0,5578.0,5029.0,6030.0,4898.0,
BEN,,,,59997.0,,42124.0,1555.0,,,,,,,,,28139.0,71264.0,81045.0,50664.0,26653.0,
BFA,608304.0,603151.0,564095.0,539699.0,493572.0,439667.0,421585.0,513205.0,472794.0,482233.0,493176.0,496505.0,496599.0,428962.0,432730.0,412360.0,455458.0,527757.0,556526.0,635559.0,845611.0
BGD,,,455454.0,514802.0,,791808.0,999806.0,829516.0,,,,,,,,,,,,,
BGR,,,,,,,1580.0,1240.0,2210.0,3380.0,5193.0,5150.0,4725.0,5146.0,5489.0,5984.0,5762.0,5612.0,6442.0,6688.0,
BHR,6925.0,6207.0,5612.0,3114.0,,,,,3472.0,1519.0,,,,,,1219.0,1668.0,,,5319.0,4664.0
BHS,,3765.0,3026.0,3398.0,2976.0,3061.0,4102.0,4362.0,2715.0,3707.0,,,,,,,,,,,4457.0
BIH,,,,,,,11570.0,11171.0,10271.0,11088.0,10780.0,10446.0,10108.0,8520.0,7545.0,8488.0,,11185.0,12117.0,12179.0,12786.0
BLR,,,,,,,,,,4454.0,8273.0,7643.0,8065.0,6305.0,5978.0,7974.0,9677.0,10544.0,11182.0,8671.0,6395.0
BLZ,,,,,452.0,327.0,448.0,491.0,308.0,,31.0,,,,,,,,1506.0,2336.0,3150.0
BOL,,,,,,,11340.0,31303.0,49292.0,69026.0,73337.0,76804.0,77225.0,72984.0,62511.0,51077.0,43184.0,37699.0,31479.0,26027.0,31471.0
BRA,,,,,,,,,,495994.0,297627.0,279379.0,337852.0,329821.0,358763.0,397177.0,321682.0,272499.0,359875.0,319994.0,
BRB,,11.0,350.0,117.0,196.0,145.0,369.0,184.0,71.0,,,499.0,384.0,271.0,427.0,325.0,175.0,225.0,379.0,606.0,815.0
BRN,,,,,,,,10689.0,9353.0,,,,,,,,1013.0,609.0,1302.0,932.0,832.0
BTN,,,16158.0,13613.0,,10224.0,7663.0,6546.0,6095.0,5258.0,5860.0,,6580.0,6670.0,6532.0,5539.0,,3993.0,3466.0,3402.0,
BWA,30299.0,26041.0,27130.0,24781.0,26537.0,27802.0,27704.0,,,25681.0,26828.0,27960.0,,,,,,,,22079.0,
CAF,,,182303.0,185286.0,157714.0,128289.0,129423.0,125412.0,142268.0,139453.0,,,,,25815.0,,,,,,
CAN,,,,,,,,,,8595.0,7677.0,5081.0,,10005.0,6863.0,4547.0,21030.0,22710.0,42394.0,47805.0,
CHE,,,,,,,,,2336.0,3413.0,,,99.0,242.0,342.0,427.0,378.0,452.0,802.0,808.0,
CHL,,,,,23315.0,21169.0,34893.0,24073.0,24888.0,23406.0,22990.0,19821.0,18009.0,16703.0,15476.0,12457.0,9833.0,13629.0,12692.0,4869.0,
CIV,628656.0,,,,,,742423.0,,,,620416.0,524045.0,472388.0,298821.0,291738.0,198183.0,182255.0,144541.0,171637.0,144985.0,48033.0
CMR,,,,,,,,,63452.0,,,,,7852.0,43418.0,277826.0,81583.0,,,,
COG,,,151941.0,123891.0,,,,40512.0,,53979.0,,,196986.0,,,91506.0,,,,,80839.0
COL,,4587.0,,,,,,,,34710.0,,,75009.0,114789.0,90074.0,101669.0,111149.0,133436.0,148304.0,158138.0,
COM,,,,,13553.0,,,,,,3786.0,4246.0,,,4962.0,7333.0,,,16156.0,,12900.0
CPV,2152.0,3095.0,2937.0,2929.0,3315.0,3317.0,3137.0,2902.0,2977.0,2658.0,2895.0,2970.0,3177.0,3409.0,3647.0,3549.0,3607.0,3884.0,3472.0,,
CRI,,,,,,,,,,4282.0,8051.0,12447.0,13670.0,13386.0,16264.0,8795.0,6932.0,9246.0,10929.0,10882.0,
CUB,75.0,,2247.0,6770.0,1625.0,6462.0,4721.0,5740.0,9174.0,8429.0,2081.0,9565.0,10336.0,10124.0,10853.0,10334.0,9738.0,8064.0,9014.0,18547.0,18894.0
CUW,,,,,,,,,,,,,,,,,,,,,201.0
CYM,,52.0,171.0,81.0,13.0,95.0,,,34.0,,,,,,,,128.0,66.0,107.0,49.0,
CYP,359.0,382.0,320.0,91.0,137.0,,,,,361.0,563.0,739.0,426.0,538.0,434.0,100.0,,,,,
CZE,,,,,,,1390.0,2659.0,3564.0,1452.0,3259.0,4951.0,6351.0,7591.0,9139.0,6588.0,5877.0,4725.0,,,
DEU,39516.0,32783.0,29034.0,34670.0,28133.0,24402.0,25571.0,15862.0,10068.0,14479.0,14217.0,19107.0,14191.0,29575.0,20137.0,16978.0,18047.0,21627.0,26897.0,36131.0,
DMA,,,,108.0,270.0,297.0,141.0,,,,,,81.0,111.0,,,455.0,372.0,408.0,393.0,419.0
DNK,,6631.0,4366.0,2560.0,1332.0,1536.0,1208.0,1437.0,1395.0,1132.0,1312.0,1958.0,1892.0,1714.0,1490.0,1019.0,1012.0,956.0,1173.0,1398.0,
