country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,72.36007,73.44491,75.12471,,80.52762,74.48249,77.72432,,76.94634,,,,,,,,
AFG,,,,,26.55995,,,,,,46.1909,46.0584,45.43273,46.6585,48.44288,50.1407,
AGO,,,,,,9.15376,9.63002,11.29064,,,,,,,,,
ALB,,,,,,,,,,,84.39599,86.39145,87.38842,86.48091,86.6726,86.60827,
ARE,,,,,,,,,,,,,,87.06773,92.79992,,
ARG,78.51365,78.53653,77.93493,77.80917,77.68491,78.65304,80.56529,82.09918,83.52317,85.89363,87.09754,87.6325,88.44048,89.88468,90.79605,,
ARM,,,86.5328,88.92706,91.63539,86.10852,92.32107,92.50998,87.74122,,,,,,,,
ATG,,,,,,,92.48712,,,,,83.36424,86.00054,,87.74032,88.78981,
AUS,,,,,,,,,,,,,93.23812,92.76952,92.28431,,
AUT,88.4619,88.60349,89.18387,89.26828,88.21249,88.16806,87.93998,86.79411,86.61554,86.14129,86.22208,86.55112,86.71155,87.37319,87.00131,,
AZE,,,,,,,,,,,,,,,,88.53256,
BDI,,,,,,,13.09097,15.17589,16.88675,18.42151,21.40103,25.95054,28.89895,32.18514,28.30495,27.52277,
BEL,96.34794,97.69044,97.54728,97.9871,96.35917,94.63375,93.46701,92.69016,92.56495,93.15346,93.63938,93.83306,93.65346,94.11758,94.94691,,
BEN,,,,,,,,,,,43.42783,,46.58049,,,,
BFA,9.48721,10.55512,11.39514,12.2104,12.92052,14.773,15.822,16.48295,18.46052,19.74492,21.66185,,26.53378,28.10485,29.14227,31.00148,
BGD,48.62257,45.27481,43.94428,44.60284,45.41006,,46.3405,47.65124,47.29212,49.66535,54.27441,,59.13634,65.21977,63.74088,66.54968,
BGR,84.91763,85.78885,85.89795,85.10716,84.9176,84.19548,83.43903,83.95626,85.72393,86.73715,90.03958,91.02326,91.22931,90.10467,89.05757,,
