country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,100.0,,,,,97.27055,,,,,,,,,,
AFG,,,,,,,,,,,,,82.39978,85.9571,85.54859,
AGO,,,,,,53.35575,,,,,,,,,,
ALB,,,,97.79186,98.36145,100.0,98.33455,99.27686,99.4729,99.48293,99.83714,99.11144,97.82632,98.41017,98.47478,
ARE,97.3446,99.42082,99.74306,99.23809,,,100.0,100.0,99.98233,98.70347,99.85934,,,,,
ARG,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69746,,
ARM,97.25819,100.0,98.97477,100.0,98.42364,,,,97.86559,,97.15363,99.79433,98.81848,98.04007,98.78911,
ATG,,,,,,,,,,,,,,,98.55472,
AUT,,,,,,,,100.0,100.0,100.0,100.0,99.85982,99.84555,99.52209,,
AZE,99.424,98.84785,98.06025,99.43002,99.11716,98.47679,98.73429,98.22198,99.68311,98.04272,100.0,98.80717,99.07956,100.0,98.35605,
BDI,63.82248,55.49483,,,63.39477,64.38854,63.43387,66.65397,66.33929,72.56525,74.84095,77.63964,85.63046,76.95371,76.97064,
BEN,,,,,,,,77.49599,,87.34563,86.16496,87.42872,85.17943,,,
BFA,,65.29883,65.24186,66.03442,72.82324,71.6955,73.35619,,71.16483,67.28668,66.74549,75.86897,76.91814,75.15855,79.47294,
BGR,97.94942,98.31812,98.21806,97.59649,97.21578,97.49794,98.39176,98.27196,98.809,98.775,99.17181,99.02164,98.48609,98.84133,,
BHR,99.88588,99.70984,,,,,,,99.78726,99.85191,100.0,100.0,99.98956,99.43182,99.57022,
BHS,,,99.16506,98.56544,99.56491,,98.71839,,,,,,,,,
BIH,,,,,,,82.77975,,,,,99.33006,98.59921,99.00013,98.07339,
BLR,97.47053,100.0,99.961,99.87063,100.0,,,97.24498,98.84643,98.64231,98.44005,98.76852,98.25375,98.44134,98.70679,
BLZ,96.50155,96.0831,94.1349,95.71803,96.50725,96.51908,97.55081,98.11879,97.76474,95.30847,98.52204,95.42334,97.79266,96.98988,97.27735,
BMU,,,,,,,,,100.0,,,,,,,
BOL,,,,,,,94.65013,94.16719,94.89704,96.1474,95.93287,96.64184,96.8833,96.31183,97.11572,
BRB,100.0,98.85728,97.31407,100.0,100.0,98.00464,,,,,,,,,,
BRN,98.07263,97.45188,98.85638,98.32529,99.44969,98.94933,100.0,99.88525,100.0,99.46041,99.97168,98.73491,,99.45722,99.58777,
BTN,,,97.61769,,,100.0,99.54822,100.0,100.0,96.9166,100.0,,,100.0,,
BWA,97.78857,98.09743,98.57696,97.05441,99.02142,,,,,97.55986,,,,,,
CAF,,81.23484,,,,62.0557,,,67.58232,,,,,,,
CHE,99.70178,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.78603,100.0,99.68553,99.82865,,
CHL,,,,,,,,97.3883,98.13074,98.2866,97.95218,98.06903,98.20181,98.43546,,
CHN,,,,,,100.0,,,,,,,,,,
CIV,,,,69.01947,,66.89039,,,68.4251,,84.84545,90.45018,89.33549,92.50092,,
CMR,,,,45.20219,60.21903,53.02537,,64.37891,69.19838,,,71.14645,69.35837,,,
COD,,,,,85.13085,,,,74.01088,71.08148,,,,,,
COG,87.74073,67.84209,,,69.11998,68.7563,74.43224,,74.79442,,,,,,,
COL,,99.23733,100.0,100.0,99.16939,99.30585,97.30352,97.17553,98.78909,94.7738,,,,,,
COM,82.47765,,,,,,,,,,85.22936,,,,,
CPV,90.5925,96.75762,100.0,94.45872,95.03225,95.07266,98.69423,100.0,100.0,98.09767,97.43485,99.39809,98.88257,100.0,94.63132,
CRI,,,96.23936,,93.79592,91.14907,89.69516,90.60821,90.26088,83.06517,83.31634,82.40032,83.16504,84.17938,90.31448,
CUB,99.11776,98.86839,99.01726,98.46354,98.86903,98.51525,99.3647,98.7953,99.35887,98.94146,99.23799,98.61963,99.22121,99.17383,98.92097,
CYM,,100.0,99.57754,100.0,95.29337,,,,93.37349,100.0,,,,,,
CYP,100.0,99.35192,99.56006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.86462,100.0,96.75261,100.0,,
CZE,100.0,100.0,99.81965,99.31826,99.3661,99.85362,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89171,,
DEU,99.45931,99.63642,99.34,99.09832,99.23146,,,,,,99.36093,99.24637,99.80508,98.97983,,
DJI,,87.21695,83.18792,,,,,,80.59006,,100.0,78.66924,74.93578,81.12698,84.38428,
DMA,,98.00758,,,97.5976,,95.97436,100.0,99.88662,94.82471,,92.52285,,,,
DNK,,99.36559,99.96186,96.45118,97.90762,100.0,99.84512,99.73628,97.68099,99.82754,100.0,99.99625,99.89736,99.88326,,
DOM,90.58478,,,100.0,,94.63389,93.37584,97.47864,95.25456,97.22726,99.20858,97.68721,95.07859,94.31237,94.8466,
DZA,94.28978,94.2989,93.12243,93.97279,95.98997,,97.79176,97.06229,95.32419,96.95983,98.7568,97.96364,97.81033,,98.3805,
ECU,71.48929,76.16042,75.59367,77.08833,,94.29466,93.91816,93.06836,96.01322,98.25261,99.90298,95.87593,98.86893,99.20505,100.0,
EGY,94.97875,,,,,,,,,,,,,95.99046,98.1171,
ERI,89.84721,89.58674,86.24286,83.6114,89.82206,88.7737,89.85519,93.59818,94.49386,95.72232,,91.28169,,,92.98367,
ESP,,,,,,100.0,99.00575,,,,99.97917,100.0,99.31164,100.0,,
EST,99.85708,99.96631,,,99.59264,98.82057,99.67569,99.44637,99.64196,99.37888,99.40232,99.3088,99.98306,99.96716,,
ETH,,97.87009,96.00668,92.79219,92.70872,92.25971,91.14529,89.35196,96.61785,,,90.91628,,,,
FIN,100.0,99.94577,100.0,100.0,99.96187,100.0,100.0,99.93703,99.73408,100.0,99.84194,100.0,100.0,99.79078,,
FJI,98.62891,,,,100.0,97.11196,,,97.28866,,,,98.21088,,,
GBR,,,,,,,,,,,,,,99.9613,,
GEO,,96.111,,,99.68352,99.14789,99.85221,,97.98875,100.0,99.71336,100.0,99.73753,99.56347,99.74239,
GHA,88.63548,100.0,97.87292,,100.0,97.4298,,,93.75235,78.55738,89.01129,98.55972,,93.44148,94.80775,
GIN,75.27956,77.62088,82.79815,75.48155,,52.71885,70.01601,,46.59465,47.42421,62.43597,,,,,
