country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,99.07003,,,,,100.0,,,,,,,,,,
AFG,,,,,,,,,,,,,88.66661,96.42152,94.04482,
AGO,,,,,,30.77393,,,,,,,,,,
ALB,,,,98.9542,98.07733,98.50327,97.8637,99.10345,99.50483,100.0,99.78225,99.05168,98.28624,97.95866,98.57902,
ARE,99.54714,99.04643,100.0,100.0,,,95.52038,91.77475,98.8909,98.10216,100.0,,,,,
ARG,93.48618,91.83626,90.90037,90.08647,90.47356,90.79982,91.91828,92.51746,93.38344,93.82696,94.75433,94.93167,98.99978,100.0,,
ARM,98.81746,99.49977,100.0,98.68379,100.0,,,,97.71385,,96.82392,100.0,98.18142,98.15183,97.8051,
ATG,,,,,,,,,,,,,,,100.0,
AUT,,,,,,,,99.89683,99.6989,99.87905,99.96101,100.0,100.0,100.0,,
AZE,99.06929,99.65454,100.0,98.77321,100.0,99.81759,98.3953,99.15753,98.48709,100.0,98.29169,100.0,99.7006,95.48102,100.0,
BDI,58.7109,60.11612,,,68.3193,61.27401,75.68155,75.23576,72.30065,78.77966,79.86859,81.87925,88.15592,75.53529,75.50361,
BEN,,,,,,,,78.99477,,89.77344,84.89555,87.68467,82.5359,,,
BFA,,67.94847,65.53328,67.58143,74.22284,74.28429,76.08282,,72.85261,69.01551,70.64561,77.24833,78.19348,76.97813,80.78387,
BGR,98.61659,98.35313,98.43347,97.8375,97.40366,98.3046,99.19524,99.04596,99.28449,99.78383,100.0,99.47173,98.90545,99.79367,,
BHR,98.57471,98.34636,,,,,,,99.79347,100.0,99.66881,99.76448,100.0,99.28571,99.36462,
BHS,,,98.6821,100.0,100.0,,99.33287,,,,,,,,,
BIH,,,,,,,84.52933,,,,,99.64212,99.14783,98.30714,97.75499,
BLR,100.0,99.18664,99.39026,100.0,97.49492,,,99.60756,98.16132,97.60368,98.18751,98.02455,97.91476,97.60337,97.64418,
BLZ,94.22236,100.0,92.93015,94.17314,96.25312,96.26142,94.96021,96.89039,100.0,95.21656,97.28208,97.25356,95.8042,93.49257,97.43146,
BMU,,,,,,,,,86.89443,,,,,,,
BOL,,,,,,,95.40628,93.83282,95.12287,96.87011,96.63624,97.28819,97.50141,96.86757,97.48533,
BRB,96.25192,100.0,100.0,96.79505,98.18869,100.0,,,,,,,,,,
BRN,97.72262,96.56265,99.89629,100.0,99.85816,100.0,99.28104,100.0,99.24229,100.0,99.49669,100.0,,100.0,100.0,
BTN,,,95.55022,,,96.2521,97.62376,99.15912,97.72891,95.64067,98.00137,,,99.12811,,
BWA,97.14496,100.0,98.45508,98.30338,98.09901,,,,,97.377,,,,,,
CAF,,73.74336,,,,62.82517,,,80.54362,,,,,,,
CHE,100.0,99.69607,99.47135,99.54291,99.23348,99.37605,99.81243,99.77818,99.82513,99.67959,100.0,99.75759,100.0,100.0,,
CHL,,,,,,,,95.69367,96.68376,96.45688,96.70423,96.74968,96.98251,97.39707,,
CHN,,,,,,98.79232,,,,,,,,,,
CIV,,,,71.84271,,70.04196,,,77.28643,,90.3775,94.4113,94.12181,91.49627,,
CMR,,,,44.69766,58.92838,49.85376,,57.80759,61.6795,,,65.07221,63.95585,,,
COD,,,,,91.6629,,,,75.43658,73.20408,,,,,,
COG,87.62545,72.20596,,,70.9341,73.52389,77.04937,,78.10262,,,,,,,
COL,,100.0,99.08193,99.59176,100.0,100.0,99.21063,100.0,100.0,98.45451,,,,,,
COM,99.3617,,,,,,,,,,100.0,,,,,
CPV,87.02265,90.71232,97.80142,91.05497,93.4974,91.77844,94.18288,95.68575,94.40197,94.06715,95.24385,97.09504,96.43001,98.89891,94.18946,
CRI,,,100.0,,100.0,97.94779,94.27808,95.1343,97.72161,85.65621,86.30144,84.81729,86.07027,86.35151,93.05345,
CUB,98.24722,98.47306,98.27556,98.51361,98.11935,98.68702,98.50431,98.46382,98.71773,98.71649,98.94388,98.12906,98.42498,98.07175,97.99916,
CYM,,97.48327,100.0,85.11628,100.0,,,,92.08211,93.04202,,,,,,
CYP,99.62956,100.0,100.0,98.33143,99.8327,99.98773,99.80802,98.88623,97.79044,99.10735,98.92473,98.77737,100.0,99.49325,,
CZE,99.99558,99.72243,99.7419,99.23278,99.13606,99.60642,98.7432,98.70884,98.45891,99.37439,99.4392,99.95383,99.91662,100.0,,
DEU,99.81882,100.0,99.81792,99.53468,99.83966,,,,,,100.0,100.0,100.0,100.0,,
DJI,,94.21613,91.31783,,,,,,92.59797,,98.98262,81.54886,77.21559,86.23482,87.91915,
DMA,,100.0,,,96.56716,,100.0,99.73264,100.0,94.94098,,100.0,,,,
DNK,,100.0,100.0,97.05156,94.72428,99.59234,100.0,100.0,96.90951,100.0,99.94336,100.0,100.0,100.0,,
DOM,93.71267,,,97.60241,,95.9914,88.80615,91.80819,90.7775,92.63052,95.56447,92.99217,90.15751,90.974,91.57744,
