country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,,11.41266,12.21276,,,,,,,18.38443,17.36433,17.08119,,,,
AFG,,,,,,,,11.95215,12.21159,8.31733,11.17447,11.72219,10.24688,10.34081,10.25174,
ALB,,,,,,,,,,,,,29.84568,,34.18148,
AND,,7.97078,7.43949,9.72882,9.91776,,15.70711,17.08411,17.79961,,15.56091,13.02109,13.45657,12.74297,12.72411,12.30702
ARG,10.47639,10.00318,10.53523,11.53286,12.6881,13.70256,14.80287,13.68048,14.20816,14.56387,14.38084,14.38654,15.64309,15.2222,14.97726,
ARM,,,,,,,,,,10.78627,10.98089,,10.994,11.27122,10.15365,
ATG,,,,,,,8.05843,,,,,,,,,
AUS,,,17.92028,17.73229,17.28608,17.65014,19.91991,22.33566,19.96941,18.14095,18.65626,18.24146,18.78482,19.30184,,
AUT,22.60623,22.01719,22.61234,22.58595,22.16889,23.15767,25.12912,24.90171,24.58211,21.34553,22.85994,22.59552,23.20446,23.48041,,
BDI,,13.9698,13.30148,,,13.63167,15.87194,14.43146,14.45543,12.6662,12.92904,,,,,
BEL,,,,,,,,,,,22.5828,22.22876,22.03343,21.87767,,
BEN,10.00672,10.54721,10.10737,11.28517,,11.64562,12.62188,13.66952,,12.18628,11.04903,10.19757,10.25321,,,
BFA,,,33.32325,29.7582,28.07848,,,18.11396,20.47988,17.37351,19.01221,20.22056,16.13029,,,
BGD,,,,7.58248,8.79898,8.29676,7.56853,,,,,,,,,
BGR,17.97436,11.19144,22.20004,21.58024,20.63391,22.80496,22.74503,21.49743,18.98909,18.88574,22.99728,,,,,
BHR,,,,,,,,,,,10.47755,10.32071,11.16362,,,
BLZ,,12.42717,13.71514,14.12419,,15.48145,16.09631,18.24662,,15.03615,16.10865,16.34612,15.10773,16.23127,16.55987,
BMU,,9.40736,10.92196,,,,,11.96799,,,,8.46154,8.05056,,,
BRA,,12.68983,15.19637,,16.92151,18.13079,19.65354,20.5004,20.12935,19.54553,19.66313,19.45078,20.05496,,,
BRB,19.45603,19.83642,19.17852,,,22.13818,,,,,,,,20.75168,,
BRN,,,,,,,,5.01888,,,,,,8.87354,,
BTN,,8.30296,10.3683,,,7.13574,8.72884,7.50761,9.10615,,7.73873,12.84915,,,,
BWA,,,17.22529,,13.54782,,10.0503,,,,,,,,,
CAF,,,,7.29856,5.34246,,4.33596,4.10032,,,,,,,,
CAN,,,,,,,,,,,,,17.56737,,,
CHE,22.68793,22.70432,21.91685,20.99529,20.36261,18.63799,21.82949,21.89051,23.32384,26.95624,26.87479,26.41578,24.56797,24.78876,,
CHL,14.58796,12.19072,11.47725,10.46523,11.21729,13.9227,16.12883,14.57257,15.01703,16.77241,15.78767,14.18282,15.18748,18.29521,18.38536,
CIV,,,,16.26761,16.46328,15.56569,15.51095,,12.48176,13.59607,13.57966,12.75758,13.78098,15.7917,13.17057,13.27872
CMR,,,6.0289,6.43976,6.82803,5.11196,6.28029,5.92604,5.27591,5.44964,,,,,,
COD,,,,,,,,3.10452,,,7.19307,,,,,
COG,,,3.03459,,,,,11.68812,,,,,,,,
COL,,15.77199,15.40003,,12.38764,12.3262,15.48542,15.46718,14.75523,14.86019,16.59328,17.04063,17.41694,17.44523,17.84725,16.98989
COM,,,,,,16.14708,,,9.63088,,8.10595,9.75717,,,,
CPV,,,19.06788,18.31226,13.37293,12.63154,15.48596,,15.70374,,14.50744,16.47302,16.62463,17.06822,16.65962,
CRI,,16.90553,,14.54023,14.90954,16.22261,21.20577,24.44369,23.20475,24.78822,24.75781,25.14192,26.71543,24.86943,22.2852,20.82721
CUB,,40.48471,40.26802,33.60052,45.57016,46.18943,43.20693,49.06773,,,,,,,,
CUW,,,,,,,,,,,10.00974,,,,,
CYM,,,17.08667,17.06149,,,,,,,,,,,,
CYP,21.29908,19.8443,20.69913,22.12502,23.47126,25.87021,28.88672,30.88,32.1672,,31.53895,32.09534,32.18788,31.88086,,
CZE,11.69317,11.63192,11.47255,12.37569,11.9492,12.43496,15.05327,14.86288,15.40649,15.70228,15.33593,15.10781,14.94718,13.8679,,
DEU,,,,15.60472,15.13138,15.10081,17.1887,17.66182,17.05452,17.32327,17.55396,17.6705,17.50845,17.44257,,
DJI,,,,21.50894,22.71884,23.11144,,,,,,,,37.32327,,
DMA,,,,,13.70551,17.4377,13.60483,15.05707,14.86315,13.50686,,,14.64306,,,
DNK,,24.20814,24.61318,23.94687,23.82334,24.10346,27.95176,27.88253,21.68502,25.61737,25.37714,25.05246,,,,
DOM,,4.34337,6.43366,,8.2772,6.71813,6.73028,7.05473,6.86943,8.6533,14.41983,14.76884,14.92318,15.80752,14.61223,16.18636
DZA,11.47531,,,,,,,,,,,,,,,
ECU,,,,,,,11.11195,10.36507,11.06979,10.71402,11.7664,10.30478,9.43166,9.51098,,
EGY,,,,,,,,,,,,,,,9.84518,
ERI,,5.26822,,,,,,,,,,,,,,
ESP,18.16935,18.5236,18.70023,19.01719,19.04052,20.00129,21.27594,21.0723,20.95462,18.2858,17.62613,17.33387,17.27588,17.11832,,
EST,19.05644,18.71725,19.41023,,19.19181,25.22305,27.1246,24.79584,22.2866,22.53824,25.87764,22.38644,19.99539,20.29085,,
ETH,,,,,,,9.1739,7.98136,8.91555,8.44536,,8.50257,7.87686,,,
