country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,,17.7411,17.61527,,,,,,,25.09578,,,,,,
AFG,,,,,,,,13.2609,12.56712,8.53024,11.32094,12.03027,10.29234,11.98575,11.3072,
ALB,,,,,,,,,,,5.86682,,6.78368,9.82258,7.97805,
AND,,6.70211,6.94716,9.91968,11.05105,,17.78799,13.31665,13.52729,,16.375,11.27472,14.38817,13.63639,13.56321,13.93424
ARG,12.85688,12.94152,16.11186,16.7607,17.83472,19.1992,22.23454,19.26875,20.64525,20.75691,21.62494,21.31954,22.87436,21.59171,20.6226,
ARM,,,,,,,,,,,14.8701,14.57604,,,,
ATG,,,,,,,12.34896,,9.80909,,,,,,,
AUS,,,,,,,,,,16.08962,16.77557,16.54706,17.13625,14.98139,,
AUT,27.87828,26.59278,25.39476,25.70922,25.40733,26.29943,29.28391,28.43686,29.42218,26.71204,27.58908,27.05619,27.293,27.72044,,
BDI,,51.66644,51.76177,,,,44.65009,48.60981,40.64224,32.87148,31.24881,,,,,
BEL,,,,,,,,,,,24.52636,,,,,
BEN,20.13692,22.61676,,,,,,,,,13.80213,13.01251,11.34655,,,
BFA,,,20.79333,22.28991,29.17324,,,20.56827,22.74974,18.18041,15.59634,16.09687,17.26223,19.92959,,
BGD,11.27777,12.24151,,12.55229,12.11735,11.56194,10.31646,12.56133,11.21871,10.41856,,,,9.88363,,
BGR,19.76148,10.2099,21.24879,20.16032,19.53311,22.67286,23.35568,23.08243,20.71572,19.05691,22.18229,,,,,
BHR,,,,,,,,,,,15.90834,15.75927,17.50832,,,
BIH,,,,,,,,,,,,,,43.51293,,
BLR,,,,,,,,,,,,,,,35.66614,
BLZ,,19.22426,20.50685,20.68365,,22.04897,23.54643,26.17363,,23.12188,21.93179,23.80357,26.00505,26.1109,27.31837,
BMU,,12.34193,14.02632,,,,,17.8416,,,,12.55218,11.92934,,,
BRA,,11.44409,13.00607,,17.62629,19.06857,20.00857,20.97786,21.8504,19.66737,20.57305,20.56801,21.52655,,,
BRB,27.972,24.69735,22.6382,,23.00835,19.81998,20.81281,25.78739,,,,19.32011,,28.03908,,
BRN,,,,,,,,7.6387,,,,10.13979,,23.64457,,
BTN,,,,,,36.27318,33.41283,26.01151,30.14214,,32.38232,33.94304,29.42942,,,
BWA,,,43.55359,,40.62813,,35.86587,,,,,,,,,
CAF,,,,,,,15.42199,,,,,,,,,
CAN,,,,,,,,,18.32883,,,,,,,
CHE,26.6065,25.46407,25.36203,23.84324,22.80694,28.20173,26.9248,26.2857,25.89147,25.97821,26.41812,26.39044,24.45516,,,
CHL,15.48508,13.50403,12.63158,11.6756,12.64539,15.10256,16.47026,15.21726,15.16071,16.45029,15.01836,15.10182,16.63683,18.48666,18.68243,
CIV,,,,,,,,,,,,27.17591,24.16853,22.82275,20.80971,18.84725
CMR,,,33.94488,36.37686,30.89324,24.11163,26.14003,,17.95408,17.7737,,,,,,
COD,,,,,,,,9.53216,,,5.28871,,,,,
COL,,15.12669,14.4607,,9.91732,14.72197,14.98617,15.0084,14.43288,14.67586,16.23337,16.88747,15.68956,15.63588,17.26919,17.64699
COM,,,,,,,,,,,7.28925,8.48165,,,,
CPV,,,,19.25197,16.48019,15.67529,14.01267,,15.03213,,16.54934,16.34377,18.65404,19.87578,19.66117,
CRI,,16.99844,,16.19928,17.03938,17.85923,21.08531,23.13217,23.21991,24.28474,24.47234,23.93812,25.12593,24.03879,24.67935,21.14089
CUB,,44.23533,47.773,42.70407,53.50966,53.62812,50.73605,51.85674,,,,,,,,
CUW,,,,,,,,,,,22.93856,,,,,
CYM,,,19.71134,23.93685,,,,,,,,,,,,
CYP,33.95926,31.40003,32.41409,32.20445,32.53328,34.58471,37.3322,36.8753,37.82297,,38.33015,37.24,39.39051,39.29112,,
CZE,21.30214,21.12918,20.9006,21.09548,20.1969,20.79512,23.27179,23.26577,23.84082,24.1497,23.74451,23.53828,23.6677,22.30415,,
DEU,,,,20.29257,21.09132,21.07791,23.85787,23.88146,22.84118,23.04534,23.18698,23.19245,23.00137,22.95939,,
DJI,,,,,,31.06575,,,,,,,1.03886,0.72783,,
DMA,,,,,12.50769,14.92578,13.82207,15.21551,,,,,18.77678,,,
DNK,33.90776,34.44315,34.25592,33.52992,31.34546,30.44643,31.87939,32.50974,29.22918,27.67433,27.91977,31.13589,,,,
DOM,,3.13181,4.59898,,3.7282,5.88323,6.76881,6.31194,6.51963,7.9353,13.70653,13.64495,14.26615,14.91552,18.7182,15.09618
DZA,17.85554,,,,,,,,,,,,,,,
ECU,,,,,,,4.38387,4.26581,4.5863,4.45934,5.08401,4.94326,5.07928,5.2853,,
EGY,,,,,,,,,,,,,,,13.79696,
ERI,,9.30658,,,,,,,,,,,,,,
ESP,23.18286,23.213,22.88599,23.46748,23.70022,25.37782,27.61234,26.05485,25.89151,21.01442,18.50276,18.22419,18.49989,18.88163,,
EST,26.16631,24.89156,23.04911,,22.93953,28.77094,32.12687,30.97741,26.74646,27.10011,23.20386,23.77379,22.25324,21.17125,,
ETH,,,,,,,22.97527,22.79132,27.09463,25.76063,,,16.76439,,,
FIN,25.99888,31.06666,30.83827,30.50341,29.59148,30.83062,34.36908,34.8965,34.70223,25.94711,26.1282,26.07076,25.80386,24.75238,,
FJI,,16.11045,,,,,,,5.69328,,,,,,,
FRA,29.88208,29.29764,27.22036,27.19799,26.61552,27.04691,28.70418,28.38317,27.17835,26.82868,26.72217,26.78417,26.46082,26.28009,,
GBR,25.01142,23.79821,23.47328,24.47537,25.57833,26.49489,28.43834,31.19587,29.46259,,22.60496,22.87626,23.05669,21.18688,,
GEO,,,,,,13.6017,,,,,,,,,,
GHA,,42.85671,38.42101,30.15745,27.285,26.73242,26.9648,,26.31798,39.08224,19.33164,19.96045,,,,
GIN,,,,,,4.05917,,,8.01316,6.82725,,8.24883,,,,
GMB,,,,,,14.79477,13.0628,14.01971,,,,,,,,
GRC,19.13739,19.42418,20.66077,,,,,,,,,,23.52266,23.02147,,
GRD,9.79725,,,,,,,,,,,,,,10.89262,
GTM,,4.38736,4.47158,4.99263,6.07245,6.33345,,5.61372,4.91508,5.17897,5.46869,5.55752,5.06996,5.12475,5.09271,5.42101
GUY,,,,,10.29979,,9.6413,11.30234,10.41855,9.30185,,,,,,
HKG,19.06971,20.23283,19.03143,17.3331,15.79267,14.94756,16.04725,17.11238,17.3341,17.11454,18.66867,19.30654,20.3016,21.33223,22.20254,22.03149
HND,,,,,,,,,,,20.34188,,,,,
HUN,26.08295,23.05623,22.6056,22.7505,22.86989,22.40992,22.1381,21.2401,20.45278,18.50098,16.31046,23.07045,21.17405,23.05651,,
IDN,,,,,9.48922,9.42407,10.9866,8.28022,,10.2787,9.86514,9.95311,10.52216,,,
IND,20.30911,18.33907,17.26857,16.74737,,,13.59323,14.1265,15.22846,15.71915,16.8546,,,,,
IRL,18.51165,20.12035,20.64926,21.55856,22.52579,26.759,28.67095,27.67082,27.56937,25.84874,23.72087,21.61642,16.4223,15.94208,,
IRN,10.893,11.12458,10.68167,15.92368,18.76669,16.67108,17.3807,18.10703,13.95207,13.76346,17.89104,14.66707,14.37244,16.89063,17.52858,
ISL,20.97958,22.10474,22.04173,21.98723,20.5995,20.51894,20.85266,19.40782,19.60857,17.84044,18.11362,19.35348,20.35202,19.39879,,
ISR,18.324,17.86329,17.16103,17.25575,15.95278,17.0867,15.9144,15.30056,15.2685,18.16251,17.82235,17.66172,18.64104,18.65667,,
ITA,27.12478,25.90226,25.41326,26.91962,23.82647,25.24489,25.25676,23.94346,22.57048,22.53656,22.90814,22.22138,22.90489,,,
JAM,20.59758,18.0983,19.3919,,20.67751,27.82381,23.93507,25.0147,26.91643,,30.84302,24.15659,28.75004,27.60237,27.15691,29.72732
JOR,19.73128,18.54845,20.30219,17.61706,17.8379,16.58898,,,18.64112,,,,,,17.09086,15.58689
JPN,,,,,,,,,,,24.73159,24.01273,,24.05154,,
KAZ,,,,,,,,,,,18.6624,19.54299,19.15682,21.20877,,
KEN,20.79943,22.77824,,21.66303,,,,,,,,,,,,
KNA,,,,,,,,,,,,,12.43709,17.55246,,
KOR,,,,,,,,,,,,,,28.17817,,
KWT,19.01153,16.05232,15.45381,13.07471,,13.97006,,,21.75684,,,17.29438,,,,
LAO,,,,,,,7.56247,7.34751,7.98237,7.79207,14.51405,12.53244,,,,
LBN,,,,,,,,,,4.53323,6.3953,,,,,
LBR,,,,,,,,,,,,,17.73005,,,
LCA,,16.11956,,,,,15.82782,18.70998,19.16884,19.48157,21.05807,23.02499,26.01769,24.94055,,22.74112
LIE,10.99839,10.89959,,10.64002,10.08763,11.84644,,12.40095,13.34068,,,,,,,
LKA,,,,,,,,7.33734,7.37514,5.99061,6.2864,,,14.07718,11.52081,7.6737
LSO,,,49.2689,42.51518,,48.42486,,,,,,,,,,29.99591
LTU,19.6426,20.67074,19.32105,19.49586,18.97511,21.28845,25.74526,21.47123,19.26853,18.51143,18.30123,18.28679,17.42974,17.89823,,
LUX,23.40646,22.38807,22.60367,20.22111,18.5065,22.25933,,19.89421,17.70726,21.60472,19.89466,20.53711,19.40807,,,
LVA,22.93571,22.5048,,17.3995,21.72997,26.16182,30.33621,27.765,25.83417,34.982,36.94747,27.415,28.27553,26.43476,,
MAR,40.70512,38.16836,55.23619,34.28033,37.37614,32.85369,30.66528,34.25907,33.82673,36.35944,,,,,,
MCO,,6.2045,,,,,6.16719,5.90471,9.62806,12.41219,8.47234,5.0766,,4.9479,,
MDA,,,,,38.35193,31.61281,39.37079,32.78984,31.92282,31.59522,,32.40743,32.85989,30.51211,30.9975,31.08682
MDG,,,21.49602,15.4034,12.51796,13.59396,11.63491,,10.27007,8.40601,,,,,,
