country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,,28.02521,25.53799,,,,,,,53.10581,128.88226,103.68273,145.57715,100.24176,,
AFG,,,,,,,,,96.09478,,,58.22054,,,,
AGO,,,70.83172,82.14674,,,,,,,,,,,,
ALB,,,,,,,,,,,12.85083,,12.88117,14.64597,13.78559,
AND,,17.41199,14.29425,29.31536,,,,,,,16.79741,28.97051,27.73714,27.08058,23.66465,22.28547
ARG,10.37139,10.90728,11.70836,13.07729,14.23457,14.98778,17.68235,16.12808,15.94486,16.31633,16.77133,16.26738,17.24864,16.08373,16.91251,
ARM,,,,,,7.36693,7.10141,7.45566,7.21906,6.25931,6.87733,7.88383,9.83908,9.7656,9.88124,
ATG,,,,,,,15.48345,,,,,,,,,
AUS,,,,,,,,,,19.06647,22.28509,21.85707,21.46599,17.82954,,
AUT,,,,,36.85693,35.62528,36.21659,34.27502,31.49534,37.06478,36.28273,35.81112,35.98491,36.23652,,
AZE,,,,8.37469,9.55658,13.45055,22.3463,19.55726,18.04833,,,,17.88004,23.31199,19.39114,
BDI,,310.89871,242.08341,,,409.50155,391.45639,362.15911,345.65739,319.20286,308.79845,,,,,
BEL,,,33.67031,,,35.75914,36.52921,34.75718,33.49417,,32.88551,33.64922,32.32961,32.207,,
BEN,122.68317,128.31504,145.62578,118.3008,89.1136,92.54561,84.76538,63.11729,,95.09593,65.78954,60.33975,77.72193,,,
BFA,,,203.87723,226.02902,297.12571,,,226.34412,180.98275,170.6355,229.32942,121.19685,123.2152,351.47005,,
BGD,28.46752,36.7488,,36.36022,31.0707,30.03398,23.88228,,16.13114,23.48732,,,,29.90388,,
BGR,26.76978,16.79781,22.47607,21.22325,17.64733,23.21855,24.07497,14.73756,15.58112,15.98498,16.60156,,,,,
BHR,,,,,,,,,,,21.4294,,,,,
BIH,,,,,,,,,,,,,,23.73047,,
BLR,,27.03547,27.35101,28.6461,17.86961,,15.04818,14.55155,13.12466,14.26914,14.83151,14.90092,15.95206,17.04407,17.92244,
