country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,,,,,,,,,,,39.2,,,,,,
ALB,,,,61.5,,,,,,,,,61.9,,,,
ARM,,,,,64.3,,,,,,61.8,,,,,,
BDI,,,,,49.0,,,,,,,40.3,,,,,
BEN,41.1,,,,,,38.2,,,,,,25.2,,,,31.6
BFA,,,,,20.3,,,,,,,,,,,,
BGD,,,,,,,,,,,,,63.8,,,,
BHR,,,,,,,,,,,,,86.5,,,,
CIV,,,,,,,25.2,,,,,,,,,,
CMR,,,,,,38.1,,,,,,,34.8,,,,
COD,,19.3,,,,,,,30.7,,,,,,,,
COG,,,,,,,26.8,,,,,,,,,,
COM,,,,,,,20.8,,,,,,,,,,
DOM,,77.0,,,,,,,,,,,,,,,
ECU,,,,,,,,,,,,,86.7,,,,
ETH,,,,,,53.4,,,,,38.0,,,,,,
FJI,,,,,,,,,,,,,,,,61.6,
GAB,,,,,,,48.0,,,,,,,,,,
GEO,,,,,,,,,,,,,82.4,,,,
GHA,,,54.1,,,,,,52.0,,,,,,,,
GIN,,,,,,,22.7,,,,,,15.2,,,,
GMB,,,,,,,,40.5,,,,,,,19.5,,
GTM,,,,,,,,,,64.8,,,,,,,
GUY,,,,71.3,,,,,,,,,,,,,
HND,,,,,,,70.3,,,,,,,,,,
HTI,53.6,,,,,,56.3,,,,,57.1,,,,,
IND,,,,,,,,,,,,,,,,65.6,
JOR,,,,,,,72.6,,,,,,58.2,,,,
KEN,,,,,,,,,56.0,,,,,,,,64.8
KGZ,,,,,,,76.6,,,,,,,,,,
KHM,,,,,74.6,,,,75.6,,,,,,,,80.3
LBR,,,,,,,,67.2,,,,,,,58.8,,
LSO,,,,53.8,,,,,60.9,,,,,,,,
MDA,,,,,,,,,,,,,,,72.9,,
MDG,,,,73.6,,,,,,,,,,,,72.0,
MDV,,,,,,,,,,,,53.9,,,,,
MKD,,,,,,,,,,,,,,88.1,,,
MLI,9.6,,,,,,,6.5,,,,,5.3,,,,
MMR,,,,,,,,,,,67.5,,,,,,
MNG,,,,,,,,,,,,,63.2,,,,
MOZ,,,,,,49.1,,,,,,,,,,,
MRT,,,,,,,,,,,,,,,,25.3,
MWI,,,,,42.2,,,,,,44.7,,,,,,
NAM,,67.1,,,,,,71.2,,,,,,,,,
NER,9.3,,,,,,7.3,,,,,,,,,,
NGA,,,47.1,,,,,50.8,,,,,28.6,,,,
NPL,,,,,,59.5,,,,,47.6,,,,,,62.6
PAK,,,,,,,,,,,,,31.5,,,,
PAN,,,,,,,,,79.1,,,,,,,,
PHL,,,,,,,,,,,,79.8,,,,,82.3
PNG,,,,,,,,,,,,,56.7,,,,
RWA,,,,,60.1,,,,,69.5,,,,,61.3,,
SEN,,,,,,13.2,,,,7.1,4.9,5.8,,,,,
SLE,,,,,,,,40.2,,,,,,27.8,,,
SRB,,,,,,,,,,,,,,96.2,,,
STP,,,46.2,,,,,,,,,,,,,,
SWZ,,48.9,,,,,,,,,,,,,,,
TCD,,,,,,,,,,27.1,,,,,,,
TGO,,,,,,,,,29.6,,,,,,,,
TJK,,,,,,,40.9,,,,,27.2,,,,,
TKM,,,,,,,,,,,,,,59.3,,,
TLS,,,,,,,,,,,35.9,,,,,,
TZA,,,,,46.8,,,,,,,,,,,,49.6
UGA,48.0,,,,,49.0,,,,,58.5,,,,,,
UKR,,81.0,,,,,,,,,,,,,,,
UZB,,,,,,,,,,,,,,,,,70.4
ZAF,,,,,,,,,,,60.5,,,,,,
ZMB,,39.5,,,,,,,46.6,,,,46.5,,,,
ZWE,52.5,,,,,58.8,,,,59.9,,,,,,,
