country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALB,,,,,,,,,21.73611,,,,,,,,,,,
ARG,,,16.73611,,,,,17.5,,,23.41864,,,,,,,,,
ARM,,24.02778,,,,21.65833,,,,,,,,,,,,,,
AUS,,,,20.83333,,,,,,,,,,,,,,,17.11944,
AUT,,,,,,,19.06954,,,,,,,,,,,,,
AZE,,,,,,25.41667,,,,,,,,,,,,,,
BEL,,,15.0,,,,,,,,15.90278,,,,,,,,,
BGR,,,,,,,,18.47222,,,,,,,,,,,,
BLR,,,,,,,,,,,,,19.16667,,,,,,,
BRA,,,,,,,17.63889,,,13.18363,,,,,11.60814,,,,,
BTN,,,,,13.26389,,,,,,,,15.0,,,,,,,
CAN,,,15.83333,,,,,16.25,,,,,14.16667,,,,,,,
CHE,,18.10417,,,17.91667,,,16.74167,,,16.5375,,,16.83333,,,,17.3125,,
CHL,,,,,,15.927,,,,,,,22.10355,,,,,,,
CHN,,,,,,16.18056,,,,,,,,,,15.34722,,,,
CMR,,,,,,,,,,,,15.82086,,,,,,,,
COL,,,,,,,,,,,,,,,16.87229,,,,17.64085,
CRI,,,,,,,,,,,,,,,22.14571,,,,,
CUB,,,,,,,,,,,,,,21.0,,,,,,
DEU,,,,,,,,,,,16.44167,,,,,,,,,
DNK,,,,,,,15.625,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,16.70887,,,,,,
DZA,,,,,,,,,,21.66667,,,,,,,,,,
ECU,,,,,,,,,,19.74505,,,,,,,,,,
EGY,,,,,,,,,,,,,22.36111,,,,,,,
ESP,20.48611,,,,,,,18.95833,,,,,,,,,,,,
EST,,,,,,,,17.22222,,,,,,,,,,,,
ETH,,,,,,,,,,,19.30556,,,,,,,,,
FIN,,,,,,,,15.20417,,,,,,,,,,,14.05637,
FJI,,,,,,,,,,,,,,15.15812,,,,,,
FRA,,,,,,,,15.77314,,,,,,,,,,,,
GBR,,,,,,,,,,,,,12.65278,,,,,,,16.00522
GEO,,,,,,,,,,,,,,,,,,,17.78896,
GHA,,,,,,,15.48611,,,,,,,,,,,,,
GRC,,,,,,,,,,,,18.125,,,,,,,,
GTM,,,,,,,,,,,,17.76702,,,19.48273,,,,,
HKG,,,,,,,,,,,10.83333,,,,,,,,,
HND,,,,,,,17.29571,,,,,,,,,,,,,
HUN,,,,,,,,17.27674,,,,,,,,,,,,
IRL,,,20.55556,,,,,,,,,,,,,,,,,
IRQ,,,,,24.09722,,,,,,,,,,,,,,,
ITA,21.375,,,,,,20.5,,,,,19.95833,,,,,,,,
JPN,,,,15.55556,,,,,15.625,,,,,15.13889,,,,,14.70833,
KAZ,28.47222,,,26.11111,,,,,,17.08333,,,,,,18.95833,,,,
KGZ,,,23.75,,,,,18.75,,,,,16.80556,,,,,,,
KHM,,12.5,,,,,,,,,,,,,,,,,,
KOR,,14.58472,,,,,14.37361,,,,,14.57917,,,,,12.84722,,,
LAO,10.0,,,,,10.41667,,,,,10.41667,,,,13.6038,,,,,
LBR,,,,,,,,6.29234,,,,,,,,,,,,
LSO,15.55556,,,,,,,,,,,,,,,,,,,
LTU,16.7375,,,,,,,,,,,,,,,,,,,
LUX,,,,,,,,,,,,14.44444,,,,,,,,
LVA,18.26389,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,20.83333,,,,,,,,,,
MDA,,,,,,,,,,20.13841,,,,,,,,,,
MEX,,,,,,,31.04081,,,,,26.97042,,,,,27.76825,,,
MKD,,23.75,,,,,16.73611,,,,,,15.41667,,,,,,,
MNG,,,,,19.79167,,,,19.86111,,,,17.63889,,,,19.29129,,,
MUS,18.95833,,,,,,,,,,,,,,,,,,,
MWI,,,8.68056,,,,,,,,,,,,,,,,,
MYS,19.09722,,,,,,,,,,,,,,,,,,,
NLD,15.13889,,,16.94444,,,,,,14.72222,,,,,,,,,,
NOR,,,,,,,,,15.30833,,,,,,,,,,,
NZL,,,,,,,,18.05556,,,,,,,,,,,,
OMN,,,,,,18.88889,,,,,,,,,,,,,,
PAK,,,,,19.86111,,,,,,,,,,,,,,,
PAN,,,,,,,,,17.95164,,,,,,,,,,,
PER,,,,,,,,23.56031,,,,,,,,,,,,
POL,,20.55556,,,,,,,,,18.2625,,,,,,,,,
PRT,,,,,,,,,,,,,17.81135,,,,,,,
PRY,,,,,,,,,,,,,,14.52502,,,,,,
PSE,,,,,,,,,,,20.13889,,,,,,,,,
QAT,,,,,,,,,,,8.19444,,,,,,,,,
ROU,,,,,,,,,,19.02778,,,,,,,,,,
RUS,,,,,,,,,,,,18.40278,,,,,18.0,,,
SLV,,,,,,,,22.74799,,,,,,,20.21275,,,,,
SRB,,,,,,,,,20.23684,,,,19.16756,,,,,,,
SWE,,,,,,,,,16.04201,,,,,,,,,,,
THA,,,,,,,12.77778,,,,,,11.04167,,,,,,,
TUN,,,,21.94444,,,,,,,,,,,,,,,,
TUR,,,,22.00354,,,,,,,,,19.15117,,,,,,,
TZA,,,,17.08333,,,,,,,,16.45833,,,,,,,,
UGA,,,,,,,,,,,,,,,,14.58333,,,,
URY,,,,,25.20833,,,,,,19.87475,,,,,,,,,
USA,16.54167,16.625,16.5,16.25,16.08333,15.625,15.91667,15.29167,15.20833,15.29167,15.58333,15.54167,15.875,15.91667,15.41667,15.375,15.33333,,15.54167,15.08333
ZAF,,,,,,,,15.55556,,,,,,,,,,,,
