country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALB,,,,,,,,,3.47222,,,,,,,,,,,
ARG,,,6.11111,,,,,6.59722,,,9.2486,,,,,,,,,
ARM,,4.58333,,,,4.37083,,,,,,,,,,,,,,
AUS,,,,11.38889,,,,,,,,,,,,,,,11.71111,
AUT,,,,,,,10.05396,,,,,,,,,,,,,
AZE,,,,,,8.88889,,,,,,,,,,,,,,
BEL,,,9.23611,,,,,,,,10.06944,,,,,,,,,
BGR,,,,,,,,9.23611,,,,,,,,,,,,
BLR,,,,,,,,,,,,,9.51389,,,,,,,
BRA,,,,,,,5.97222,,,3.03476,,,,,5.13276,,,,,
BTN,,,,,5.06944,,,,,,,,5.90278,,,,,,,
CAN,,,10.0,,,,,10.41667,,,,,10.0,,,,,,,
CHE,,10.32917,,,10.90833,,,9.775,,,10.3875,,,10.80417,,,,11.47083,,
CHL,,,,,,5.06644,,,,,,,9.85396,,,,,,,
CHN,,,,,,6.18056,,,,,,,,,,5.90278,,,,
CMR,,,,,,,,,,,,4.56784,,,,,,,,
COL,,,,,,,,,,,,,,,4.59313,,,,5.23624,
CRI,,,,,,,,,,,,,,,8.37858,,,,,
CUB,,,,,,,,,,,,,,12.47024,,,,,,
DEU,,,,,,,,,,,10.375,,,,,,,,,
DNK,,,,,,,11.25,,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,3.78561,,,,,,
DZA,,,,,,,,,,3.75,,,,,,,,,,
ECU,,,,,,,,,,4.72192,,,,,,,,,,
EGY,,,,,,,,,,,,,2.43056,,,,,,,
ESP,6.73611,,,,,,,8.61111,,,,,,,,,,,,
EST,,,,,,,,10.76389,,,,,,,,,,,,
ETH,,,,,,,,,,,6.59722,,,,,,,,,
FIN,,,,,,,,10.49167,,,,,,,,,,,10.74958,
FJI,,,,,,,,,,,,,,5.19476,,,,,,
FRA,,,,,,,,9.49464,,,,,,,,,,,,
GBR,,,,,,,,,,,,,6.96528,,,,,,,12.25177
GEO,,,,,,,,,,,,,,,,,,,3.7089,
GHA,,,,,,,4.58333,,,,,,,,,,,,,
GRC,,,,,,,,,,,,7.01389,,,,,,,,
GTM,,,,,,,,,,,,2.35751,,,2.60537,,,,,
HKG,,,,,,,,,,,3.33333,,,,,,,,,
HND,,,,,,,4.31393,,,,,,,,,,,,,
HUN,,,,,,,,7.9796,,,,,,,,,,,,
IRL,,,8.95833,,,,,,,,,,,,,,,,,
IRQ,,,,,4.16667,,,,,,,,,,,,,,,
ITA,6.58333,,,,,,6.75,,,,,7.5,,,,,,,,
JPN,,,,2.70833,,,,,2.98611,,,,,3.125,,,,,3.75,
KAZ,17.36111,,,15.06944,,,,,,7.70833,,,,,,6.25,,,,
KGZ,,,9.65278,,,,,6.31944,,,,,9.51389,,,,,,,
KHM,,1.25,,,,,,,,,,,,,,,,,,
KOR,,2.77778,,,,,3.12361,,,,,3.60833,,,,,3.81944,,,
LAO,2.5,,,,,1.66667,,,,,2.5,,,,10.06278,,,,,
LBR,,,,,,,,2.57656,,,,,,,,,,,,
LSO,6.18056,,,,,,,,,,,,,,,,,,,
LTU,8.33333,,,,,,,,,,,,,,,,,,,
LUX,,,,,,,,,,,,7.08333,,,,,,,,
LVA,9.09722,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,,,2.98611,,,,,,,,,,
MDA,,,,,,,,,,11.2725,,,,,,,,,,
MEX,,,,,,,10.38447,,,,,9.70062,,,,,11.11167,,,
MKD,,8.125,,,,,5.55556,,,,,,5.41667,,,,,,,
MNG,,,,,8.26389,,,,9.09722,,,,6.38889,,,,7.59633,,,
MUS,4.79167,,,,,,,,,,,,,,,,,,,
MWI,,,1.25,,,,,,,,,,,,,,,,,
MYS,5.97222,,,,,,,,,,,,,,,,,,,
NLD,8.05556,,,9.79167,,,,,,9.23611,,,,,,,,,,
NOR,,,,,,,,,12.33333,,,,,,,,,,,
NZL,,,,,,,,10.55556,,,,,,,,,,,,
OMN,,,,,,7.5,,,,,,,,,,,,,,
PAK,,,,,1.80556,,,,,,,,,,,,,,,
PAN,,,,,,,,,7.57184,,,,,,,,,,,
PER,,,,,,,,8.94605,,,,,,,,,,,,
POL,,10.90278,,,,,,,,,9.92917,,,,,,,,,
PRT,,,,,,,,,,,,,10.2414,,,,,,,
PRY,,,,,,,,,,,,,,4.27041,,,,,,
PSE,,,,,,,,,,,2.98611,,,,,,,,,
QAT,,,,,,,,,,,2.22222,,,,,,,,,
ROU,,,,,,,,,,9.375,,,,,,,,,,
RUS,,,,,,,,,,,,8.125,,,,,7.8,,,
SLV,,,,,,,,7.84513,,,,,,,7.02928,,,,,
SRB,,,,,,,,,9.48935,,,,8.69038,,,,,,,
SWE,,,,,,,,,12.82797,,,,,,,,,,,
THA,,,,,,,3.33333,,,,,,3.25,,,,,,,
TUN,,,,2.70833,,,,,,,,,,,,,,,,
TUR,,,,3.55152,,,,,,,,,3.70575,,,,,,,
TZA,,,,4.58333,,,,,,,,4.23611,,,,,,,,
UGA,,,,,,,,,,,,,,,,7.5,,,,
URY,,,,,9.72222,,,,,,8.37738,,,,,,,,,
USA,9.875,9.79167,9.66667,9.58333,9.95833,9.41667,9.75,9.875,9.66667,9.33333,9.70833,9.70833,9.75,9.79167,9.875,9.54167,9.66667,,10.125,10.08333
ZAF,,,,,,,,6.45833,,,,,,,,,,,,
