country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,118.7,114.2,109.7,105.1,100.7,96.3,92.2,88.3,84.6,81.2,78.0,75.1,72.4,70.0,67.6,65.4,63.3,61.3,59.3,57.4,55.5
AGO,182.2,173.8,165.0,155.5,146.0,137.0,128.2,119.8,112.1,104.8,98.3,92.8,88.2,84.1,80.5,77.3,74.4,71.6,69.0,66.4,64.0
ALB,22.9,21.4,20.0,18.5,17.1,15.8,14.5,13.3,12.2,11.2,10.5,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5,9.4,9.4
AND,6.6,6.2,6.0,5.6,5.4,5.1,4.8,4.6,4.4,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3.0,2.9,2.8,2.7,2.6
ARE,10.1,10.0,9.8,9.6,9.4,9.2,9.0,8.8,8.6,8.4,8.2,7.9,7.7,7.3,7.0,6.7,6.3,6.0,5.6,5.3,5.0
ARG,17.8,17.3,16.7,16.2,15.8,15.4,14.9,14.4,13.9,13.3,12.7,12.2,11.7,11.4,11.0,10.7,10.5,10.3,10.0,9.8,9.6
ARM,26.5,25.2,24.0,22.8,21.7,20.6,19.7,18.7,17.8,17.0,16.2,15.4,14.6,14.0,13.3,12.7,12.1,11.6,11.0,10.5,10.0
ATG,14.0,13.6,13.3,13.0,12.7,12.4,12.2,11.9,11.7,11.5,11.3,11.2,11.0,10.8,10.6,10.5,10.3,10.1,9.8,9.6,9.3
AUS,5.9,5.8,5.7,5.6,5.4,5.2,5.0,4.8,4.5,4.3,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7
AUT,5.2,5.1,4.9,4.8,4.6,4.5,4.4,4.3,4.2,4.0,3.9,3.8,3.7,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.1
AZE,59.6,55.5,51.8,48.5,45.5,42.7,40.1,37.7,35.4,33.2,31.2,29.5,27.8,26.3,24.9,23.6,22.4,21.3,20.4,19.4,18.6
BDI,137.3,131.0,124.1,116.8,109.7,102.8,96.6,90.8,85.3,80.2,75.5,71.3,67.6,64.4,61.5,59.0,56.7,54.6,52.6,50.8,49.2
BEL,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.8,3.7,3.6
BEN,126.5,123.5,120.6,117.9,115.4,113.0,110.6,108.4,106.2,103.9,101.6,99.3,97.1,95.0,92.7,90.5,88.0,85.5,83.1,80.4,77.9
BFA,164.3,158.6,152.3,145.7,139.0,132.7,126.8,121.5,116.8,112.6,108.6,104.7,101.1,97.7,94.3,91.2,88.2,85.3,82.5,79.9,77.3
BGD,70.9,66.9,63.2,59.8,56.7,53.9,51.3,48.9,46.7,44.7,42.7,40.7,38.8,36.9,35.2,33.7,32.4,31.5,31.0,30.7,30.6
BGR,15.1,14.2,13.3,12.4,11.8,11.4,11.2,10.8,10.4,9.9,9.3,8.7,8.2,7.7,7.3,7.0,6.7,6.5,6.3,6.2,6.1
BHR,11.3,11.0,10.6,10.3,9.8,9.4,9.0,8.6,8.3,8.1,7.9,7.8,7.7,7.6,7.7,7.7,7.8,8.0,8.2,8.4,8.6
