country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,39.0,48.0,50.0,53.0,55.0,59.0,60.0,62.0,64.0,59.0,57.0,60.0,62.0,64.0,64.0,66.0,57.0,57.0,51.0,56.0,55.0
AGO,44.0,43.0,21.0,21.0,58.0,48.0,46.0,62.0,57.0,65.0,59.0,56.0,51.0,45.0,42.0,50.0,51.0,44.0,36.0,37.0,50.0
ALB,93.0,96.0,97.0,95.0,97.0,98.0,97.0,99.0,99.0,98.0,99.0,98.0,97.0,96.0,96.0,94.0,95.0,91.0,87.0,86.0,83.0
AND,96.0,98.0,94.0,91.0,94.0,98.0,98.0,99.0,99.0,98.0,95.0,96.0,96.0,97.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0
ARE,94.0,94.0,92.0,92.0,92.0,92.0,93.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
ARG,97.0,99.0,98.0,97.0,94.0,96.0,96.0,95.0,95.0,94.0,94.0,95.0,89.0,90.0,89.0,94.0,86.0,77.0,86.0,85.0,80.0
ARM,94.0,92.0,94.0,92.0,92.0,94.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,95.0,94.0,94.0,95.0,96.0
ATG,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,96.0,93.0,91.0,88.0,99.0,96.0,93.0,89.0,85.0,99.0,94.0
AUS,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,96.0,91.0
AUT,79.0,74.0,75.0,80.0,79.0,83.0,76.0,80.0,84.0,88.0,92.0,96.0,96.0,95.0,96.0,94.0,95.0,95.0,99.0,95.0,95.0
AZE,67.0,67.0,67.0,69.0,75.0,79.0,85.0,89.0,92.0,94.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,82.0,93.0,93.0,96.0
BDI,76.0,78.0,87.0,92.0,88.0,84.0,91.0,92.0,93.0,93.0,98.0,94.0,93.0,93.0,90.0,88.0,92.0,90.0,90.0,89.0,86.0
BEL,82.0,82.0,88.0,92.0,92.0,93.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
BEN,65.0,63.0,61.0,66.0,70.0,66.0,71.0,68.0,70.0,74.0,68.0,65.0,67.0,68.0,65.0,61.0,58.0,54.0,53.0,52.0,52.0
BFA,76.0,78.0,84.0,88.0,94.0,94.0,94.0,92.0,89.0,87.0,82.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,91.0,94.0
BGD,76.0,81.0,88.0,83.0,89.0,92.0,93.0,88.0,93.0,88.0,91.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
BGR,96.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,95.0,94.0,95.0,93.0,92.0,92.0,94.0,93.0,95.0,88.0,89.0,91.0,92.0
BHR,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BHS,90.0,89.0,85.0,88.0,96.0,90.0,98.0,94.0,90.0,91.0,92.0,92.0,94.0,89.0,90.0,89.0,83.0,87.0,82.0,80.0,86.0
BIH,84.0,88.0,90.0,85.0,96.0,84.0,93.0,91.0,89.0,94.0,92.0,89.0,83.0,68.0,69.0,68.0,65.0,61.0,61.0,58.0,55.0
BLR,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0,97.0,98.0,98.0,97.0
BLZ,96.0,97.0,95.0,99.0,96.0,96.0,97.0,98.0,98.0,96.0,99.0,95.0,96.0,95.0,90.0,97.0,96.0,82.0,79.0,81.0,93.0
BOL,96.0,90.0,89.0,88.0,86.0,92.0,93.0,88.0,96.0,92.0,87.0,89.0,95.0,94.0,83.0,89.0,79.0,74.0,75.0,69.0,68.0
BRA,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,87.0,92.0,91.0,79.0,73.0,81.0,87.0
BRB,90.0,98.0,93.0,92.0,75.0,94.0,94.0,85.0,93.0,90.0,87.0,95.0,96.0,92.0,92.0,85.0,92.0,89.0,77.0,85.0,89.0
BRN,98.0,99.0,98.0,97.0,97.0,99.0,99.0,94.0,91.0,95.0,96.0,97.0,96.0,98.0,97.0,99.0,97.0,99.0,99.0,97.0,97.0
BTN,88.0,87.0,93.0,90.0,95.0,99.0,94.0,95.0,95.0,95.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,93.0,97.0,97.0,99.0
BWA,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,87.0,97.0,90.0,97.0
CAF,49.0,55.0,62.0,61.0,59.0,58.0,56.0,53.0,49.0,48.0,25.0,47.0,46.0,45.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
CAN,95.0,94.0,94.0,93.0,94.0,93.0,91.0,90.0,88.0,89.0,90.0,90.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0
CHE,82.0,82.0,87.0,87.0,87.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,97.0,95.0,96.0,95.0
CHL,96.0,94.0,90.0,91.0,92.0,96.0,93.0,93.0,91.0,90.0,90.0,97.0,96.0,93.0,93.0,93.0,95.0,91.0,92.0,94.0,94.0
CHN,85.0,86.0,86.0,93.0,94.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0
CIV,70.0,78.0,84.0,73.0,67.0,63.0,67.0,64.0,49.0,74.0,69.0,59.0,67.0,73.0,70.0,74.0,71.0,63.0,65.0,62.0,70.0
CMR,61.0,64.0,68.0,73.0,74.0,80.0,74.0,79.0,76.0,74.0,71.0,71.0,71.0,72.0,67.0,61.0,61.0,63.0,65.0,68.0,71.0
COD,49.0,57.0,61.0,63.0,64.0,64.0,65.0,66.0,66.0,69.0,68.0,69.0,65.0,63.0,65.0,64.0,65.0,62.0,55.0,56.0,52.0
COG,50.0,65.0,54.0,61.0,59.0,69.0,63.0,75.0,83.0,80.0,80.0,80.0,80.0,67.0,70.0,75.0,73.0,68.0,68.0,65.0,65.0
COL,93.0,92.0,94.0,95.0,95.0,92.0,95.0,88.0,88.0,94.0,92.0,91.0,94.0,93.0,93.0,95.0,95.0,90.0,86.0,88.0,93.0
COM,67.0,76.0,67.0,66.0,65.0,76.0,79.0,72.0,79.0,85.0,82.0,80.0,81.0,77.0,75.0,74.0,76.0,75.0,68.0,71.0,70.0
CPV,90.0,91.0,92.0,94.0,95.0,96.0,97.0,97.0,96.0,91.0,91.0,93.0,92.0,93.0,96.0,99.0,98.0,95.0,95.0,95.0,95.0
CRI,89.0,88.0,89.0,90.0,90.0,89.0,81.0,83.0,83.0,90.0,91.0,95.0,93.0,93.0,96.0,94.0,95.0,95.0,89.0,90.0,93.0
CUB,99.0,99.0,98.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0
CYP,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,90.0,90.0,90.0,90.0,86.0,86.0,86.0,84.0,82.0
CZE,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,96.0,92.0,94.0,97.0,97.0,87.0
DEU,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
DJI,66.0,60.0,65.0,67.0,74.0,73.0,84.0,85.0,84.0,83.0,80.0,71.0,74.0,75.0,81.0,86.0,83.0,62.0,50.0,50.0,76.0
DMA,99.0,99.0,98.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,93.0,94.0,96.0,96.0,77.0,84.0,92.0,92.0,88.0,87.0,87.0
DNK,96.0,96.0,95.0,90.0,89.0,87.0,84.0,85.0,87.0,90.0,89.0,90.0,91.0,94.0,97.0,95.0,96.0,94.0,95.0,95.0,95.0
DOM,83.0,81.0,79.0,81.0,82.0,83.0,84.0,85.0,87.0,88.0,83.0,88.0,90.0,85.0,86.0,91.0,96.0,82.0,88.0,91.0,94.0
DZA,84.0,81.0,83.0,91.0,92.0,88.0,92.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,88.0,80.0,80.0,80.0,79.0,79.0,99.0
ECU,99.0,99.0,93.0,97.0,98.0,98.0,97.0,95.0,94.0,96.0,97.0,85.0,84.0,86.0,81.0,83.0,83.0,81.0,65.0,74.0,74.0
EGY,98.0,97.0,98.0,98.0,97.0,92.0,95.0,96.0,96.0,93.0,96.0,93.0,92.0,95.0,94.0,94.0,95.0,94.0,96.0,96.0,96.0
ERI,92.0,96.0,95.0,94.0,92.0,91.0,93.0,95.0,96.0,98.0,94.0,90.0,97.0,95.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
ESP,98.0,97.0,97.0,97.0,97.0,98.0,98.0,95.0,97.0,97.0,95.0,96.0,96.0,97.0,98.0,98.0,98.0,96.0,95.0,96.0,96.0
EST,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,87.0,88.0,91.0,89.0,89.0,89.0
ETH,35.0,35.0,40.0,44.0,49.0,54.0,59.0,64.0,68.0,62.0,55.0,54.0,55.0,57.0,58.0,54.0,57.0,59.0,53.0,55.0,61.0
FIN,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,97.0,97.0,97.0,96.0,95.0,94.0,94.0,96.0,96.0,95.0,93.0,94.0,94.0
FJI,86.0,88.0,90.0,92.0,94.0,95.0,95.0,96.0,96.0,98.0,94.0,99.0,97.0,97.0,99.0,95.0,96.0,96.0,99.0,99.0,99.0
FRA,87.0,88.0,87.0,89.0,90.0,89.0,89.0,89.0,89.0,91.0,90.0,91.0,91.0,90.0,90.0,90.0,92.0,94.0,94.0,95.0,95.0
FSM,91.0,85.0,96.0,83.0,92.0,86.0,86.0,80.0,92.0,91.0,91.0,83.0,74.0,70.0,76.0,73.0,78.0,79.0,64.0,69.0,86.0
GAB,55.0,55.0,55.0,55.0,62.0,67.0,63.0,62.0,72.0,71.0,70.0,61.0,68.0,64.0,63.0,59.0,62.0,53.0,64.0,52.0,66.0
