country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.45,0.47,0.46,0.46,0.44,0.45,0.42,0.4,0.38,0.34,0.36
AGO,,,0.8,,,,,,,,,,,,,,0.75,,
ALB,3.08,3.07,3.06,3.11,3.09,3.08,3.0,2.99,2.89,2.89,2.9,2.88,2.85,2.84,2.84,2.84,2.85,2.91,
AND,3.15,2.68,2.58,2.57,2.75,2.81,2.5,,,,,,,,,,,,
ARE,2.15,1.95,1.43,1.88,1.42,1.26,1.15,1.04,1.06,1.11,1.12,1.2,1.39,1.4,1.48,1.63,1.87,1.94,1.98
ARG,,,4.0,,,,,4.5,4.41,4.6,4.8,4.86,4.97,4.97,5.02,3.71,3.71,3.2,3.34
ARM,4.61,4.65,4.71,4.72,4.37,4.14,4.07,4.13,4.18,4.2,4.23,4.33,4.35,4.36,4.37,4.28,4.18,4.59,
ATG,2.5,2.4,2.4,2.4,2.0,1.7,2.2,2.2,2.13,,3.98,3.93,4.01,3.36,3.24,,,3.29,
AUS,3.97,4.0,3.9,3.92,,3.82,3.78,3.78,3.78,3.75,3.74,3.79,3.82,3.84,,,,,
AUT,7.73,7.74,7.69,7.66,7.75,7.69,7.68,7.65,7.68,7.67,7.64,7.58,7.54,7.42,7.37,7.27,7.19,7.06,
AZE,7.17,7.13,7.1,6.96,6.83,6.71,6.58,4.46,4.07,4.1,4.13,4.29,4.08,4.08,3.94,3.9,3.9,,
BDI,,,,0.7,,,,,,1.02,0.73,0.71,,,,,,,
BEL,6.51,6.46,6.41,6.33,6.25,6.24,6.15,6.13,6.1,6.03,5.96,5.87,5.85,5.77,5.66,5.61,5.56,5.52,5.48
BEN,,,0.5,,,,,0.45,0.49,0.48,0.47,0.46,0.44,0.43,0.44,0.46,0.42,0.47,0.45
BFA,,,,0.9,,,,0.4,,,,,,,,,,0.2,
BGD,,,0.3,,0.36,0.38,0.5,0.55,0.55,0.63,0.59,0.6,0.77,0.8,0.85,0.88,0.88,,
BGR,6.21,6.07,6.35,6.14,6.32,6.45,6.55,6.45,6.28,6.45,6.66,6.99,7.11,7.15,7.34,7.47,7.66,7.77,
BHR,2.45,2.29,2.25,2.1,1.96,1.89,1.77,1.76,2.05,2.0,2.01,1.96,1.9,1.84,1.77,1.8,1.74,,
BHS,3.21,3.17,3.07,3.03,3.01,2.97,2.95,2.88,2.84,2.81,2.78,2.71,2.79,,2.93,2.72,2.7,2.69,2.68
BIH,1.93,1.97,2.01,2.0,2.04,2.05,2.17,2.26,2.3,2.33,2.26,2.34,2.36,2.39,2.39,2.38,2.34,,
BLR,10.55,9.98,10.4,10.47,10.53,10.44,10.4,10.61,10.42,10.45,10.24,10.08,10.02,9.84,9.78,9.71,9.69,,
BLZ,1.2999999523,1.3,1.2,1.3,1.2,1.14,1.11,1.12,1.09,1.08,1.08,1.03,0.96,0.94,1.04,1.03,,,
BOL,1.0,1.0,1.06,1.09,1.09,1.08,1.05,1.06,1.04,1.07,1.08,1.11,1.18,1.22,1.25,1.25,1.26,1.36,1.35
