country_code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,,,,,,,0.03,,,,
ALB,,,7.07,,,11.63,,,,,
AND,,,,,,,60.27,,,,83.11
ARG,,,,,,,10.47,,,,50.05
ARM,,,,,,,73.65,98.95,,86.66,
ATG,,,,,,,14.04,,,,
AUS,,,,,49.33,,,72.58,45.11,,
AUT,,,,,,,141.15,109.88,,,
AZE,,,,,62.93,,67.63,,,,
BDI,,,,,,,,,0.17,,0.4
BEL,,,,,73.53,,65.38,89.76,,,
BEN,,,,,,,1.86,,,,
BFA,,,,,,,0.59,,,,
BGD,,,,,,2.93,3.02,,,,2.91
BGR,,,,,,120.83,,,,,112.71
BHR,,,,,24.44,,,14.36,,,
BIH,,,,,,26.73,32.3,,,,
BLR,,,,,,121.32,124.24,,,,
BLZ,,,,,,,10.47,,,,
BOL,,,,,33.87,,,,,,
BRA,,,,,,31.93,,,34.74,,55.47
BRB,,,,,,,17.2,,,,
BTN,,,,,,,2.87,,,,
BWA,,,,,,,3.64,,,,
CAF,,,,,,,0.38,,,,
CAN,,,,,,36.27,,35.29,43.87,,
CHE,,,,,,,96.27,,,94.76,
CHL,,,,,59.32,,,,,,
CHN,,,,,40.13,,,,,,
CIV,,,,,,,2.81,,,,
CMR,,,,,,1.15,,,,,
COD,,,,,,0.19,,,,,
COG,,,,,,0.22,,,,,
COL,,,,,,,16.21,22.71,,,
CPV,,,,16.04,,,,,,,
CRI,,,,,,,22.3,,,,25.46
CUB,,,,,,112.94,,,,100.89,
CYM,,,,,,,172.41,156.75,,,
CYP,,,,,,,79.83,,,,84.42
CZE,,,,,,124.52,,,,,
DEU,,,,,,112.85,,108.0,,,
DJI,,,,,,4.42,,,,,
DMA,,,,,,,11.25,,,,
DNK,,,,,67.85,,68.98,,,,
DZA,,,,,,12.13,,,,,
ECU,,,,,,,59.39,,,,
EGY,,,,,,,50.08,,,,
ERI,0.4,,,,,,,,,,
ESP,,,,,,,79.9,,,,
EST,,,,,,,126.56,,,64.98,
ETH,,,0.67,,,,0.56,,0.54,,
FIN,,,,,,,76.3,,,,
FJI,,,,,,,4.18,,5.8,,5.43
FRA,,,,,,54.72,63.06,58.63,,,
FSM,,,,,,,,,7.0,,
GBR,,,,,,,92.39,133.3,,,
GEO,,,,,71.52,,,125.01,130.44,,
GMB,,,,1.03,,,1.82,,,,
GRC,,,,,,144.99,166.81,163.54,,,
GRD,,,,,,,11.32,,,,12.56
GTM,,,,,,,3.4,,,,
GUY,,,,,,,8.78,,,,
HKG,,,,,,,27.84,,,,
HND,,,,,,,13.68,,,,
HRV,,,,,,84.33,,81.24,,,
HTI,,,,,,,4.49,5.88,,,
HUN,,,,56.7,,,,,,55.69,
IMN,,,,,,,48.28,52.4,,,
IND,,,,,,,6.82,,,,
IRL,,,,,,,51.92,49.56,,,71.97
IRN,,,,,,,5.02,,,,
IRQ,,,,,,7.64,,,,,
ISL,,,,,,,78.89,101.57,,,
ISR,,,,,,60.13,,75.59,,,
ITA,,,,,,121.48,114.03,,,142.4,
JAM,,,,,,,11.2,,,,
JOR,,,,,,,,24.49,,,
JPN,,,,,,31.25,37.36,,,,
KAZ,,,,,72.88,,,73.15,,,
KEN,,,,,,,1.72,,2.35,,
KGZ,,,,,,60.39,50.06,,,,
KHM,,,,,,,,,,,4.2
KIR,,,,,,,4.57,,8.2,,
KNA,,,,,,,33.48,,,,
KOR,,,,,,,49.63,,,,
LAO,,,,,,,2.86,,,3.68,
LBN,,,,,,,87.4,,,,
LBR,,0.6,,,,,,,,,
LCA,,,,,,,23.56,,,,
LIE,,,,,,,97.3,71.94,,,
LKA,,,,,,,3.03,2.78,,,
LSO,,,,,,,0.57,,,,
LTU,,,,,,137.8,,130.92,,,
LUX,,,,,,,84.35,75.83,80.75,,
LVA,,,,,,,91.1,,67.62,,
MAR,,,,12.04,,,,,3.66,,
MCO,,,,,,,195.6,,,,
MDA,,,,,,49.37,86.12,,,,
MDG,,,,,,0.61,,,0.78,,
MDV,,,,,,,4.83,,,,
MHL,,,,15.92,,,,,,,
MKD,,,,64.62,,,,61.22,,,
MLI,,,,,,,1.05,,,,
MLT,,,,,,,85.71,84.85,,113.46,
MMR,,,,,,2.42,,,,,
MNE,,,,54.03,,,,57.68,64.12,,
MNG,,,,,,,45.03,,,,
MOZ,,,,,,1.1,,,0.56,,0.53
MUS,,,,,,,17.58,,,,
MWI,,,,,,,0.48,,0.43,,
MYS,,,,12.17,,,,,11.43,,
NAM,,,,,,6.13,,,,,
NER,,,,,,,0.41,,,,
NGA,,,,,,,1.37,,,,
NIC,,,,,,31.45,15.47,,,,
NLD,,,,,,52.84,50.36,48.97,,,
NOR,,,,,,65.98,61.92,,,67.16,
NPL,,,,,,,2.96,,,,
NRU,,,,,,,33.33,,30.0,,
NZL,,,,,37.83,,,39.36,43.0,,
OMN,,,,,,24.14,,,,30.48,
PAK,,,,,5.29,,5.53,,,,
PAN,,,,,,,26.22,,,,
PER,,,,,,,42.88,,,,
PHL,,,,,,,9.56,,,,
PNG,,,,,,,,,2.3,,
POL,,,,,,,67.65,67.86,,,
PRT,,,,,,87.8,84.04,86.09,,,
PRY,,,,,,,14.38,,,,20.53
PYF,,,,,,,32.62,,,,
QAT,,,,14.49,,,,,,,
ROU,,,,,,61.72,,60.53,,,
RUS,,,,,,,63.12,,,,
RWA,,,,,,,0.74,,0.75,,
SDN,,,,,,,2.67,,,,
SEN,,,,1.05,,,,,,,
SGP,,,,,,31.45,,,,,
SLB,,,,2.23,,,,,2.5,,
SLE,,,,,0.13,,,,,,
SLV,,22.26,,,,,,,,,
SMR,,,,,,,112.5,,,112.86,
SOM,,,,,,,0.16,,,,
SRB,,,,,72.02,,72.55,,86.72,,
SSD,,,,,,0.32,,,,,
SVK,,,,,,,57.17,,,,53.9
SVN,,,,,,72.82,,,,,66.7
SWE,,,,,85.45,,,113.11,,,
SWZ,,,0.17,,,,,,,,
SYC,,,,,,,34.78,45.21,,,48.57
TCD,,,,,,0.29,,,,,
TGO,,,,,,,0.51,,,,
THA,,,,,,,13.09,,,,
TJK,,,,,,,41.68,,,,
TKM,,,,,,69.25,58.81,,,,
TLS,,,,,,,0.6,,0.9,,
TON,,,,,,,4.95,,14.0,,
TTO,,,,,,,30.9,,,,
TUN,,,,,,,11.54,,,,
TUR,,,,,,55.76,50.11,47.63,,,
TUV,,,,,,,,,18.5,,26.07
TZA,,,0.35,,,,,,0.46,,
UGA,,,,,0.95,,,,1.05,,
UKR,,,,,100.03,,86.55,,,,
URY,,,,,,,38.9,,,,
USA,,,,64.56,,,,54.71,,,
UZB,,,,,43.58,,50.43,,,,
VCT,,,,,,,12.84,,,,23.59
VEN,,,,,,,18.13,,,,
VUT,,,,,,,3.41,,3.2,,
WSM,,,,,,,7.28,,1.6,,
YEM,,,,,,,0.82,,,,
ZAF,,,,,,,11.42,,,,
ZMB,,,,,1.08,,,,1.48,,
ZWE,,,,,,,1.41,,1.55,,
