country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,72.6,69.4,66.4,54.7,49.7,29.7,20.6,34.3,31.3,29.8,33.6,38.1,41.2,35.1,36.6,47.6,50.5,55.0,54.4,51.7
ALB,19.0,13.3,11.7,10.1,9.6,8.7,12.7,13.2,8.1,7.5,7.7,12.3,9.1,9.7,8.9,5.3,4.8,4.7,5.2,3.1
ARE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,2.9,,,4.6,1.2,0.2,0.1,0.1,0.2,0.4
ARG,16.4,12.6,13.3,10.7,9.2,7.1,5.7,5.1,3.9,3.2,3.0,3.6,3.5,4.3,2.9,3.7,4.8,4.6,5.0,4.5
ARM,65.7,58.2,45.6,33.0,27.4,33.0,36.2,38.6,36.8,31.5,34.5,34.1,38.6,38.9,34.9,33.1,22.9,19.6,21.6,19.0
AUS,0.5,0.4,0.3,,,0.6,0.2,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.1,
AUT,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2
AZE,70.1,62.9,46.2,30.5,12.6,12.1,11.6,30.0,23.1,,,,,,,,,,,
BDI,99.2,,,99.5,97.5,99.3,98.9,98.4,96.5,94.1,87.5,,,,,97.6,,97.8,99.9,97.8
BEL,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,57.8,58.0,57.6,57.6,55.6,53.5,52.3,,50.0,,,50.1,51.9,54.4,51.9,45.8,47.4,,,
BFA,68.3,62.6,63.7,63.0,54.0,61.1,59.8,59.9,62.3,59.4,59.5,55.9,62.7,56.9,50.3,60.1,58.6,58.7,58.4,56.2
BGD,89.7,86.5,85.9,84.2,81.5,81.1,80.5,79.3,76.6,74.9,73.9,73.4,72.3,70.3,66.1,61.6,60.5,61.1,56.8,51.0
BGR,17.8,16.9,14.6,9.7,8.7,5.8,7.1,7.9,6.9,8.8,7.9,7.7,9.1,10.9,10.2,9.4,7.1,6.6,,5.0
BIH,5.6,13.8,9.8,8.5,10.4,8.9,4.4,4.5,3.6,3.4,3.3,3.0,3.3,3.0,2.9,2.8,2.6,2.6,2.4,2.2
