country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,66.1,64.0,64.1,62.7,59.6,51.4,51.5,54.7,53.0,51.5,50.6,48.9,45.8,39.0,41.7,50.1,51.7,56.8,55.7,54.2
ALB,14.8,10.2,8.2,7.0,5.9,4.3,7.0,6.7,3.2,3.1,3.5,6.6,4.7,5.3,4.7,2.5,2.2,2.2,3.8,1.8
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4,,,0.6,0.4,0.0,0.0,0.0,0.0,0.1
ARG,23.4,19.3,17.4,14.6,13.1,10.8,10.6,9.2,7.4,6.5,6.0,7.0,7.0,7.3,6.1,6.8,8.8,9.9,8.6,7.7
ARM,28.5,29.7,23.9,13.0,12.0,9.2,9.2,10.3,9.1,7.3,8.1,8.6,11.1,11.5,9.8,9.6,4.2,2.5,3.9,3.3
AUS,0.1,0.1,0.1,,,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,73.9,70.1,62.2,47.5,26.2,23.9,21.8,40.3,30.5,,,,,,,,,,,
BDI,99.9,,,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,,,,,100.0,,100.0,100.0,100.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,67.2,67.6,67.3,67.7,67.0,66.3,66.3,,66.1,,,65.8,65.8,66.3,66.0,64.0,63.9,,,
BFA,91.5,92.2,88.4,87.8,90.3,86.4,89.9,86.3,85.7,83.8,82.9,88.0,83.4,82.7,86.9,84.3,84.2,84.3,84.1,82.2
BGD,98.5,97.0,96.1,95.5,93.7,93.0,92.6,92.2,90.6,89.3,87.9,87.0,85.2,84.3,82.0,77.9,75.9,75.0,71.2,67.3
BGR,16.0,14.6,12.7,6.9,6.2,3.9,4.5,5.5,4.4,5.3,5.8,6.1,6.8,8.2,7.7,7.7,6.1,6.2,,4.6
BIH,5.9,9.1,5.0,4.4,6.2,5.3,5.2,5.5,4.7,4.5,4.4,4.1,4.4,4.1,3.9,3.6,3.3,3.5,3.1,2.9
BLR,20.5,14.3,12.8,9.8,8.3,4.5,4.5,3.9,3.0,1.8,1.3,1.4,1.0,0.9,0.7,0.7,0.5,0.4,0.3,0.9
BLZ,25.8,25.6,26.1,30.6,31.3,27.6,32.8,29.0,32.8,36.7,31.6,35.6,35.4,27.4,27.9,27.8,35.7,38.5,35.7,34.5
BOL,61.8,65.9,66.7,65.4,63.8,61.2,59.8,55.7,56.4,55.6,54.5,53.0,50.7,48.9,47.2,44.2,42.7,48.1,44.5,43.5
BRA,27.5,27.2,26.8,25.6,23.5,21.3,20.4,22.4,18.4,18.2,17.1,16.8,16.8,18.9,18.7,19.0,18.3,13.9,18.3,24.1
BTN,50.2,41.0,41.2,33.4,51.7,56.9,,,47.6,50.5,28.6,32.5,28.8,,26.7,,25.5,14.0,15.1,10.6
BWA,51.8,55.3,55.0,53.2,50.2,43.6,43.0,42.3,41.6,40.3,39.1,39.0,30.2,30.1,30.2,37.7,38.0,37.9,38.1,37.5
CAF,,91.4,90.7,90.0,89.2,89.3,,,,,,,,,,,,,,
CAN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
CHE,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
CHL,19.7,19.2,18.1,12.9,10.4,10.4,11.3,7.9,8.6,8.1,7.4,7.6,6.1,7.3,5.8,6.0,8.1,6.7,14.3,
CHN,70.4,67.7,64.2,59.6,52.6,51.5,47.3,43.3,36.9,33.6,28.0,24.8,21.4,19.1,17.6,15.1,13.3,12.9,6.7,6.3
CIV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,100.0,99.9,99.8,99.7,100.0,100.0
CMR,62.9,61.8,60.1,58.9,59.1,58.0,57.4,57.9,57.3,,,55.4,52.5,52.8,52.0,50.7,50.2,51.4,50.6,50.5
COD,99.7,99.2,99.1,98.9,99.0,99.1,99.1,98.9,99.3,98.8,98.2,97.8,97.5,97.5,97.7,97.9,,98.0,,98.0
COG,78.9,75.7,74.1,69.5,68.5,65.4,67.2,67.5,66.8,65.8,67.1,64.3,60.3,62.2,74.0,73.0,68.1,,,68.0
COL,29.0,30.9,28.6,33.5,32.6,28.2,27.1,26.4,24.4,22.5,21.9,21.3,19.1,18.8,17.5,18.1,18.7,22.3,17.8,25.1
COM,,58.2,52.1,58.3,58.2,57.5,,,,54.9,54.5,47.0,48.2,,,,45.2,44.8,45.2,45.8
CPV,27.0,31.9,31.9,26.7,31.7,37.4,36.1,26.2,25.7,24.9,24.7,24.8,24.4,22.7,19.6,18.8,18.2,21.8,21.7,28.0
CRI,19.9,18.2,17.0,18.6,18.0,16.1,18.5,14.8,14.7,13.7,14.1,13.2,12.6,12.7,11.9,11.2,11.5,13.0,12.3,10.4
CYP,0.4,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.3,0.7,1.5,1.2,0.7,0.4,0.3,0.4,0.2,0.1,0.1,0.3
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJI,,,,,18.2,20.4,18.8,,,,,,,,,,,,,
DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,30.2,31.2,28.6,28.7,22.4,20.7,20.4,17.6,17.6,15.4,17.2,12.7,12.5,12.7,9.0,9.7,7.6,6.3,5.2,7.5
DZA,41.6,,,,40.6,38.3,22.9,21.3,19.4,32.4,31.5,30.5,30.0,29.7,29.9,29.5,29.4,31.5,29.6,29.1
ECU,39.0,38.9,37.2,35.7,35.6,31.2,29.9,28.2,24.6,23.9,23.9,21.5,23.1,22.8,22.1,22.5,23.2,27.8,23.7,22.7
EGY,46.0,45.3,45.3,40.1,40.6,37.7,36.4,33.6,31.6,27.3,28.7,30.1,29.5,28.2,26.5,27.3,27.7,25.2,23.7,23.2
ESP,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.2
EST,16.1,11.0,9.1,8.0,4.3,4.5,5.8,7.2,7.0,6.5,8.2,7.9,5.7,4.1,3.7,3.1,3.0,2.5,,
ETH,78.2,75.8,,70.3,70.3,69.0,65.3,61.2,,,51.4,49.1,45.1,44.5,41.4,41.4,,,29.1,27.7
FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
GAB,,,25.5,24.9,24.0,24.1,23.5,20.3,19.7,19.1,18.2,17.7,17.3,17.2,13.3,18.3,18.6,19.4,20.2,21.1
GBR,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,32.6,28.1,26.0,23.1,22.4,20.3,17.3,16.6,14.8,13.1,12.0,9.9,8.0,9.1,9.0,6.8,5.5,4.0,2.7,3.1
GHA,70.0,68.3,66.0,59.2,53.8,48.6,43.2,42.4,34.9,40.2,26.5,30.1,,39.6,38.3,37.5,33.5,24.3,22.6,25.6
GIN,84.0,81.9,87.1,78.2,76.7,77.8,78.8,80.3,,80.8,75.1,,76.6,74.4,76.3,77.6,72.6,,,
GMB,71.4,70.6,68.3,69.3,72.1,70.0,69.6,68.3,,75.7,75.2,76.6,79.6,78.3,75.8,73.1,72.4,74.7,73.9,73.6
GNB,88.2,90.9,89.5,86.2,85.2,86.5,86.5,81.8,88.2,85.3,85.9,87.3,85.7,83.4,79.7,89.9,84.7,86.4,82.2,81.3
