country_code,2003,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,229.0,,,,,,,,,,,,,,,
ALB,,,,,,,,,1900.0,,,,,,,,2000.9,,
AND,,,,,,,,,,5238.0,,,,,,,,,
ARM,,,,,,,,,,,4198.0,,,,,5080.0,,,
AUS,,,,,,,,,,,28907.0,10156.0,,,,,,,
AUT,,,,,,,,,,13795.0,,,,,,,,,
AZE,,,,,,,,,,,1842.0,,2834.0,,,,,,
BEL,,,,,,,,,20712.0,,,,,,,,,,
BFA,,,,,,,,328.0,,,,,,,,,,,
BGD,,,,,,,162.0,,,,,,,,,,,,
BGR,,5145.0,,,,6757.0,,,,,,,,,,,,,
BHR,,,,,,,,3999.0,,,,,,,,,,,
BIH,,,,,3596.0,,,,,,,,,,,,,,
BLR,,,,,,,,,,8741.0,,,,,,6945.0,,,
BLZ,,,,,,,,,,1964.0,,,,,,,,,
BOL,,,,,,2305.0,,,,,,,,,,,,,
BRA,,,,,,,,,,,13674.0,,,,,,,,
BRB,,,,,,,,,,,,,,966.3,,,,,
BTN,,,,,,,,,,,2639.0,,,,,,,2909.0,
CAN,,,,,,,,,,,,,,,,,6928.0,,
CHE,,,,,,,,25923.0,,,,,,,,,,,
CHN,,,,,,,,2732.0,,,,,,,,,,,
COG,,,,,,,,,,,,,,49.0,,,,,
COL,,,,,,,,,,,27385.0,,,,,,,,
CRI,,,,,,,,,,3746.0,,,,,,,,,
CUB,,,,,,,,4740.0,,,,,,,,,,,
CYM,,,,,,,,,,,8771.0,,,,,,,,
CYP,,,,,,,,,,3060.0,,,,,,,,,
CZE,,,,,,,,6268.0,,,,,,,,,,,
DEU,,,,,,,,12188.0,,,,,,,,,,19123.7,
DNK,,,,,,,,,,,21197.0,,,,,,,,
ECU,,,,,,,,,,,1552.0,,,,,,,,
ESP,,,,,,10110.0,,,,10579.0,,,,,,,,,6953.2
EST,,,,,,,,,,9684.0,,,,,,,,14832.3,
ETH,,,,,,,43.0,,192.0,,,,,,,,,,
FIN,,,,,,,,,,8850.0,,,,,,,,15870.0,
FJI,,,,,,,,,,,,1490.0,,,,2247.0,,,
FRA,,,,,,,,16306.0,,,,,,,,,,,
GBR,,,,,,7181.0,,15280.0,,10487.0,,,,,,,,,
GEO,,,,,,,,,,5488.0,,,,,,4473.0,,,
GHA,,,,,,,,,,,869.0,,,,,,,,
GRC,,,6994.0,,,,,,,,,,,,,,,,
GTM,,,,,,,,1505.0,,,,,,,,,935.3,,
HKG,,,,,,,,,,,,,,,,,,,1734.5
HUN,,,,,,13827.0,,,,,,,,,,,,,
IMN,,,,,,,,,,9770.0,,,,,,,,,
IRL,,,,,,3053.0,,,,,,,,,,,,,
IRN,,,,,,802.7,,,,,,,,,,,,,
ISL,,,,,13185.0,,,,,,,,,,,,,,
ISR,,,,,,,,,,4879.0,,,,,,,,,
ITA,,,,,,,,6918.0,,,,,,,,,,,
JAM,,,,,,,,,,,,1311.8,,,,,,,
JOR,,,,,,,,,,,2473.0,,,,,,,,
KAZ,,,,,,,,,,,4459.0,,,,,3946.0,,,
KGZ,,,,,,,,,,,3045.0,,,,,2677.0,,,
KHM,,,,,,,,,,,,,,1356.0,,,,,
KIR,,,,,,,,,,,,1718.0,,,,,,,
KOR,,,,,,,,3406.0,,,,,,,,,,3234.9,
LBR,,,,,,,,,330.0,,,,,462.0,,,,,
LKA,,,,,,,,,,,4943.0,,,,,,,,
LTU,,,,,,,,,,,10189.0,,,,,,,4303.6,
LUX,,,,,,,,21933.0,,,,,,,,,,,
LVA,,,,,,,,,,,18395.0,,,,,,,,
MAC,,,,,,,,,,,,,,,,,,2721.2,
MAR,,,,,,,,,,,746.0,,,,,,,,
MCO,,,,,,,,,,,,,,,,23987.0,,,
MDA,,,,,,,,,,4898.0,,,,,,4279.0,,,
MDG,,,,,,,,,,,,163.0,,,,,,,
MEX,,,,,,,,,,,1303.0,,,,,,,,
MLI,,,,,3321.0,,,,,,,,,,,,,,
MLT,,,,,,,,13232.0,,,,,,,,,,,
MMR,,,,,,,668.0,,,,,,,,,,,,
MNG,,,,,,,,,,5339.0,,,,,,6288.6,,,
MOZ,,,,,,,,,,,367.0,,,,,,,,
MUS,,,,,,,,,,2057.0,,,,,,,,4051.1,
MWI,372.0,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,263.0,,,,,,,,,
NIC,,,,,,4860.0,,,,,,,,,,,,,
NLD,,,,,,,,16639.0,,,,,,,,,,,
NOR,17401.0,,,,,,,,,,,,,,,,,,
NPL,,,,,,,208.0,,,,,,,,,,,,
NRU,,,,,,,,,,,,7130.0,,,,,,,
NZL,,,,,,,,,,,,5308.0,,,,,,,
OMN,,,,,,,,,,,2293.0,,,,,,,1609.6,
PER,,,,,,,3005.0,,,,1969.0,,,,,,,,
PLW,,,,,,,,,,,,,,,,8606.0,,,
PNG,,,,,,,,,,,,1264.0,,,,,,,
POL,,,,,,,,1515.0,,,,,,,,,,,
PRT,,,,,,,8439.0,,,,,,,,,,,,
QAT,,,,,1891.0,,,,,,,,,,,,,,
RUS,,,,,,6622.0,,,,,,,,,,5439.0,,,
RWA,,,,,,512.0,,,,,,970.1,,,,,,,
SAU,,,,,,,,3447.0,,,,,,,,,,,
SEN,,,,,,,,,,,,,,393.5,,,,,
SGP,,,,,,,,,,,,,,,5052.0,,,,
SLB,,,,,,,,,,,,868.0,,,,,,,
SLE,,,,,,,,400.0,,,,,372.0,,,,,,
SLV,,,,,2797.0,,,,,,,,,,,,,,
SMR,,,,,,,,,,,5145.0,,,,,4233.0,,,
SSD,,,,,,,,,,262.0,,,,,,,,,
SVK,,,,,,,,8786.0,,,,,,9787.4,,,,,
SVN,,,,,,7579.0,,,,,,,,,,,,,
SWE,,,,,,,,,,15228.0,,,17480.0,,,,,14380.0,
SYC,,,,,,,,4268.0,,,,,,,,,,,
SYR,,,,,,1617.0,,,,,,,,,,,,,
TCD,,,,,,,,52.0,,,,,,,,,,,
TJK,,,,,,,,,,,1691.0,,,1879.0,,,,,
TKM,,,,,,,,,,,2698.0,,,,,2613.0,,,
TLS,,,,,,,,,,,,433.0,,,,,,,
TON,,,,,,,,,,,,5061.0,,,,2864.0,,,
TUR,,,,,,11911.0,,,,,,,,,,,,,
TUV,,,,,,,,,,,,3417.0,,,,,,,
UGA,,,,,,,241.0,,,,,145.0,,,,,,,
UKR,,,,,,,5337.0,,,,,,,,5135.0,,,,
USA,,,12087.0,,,,,,,,,,,,,,,,
UZB,,,,,,,,,,,2584.0,,,,2620.0,,,,
VCT,,,,,,,,,,,2509.0,,,,,,,,
VUT,,,,,,,,,,,,1277.0,,,,860.0,,,
WSM,,,,,,,,,,,,1552.0,,,,,,,
YEM,,,,,,,,,,157.0,,,,,,,,,
ZMB,,,,,,680.0,,,,,,,,,,,,,
