country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,16.1,,,30.3,,36.0,,59.6,47.9,51.2,,63.2,58.6,,70.2,65.2,,,
AGO,,,,,79.8,,,,75.7,,,,,81.6,,,,,
ALB,,,97.1,,,,97.3,,,,,,,,,88.4,,,
ARE,,,,,100.0,,,,,,,,,,,,,,
ARG,,,99.2,,,,,,,98.1,,,,,,,,95.0,
ARM,,,93.0,,,,,99.1,,,,,,99.6,,,,,
ATG,,100.0,99.9,,100.0,100.0,,,,,,,,,,,,,
AUS,,,,,,98.3,,,,,,,,,,,,,
AZE,,,,76.9,,,,,91.7,,,,,,,,,,
BDI,,,92.4,,,,,98.9,,96.0,,,,,99.2,,,,
BEN,,,,84.1,,,,,,83.5,,82.8,,,,83.2,,,
BFA,73.4,,,85.0,,,,94.3,,,,96.6,92.8,,,80.2,,,
BGD,39.7,48.7,,47.7,51.7,,,52.8,54.6,,58.7,63.9,,,,81.9,75.2,,
BHR,,,,,100.0,,,,,,,,,,,,,,
BHS,,,,98.0,98.0,,,,,,,,,,,,,,
BIH,,,,98.9,,,,,,87.0,,,,,,,,,
BLR,,,99.4,,,,,,,99.7,,,,,,,99.9,,
BLZ,,,94.0,94.0,,,,,96.2,,,,,97.2,,,,,
BOL,79.0,79.1,,,,85.8,,,,90.1,,,,95.6,,,,,
BRA,96.8,97.2,97.4,97.8,96.7,,98.2,,,,,,97.2,,,,,,
BRB,100.0,100.0,100.0,100.0,100.0,,,,,93.4,,,,,,,,,
BRN,,,,,,,99.0,,,,,,,,,,,,
BTN,,,,,88.0,,,97.3,,97.9,,,,,,,,,
BWA,,,,,94.1,,,,,,,,,,,,,,
CAF,,,,69.3,,,,68.2,,,,,,,,,51.8,,
CAN,,,,,100.0,,,,,,,,,,,,,,
CHN,88.9,89.7,89.8,89.7,90.9,91.0,92.2,94.1,93.7,95.0,95.6,96.2,96.5,96.6,,99.6,,,
CIV,,,87.3,84.8,,,,,,90.6,,,,93.2,,,,,
CMR,,83.3,,82.0,,,,,84.7,,,82.8,,,,87.0,,,
COD,,,,,85.3,,,87.3,,,,88.4,,,,82.4,,,
COG,,,85.8,,,,,,,92.6,,,93.5,,,,,,
COL,,93.5,93.5,,,,,97.0,,,,,97.5,97.2,,,,,
COM,,75.0,,,,,,,,92.1,,,,,,,,,
CPV,,,97.6,,,,,,,,,,,,,98.8,,,
CRI,,91.7,,91.7,,89.9,,,98.1,,,,,,,97.6,,,
CUB,,100.0,100.0,,100.0,,100.0,100.0,100.0,100.0,,98.5,,,,,99.1,,
CYP,,,,,99.2,,,,,,,,,,,,,,
DEU,,100.0,,,,,,,,,,,,,,,,,
DJI,67.0,,,92.3,,,,,,87.7,,,,,,,,,
DMA,100.0,100.0,100.0,,100.0,100.0,,,,,,,,,,,,,
DOM,,,,97.0,98.9,,,,,,99.3,98.0,,,,,98.0,,
DZA,,,,89.4,,,,,,92.7,92.7,,,,,,95.3,,
ECU,,84.2,,,,,,,,,,,,,,,,,
EGY,68.7,,69.6,,,73.6,,,,,,90.3,,,,,,,
ERI,,,,,,,,88.5,,,,,,,,,,,
ETH,,,27.6,,,,,,33.9,,,41.2,,62.4,,,73.6,,
FIN,,99.8,,,,,,,,,,,,,,,,,
FJI,,,,,,100.0,,,,,,,,,,,,,97.7
FRA,,99.8,,,,,,,,,,,,,,,,,
FSM,,,,,,80.0,,,,,,,,,,,,,
GAB,,,,,,,,,,94.7,,,,,,,,,
GEO,,,96.3,,,,,97.6,,,,,,,,,,,
GHA,91.9,,,92.1,96.1,90.1,,,96.4,,,90.5,,97.5,97.6,97.1,97.4,,
GIN,84.3,,82.2,,88.4,88.4,,,,85.2,,,,84.3,,80.9,,,
GMB,,,,97.8,,,,98.1,,,86.2,,,,,99.0,,97.8,
GNB,,,,77.9,,,,92.6,,,,92.4,,,,,97.0,,
GNQ,,,,,,,,,91.3,,,,,,,,,,
GRD,99.0,,100.0,,100.0,,,,,,,,,,,,,,
GTM,,,,,,,93.2,,,,,,91.3,,,,,,
GUY,90.0,,90.5,,81.4,,92.1,,,,,90.7,,,,,,89.2,
HND,,,,91.7,,,,,,96.6,,,,,,,96.1,,
HTI,,,,84.5,,,,,,90.3,,,,,91.0,,,,
IDN,91.5,,88.6,90.38,93.3,92.65,94.51,92.7,,95.7,95.4,,,,97.5,,,,
IMN,,,,,,,,84.903397092,,,,,,,,,,,
IND,,,,74.2,,,,,,,,,,79.3,,,,,85.1
IRL,,99.5,,,,,,,,,,,,,,,,,
IRN,,,98.3,,,,,96.9,,,,,,,,,,,
IRQ,,,,83.8,,,,,77.7,,,,,,,87.6,,,
ITA,,99.0,,,,,,,,,,,,,,,,,
JAM,,,90.5,,,99.0,99.0,,97.7,,,,,,,,,,
JOR,,,,,98.8,,,,,99.1,,,,,,97.6,,,
