country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,14.3,,,18.9,,24.0,,34.3,38.6,39.9,,45.2,50.5,,53.4,58.8,,61.8,,
AGO,,,,,47.3,,,,,,,,,49.6,,,,,,
ALB,98.8,99.3,99.8,99.0,,,99.3,,,,,,,,,99.8,,,,
AND,,,,,,,,,,,,,100.0,100.0,100.0,,,,,
ARE,100.0,100.0,,,,100.0,,,,,99.9,99.9,99.9,,,99.2,,,,
ARG,98.7,99.1,99.1,99.4,99.4,94.8,97.9,95.0,97.1,98.2,97.0,99.6,99.6,98.4,93.9,99.5,99.6,98.8,,
ARM,99.2,99.5,97.8,99.7,99.9,99.9,100.0,99.5,100.0,100.0,100.0,100.0,,99.8,,,,,,
ATG,99.0,100.0,99.9,99.9,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,,,99.0,,
AUS,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99.0,99.8,98.8,98.8,99.4,98.7,98.8,96.0,,
AUT,98.4,98.4,98.6,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.1,,
AZE,95.8,95.9,94.4,88.6,93.0,98.0,99.8,99.4,97.2,99.8,99.9,99.9,99.8,99.8,99.8,99.4,99.9,99.9,99.9,
BDI,,,31.8,,,,,60.3,,78.4,,,,77.6,79.1,86.2,98.6,87.4,76.5,
BEN,,,75.0,74.0,,,,,,80.9,,77.2,,,,78.1,,,,
BFA,37.8,,,53.5,,,,65.9,,,,,79.8,,,,,,,
BGD,13.9,13.2,,20.1,18.0,,24.4,26.5,31.7,,36.5,42.1,,49.8,67.8,52.7,59.0,,,
BGR,99.2,99.4,99.4,99.4,99.6,99.6,99.6,99.5,,,99.7,99.7,93.4,95.1,93.9,93.0,92.3,94.6,94.5,
BHR,97.8,97.7,97.5,97.5,97.4,97.5,99.4,99.3,99.6,99.8,99.8,99.8,99.9,99.7,99.9,99.6,99.6,,,
BHS,99.0,98.0,98.7,99.0,98.4,98.5,98.9,99.1,99.1,98.9,98.6,98.9,98.0,99.0,,99.0,99.0,,,
BIH,99.9,99.9,99.9,99.4,99.9,99.9,99.9,99.9,99.9,99.9,,99.9,99.9,99.9,99.9,99.9,99.9,,,
BLR,99.9,99.9,100.0,99.9,99.9,99.9,99.9,99.9,99.8,100.0,99.8,99.8,,,,,99.9,99.9,,
BLZ,,87.8,89.3,95.8,90.7,94.9,93.5,94.0,96.2,93.7,93.0,93.1,93.5,96.8,95.3,94.8,95.3,94.6,,
BMU,,,,,,,,,,,,,,,,99.4,,,,
BOL,60.8,60.8,,,,71.1,,,84.0,82.1,84.2,83.9,88.8,89.8,99.5,71.5,81.1,,,
BRA,98.4,98.6,98.6,97.0,98.6,98.8,98.9,98.9,99.0,99.0,98.0,98.4,98.2,98.6,98.7,98.8,98.4,98.4,,
BRB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,98.9,98.6,99.8,99.0,99.1,,99.0,98.0,98.4,,
BRN,99.6,99.6,99.7,99.7,99.9,99.7,99.9,99.8,99.7,99.8,99.7,99.9,100.0,100.0,99.8,99.8,99.6,99.7,99.6,
BTN,56.1,,52.3,57.1,71.4,66.3,66.0,64.5,70.0,74.6,89.0,89.0,89.0,89.0,96.4,96.2,96.3,99.3,98.9,
BWA,96.1,97.3,94.0,99.3,94.6,98.3,99.5,99.1,99.8,99.8,99.9,99.5,99.7,99.7,99.8,,,,,
CAF,,,,41.4,,43.7,43.7,40.0,,,,,,,,,40.3,,,
CAN,98.9,99.0,98.8,100.0,98.8,98.7,98.6,98.5,98.4,98.1,98.0,97.9,97.9,97.8,97.9,98.0,98.0,98.0,,
CHE,,,,100.0,,,,,,,,,,,,,,,,
CHL,99.8,99.8,99.8,99.8,99.7,99.8,99.8,99.8,99.9,99.8,99.8,99.8,99.7,99.7,99.8,99.8,99.8,,,
CHN,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,99.9,,,,,,
CIV,,68.0,55.1,56.8,,,,,,59.4,,,,73.6,,,,,84.0,
CMR,,58.9,,58.9,,,,,56.1,,,64.7,,,,69.0,,,,
COD,,,,,64.4,,,74.1,,,,80.1,,,,85.2,,,,
COG,,,83.4,,,,,,,92.5,,,91.2,,,,,,,
COL,95.0,95.6,90.7,97.1,97.8,98.1,98.6,94.8,99.2,98.7,98.7,98.9,99.0,95.9,99.3,98.4,98.8,,,
COM,,,,,,,,,,82.2,,,,,,,,,,
CPV,,,77.5,76.4,74.4,74.6,75.6,98.5,98.7,,92.3,95.6,91.4,92.6,92.4,97.3,,,,
CRI,98.2,98.5,98.5,98.6,98.7,99.1,99.1,95.3,98.4,98.9,99.0,99.2,90.0,98.8,98.7,98.5,99.0,,,
