country_code,2011,2021
ABW,12.4,4.3
AFG,7.6,10.9
AGO,2.9,4.6
ALB,2.8,10.2
AND,5.4,9.7
ARE,18.8,16.4
ARG,5.5,5.4
ARM,8.5,5.6
ASM,,20.3
ATG,12.5,11.7
AUS,6.6,6.4
AUT,6.6,4.6
AZE,2.8,5.6
BDI,2.7,6.5
BEL,4.8,3.6
BEN,2.0,1.1
BFA,3.0,2.1
BGD,10.5,14.2
BGR,6.7,7.4
BHR,19.5,11.3
BHS,12.1,8.8
BIH,7.5,9.1
BLR,8.0,5.6
BLZ,17.0,14.5
BMU,12.0,13.0
BOL,6.6,5.5
BRA,10.1,8.8
BRB,12.4,14.0
BRN,9.4,11.1
BTN,5.7,10.4
BWA,10.8,5.2
CAF,3.2,5.8
CAN,8.4,7.7
CHE,5.9,4.6
CHL,9.5,10.8
CHN,8.8,10.6
CIV,4.9,2.1
CMR,6.1,5.5
COD,3.1,5.8
COG,5.5,5.5
COL,9.8,8.3
COM,8.4,11.7
CPV,5.4,2.1
CRI,9.6,8.8
CUB,9.4,7.6
CUW,,11.7
CYM,12.0,13.0
CYP,9.3,8.6
CZE,5.3,7.1
DEU,5.3,6.9
DJI,6.3,7.4
DMA,8.9,11.7
DNK,5.6,5.3
DOM,8.1,10.5
DZA,7.0,7.1
ECU,6.6,4.4
EGY,16.6,20.9
ERI,3.6,6.5
ESP,6.3,10.3
EST,7.0,6.5
ETH,3.4,5.0
FIN,5.8,6.1
FJI,10.9,17.7
FRA,5.4,5.3
FRO,,3.8
FSM,15.7,15.6
GAB,10.3,5.5
GBR,5.2,6.3
GEO,2.8,5.7
GHA,5.0,2.6
GIN,4.4,2.1
GMB,2.0,1.9
GNB,3.0,2.1
GNQ,4.2,5.5
GRC,5.1,6.4
GRD,8.6,12.6
GRL,,3.3
GTM,9.3,13.1
GUM,8.6,19.1
GUY,16.7,11.7
HKG,7.6,7.8
HND,6.7,5.1
HRV,5.2,4.8
HTI,6.6,8.9
HUN,6.0,7.0
IDN,5.1,10.6
IMN,,6.3
IND,9.0,9.6
IRL,5.2,3.0
IRN,11.1,9.1
IRQ,9.1,10.7
ISL,3.2,5.5
ISR,7.4,8.5
ITA,5.1,6.4
JAM,15.7,11.1
JOR,12.1,15.4
JPN,7.7,6.6
KAZ,7.7,6.6
KEN,5.1,4.0
KGZ,6.3,6.6
KHM,2.9,7.3
KIR,25.3,22.1
KNA,8.5,16.1
KOR,7.5,6.8
KWT,20.7,24.9
LAO,3.3,6.2
LBN,19.6,8.0
LBR,3.3,2.1
LBY,13.8,8.7
LCA,8.4,11.7
LIE,4.7,6.1
LKA,7.5,11.3
LSO,3.4,4.6
LTU,7.8,5.8
LUX,4.5,5.9
LVA,7.8,5.9
MAC,7.2,7.8
MAR,6.8,9.1
MCO,5.6,6.2
MDA,2.7,5.6
MDG,4.7,4.6
MDV,9.2,9.2
MEX,15.6,16.9
MHL,21.8,23.0
MKD,7.7,6.1
MLI,1.9,2.1
MLT,6.6,8.0
MMR,7.1,7.1
MNE,7.7,9.1
MNG,7.1,6.9
MNP,,23.4
MOZ,3.1,3.3
MRT,4.3,2.1
MUS,14.8,22.6
MWI,5.6,7.3
MYS,12.1,19.0
NAM,7.8,6.7
NCL,8.6,23.4
NER,4.2,5.2
NGA,4.8,3.6
NIC,11.0,9.3
NLD,5.3,4.5
NOR,4.7,3.6
NPL,3.6,8.7
NRU,20.4,23.4
NZL,8.6,6.2
OMN,10.5,13.8
PAK,7.9,30.8
PAN,9.4,8.2
PER,6.0,4.8
PHL,9.7,7.1
PLW,11.1,17.0
PNG,7.6,16.7
POL,9.0,6.8
PRI,13.0,13.3
PRK,8.4,8.6
PRT,9.6,9.1
PRY,6.5,7.5
PSE,9.2,9.2
PYF,8.6,25.2
QAT,19.8,19.5
ROU,7.7,6.5
RUS,9.7,5.6
RWA,3.1,6.5
SAU,19.6,18.7
SDN,8.6,18.9
SEN,3.2,3.1
SGP,9.5,11.6
SLB,15.3,19.8
SLE,3.2,2.1
SLV,9.4,6.3
SMR,5.5,7.4
SOM,4.3,6.5
SRB,7.7,9.1
SSD,,6.5
STP,5.5,5.5
SUR,8.9,12.7
SVK,5.7,5.8
SVN,7.5,5.8
SWE,4.2,5.0
SWZ,3.1,4.6
SYC,12.1,8.5
SYR,9.9,14.9
TCD,3.9,5.8
TGO,3.3,2.1
THA,7.5,9.7
TJK,6.3,6.6
TKM,2.7,6.7
TLS,7.5,8.6
TON,12.7,15.0
TTO,12.7,12.7
TUN,9.5,9.6
TUR,7.9,14.5
TUV,19.2,20.3
TZA,2.8,12.3
UGA,2.8,4.6
UKR,2.9,5.6
URY,5.7,9.0
USA,9.4,10.7
UZB,6.4,7.0
VCT,8.8,8.0
VEN,10.2,9.6
VGB,8.6,8.7
VIR,12.1,12.4
VNM,3.2,6.1
VUT,16.1,15.6
WSM,7.7,9.2
YEM,9.6,5.4
ZAF,7.0,10.8
ZMB,4.8,11.9
ZWE,9.8,2.1
