country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,31.7,,,,,,,,,24.6,,,,,19.1,,,,18.4,
AGO,,,,,15.1,,,,,,,,19.0,,,,,,,,
ALB,,,6.6,,,,6.3,,,,,,,,1.5,,,,,,
ARG,,,2.5,,,,,,,,,,,,,2.0,,,,,
ARM,,,4.2,,,,,5.3,,,,,,2.6,,,,,,,
AUS,,,,,0.5,,,,,,,,,,,,,,,,
AZE,,,,8.4,,,,,6.5,,4.9,,,,,,,,,,
BDI,,,35.2,,,,,29.1,,,,,,29.3,,29.6,27.0,27.7,,27.6,
BEL,,,,,,,,,,,,1.1,,,,,,,,,
BEN,,,,,,17.1,,,,,,18.0,,,,16.8,,,19.6,,
BFA,,,,,,,26.0,26.2,25.1,24.3,20.9,20.0,22.8,18.9,16.2,17.7,16.4,12.7,17.4,,
BGD,38.9,42.8,39.7,37.9,41.3,,,,36.7,34.4,31.9,32.8,28.9,,,21.9,22.6,,,22.3,
BGR,,2.0,,,3.7,,,,,,,1.7,,,,,,,,,
BIH,,,,1.6,,,,,,1.6,,,,,,,,,,,
BLR,,,1.3,,,,,,,,,,,,,,,,,,
BLZ,,,,5.0,,,,,6.2,,,,4.6,,,,,,,,
BOL,5.8,,,,,4.5,,,,3.6,,,,3.4,,,,,,,
BRA,,,,,2.2,,,,,,,,,,,,3.5,,,,
BRB,,,,,,,,,,3.5,,,,,,,,,,,
BRN,,,,,,,9.6,,,,,,,,,,,,,,
BTN,,,,,,10.4,,12.7,,,,,,,,,,,,,
BWA,,,,,11.8,,,,,,,,,,,,,,,,
CAF,,,,26.1,,,,23.5,,24.5,,20.0,,,,19.7,21.5,,,,
CHL,0.6,0.6,,0.6,0.6,0.5,,,,,0.5,0.5,,,,,,,,,
CHN,,,4.5,,,3.8,3.4,3.4,,,2.4,,,,,,,,,,
CIV,,,,,28.4,,,,,15.7,,,,12.8,,,,,13.6,,
CMR,,15.1,,16.5,,,,,15.2,,,14.8,,,,11.0,,,,,
COD,,,,,25.6,,,24.2,,,23.4,,,,23.1,,,,,,
COG,,,11.9,,,,,,11.8,,,12.3,,,,,,,,,
COL,,,5.0,,,,,3.4,,,,,,3.7,,,,,,,
COM,,,,,,,,,,16.9,,,,,,,,,,,
CRI,,,,,,0.9,,,,,,,,,,2.9,,,,,
CUB,,,,,,,,,,,,,,,,,2.4,,,,
DEU,,1.1,,,,,,,,,,,,0.5,,,,,,,
DJI,,,,,,,,,24.2,,26.0,,,,,,16.2,,,,
DOM,,,,3.9,3.4,,,,,,4.0,,,,,,3.0,,,,
DZA,,,,3.4,,,,,,3.0,,,,,,,2.7,,,,
