country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,1201.0,1166.0,1108.0,1069.0,1032.0,955.0,925.0,893.0,838.0,810.0,778.0,755.0,741.0,702.0,659.0,629.0,601.0,634.0,660.0,551.0,521.0
AGO,538.0,499.0,462.0,437.0,401.0,372.0,348.0,321.0,301.0,278.0,267.0,262.0,249.0,236.0,220.0,208.0,202.0,195.0,211.0,185.0,183.0
ALB,13.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,14.0,8.0,7.0
AND,13.0,12.0,13.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,48.0,18.0,17.0,11.0
ARE,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,2.0,3.0
ARG,61.0,58.0,57.0,60.0,62.0,59.0,62.0,55.0,48.0,49.0,47.0,43.0,39.0,40.0,38.0,38.0,36.0,40.0,76.0,39.0,33.0
ARM,35.0,34.0,32.0,31.0,30.0,29.0,29.0,28.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,23.0,43.0,57.0,27.0,19.0
ATG,33.0,34.0,33.0,32.0,32.0,31.0,32.0,31.0,31.0,30.0,32.0,32.0,30.0,28.0,31.0,31.0,32.0,35.0,32.0,36.0,35.0
AUS,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0
AUT,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0
AZE,41.0,40.0,40.0,33.0,33.0,30.0,29.0,28.0,27.0,28.0,24.0,23.0,21.0,22.0,22.0,21.0,21.0,21.0,55.0,32.0,18.0
BDI,705.0,687.0,685.0,670.0,655.0,635.0,612.0,614.0,597.0,575.0,555.0,533.0,525.0,501.0,482.0,464.0,449.0,441.0,447.0,412.0,392.0
BEL,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,11.0,4.0
BEN,532.0,531.0,514.0,509.0,501.0,563.0,598.0,607.0,613.0,618.0,607.0,605.0,606.0,604.0,592.0,585.0,572.0,578.0,584.0,547.0,518.0
BFA,495.0,481.0,467.0,463.0,453.0,429.0,419.0,404.0,388.0,376.0,361.0,344.0,328.0,313.0,298.0,286.0,274.0,334.0,354.0,316.0,242.0
BGD,436.0,406.0,378.0,352.0,334.0,310.0,293.0,275.0,258.0,244.0,230.0,217.0,204.0,191.0,179.0,168.0,157.0,152.0,194.0,131.0,115.0
BGR,14.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,9.0,9.0,10.0,6.0
BHR,22.0,21.0,20.0,20.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,17.0,17.0,16.0,17.0,7.0,10.0,5.0,17.0
BHS,57.0,69.0,70.0,74.0,78.0,80.0,84.0,79.0,74.0,71.0,74.0,78.0,83.0,77.0,79.0,82.0,82.0,84.0,174.0,80.0,76.0
