country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,4.6,,,,,,,,,5.3,,,,,4.1,,,,4.5,
AGO,,,,,,,,,,,,,3.4,,,,,,,,
ALB,,,24.8,,,,23.2,,,,,,,,16.4,,,,,,
ARG,,,9.0,,,,,,,,,,,,,12.4,,,,,
ARM,,,11.4,,,,,16.5,,,,,,13.7,,,,,,,
AUS,,,,,8.0,,,,,,,17.9,,,22.0,,,,,,
AZE,,,,13.9,,,,,10.4,,14.1,,,,,,,,,,4.0
BDI,,,,,,,,2.9,,,,,,1.4,,1.8,2.8,1.5,,,
BEL,,,,,,,,,,,,3.9,,,,,,,,,5.4
BEN,,,,,,1.5,,,,,,1.7,,,,1.9,,,2.9,,
BFA,,,,,,,,0.9,0.7,0.6,0.8,1.1,0.9,1.2,1.7,1.0,1.6,1.4,1.5,,
BGD,1.0,0.9,1.0,0.8,1.1,,,,1.9,,1.6,1.6,1.4,,,2.2,2.4,,,1.6,
BGR,,13.6,,,6.9,,,,,,,6.9,,,,,,,,,
BIH,,,,25.7,,,,,,17.4,,,,,,,,,,,
BLR,,,9.7,,,,,,,,,,,,,,3.0,3.1,3.1,3.1,3.0
BLZ,,,,13.6,,,,,7.9,,,,7.3,,,,,,,,
BOL,9.2,,,,,8.7,,,,7.4,,,,10.1,,,,,,,
BRA,,,,,6.4,,,,,,,,,,,,9.6,,,,
BRB,,,,,,,,,,12.2,,,,,,,,,,,
BRN,,,,,,,8.3,,,,,,,,,,,,,,
BTN,,,,,,5.4,,7.6,,,,,,,,,,,,,
BWA,,,,,10.0,,,,,,,,,,,,,,,,
CAF,,,,8.6,,,,1.8,,2.0,,2.1,,,,1.0,1.5,,,,
CAN,,10.4,,,,,,,,,,,,,,,,,,,
CHL,12.1,12.1,,11.7,9.8,9.5,,,,,10.1,9.3,,,,,,,,,
CHN,,,5.9,,,5.8,5.7,6.6,,,9.1,,,,8.5,,,,,,
CIV,,,,,4.9,,,,1.6,3.2,,,,1.5,,,,,3.4,,
CMR,,8.7,,10.5,,,,,6.5,,,6.7,,,,11.0,,,,,
COD,,,,,7.0,,,4.9,,,4.4,,,,3.8,,,,,,3.8
COG,,,8.5,,,,,,3.5,,,5.9,,,,,,,,,
COL,,,4.2,,,,,4.8,,,,,,5.7,,,,,,,
COM,,,,,,,,,,10.6,,,,,,,,,,4.0,
CPV,,,,,,,,,,,,,,,,6.1,,,,,
CRI,,,,,,8.1,,,,,,,,,,7.5,,,,,
CUB,,,,,,,,,,,,,,,,,10.3,,,,
DEU,,3.9,,,,,,,,,,,,2.9,,,,,,,
DJI,,,,,,,,,0.5,,0.3,,,,,,1.6,,,,4.2
DOM,,,,6.2,8.3,,,,,,7.6,,,,,,7.7,,,,
DZA,,,,12.9,,,,,,12.4,,,,,,,12.8,,,,
ECU,,5.3,,5.2,,,,,,7.5,,8.0,,,,,,,,,4.9
EGY,9.2,,14.1,,,20.4,,,,,,15.7,,,,,,,10.1,,
ERI,,,,,,,,2.1,,,,,,,,,,,,,
EST,,,,,,,,,,,,5.0,,,,,,,,,
ETH,,,5.1,,,,,,1.8,,,2.9,,2.9,,,2.3,,,,
FIN,,,,,,,,,,,3.8,3.9,3.8,3.8,4.2,4.3,4.3,4.9,4.9,4.1,4.3
FJI,,5.4,,,,,,,,,,,,,,,,,7.7,,
GAB,,,,,,,,,,7.7,,,,,,,,5.0,,,
GBR,,,,,7.0,6.7,6.6,8.9,6.7,6.5,7.7,6.5,16.0,6.3,9.8,6.5,6.5,,,,
GEO,,,20.8,,,,19.8,,,,,,,,,6.0,,,,,
GHA,4.5,,,2.6,,5.7,,,2.6,,,2.6,,,1.4,,,,,2.0,
GIN,,,5.2,,6.4,,,,,3.8,,,,4.0,,5.6,,,,3.3,
GMB,,,,2.7,,,,1.9,,1.1,3.2,,,,,1.2,,2.1,,,
GNB,,,,,,2.2,,2.8,,1.9,,2.3,,,,,2.2,,,,
GNQ,,8.7,,,,,,,9.7,,,,,,,,,,,,
GRC,13.6,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,4.9,,,,,,4.9,,,,,,,,
GUY,,,,6.8,,,6.7,,,,,5.3,,,,,6.5,,,,
HND,,4.2,,5.8,,,,,,5.2,,,,,,,4.5,,,,
HTI,,,,3.9,,,,,,3.6,,,,,3.4,,,,,,3.9
IDN,,5.1,,,,11.2,,12.3,,,11.5,,,,,7.8,3.9,,3.8,3.6,4.3
IND,,,,1.9,,,,,,,,,2.4,,1.6,,,3.5,,,
IRL,,,,,,,,,10.5,,,,,,,,,,,,
IRN,,,,,,,,,,,,,,,2.9,,,,,,
IRQ,,,,15.0,,,,,11.4,,,,,,,6.1,,,,,
JAM,,7.5,,6.1,8.7,7.8,,4.1,,7.8,,8.3,,6.8,,5.7,,,,,
JOR,,,,,,,6.6,,,4.7,,,,,,,9.2,,,,9.2
JPN,,,,,,,,1.4,,,,,,,,,,,,,
KAZ,,,,16.9,,,,13.3,,,,,9.3,,,,,,,,
KEN,5.8,,7.9,,,5.0,,,,,,4.1,,5.8,,,,,,3.4,
KGZ,,,,10.7,,,4.4,,,8.9,,7.0,,,,6.9,,,7.1,,8.8
KHM,,,1.6,,,2.0,,1.9,,,,2.2,,,,,,,4.1,,
KIR,,,,,,,,,,,,,,,,2.1,,,,,
KOR,6.2,,,,,9.6,,,8.0,,,5.1,,,4.3,,,6.2,,,
KWT,6.8,7.1,7.5,9.2,8.5,9.4,9.0,7.8,8.3,9.5,7.4,8.8,7.5,9.3,9.1,12.2,9.9,11.7,12.1,8.2,8.1
LAO,,,,1.3,,,,,2.0,,,,2.5,,3.5,,,,,,2.8
LBN,,,,,,,,,,,,,,,,,,,4.6,,4.4
LBR,,,,,4.2,,,2.7,,,3.2,,,2.7,,,4.4,,,,
LBY,,,,,22.4,,,,,,,29.6,,,,,,,,4.6,
LCA,,,,,,,,,,6.3,,,,,,,,,,,
LKA,,,,,1.7,,0.8,,,0.6,,,,2.0,,,0.6,0.8,0.8,0.6,0.4
LSO,,6.7,,,,,7.3,,,,,7.5,,,,6.6,,,,,
LTU,,,,,,,,,,,,,,,,,,,4.1,,
LVA,,,,,,,,,,,,,,,,,,,6.5,,
MAR,13.4,,,,,,,,10.8,,,,,,10.9,,3.2,,,,
MDA,,,8.9,,,,,,,4.9,,,,,,,,,,,
MDG,,6.2,,,,,,,1.0,1.1,,,,,,1.4,,,1.9,,
MDV,,,,,,,6.2,,,,,,,,4.9,,,,,,
MEX,,,6.8,7.5,,,,,,9.0,,,5.2,5.3,,,6.3,8.1,7.2,7.1,
MHL,,,,,,,,,,,,,,,4.1,,,,,,
MKD,,,16.2,,,,,,12.4,,,,,,,,11.2,,,,
MLI,,,,4.6,,,,1.0,0.8,,,1.2,1.9,0.5,1.6,2.0,0.7,1.1,0.9,0.9,
MLT,,,,,,,,,,,,,,,,,,,,10.1,
MMR,6.9,,,,,,2.6,,,,,,,1.5,,0.8,,,,,
MNE,,,15.7,,,,,,,,22.3,,,,,7.3,,,,,
MNG,,6.1,14.2,,,,,10.9,,,10.5,,,11.7,,10.5,,,,,12.8
MOZ,6.3,,,,,3.6,,,7.8,,,,7.0,,,,,4.6,,3.2,
