country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,59.3,,,,,,,,,40.4,,,,,38.2,,,,44.6,
AGO,,,,,29.2,,,,,,,,37.6,,,,,,,,
ALB,,,26.7,,,,23.2,,,,,,,,11.3,,,,,,
ARG,,,7.2,,,,,,,,,,,,,8.7,,,,,
ARM,,,17.9,,,,,20.9,,,,,,9.4,,,,,,,
AUS,,,,,1.9,,,,,,,,,,,,,,,,
AZE,,,,26.5,,,,,16.4,,17.8,,,,,,,,,,
BDI,,,57.7,,,,,57.6,,,,,,55.9,,56.6,54.0,50.9,,55.8,
BEL,,,,,,,,,,,,1.6,,,,,,,,,
BEN,,,,,,37.4,,,,,,34.0,,,,32.2,,,34.1,,
BFA,,,,,,,35.1,34.7,34.6,32.8,31.3,29.0,30.1,26.8,21.1,24.9,23.8,17.5,22.6,,
BGD,47.8,50.5,46.2,45.1,43.2,,,,41.3,41.2,42.0,36.2,32.7,,,30.9,28.0,,,23.6,
BGR,,8.8,,,9.2,,,,,,,7.0,,,,,,,,,
BIH,,,,11.8,,,,,,8.9,,,,,,,,,,,
BLR,,,4.5,,,,,,,,,,,,,,,,,,
BLZ,,,,22.0,,,,,19.3,,,,15.0,,,,,,,,
BOL,32.4,,,,,27.1,,,,18.2,,,,16.1,,,,,,,
BRA,,,,,7.0,,,,,,,,,,,,8.0,,,,
BRB,,,,,,,,,,7.7,,,,,,,,,,,
BRN,,,,,,,19.7,,,,,,,,,,,,,,
BTN,,,,,,34.9,,33.5,,,,,,,,,,,,,
BWA,,,,,28.9,,,,,,,,,,,,,,,,
CAF,,,,43.6,,,,40.7,,39.7,,38.0,,,,37.5,39.8,,,,
CHL,2.5,2.4,,2.2,2.1,2.0,,,,,1.8,1.8,,,,,,,,,
CHN,,,11.7,,,9.8,9.0,9.4,,,8.1,,,,4.8,,,,,,
CIV,,,,,39.0,,,,,29.9,,,,21.6,,,,,23.4,,
CMR,,35.6,,37.6,,,,,32.6,,,31.7,,,,28.9,,,,,
COD,,,,,45.8,,,43.4,,,42.7,,,,41.8,,,,,,
COG,,,31.2,,,,,,24.4,,,21.2,,,,,,,,,
COL,,,16.0,,,,,12.6,,,,,,12.7,,,,,,,
COM,,,,,,,,,,31.1,,,,,,,,,,,
CRI,,,,,,5.6,,,,,,,,,,9.0,,,,,
CUB,,,,,,,,,,,,,,,,,7.1,,,,
DEU,,1.2,,,,,,,,,,,,1.3,,,,,,,
DJI,,,,,,,,,31.0,,28.0,,,,,,20.9,,,,
DOM,,,,8.4,10.1,,,,,,7.1,,,,,,6.7,,,,
DZA,,,,15.4,,,,,,11.7,,,,,,,9.8,,,,
ECU,,29.2,,25.9,,,,,,25.4,,23.9,,,,,23.0,,,,
EGY,20.2,,23.9,,,30.7,,,,,,22.3,,,,,,,,,
ERI,,,,,,,,52.5,,,,,,,,,,,,,
EST,,,,,,,,,,,,1.2,,,,,,,,,
ETH,,,50.0,,,,,,44.4,,,40.4,,38.3,,,36.8,,,,
FJI,,7.3,,,,,,,,,,6.2,,,,,,,7.2,,
GAB,,,,,,,,,,17.0,,,,,,,,14.4,,,
GEO,,,14.6,,,,11.8,,,,,,,,,5.8,,,,,
GHA,35.5,,,27.9,,28.4,,,22.8,,,18.8,,,17.5,,,,,17.4,
GIN,,,39.3,,34.0,,,,,31.1,,,,32.4,,30.3,,,,26.1,
GMB,,,,27.7,,,,23.4,,21.1,24.6,,,,,19.0,,17.5,,,
GNB,,,,,,,,32.0,,26.4,,27.6,,,,,27.7,,,,
GNQ,,33.0,,,,,,,26.2,,,,,,,,,,,,
GRC,1.5,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,51.5,,,,,,46.7,,,,,,46.0,,
GUY,,,,17.9,,,19.3,,,,,11.3,,,,,9.5,,,,
HND,,,,29.8,,,,,,22.6,,,,,,,18.7,,,,
HTI,,,,29.6,,,,,,22.0,,,,,21.9,,,,,,
IDN,,28.6,,,,40.1,,39.2,,,36.4,,,,,30.8,,,,,
IND,,,,47.8,,,,,,,,38.7,37.9,,34.7,,,35.5,,,
IRN,,7.1,,,,,,6.8,,,,,,,4.8,,,,,,
IRQ,33.7,20.0,,27.5,,,,,22.1,,,,,,,12.6,,,,,
JAM,,4.9,,7.5,5.4,6.9,,6.0,,6.8,,6.0,,9.3,,4.6,,,,,
JOR,,,,,,,8.2,,,7.8,,,,,,,7.4,,,,8.3
JPN,,,,,,,,7.1,,,,,,,,,,,,,
KAZ,,,,17.5,,,,13.1,,,,,8.0,,,,,,,,
KEN,35.8,,40.3,,,35.5,,,26.3,,,26.2,,28.6,,,,,,17.6,
KGZ,,,,18.1,,,22.6,,,17.9,,12.9,,,,11.8,,,8.6,,
KHM,,,42.8,,,39.5,,39.8,,,,32.4,,,,,,,21.9,,
KIR,,,,,,,,,,,,,,,,15.2,,,,,
KOR,2.5,,,,,,,,1.3,,,1.6,,,2.3,,,0.9,,,
KWT,4.0,4.1,4.5,4.8,5.1,5.1,3.8,4.0,4.1,4.3,5.6,5.9,5.2,6.3,5.8,7.5,6.0,6.4,6.3,,
LAO,,,,47.7,,,,,44.2,,,,35.5,,33.1,,,,,,
LBN,,16.5,,,,,,,,,,,,,,,,,7.0,,
LBR,,,,,39.6,,,39.0,,,32.1,,,30.1,,,29.8,,,,
LBY,,,,,21.0,,,,,,,38.1,,,,,,,,,
LCA,,,,,,,,,,2.5,,,,,,,,,,,
LKA,,,,,18.1,,19.2,,,14.6,,,,17.3,,,,,,,
LSO,,44.7,,,,,39.3,,,,,33.4,,,,34.6,,,,,
LTU,,,,,,,,,,,,,,,,,,,0.7,0.9,
LVA,,,,,,,,,,,,,,,,,,,0.5,,
MAR,23.1,,,,,,,,14.9,,,,,,15.1,,14.2,,,,
MDA,,,10.7,,,,,,,6.4,,,,,,,,,,,
MDG,,52.7,,,,,49.4,,,48.9,,,,,,41.6,,,39.8,,
MDV,,,,,,,19.0,,,,,,,,15.3,,,,,,
MEX,,,19.4,15.5,,,,,,13.6,,,12.4,10.0,,,14.1,13.9,12.8,12.5,
MHL,,,,,,,,,,,,,,,34.8,,,,,,
MKD,,,11.3,,,,,,4.9,,,,,,,,4.3,,,,
MLI,,,,37.6,,,,27.8,27.9,,,28.1,30.4,26.4,24.6,26.9,26.4,23.0,22.1,21.8,
MMR,42.7,,,,,,35.1,,,,,,,29.4,,26.7,,,,,
MNE,,,7.9,,,,,,,,9.4,,,,,7.2,,,,,
MNG,,23.5,27.5,,,,,15.3,,,10.8,,,7.3,,9.4,,,,,
MOZ,46.9,,,,,43.5,,,42.9,,,,42.3,,,,,37.5,,36.7,
MRT,,,,,31.5,23.6,,,29.7,23.2,,,27.9,,,22.8,19.4,25.8,17.4,25.1,
MWI,,52.5,,53.1,,,48.8,47.3,,,,42.4,37.4,38.3,39.3,39.0,34.0,35.5,,,
MYS,,,,17.5,,,,,,,,,17.8,20.8,,,25.5,,,21.2,
NAM,,,,,29.2,,,,,,22.7,,,,,,,,,,
