country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,9.1,,,,,,,,,9.5,,,,,5.1,,,,3.6,
AGO,,,,,8.3,,,,,,,,4.9,,,,,,,,
ALB,,,7.3,,,,9.6,,,,,,,,1.6,,,,,,
ARG,,,1.7,,,,,,,,,,,,,1.7,,,,,
ARM,,,5.4,,,,,4.1,,,,,,4.4,,,,,,,
AUS,,,,,0.2,,,,,,,,,,,,,,,,
AZE,,,,6.8,,,,,6.6,,3.2,,,,,,,,,,
BDI,,,9.0,,,,,6.0,,,,,,5.1,,4.8,4.8,5.7,,4.9,
BEL,,,,,,,,,,,,0.4,,,,,,,,,
BEN,,,,,,5.2,,,,,,4.5,,,,5.0,,,8.3,,
BFA,,,,,,,11.3,15.5,10.4,10.7,8.1,8.5,10.2,7.5,8.6,8.4,8.1,8.8,10.3,,
BGD,12.5,14.6,14.5,11.9,17.5,,,,15.7,13.4,9.6,14.4,15.6,,,8.4,9.8,,,11.0,
BGR,,3.6,,,4.7,,,,,,,6.0,,,,,,,,,
BIH,,,,4.0,,,,,,2.3,,,,,,,,,,,
BLR,,,2.2,,,,,,,,,,,,,,,,,,
BLZ,,,,1.9,,,,,3.3,,,,1.8,,,,,,,,
BOL,1.7,,,,,1.4,,,,1.5,,,,2.0,,,,,,,
BRA,,,,,1.8,,,,,,,,,,,,3.4,,,,
BRB,,,,,,,,,,6.8,,,,,,,,,,,
BRN,,,,,,,2.9,,,,,,,,,,,,,,
BTN,,,,,,4.5,,5.9,,,,,,,,,,,,,
BWA,,,,,7.3,,,,,,,,,,,,,,,,
CAF,,,,12.1,,,,7.4,,7.4,,6.2,,,,6.5,5.4,,,,
CHL,0.5,0.5,,0.5,0.3,0.3,,,,,0.3,0.3,,,,,,,,,
CHN,,,2.9,,,2.6,2.6,2.3,,,1.9,,,,1.9,,,,,,
CIV,,,,,14.3,,,,,7.6,,,,6.1,,,,,8.1,,
CMR,,6.2,,7.6,,,,,5.7,,,5.2,,,,4.3,,,,,
COD,,,,,10.4,,,8.5,,,8.1,,,,6.4,,,,,,
COG,,,8.0,,,,,,6.0,,,8.2,,,,,,,,,
COL,,,1.6,,,,,0.9,,,,,,1.6,,,,,,,
COM,,,,,,,,,,11.2,,,,,,,,,,,
CRI,,,,,,0.8,,,,,,,,,,1.8,,,,,
CUB,,,,,,,,,,,,,,,,,2.0,,,,
DEU,,1.0,,,,,,,,,,,,0.4,,,,,,,
DJI,,,,,,,,,10.8,,13.9,,,,,,10.6,,,,
DOM,,,,1.7,2.3,,,,,,2.4,,,,,,2.2,,,,
DZA,,,,4.1,,,,,,4.1,,,,,,,2.7,,,,
ECU,,2.0,,2.1,,,,,,2.4,,1.6,,,,,3.7,,,,
EGY,5.2,,5.3,,,7.9,,,,,,9.5,,,,,,,,,
ERI,,,,,,,,14.6,,,,,,,,,,,,,
EST,,,,,,,,,,,,1.5,,,,,,,,,
ETH,,,12.4,,,,,,9.8,,,8.8,,10.0,,,6.8,,,,
FJI,,6.4,,,,,,,,,,7.0,,,,,,,4.6,,
GAB,,,,,,,,,,3.4,,,,,,,,3.4,,,
GBR,,,,,,,,0.0,,,0.1,,0.3,,0.3,,,,,,
