country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,3.8,,,,,,,,,4.0,,,,,1.6,,,,1.2,
AGO,,,,,4.5,,,,,,,,1.1,,,,,,,,
ALB,,,3.7,,,,5.9,,,,,,,,0.5,,,,,,
ARG,,,0.4,,,,,,,,,,,,,0.5,,,,,
ARM,,,2.6,,,,,2.0,,,,,,1.7,,,,,,,
AUS,,,,,0.0,,,,,,,,,,,,,,,,
AZE,,,,2.2,,,,,2.9,,1.1,,,,,,,,,,
BDI,,,,,,,,1.4,,,,,,0.9,,0.8,1.0,0.9,,1.4,
BEL,,,,,,,,,,,,0.0,,,,,,,,,
BEN,,,,,,1.1,,,,,,0.9,,,,1.1,,,2.4,,
BFA,,,,,,,2.7,5.9,2.2,1.8,1.6,1.7,2.1,1.4,1.9,1.7,1.0,0.9,2.2,,
BGD,2.1,3.5,2.9,1.6,2.9,,,,4.1,4.9,1.6,3.2,4.3,,,1.5,2.3,,,1.8,
BGR,,1.5,,,1.1,,,,,,,2.3,,,,,,,,,
BIH,,,,1.5,,,,,,1.6,,,,,,,,,,,
BLR,,,0.6,,,,,,,,,,,,,,,,,,
BLZ,,,,0.8,,,,,1.2,,,,0.5,,,,,,,,
BOL,0.6,,,,,0.5,,,,0.5,,,,0.9,,,,,,,
BRA,,,,,0.4,,,,,,,,,,,,0.8,,,,
BRB,,,,,,,,,,2.0,,,,,,,,,,,
BRN,,,,,,,0.4,,,,,,,,,,,,,,
BTN,,,,,,1.4,,2.0,,,,,,,,,,,,,
BWA,,,,,3.0,,,,,,,,,,,,,,,,
CAF,,,,5.0,,,,1.9,,1.6,,1.3,,,,1.6,1.5,,,,
CHN,,,0.8,,,0.6,0.7,0.7,,,,,,,,,,,,,
CIV,,,,,5.7,,,,,1.8,,,,1.2,,,,,2.4,,
CMR,,2.3,,2.6,,,,,2.0,,,1.3,,,,1.6,,,,,
COD,,,,,4.8,,,2.8,,,2.9,,,,2.0,,,,,,
