country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,9.6,10.0,11.0,11.0,11.0,11.0,12.0,6.9,9.1,32.0,12.0,2.2,9.9,15.0,8.7,5.4,2.1,1.1,6.4,5.3,3.6
AFG,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,183.0,185.0,184.0,180.0
AGO,334.0,350.0,368.0,377.0,379.0,382.0,385.0,384.0,383.0,380.0,376.0,370.0,366.0,362.0,359.0,355.0,351.0,328.0,324.0,336.0,339.0
ALB,20.0,20.0,19.0,18.0,17.0,16.0,17.0,17.0,17.0,16.0,19.0,16.0,17.0,17.0,20.0,18.0,16.0,16.0,15.0,15.0,15.0
AND,18.0,11.0,15.0,17.0,7.0,5.5,11.0,10.0,4.4,13.0,7.6,9.4,6.4,6.4,1.6,3.1,7.5,3.0,2.9,5.8,5.7
ARE,3.2,2.4,2.5,2.1,2.0,1.7,2.0,2.2,1.6,1.2,1.2,0.84,0.81,0.81,0.82,1.0,0.98,0.75,0.78,0.73,0.8
ARG,33.0,34.0,31.0,28.0,30.0,26.0,22.0,21.0,27.0,24.0,24.0,25.0,26.0,27.0,27.0,27.0,29.0,28.0,29.0,29.0,35.0
ARM,64.0,69.0,92.0,75.0,72.0,71.0,68.0,61.0,55.0,53.0,60.0,57.0,50.0,44.0,36.0,31.0,26.0,25.0,25.0,25.0,25.0
ASM,6.1,10.0,12.0,8.2,6.1,6.2,8.3,8.3,6.3,7.2,7.0,6.8,8.7,6.4,11.0,0.0,2.3,6.9,5.1,4.8,4.5
ATG,1.5,5.4,8.7,5.7,2.8,1.4,4.1,9.4,8.0,4.0,13.0,3.9,4.3,3.8,1.3,6.3,0.0,2.5,5.0,1.2,1.2
AUS,5.5,6.1,5.9,6.5,6.1,6.5,6.8,6.5,6.3,6.6,6.2,6.5,6.0,6.5,6.7,6.6,6.8,7.2,6.5,5.6,6.2
