country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,21.9,,,,,,,,,,20.4,,,,,
ALB,,,22.5,,,22.2,,,,22.8,,23.3,23.0,23.2,23.3,23.3,22.7,23.0,,,
ARE,,,,,,,,,,,25.5,,,,,23.3,,,,,
ARG,21.5,22.1,22.1,22.5,22.4,22.7,23.0,22.6,22.7,23.2,23.3,23.1,,22.8,23.0,23.0,22.8,23.2,22.5,22.7,
ARM,20.8,20.2,20.2,22.1,22.1,22.4,22.4,21.7,22.2,22.0,22.2,22.0,21.8,22.8,20.9,20.8,21.7,22.2,21.8,22.4,
AUS,23.2,22.9,,,,22.5,,22.7,,,,22.2,,22.9,,22.5,,,,,
AUT,22.7,22.5,22.8,22.6,22.9,22.6,22.6,22.9,23.0,23.0,22.7,22.7,22.9,23.0,23.1,23.0,23.1,23.0,22.9,,
AZE,21.4,20.8,20.9,,,,,,,,,,,,,,,,,,
BDI,,,,20.9,,,,,,,20.8,,,,,,,21.4,,,
BEL,22.7,21.9,22.2,22.7,22.3,22.7,22.7,22.5,22.7,22.8,23.0,22.8,22.7,22.7,22.7,22.4,22.3,22.6,22.4,,
BEN,20.9,,,,,,,,20.2,,,,20.8,,,21.4,,,22.1,,
BFA,20.8,,,,,,20.9,,,,,20.6,,,,20.0,,,21.1,,
BGD,,,20.9,,,,,21.2,,,,,,21.4,,,,,,21.5,
BGR,,,,22.9,22.3,22.6,22.8,22.7,22.7,22.4,22.6,22.1,22.6,21.8,21.3,21.0,21.4,20.7,21.9,,
BIH,,22.4,,,23.0,,,,22.9,,,,,,,,,,,,
BLR,22.8,22.9,23.0,22.9,22.5,22.9,22.4,22.8,22.8,22.5,22.5,22.4,22.6,22.3,22.5,22.3,22.4,22.5,,,
BOL,,18.8,19.2,19.8,19.8,20.9,21.3,,22.2,22.5,21.7,21.3,21.8,22.8,22.9,22.9,22.4,22.1,22.4,,
BRA,18.7,18.8,18.7,18.8,19.2,19.3,19.4,,19.5,19.2,19.3,19.5,19.6,19.3,19.4,19.3,19.5,19.3,19.6,19.5,
BTN,21.3,,,,22.1,,,,,21.4,,,,,22.7,,,,,22.8,
BWA,,,,,,,16.9,,,,,,19.5,,,,,,,,
CAF,,,,,,17.7,,,,,,,,,,,,,21.4,,
CAN,22.9,23.0,22.9,22.8,22.7,22.8,22.9,22.8,22.9,23.2,23.4,23.0,23.0,23.0,23.0,23.0,23.1,,,,
CHE,,23.4,,22.7,22.5,22.6,22.7,22.6,22.7,22.5,22.5,22.5,22.6,22.5,22.4,22.5,22.3,22.3,,,
CHL,19.1,,,19.6,,,19.3,,19.4,,19.2,,19.6,,19.6,,,19.7,,20.3,
CHN,,,22.3,,,22.5,,22.3,22.3,22.4,22.1,22.3,22.3,22.2,22.1,22.2,22.0,21.7,21.9,,
CIV,,,,,,21.7,,,,,,,21.7,,,21.9,,,21.8,,
CMR,,,,,21.5,,,,,,,21.6,,,,,,,22.5,,
COD,,21.5,,,,,,,,21.6,,,,,,,,20.2,,,
COG,,,20.4,,,,,,20.7,,,,,,,,,,,,
COL,18.8,18.3,18.6,,,19.0,19.2,19.0,19.3,19.7,19.6,19.6,20.0,19.9,20.1,19.9,19.8,19.5,18.8,18.8,
COM,,16.5,,,,,,,,,,22.2,,,,,,,,,
CPV,,,,,20.0,,,,,,,,21.6,,,,,,,,
CRI,21.1,21.0,21.0,20.1,19.7,20.3,19.9,20.5,20.8,20.9,21.0,20.8,20.6,20.6,20.5,20.9,20.7,20.9,20.6,21.1,21.4
CYP,,22.3,22.0,21.6,21.9,21.6,21.9,21.8,21.6,21.4,20.7,21.3,21.7,21.7,21.9,21.4,21.8,21.6,21.8,,
CZE,,21.9,21.7,21.9,21.8,21.6,21.9,22.0,22.0,21.9,21.8,21.9,21.9,21.8,22.0,22.0,22.1,21.7,22.0,,
DEU,22.5,22.5,22.3,22.5,22.2,22.4,22.7,22.5,22.4,22.6,22.4,22.8,22.6,22.7,22.7,22.4,22.4,22.5,,,
DJI,,,,,,,,,,21.2,20.9,,,,21.6,,,,,,
DNK,22.5,22.6,22.5,22.3,22.1,22.5,22.5,22.3,22.3,22.1,21.9,22.0,21.8,22.0,21.9,21.9,21.9,22.1,21.8,,
