country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,2.1,,,,,,,,,,1.3,,,,,
ALB,,,3.5,,,3.7,,,,3.7,,2.9,3.2,3.0,3.1,3.2,3.5,3.4,,,
ARE,,,,,,,,,,,2.3,,,,,2.8,,,,,
ARG,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.6,1.7,1.7,1.8,1.8,,1.7,1.8,1.7,1.6,1.7,1.8,2.0,
ARM,3.7,3.1,3.3,3.7,3.5,3.9,4.0,3.9,3.8,3.8,3.6,3.5,3.4,3.3,3.5,3.3,3.7,4.4,4.0,3.9,
AUS,2.8,3.1,,,,2.8,,2.8,,,,2.9,,2.9,,2.8,,,,,
AUT,3.3,3.4,3.5,3.4,3.1,3.0,2.8,3.1,2.9,2.8,3.1,3.1,3.0,2.8,3.0,3.0,2.9,2.9,2.8,,
AZE,4.5,4.8,4.8,,,,,,,,,,,,,,,,,,
BDI,,,,4.0,,,,,,,2.8,,,,,,,2.9,,,
BEL,3.3,3.4,3.4,3.4,3.4,3.4,3.2,3.3,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.6,,
BEN,2.9,,,,,,,,2.5,,,,1.1,,,2.9,,,3.1,,
BFA,2.3,,,,,,2.7,,,,,3.6,,,,2.6,,,3.0,,
BGD,,,3.8,,,,,3.9,,,,,,3.7,,,,,,3.5,
BGR,,,,1.6,2.2,2.4,2.4,2.1,2.1,2.0,1.8,2.0,1.5,1.6,1.9,1.9,1.9,2.2,2.0,,
BIH,,2.9,,,3.0,,,,2.9,,,,,,,,,,,,
BLR,3.5,3.8,3.6,3.6,3.5,3.7,3.7,3.6,3.8,4.0,4.0,3.9,4.1,4.2,4.3,4.3,4.2,4.5,,,
BOL,,0.9,0.5,0.6,0.8,0.9,0.8,,1.1,0.9,1.0,1.1,1.1,1.0,1.1,1.4,1.7,1.5,1.8,,
BRA,0.9,0.9,1.0,1.0,1.0,1.0,1.0,,1.1,1.1,1.2,1.2,1.2,1.1,1.0,1.0,0.9,1.6,1.0,1.2,
BTN,2.8,,,,2.7,,,,,2.7,,,,,2.7,,,,,3.6,
BWA,,,,,,,1.1,,,,,,1.5,,,,,,,,
CAF,,,,,,1.2,,,,,,,,,,,,,2.1,,
CAN,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.8,2.9,2.6,2.5,2.7,2.6,2.9,2.8,2.9,3.0,,,,
CHE,,3.4,,2.9,2.9,3.0,3.1,3.1,3.2,3.3,3.3,3.2,3.2,3.0,3.1,3.0,2.9,3.0,,,
CHL,1.4,,,1.8,,,1.9,,2.0,,2.1,,2.2,,2.2,,,1.7,,2.3,
CHN,,,2.4,,,2.1,,2.0,2.1,2.1,2.5,2.5,2.6,2.7,2.6,2.7,2.8,3.1,3.2,,
CIV,,,,,,1.8,,,,,,,2.1,,,2.9,,,3.1,,
CMR,,,,,2.5,,,,,,,1.7,,,,,,,2.1,,
COD,,2.6,,,,,,,,2.1,,,,,,,,2.1,,,
COG,,,2.0,,,,,,1.6,,,,,,,,,,,,
COL,1.2,1.2,1.2,,,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.2,0.9,1.0,1.0,
COM,,1.5,,,,,,,,,,1.6,,,,,,,,,
CPV,,,,,2.0,,,,,,,,2.2,,,,,,,,
CRI,1.1,1.3,1.4,1.4,1.5,1.5,1.3,1.6,1.5,1.5,1.4,1.5,1.5,1.5,1.6,1.5,1.6,1.4,1.6,1.7,1.6
CYP,,3.7,3.8,3.7,3.7,3.7,3.5,3.6,3.4,3.3,3.1,3.0,3.2,3.4,3.4,3.5,3.5,3.6,3.5,,
CZE,,3.6,3.8,3.7,3.9,3.9,3.8,3.7,3.7,3.9,3.8,3.9,3.9,4.0,4.2,4.2,4.2,4.0,3.9,,
DEU,3.5,3.5,3.4,3.4,3.5,3.5,3.4,3.5,3.5,3.3,3.4,3.2,3.2,3.2,3.1,3.1,3.1,2.9,,,
DJI,,,,,,,,,,1.3,1.7,,,,1.9,,,,,,
DNK,4.0,4.0,4.0,4.0,3.9,3.9,3.5,3.7,3.7,3.7,3.6,3.5,3.7,3.7,3.7,3.7,3.8,3.7,3.7,,
DOM,1.3,1.4,1.5,1.4,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.8,2.3,2.3,2.3,2.4,2.6,2.6,
DZA,,,,,,,,,4.0,,,,,,,,,,,,
ECU,1.1,1.0,1.1,1.3,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.3,1.6,1.7,1.6
EGY,,3.9,,,,3.9,,4.1,,4.3,,,3.9,,3.8,,3.8,,,,
ESP,2.6,2.5,2.5,2.3,2.4,2.3,2.1,2.1,1.9,2.0,1.8,1.8,1.9,1.8,2.1,2.1,2.0,1.9,2.2,,
EST,2.0,2.5,2.7,2.8,3.0,2.9,2.8,2.5,2.6,2.6,2.4,2.4,2.7,2.9,3.0,3.1,3.0,3.0,3.1,,
ETH,,4.1,,,,,,3.2,,,,,2.9,,,,,,,,
FIN,3.9,3.9,4.0,3.8,3.8,3.8,3.8,3.7,3.8,3.9,3.8,3.9,3.8,3.9,3.8,3.8,3.8,3.9,3.8,,
FJI,,,,,,2.7,,,,,3.1,,,,,,3.5,,,,
FRA,3.3,3.4,3.5,3.4,3.3,3.2,3.0,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.1,3.1,2.9,,
