country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,14.6,,,,,,,,,,31.1,,,,,
ALB,,,0.6,,,0.2,,,,0.6,,1.0,0.1,0.1,0.4,0.0,0.0,0.0,,,
ARE,,,,,,,,,,,0.0,,,,,0.0,,,,,
ARG,5.4,3.9,2.7,2.2,1.8,1.6,1.6,0.7,0.7,0.6,0.7,0.6,,0.7,0.6,1.0,1.1,1.2,0.9,0.6,
ARM,7.5,5.3,2.6,2.0,1.5,0.9,1.2,1.0,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1.0,0.4,0.5,0.8,
AUS,1.0,0.7,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,,,
AUT,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,0.7,0.5,,
AZE,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,
BDI,,,,71.8,,,,,,,65.1,,,,,,,62.1,,,
BEL,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,,
BEN,53.1,,,,,,,,54.3,,,,50.7,,,20.1,,,12.7,,
BFA,54.7,,,,,,52.6,,,,,39.6,,,,31.2,,,25.3,,
BGD,,,24.0,,,,,18.2,,,,,,13.5,,,,,,5.0,
BGR,,,,5.8,1.8,1.3,1.3,2.0,2.5,2.3,1.8,1.7,3.4,2.0,1.4,0.9,0.9,0.2,0.7,,
BIH,,0.2,,,0.1,,,,0.1,,,,,,,,,,,,
BLR,3.5,1.3,0.9,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BOL,,10.2,15.6,12.5,9.5,8.3,8.8,,5.3,6.5,5.2,4.3,4.6,5.6,4.9,3.3,1.9,3.1,2.0,,
BRA,12.6,11.1,10.0,8.3,7.9,6.5,6.1,,5.3,4.5,3.7,3.3,3.9,4.7,5.3,5.3,5.4,2.0,5.8,3.5,
BTN,13.4,,,,5.9,,,,,1.7,,,,,0.9,,,,,0.0,
BWA,,,,,,,17.7,,,,,,15.4,,,,,,,,
CAF,,,,,,61.9,,,,,,,,,,,,,65.7,,
CAN,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,,,,
CHE,,0.0,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CHL,5.3,,,2.0,,,1.7,,0.9,,0.5,,0.4,,0.4,,,1.3,,0.4,
CHN,,,22.3,,,17.3,,13.4,10.0,8.3,2.7,1.7,0.6,0.1,0.0,0.0,0.0,0.0,0.0,,
CIV,,,,,,34.4,,,,,,,33.4,,,11.5,,,9.7,,
CMR,,,,,31.4,,,,,,,25.7,,,,,,,23.0,,
COD,,91.5,,,,,,,,69.7,,,,,,,,78.9,,,
COG,,,49.6,,,,,,35.4,,,,,,,,,,,,
COL,13.0,12.0,10.7,,,11.0,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,9.4,7.3,6.0,
COM,,14.6,,,,,,,,,,18.6,,,,,,,,,
CPV,,,,,10.6,,,,,,,,4.6,,,,,,,,
CRI,4.7,4.7,3.3,3.3,1.8,2.4,2.5,1.5,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1.5,1.1,2.3,1.2,0.9,0.9
