country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,4.0,,,,,,,,,,11.9,,,,,
ALB,,,0.1,,,0.0,,,,0.1,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,
ARE,,,,,,,,,,,0.0,,,,,0.0,,,,,
ARG,1.9,1.3,0.9,0.8,0.7,0.6,0.5,0.3,0.3,0.3,0.3,0.3,,0.3,0.2,0.4,0.4,0.4,0.4,0.2,
ARM,1.2,1.2,0.6,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,
AUS,0.7,0.4,,,,0.3,,0.3,,,,0.3,,0.3,,0.4,,,,,
AUT,0.3,0.1,0.1,0.0,0.3,0.2,0.4,0.3,0.3,0.4,0.2,0.1,0.5,0.5,0.2,0.4,0.4,0.6,0.4,,
AZE,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
BDI,,,,27.3,,,,,,,25.2,,,,,,,23.5,,,
BEL,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,
BEN,18.2,,,,,,,,19.8,,,,22.9,,,4.8,,,2.9,,
BFA,22.1,,,,,,18.2,,,,,9.5,,,,8.4,,,6.3,,
BGD,,,4.6,,,,,3.2,,,,,,2.4,,,,,,0.8,
BGR,,,,2.7,0.7,0.4,0.3,0.7,1.0,0.8,0.7,0.5,1.4,0.7,0.5,0.3,0.3,0.1,0.2,,
BIH,,0.1,,,0.0,,,,0.0,,,,,,,,,,,,
BLR,0.8,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BOL,,4.3,7.9,6.2,4.6,3.8,3.8,,2.2,3.0,2.3,1.9,2.1,2.5,2.1,1.3,0.6,0.8,0.6,,
BRA,4.9,4.1,3.6,3.1,3.1,2.5,2.4,,2.2,1.7,1.3,1.1,1.3,1.7,2.0,2.0,2.1,0.7,2.1,1.2,
BTN,2.3,,,,1.1,,,,,0.3,,,,,0.2,,,,,0.0,
BWA,,,,,,,5.5,,,,,,4.1,,,,,,,,
CAF,,,,,,29.7,,,,,,,,,,,,,29.7,,
CAN,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
CHE,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CHL,2.0,,,0.6,,,0.6,,0.3,,0.2,,0.2,,0.2,,,0.8,,0.2,
CHN,,,6.1,,,4.8,,3.4,2.3,1.8,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CIV,,,,,,12.4,,,,,,,11.2,,,2.4,,,1.9,,
CMR,,,,,9.3,,,,,,,8.3,,,,,,,6.6,,
COD,,58.3,,,,,,,,32.6,,,,,,,,40.2,,,
COG,,,19.6,,,,,,13.8,,,,,,,,,,,,
COL,4.9,3.9,3.7,,,4.3,3.6,3.0,2.5,2.5,2.3,2.0,1.8,1.8,1.7,1.7,2.0,4.4,2.9,2.4,
COM,,4.2,,,,,,,,,,6.7,,,,,,,,,
CPV,,,,,2.5,,,,,,,,1.0,,,,,,,,
CRI,2.0,1.8,1.2,1.3,0.7,0.9,1.1,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.4,0.9,0.4,0.3,0.3
CYP,,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,
CZE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,,,
DJI,,,,,,,,,,8.4,8.4,,,,6.4,,,,,,
DNK,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,,
DOM,2.9,3.6,2.3,1.7,1.7,1.4,1.2,0.9,1.0,1.0,0.8,0.8,0.6,0.6,0.3,0.2,0.2,0.3,0.2,0.2,
DZA,,,,,,,,,0.0,,,,,,,,,,,,
ECU,5.8,6.1,4.5,2.8,3.2,2.9,2.6,1.9,1.7,1.5,1.0,0.8,1.2,1.2,1.0,1.0,1.1,2.1,1.0,1.0,1.0
EGY,,0.4,,,,0.4,,0.1,,0.1,,,0.1,,0.4,,0.3,,,,
ESP,0.5,0.6,0.5,0.6,0.3,0.3,0.5,0.5,0.8,0.6,0.7,0.4,0.6,0.7,0.5,0.5,0.5,0.5,0.4,,
EST,1.3,0.5,0.3,0.4,0.2,0.2,0.2,0.4,0.5,0.4,0.6,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.2,,
ETH,,7.6,,,,,,8.1,,,,,7.6,,,,,,,,
FIN,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,
FJI,,,,,,0.1,,,,,0.1,,,,,,0.2,,,,
FRA,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,,
FSM,,,1.9,,,,,,,,5.9,,,,,,,,,,
GAB,,,1.2,,,,,,,,,,,,0.6,,,,,,
