country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,,,,,,,,,,,2.36,,,
ARE,,,,,,,,,1.84,,,,,
ARG,,,,,,,,,,,,,-4.71,
ARM,,,,,,,,,2.4,,,,,
AUS,,,,,,,,,-0.26,,,,,
AUT,,,,,,,,,,,,0.35,,
BEL,,,,,,,,,,,,2.08,,
BEN,,,,,,,,,,,,2.31,,
BFA,,,,,,,,,,,,-1.1,,
BGD,,,,,,,1.54,,,,,,,
BGR,,,,,,,,,,,,5.77,,
BLR,,,,,,,,,,,2.6,,,
BOL,,,,,,,,,,,,0.69,,
BRA,,,,,,,,,,,,,0.99,
BTN,,,,,,,,1.67,,,,,,
BWA,,,,,,-3.3,,,,,,,,
CAN,,,,,,,,,,0.78,,,,
CHE,,,,,,,,,,,0.71,,,
CHL,,,,,,,,,,,,,2.17,
CHN,,,,,,,,,,,4.01,,,
CIV,,,,,,,,,,,,-0.67,,
CMR,,,,,3.84,,,,,,,,,
COD,,,9.78,,,,,,,,,,,
COG,,4.65,,,,,,,,,,,,
COL,,,,,,,,,,,,0.73,,
CRI,,,,,,,,,,,,,,0.34
CYP,,,,,,,,,,,,3.11,,
CZE,,,,,,,,,,,,3.97,,
DEU,,,,,,,,,,,2.86,,,
DNK,,,,,,,,,,,,1.75,,
DOM,,,,,,,,,,,,,-0.57,
ECU,,,,,,,,,,,,,,-0.96
EGY,,,,,,,,,,-1.57,,,,
ESP,,,,,,,,,,,,1.82,,
EST,,,,,,,,,,,,6.9,,
ETH,,,,,,2.02,,,,,,,,
FIN,,,,,,,,,,,,1.48,,
FJI,,,,-0.51,,,,,,,,,,
FRA,,,,,,,,,,,,-0.48,,
GBR,,,,,,,,,,,,0.56,,
GEO,,,,,,,,,,,,,0.57,
GHA,,,,,,,1.27,,,,,,,
GIN,,,5.02,,,,,,,,,,,
GMB,,,,,,,,,,,-0.06,,,
GNB,,,,,,,,,,,,-2.35,,
GRC,,,,,,,,,,,,3.79,,
HND,,,,,,,,,,0.64,,,,
HRV,,,,,,,,,,,,5.81,,
HUN,,,,,,,,,,,,6.15,,
IDN,,,,,,,,,,,,,,1.9
IND,,3.69,,,,,,,,,,,,
IRL,,,,,,,,,,,,3.55,,
IRN,,,,,,,,,,,,,-0.98,
IRQ,,,1.11,,,,,,,,,,,
ISL,,,,,,,,5.26,,,,,,
ISR,,,,,,,,,,,,1.03,,
ITA,,,,,,,,,,,,1.86,,
JAM,,,,,,,,,,,,2.14,,
JOR,5.77,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,4.22,,
KEN,,,,,,,,,,,,-3.09,,
KGZ,,,,,,,,,,,,,2.09,
KOR,,,,,,,,,,,,3.71,,
LAO,,,,,,,,,3.07,,,,,
LKA,,,,,,,,,,0.65,,,,
LTU,,,,,,,,,,,,8.11,,
LUX,,,,,,,,,,,,3.14,,
LVA,,,,,,,,,,,,6.68,,
MDA,,,,,,,,,,,,1.12,,
MDG,,,-2.26,,,,,,,,,,,
MEX,,,,,,,,,,,,,1.95,
MKD,,,,,,,,,,5.25,,,,
MLI,,,,,,,,,,,,-3.99,,
MLT,,,,,,,,,,,4.55,,,
MMR,,,,,,,,1.28,,,,,,
MNE,,,,,,,,,,,,1.31,,
MNG,,,,,,,,,3.11,,,,,
MOZ,,,,,,,,,,-5.55,,,,
MRT,,,,,,,,,,-0.08,,,,
MUS,,,,,,,,2.02,,,,,,
MWI,,,,,,,,,,-6.11,,,,
MYS,,,,,,,,,,,,3.06,,
NAM,,,,,,6.64,,,,,,,,
NER,,,,,,,,,,,,-1.97,,
NIC,,,,,6.52,,,,,,,,,
NLD,,,,,,,,,,,,1.77,,
NOR,,,,,,,,,,0.43,,,,
NPL,4.68,,,,,,,,,,,,,
PAK,,,,,,,,,1.25,,,,,
PAN,,,,,,,,,,,,,,-1.43
PER,,,,,,,,,,,,,-1.31,
PHL,,,,,,,,,,,,0.79,,
POL,,,,,,,,,,,,5.56,,
PRT,,,,,,,,,,,,3.32,,
PRY,,,,,,,,,,,,,-1.0,
PSE,,,,,,,-0.55,,,,,,,
ROU,,,,,,,,,,,,13.46,,
RUS,,,,,,,,,,,-0.48,,,
RWA,,,,,,,-0.16,,,,,,,
SEN,,,,,,,,,,,,-1.09,,
SLE,,,,,,,,,2.86,,,,,
SLV,,,,,,,,,,,,,3.43,
SRB,,,,,,,,,,,,7.83,,
SVK,,,,,,,,,,,,1.29,,
SVN,,,,,,,,,,,,4.18,,
SWE,,,,,,,,,,,,0.99,,
SWZ,,,,,,,6.14,,,,,,,
SYC,,,,,,,,,-1.58,,,,,
TCD,,,,,,,,,,,,,0.53,
TGO,,,,,,,,,,,,-2.59,,
THA,,,,,,,,,,,,0.55,,
TJK,,,,,,2.67,,,,,,,,
TON,,,,,,,,,,,,5.12,,
TUN,,,,,,,,,,,,0.94,,
TUR,,,,,,,,,,,,3.49,,
TZA,,,,,,,,,0.92,,,,,
UGA,,,,,,,,,,-0.09,,,,
UKR,,,,,,,,,,,4.12,,,
URY,,,,,,,,,,0.0,,,,
USA,,,,,,,,,,,,,1.38,
VNM,,,,,,,,,,,,,2.78,
ZAF,,,,,-1.25,,,,,,,,,
ZMB,,,,,,,,,,,,,-2.31,
ZWE,,,,,,,,,,1.03,,,,
