country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,,,,,,,,,,,,,,,,13.32,,13.95,,,
ARE,,,,,,,,,,,72.45,,,,,78.78,,,,,
ARG,,,,,,,,,,,,,,,29.09,,,,,22.86,
ARM,,,,,,,,,,,7.81,,,,,8.79,,,,,
AUS,,,,,,,,,,,,65.29,,,,64.61,,,,,
AUT,,,,,,,,,,,,,,65.07,,,,,66.22,,
BEL,,,,,,,,,,,,,,55.09,,,,,61.07,,
BEN,,,,,,,,,,,,,,,,4.66,,,5.02,,
BFA,,,,,,,,,,,,,,,,4.28,,,4.14,,
BGD,,,,,,,,4.08,,,,,,4.47,,,,,,,
BGR,,,,,,,,,,,,,,23.01,,,,,30.46,,
BLR,,,,,,,,,,,,,16.95,,,,,19.27,,,
BOL,,,,,,,,,,,,,,18.89,,,,,19.55,,
BRA,,,,,,,,,,,,,,,20.3,,,,,21.33,
BTN,,,,,,,,,,9.91,,,,,10.76,,,,,,
BWA,,,,,,,11.01,,,,,,8.82,,,,,,,,
CAN,,,,,,,,,,,,63.24,,,,,65.73,,,,
CHE,,,,,,,,,,,,,77.36,,,,,80.14,,,
CHL,,,,,,,,,,,,,,,25.76,,,,,28.68,
CHN,,,,,,,,,,,,,11.19,,,,,13.62,,,
CIV,,,,,,,,,,,,,,,,5.66,,,5.54,,
CMR,,,,,4.42,,,,,,,5.75,,,,,,,,,
COD,,1.01,,,,,,,,2.03,,,,,,,,,,,
COG,,,3.39,,,,,,4.59,,,,,,,,,,,,
COL,,,,,,,,,,,,,,15.36,,,,,15.93,,
CRI,,,,,,,,,,,,,,,,25.65,,,,,26.08
CYP,,,,,,,,,,,,,,46.6,,,,,54.31,,
CZE,,,,,,,,,,,,,,34.75,,,,,42.23,,
DEU,,,,,,,,,,,,,61.07,,,,,70.33,,,
DNK,,,,,,,,,,,,,,60.67,,,,,66.15,,
DOM,,,,,,,,,,,,,,,14.79,,,,,14.37,
ECU,,,,,,,,,,,,,,,,15.66,,,,,14.92
EGY,,,,,,,,,,,,,7.25,,,,6.76,,,,
ESP,,,,,,,,,,,,,,44.12,,,,,48.29,,
EST,,,,,,,,,,,,,,34.76,,,,,48.53,,
ETH,,,,,,,,3.38,,,,,3.74,,,,,,,,
FIN,,,,,,,,,,,,,,55.77,,,,,60.03,,
FJI,,,,,,10.98,,,,,10.72,,,,,,,,,,
FRA,,,,,,,,,,,,,,58.95,,,,,57.55,,
GBR,,,,,,,,,,,,,,53.65,,,,,55.16,,
GEO,,,,,,,,,,,,,,,8.13,,,,,8.37,
GHA,,,,,,,,,,4.84,,,,5.09,,,,,,,
GIN,,,,,3.02,,,,,3.86,,,,,,,,,,,
GMB,,,,,,,,,,,,,5.1,,,,,5.08,,,
GNB,,,,,,,,,,,,,,,,4.21,,,3.89,,
GRC,,,,,,,,,,,,,,25.51,,,,,30.73,,
HND,,,,,,,,,,,,9.8,,,,,10.12,,,,
HRV,,,,,,,,,,,,,,24.25,,,,,32.17,,
HUN,,,,,,,,,,,,,,23.01,,,,,31.01,,
IDN,,,,,,,,,,,,,,,,6.97,,,,,7.65
IND,,3.12,,,,,,,4.02,,,,,,,,,,,,
IRL,,,,,,,,,,,,,,49.68,,,,,59.15,,
IRN,,,,,,,,,,,,,,,14.15,,,,,13.48,
IRQ,,,,10.68,,,,,,11.3,,,,,,,,,,,
ISL,,,,,,,,,,48.73,,,,,62.98,,,,,,
ISR,,,,,,,,,,,,,,37.81,,,,,39.79,,
ITA,,,,,,,,,,,,,,47.03,,,,,51.57,,
JAM,,,,,,,,,,,,,,,,19.13,,,20.38,,
JOR,,,,,,15.06,,16.92,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,,,10.84,,,,,13.33,,
KEN,,,,,,,,,,,,,4.25,,,,,,3.59,,
KGZ,,,,,,,,,,,,,,,6.26,,,,,6.95,
KOR,,,,,,,,,,,,,,49.51,,,,,59.4,,
LAO,,,,,,,,,,5.41,,,,,,6.52,,,,,
LKA,,,,,,,,,,,,,,9.07,,,9.25,,,,
LTU,,,,,,,,,,,,,,30.5,,,,,45.04,,
LUX,,,,,,,,,,,,,,79.74,,,,,93.09,,
LVA,,,,,,,,,,,,,,26.85,,,,,37.11,,
MDA,,,,,,,,,,,,,,11.46,,,,,12.11,,
MDG,,,,,,,,1.69,,1.59,,,,,,,,,,,
MEX,,,,,,,,,,,,,,14.77,,,,,,16.59,
MKD,,,,,,,,,,,,11.58,,,,,14.95,,,,
MLI,,,,,,,,,,,,,,,,4.93,,,4.36,,
MLT,,,,,,,,,,,,,45.63,,,,,56.99,,,
MMR,,,,,,,,,,,,,6.41,,6.58,,,,,,
MNE,,,,,,,,,,,,,,17.7,,,,,18.89,,
MNG,,,,,,,,,,,,,,9.28,,9.86,,,,,
MOZ,,,,,,,,,,,,2.87,,,,,2.1,,,,
MRT,,,,,,,,,,,,6.31,,,,,6.28,,,,
MUS,,,,,,,,,,14.94,,,,,16.51,,,,,,
MWI,,,,,,,,,,,,,,2.5,,,2.07,,,,
MYS,,,,,,,,,,,,,29.36,,,,,,34.74,,
NAM,,,,,,,8.06,,,,,,11.65,,,,,,,,
NER,,,,,,,,,,,,,,,,2.85,,,2.69,,
NIC,,,,,,,8.54,,,,,11.72,,,,,,,,,
NLD,,,,,,,,,,,,,,59.8,,,,,65.27,,
NOR,,,,,,,,,,,,72.47,,,,,74.06,,,,
NPL,3.78,,,,,,,5.19,,,,,,,,,,,,,
PAK,,,,,,,,,,,4.68,,,,,4.98,,,,,
PAN,,,,,,,,,,,,,,,,32.39,,,,,30.13
PER,,,,,,,,,,,,,,,13.28,,,,,12.43,
PHL,,,,,,,,,,,,,8.41,,,,,,8.82,,
