country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,42.835,42.833,42.863,42.885,42.977,43.002,43.119,43.182,43.232,43.267,43.297,43.368,42.896,42.449,42.014,40.468,38.922,36.71,36.022,32.333,32.402
AGO,64.558,64.631,64.63,64.74,64.774,64.715,64.562,64.421,64.35,64.278,64.098,63.927,63.624,63.319,63.05,62.818,62.645,62.257,64.306,64.573,64.739
ALB,48.611,48.121,47.419,46.704,45.609,46.245,47.473,47.426,51.858,49.371,44.101,43.775,45.955,48.477,50.152,52.0,53.391,51.026,52.115,54.296,54.324
ARE,73.272,73.796,74.315,74.948,75.075,74.922,74.387,74.528,74.908,75.283,75.714,76.136,76.612,77.166,76.82,77.339,77.614,75.398,74.661,75.023,75.789
ARG,51.646,53.567,54.434,55.567,55.937,55.692,55.526,55.544,56.296,56.006,55.705,55.124,54.743,54.249,53.899,54.1,54.355,49.602,55.085,57.3,58.462
ARM,54.324,54.134,54.004,53.97,54.073,50.026,49.445,49.482,49.94,50.776,51.437,50.961,50.585,51.09,51.034,50.226,51.612,51.101,53.381,53.885,53.816
AUS,59.935,60.144,61.26,61.747,62.415,62.783,61.856,62.066,62.184,61.836,61.343,60.849,61.135,61.242,61.599,62.232,62.607,60.901,62.591,64.216,64.334
AUT,55.921,54.203,54.765,55.447,56.506,57.154,56.703,56.953,57.131,57.252,57.122,56.758,56.73,57.015,57.292,57.914,58.121,57.224,56.715,57.843,57.649
AZE,64.066,62.538,61.711,60.511,57.876,57.259,57.482,57.437,57.873,58.398,58.82,59.68,60.386,61.419,61.787,62.195,61.957,62.356,58.411,60.401,59.956
BDI,77.687,76.826,75.956,74.981,75.812,76.607,76.892,77.155,77.307,77.448,77.59,77.697,78.374,78.899,79.156,79.189,78.966,77.738,78.255,78.436,78.185
BEL,47.319,48.182,48.797,48.73,49.654,49.949,49.282,49.67,49.491,49.306,49.1,49.008,48.842,49.001,49.555,50.48,51.005,50.422,50.671,51.536,51.39
