country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,8.54712749539866,8.79635613348918,9.04665469929729,9.47806031538061,9.80744633551707,10.2379728479143,10.9958636354431,11.5917725092936,12.5778433166449,13.5139048971089,14.5235811490715,15.6315921994168,17.0000955133331,18.6620924292537,20.0036750443431,19.3465579109816,18.5805005443424,17.5197728125365,19.634210828146,18.4868585026394,18.966140362923
AGO,34.9552251355859,35.6701811109207,36.948667312535,37.7527727350972,39.0981901316161,39.8911090159897,39.2797286354358,39.6760968509191,39.2317170149194,42.214593453598,44.816744428706,47.058060162475,46.8128007895516,46.8068662616121,46.6642891211565,46.5962479791753,46.384308717558,45.904833903956,46.3081042165734,46.2390834951674,46.0472140855585
ALB,37.7060893287433,38.7804589732367,39.8003788430715,40.7028976806383,41.7588244333332,44.9927753139318,46.9249562599499,47.8301151393557,42.0896285417401,40.7990559889654,43.0265503297984,42.6177768742829,39.9702852387747,39.8651988245821,42.2946179064394,42.5072965471527,43.9668829587613,44.7593171190548,46.5818757583829,46.0944934690646,46.638012592335
ARE,96.6081694898877,96.5648854961832,96.5546530445031,96.2433765664476,95.8134268820775,95.3246277844253,95.3655514179661,95.4811033083971,95.6597213351452,95.827266894438,96.0185398154722,96.7769585414725,96.7343464205389,96.6589631057144,96.2415487952506,95.9324134699966,95.0971095918799,95.0890760578024,95.3039497361329,94.9337646582453,94.8948689238616
ARG,70.2389370775434,71.2570872428742,71.5890942209885,72.5556269768486,73.2851641732126,73.3188530945827,73.089204458225,73.6307626614911,73.9555148594915,74.1349316741811,73.4771363558825,73.5215747931591,72.8486834751259,72.4519966187811,71.9421078499716,72.348447753339,71.2324290195324,71.1542633944296,70.5287265768458,71.1268987891127,72.1139780913939
ARM,34.4294949402654,35.0355310392065,35.7431227546701,36.2638004107672,36.7632736520948,37.0669265080506,36.8256280187171,37.1590303609338,37.3523101562264,37.6368370708896,37.8701077754491,38.1155180512406,38.685812944793,39.0451603285681,39.4348592690105,39.9090760658816,42.7710124866239,42.1751806580228,42.2167981621223,44.6619992589171,45.1334041255857
AUS,80.2790116974506,79.7412055045937,79.9480736519631,80.0860764866404,82.1274387873742,82.788072192834,81.7646948852433,81.6904262204855,82.1132125873836,83.0014824325883,82.4369065053641,82.6089868194309,82.5537168320684,82.463085341502,82.5234675970949,82.7130999010318,83.0774019852605,82.9288738064396,83.1064552763392,83.3777081506867,83.6293454314881
AUT,81.1063272797941,81.0493616620896,80.3587403180056,80.1673458980455,79.5958339968669,79.6915551663892,79.5820545568037,79.2461341451851,79.8641436417862,80.3372560654309,80.1878966332921,80.0037495040759,80.5443462413761,80.8950000088405,81.315330401404,81.5649706147992,81.5019093328256,81.3119554386316,81.0873333698341,81.294500417175,81.4015856647337
AZE,34.6032849695338,34.9409189965769,34.7510637189883,35.3806788984204,36.3014536226362,36.7429363631036,37.1524835683974,36.9571525096329,36.4706125249967,38.4082455695949,38.3657904150875,38.1034472501216,36.3202181569868,36.2125449181946,35.8189734339198,35.6931037265188,35.323921846322,35.654164259545,36.0848190881382,36.3833313778533,36.4090978562092
BDI,21.0474166814623,21.6408075549992,21.3363758168896,21.1958936029051,20.9746165348475,20.7945652022816,20.8238369809733,20.760172956591,20.6378589243007,20.6926100106559,20.9210136690579,20.9150751847742,20.995367964759,21.0972487372676,21.2351618606885,21.120247504778,21.0052437577841,20.6378986132247,21.0985800795559,21.2275232209947,21.2352229674879
BEL,82.4041701209589,82.9287070386462,82.374404133186,82.320553788187,82.437297393712,83.0271835931054,82.2782605695528,82.6987882264063,82.7436163439979,82.4759288721792,81.5241303730162,82.181978827468,81.3618270562083,81.791736525065,82.2578155366322,82.1846287437563,81.8292530602048,80.8448957841124,81.7745568806244,80.5576416796291,81.6526187802424
BEN,14.4464465418604,14.5838515806866,14.6716280227502,14.737396793255,14.8394126073795,14.9519930989251,14.9692536867226,15.0305910425016,15.1841355283452,15.3703204891363,15.6484761669231,15.8817692622181,16.0601383937217,16.3091205361997,16.531699175329,16.7732337506748,17.0391194601827,16.2301991491283,16.2921580342909,16.0776785782654,16.181089885871
BFA,28.9495674111059,29.0531882963675,29.3935209882742,29.5476797790639,29.8296988718843,30.4176752942965,30.624742360808,31.2057179606687,31.7276010782154,32.1607784834511,32.5043437206295,32.7766180756998,32.8966206234206,32.9952299065069,33.1630074548499,33.3750139316108,33.4382432370687,32.9478104047945,33.5144907501275,33.7695784176495,33.759515620901
BGD,38.130904720112,38.6601138397981,39.2634778189361,39.6246701774216,41.0363118746688,42.566547209396,44.1874568801586,46.0125518655715,45.8442904676978,45.6056667515445,45.2932199439255,44.9525644331382,44.5089153281434,43.8240112586124,42.9341422749509,44.484708395191,46.0646725414919,47.0825246610345,48.5046569219144,50.4258593606858,51.1689724085309
BGR,80.9839709051724,81.2457482725884,83.3260839306841,84.4536584145858,85.2496543544523,85.4694707018702,85.3662190164708,84.7007923964869,85.5593080787674,85.9023940949356,85.7549225695717,84.6665027246903,85.2152394712988,85.9737534497083,85.7248568951798,85.6029829940466,86.3193040374955,87.3307963782288,86.4541522036474,87.2454580732692,86.4445176286184
BHR,95.3435231587415,94.9281077127052,95.4320050269676,95.4460572924688,95.7293172405842,95.9001866531713,96.1120153328973,97.5049479430365,97.4880993253964,97.461949188201,97.4410770859046,97.4248727982328,97.428995944508,97.459870937826,97.4851386544809,97.522039865314,97.5481976955803,97.5031403404668,97.5212370637272,97.547497453858,97.5704072452128
BHS,81.4013651009967,81.4008951984809,81.7336425672361,82.176390423968,82.0230392930409,82.2809766423509,80.4563141139017,79.9552752418068,79.2336691444272,79.3043000760328,78.8684033738897,78.7358250699212,78.2382858997944,78.398249452954,78.2956531491537,77.9226907251519,77.9889145496536,77.2671710998192,77.5248489573183,77.6963524965115,77.661225533158
BIH,76.7724474356968,75.2909512761021,73.5705740979312,71.8207353038273,72.4765852785615,72.2957262888338,74.1996315938143,74.1609136361479,74.8021944223905,72.625534786166,73.5487760474181,76.3752681069608,74.1496867286881,74.5592463792075,75.4984513020535,78.4088895494064,75.7525307640996,76.6518233758198,77.5433029297082,78.2292547409107,79.9218829812097
BLR,93.353041584104,93.5366427053664,93.6547918003717,93.7949639889858,93.9274924206885,94.1518219156386,94.1426420560692,94.2117275436925,94.3559133638881,94.3966052638116,94.3120551559308,94.2965848211095,94.2045363805617,94.0609776491478,94.0699492683261,94.4303997212241,94.2341423837257,93.9427270166955,93.695341085121,94.2863352551294,94.2509196607181
BLZ,65.9637589549094,66.5077298616762,67.0996964597455,67.3213106883514,67.3573256604156,67.3397619280202,66.7347269924548,66.4451566485709,66.2773353558337,65.8264674962717,65.4561590344338,68.1724915066097,65.3625839238579,67.3181461115475,66.2327780370513,65.9728595138143,65.8474287660347,65.1010404161665,64.8794998487446,64.9473969211727,65.0004212418209
BOL,43.3033062014852,45.3900318613729,43.6185667644518,41.3151287350125,45.6856721463041,44.5198423049774,47.7825459880295,46.3756206801834,45.0165576773549,44.6616484252189,43.5917920489341,41.2509866119293,42.7168335267644,31.0605001167713,33.3293170944931,34.4020072850104,37.4610714531533,34.7024180982546,34.700248921256,35.5929336164785,35.9137098411244
BRA,61.0705466694875,61.7209021372948,62.0395145451452,62.5153243734007,63.6296784823755,64.7711851223882,64.8483978091393,65.2326058878222,65.5443345630394,67.1383564695999,66.8546359934232,66.6928298021047,65.216271892795,64.7490349822565,64.3996038183792,64.1517023858426,63.8802820495747,63.6022286929336,62.7576967844608,64.0562725484081,64.6035839936131
BRB,80.4682877765945,80.0629802969897,80.0499886389457,80.1056413023414,79.7543182961597,79.6501514981484,79.3732807428646,78.9448941515227,78.9418680600915,78.6927834442854,78.4023232501916,78.2067610907361,78.0519892936533,75.7051430557164,74.2981404152639,74.0595532788645,74.0996429682523,72.9048230331927,73.137492428831,73.2996165838667,73.2454445468327
BRN,92.7943273649184,92.7573086927825,92.6995683206434,92.5462173856038,92.2619157968892,92.1396292538965,91.5317296678121,91.3184650407684,91.2773059609998,90.9755064586716,90.5607110181676,90.2930434482996,90.3994435953358,90.593817717746,90.826729967894,93.089224572004,92.1790291748927,91.1349053261426,92.6792676983063,91.9501566015593,91.8991412333934
