country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,8519.65611184284,8326.41974829402,8912.15350759228,8973.67419225782,9947.90436160528,10042.2183217768,11636.337095925,12801.0022346215,12273.5134558038,13168.8128218918,13316.9067607027,13059.3295876974,12873.5697247878,12860.513368789,12864.5667033688,13030.5525461584,13569.7731419082,13526.9396374728,10611.84029172,10863.2517874778,10830.8386166565
AGO,18728.7965152455,19992.0923335577,22147.1734268955,23751.1654866437,26056.8248827361,27916.9476547603,27178.7717290183,27369.8288096095,27274.9043360427,28516.0022500817,28890.3836446295,29274.4857795179,28665.4476074031,27078.6580594013,26194.3407776738,25039.8417724709,24065.0208647087,22077.5608687335,20911.1649951745,20737.8081225305,20190.1174857086
ALB,22424.272155637,23740.1417165043,25268.1906346255,27034.2979719364,29236.1172590808,30897.6835737981,30981.4798666908,31977.4906393929,29777.055845741,31519.8944847079,35483.7660282803,36273.3724552493,35250.4526194214,34415.011506334,34425.7377346012,34504.7345663523,34336.0630582567,34842.839618404,37450.6885795277,38075.4696703163,39923.7949648483
ARE,145511.04051425,149058.938230717,146743.045090056,148329.362778283,135729.009598433,125047.895224903,112155.544216034,111053.347451436,113406.739094483,110415.397226241,110852.896003553,109628.547092871,110228.656350878,109939.280825871,107709.740609014,106890.599741858,106486.319582047,104590.551995321,108126.054367994,109902.7649209,108156.446271033
ARG,53402.4384761842,55372.0006494235,58492.0948828661,61047.783669524,65213.8451434454,67241.6105325519,62578.8318819811,67965.7783189913,70154.7796410961,68915.6772805938,70098.6605034767,68224.4053940086,69722.7053276355,68102.8907306326,69702.6851895696,66889.2867265136,64545.6690918665,63088.8422580423,62199.2099349718,62416.5815974919,59585.9258245395
ARM,15686.6423933916,17303.5021540226,19660.2120489124,22180.7992491937,25126.7995956925,29090.7783957382,25419.9586847631,26142.3880404,27288.7725466652,28845.9649573836,29504.902714031,31026.6323684538,32449.1308572475,32408.9146526656,35095.1395456381,37635.9026327937,39420.3930711592,36899.5814189147,37305.9496348586,41420.382813411,44414.1202213347
AUS,99263.9460575286,101744.553902976,101549.82824549,101916.688251226,102552.399276575,103342.911269142,104531.983861842,104696.512034865,105424.051447241,108213.896370182,109995.547499675,112058.742415705,112330.181531181,113420.627221093,113385.24715523,113636.799610303,113575.689077041,115044.553351073,113949.871514187,114051.350259513,114625.675189144
AUT,117661.321703486,123436.656356327,123838.791843234,125323.30386792,126805.642545875,126412.280104166,122192.525605739,123275.316985412,125804.673691147,125523.74783303,124587.146730154,125243.869013694,125528.144014494,126264.898180619,127693.451338444,128853.113900823,130057.013318629,123194.090914426,129644.817221157,132529.57033303,130342.728480667
AZE,15424.6408003226,16888.4268176236,21434.0170375175,28789.4170238413,36891.823286503,40142.9651971976,42524.4034294685,43972.4124808577,43037.2050708023,43063.7366623882,44874.0921023562,45128.8778363842,44770.9108045348,42351.5613946701,41854.2782006987,41755.3466088861,42481.547319566,40037.0812295606,44799.8754897277,45144.3480285276,45667.2671505885
BDI,2309.09858044,2333.42822237788,2277.97661959318,2337.66226337167,2299.9052086085,2282.00844135049,2235.23956162463,2237.0455927523,2253.07135457993,2280.33464971996,2318.60643296763,2348.09094863168,2213.18697015996,2175.5956664066,2138.27312823719,2099.62138445228,2058.1562618181,2022.37146335454,1999.13154786218,1957.75694381784,1940.37316325516
BEL,132476.512386924,133985.555953832,134461.669502274,137011.144402256,138230.599734102,136854.60264465,134976.893527913,136380.998859277,137775.954810361,137741.429524993,138100.80200148,140195.752311882,141912.570045104,142399.079885692,142316.606192456,141641.958777984,142738.491182303,136728.491120375,143698.879460463,145814.993973297,146294.152032806
BEN,6725.92816837663,6794.66253450318,6672.6045425755,6707.14369508323,6892.97366452184,6999.38707216322,6930.86187755353,6851.41688441011,6942.29266405707,6992.15414179002,7202.06450256072,7367.35453340214,7225.48786818517,7198.70145755925,7328.75510598431,7524.79578222756,7742.91718776449,7853.61844971084,8058.24598292819,8320.93559919949,8606.30877779561
BFA,3937.62076427052,4046.30235749422,4321.57314782112,4481.82461813139,4561.53232899681,4757.52308449886,4834.03024821969,5163.08605106404,5424.7569062536,5680.53462097924,5923.45259062703,6091.99709907301,6367.68479612494,6785.45516445784,7252.34551031889,7794.75086929913,8336.47379662973,8696.35876831692,9340.84417934237,9631.16002902667,9603.84716280916
BGD,8352.89324895928,8634.91503236483,9037.78920200797,9423.83857718543,9955.61548433281,10428.5549502335,10830.3392261586,11052.6727957211,11714.3089003566,12398.762504854,13059.1819300564,13686.2163029019,14411.3748460929,15254.5907780982,15398.4454288001,16150.5698026795,17050.8453071746,17521.21818587,18112.0203623171,18760.0240013094,19505.0488984303
BGR,41196.3784744504,42532.9188057598,45414.2722050814,46404.3370387491,47294.4367201517,48654.8015684832,48643.5991600368,52275.7835671375,55327.107357021,56073.0821541859,55786.6579696094,55724.2541475224,56345.1408753579,58515.274332189,57494.4576356268,58973.9117048984,59740.6082695648,59613.621178909,65421.7398976711,68083.8675979139,71301.8119455887
BHR,110789.225829838,107739.529291069,104415.749438874,100733.50044815,98606.9833295358,96501.9747421948,90665.4445719575,89780.576759568,94885.2830739072,96197.8485402904,97608.5048525327,98238.7685544535,96581.2791599594,95207.2941174683,93955.4241513126,96116.7193388621,100456.32918312,98292.8942111847,99917.8036765227,102212.127768765,100808.471322701
BHS,72130.1748710447,71064.7720282268,72231.0523678032,70649.9340505702,70542.0502298098,67900.586309844,68587.6642119559,68581.416714543,67949.1155443679,68502.1015547693,67412.0820112402,65864.5235048152,64353.9413723571,63526.2864710962,62430.1905088852,63431.8436845316,61500.6324871755,52543.4383444339,58181.4368345385,61030.6605115408,61473.5691427135
BIH,28638.5723681432,30939.2237053523,32809.8595948819,35144.4798852432,36382.1099436412,36045.9979227963,35919.8700793411,38547.2027389002,39815.9867460713,40562.3888129015,41896.587944668,43016.2851283855,45618.8424228798,46356.2238281864,45621.8073511251,46872.6861463384,47504.5993181825,47238.8346012735,50882.3641037243,52228.1947073693,51796.5565915971
BLR,29680.3043244463,32690.9414084345,35396.3783219358,38536.2840924351,41414.8420618834,45059.9666538473,44589.1828896174,47784.0249511614,50257.6935065232,51018.6294359578,51506.8153337155,52333.6223026357,50325.9016206008,49080.528117074,50347.860775631,51712.5125351443,52435.8402895542,52471.3993087714,54136.8684642265,51767.1980911891,54261.287248007
BLZ,37985.6040527383,38347.4375543732,37817.6960122042,37368.2658985351,36795.253156914,34693.2884853311,33325.934718571,32464.7277739863,31184.8247645952,31164.4306903457,31389.3815422317,31168.4430154571,30666.0821435448,29301.3467689214,27812.2810207784,26573.5841008858,26369.7321879891,24538.522747626,29383.6242029365,30709.1496897868,29945.535136725
BOL,14669.5814558269,14971.8535973945,15314.5611302544,15716.1238936048,16104.3897283617,16749.923305865,17036.2160523071,17330.364943378,17819.2026656046,18345.0885393982,19305.9635603772,19906.7729219527,20734.443841114,21332.1154274953,21428.6817770112,20915.9696221439,20347.665736059,19443.7771917699,18501.8544443398,18453.7979971261,18543.6167984118
BRA,33405.5022258785,34011.5553240124,34309.3041014597,34900.0057059655,36462.8085291765,37362.2574787648,37086.501590008,39603.4602825686,41004.6612947051,41342.8667103434,41958.2643811968,41620.5007901875,40241.3603271567,39749.3215088921,40207.0253850072,40287.8207445874,39945.5086450864,41893.3237315303,41904.8315214843,40322.9212577188,41014.9041905555
BRB,38455.7741181753,37738.7670174382,38790.645710857,40743.4328018529,40768.7706382639,41169.7090862531,39834.4462362818,39190.1171299055,39082.6631408978,39560.3693662465,38531.6417328735,39768.0295307575,38713.252385521,38154.8005898944,38113.9554373639,37623.8667481583,38213.5308555454,33387.0598378535,33002.4090513931,38698.0690901558,39911.1572151444
