country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,29.1547230961815,29.8554525939579,30.2894945740909,30.7219045008273,31.3309339632382,32.3092862826376,33.4379959208528,35.1927090302908,36.2846372640105,37.5095542883258,38.1798128198367,39.0421299718159,41.6360028404835,43.434444285763,45.8111279905946,44.1553341748094,41.8769793834618,39.1648831159246,38.8325341889317,36.9640171595437,37.2309911658462
AGO,55.9310073137728,55.5613443887731,53.5346292809086,51.2635067839876,49.0535325649417,46.8713285998876,44.6371790835853,44.0885159442879,43.0209496629497,41.8316752938255,40.8504343259854,39.5682987912218,39.9701071983847,40.2129958134311,40.5374983584893,40.6873179692337,40.8070282751429,39.0724994142807,37.5189027670148,37.8792817820111,38.0057571431054
ALB,41.6915523772257,40.9240486512909,41.5234672235984,41.7416019566787,40.9183861287997,40.0105784087003,38.430717336822,38.0760162549679,36.8713047397644,40.1078146650722,40.6881376622116,41.2163070106226,41.3528242946839,41.0244062915691,42.5566759009472,43.5810095588783,44.3966023519975,43.757732437444,43.7679422297197,44.1515490908053,44.3743120946815
ARE,61.2326611870381,61.7771029886281,62.4858286008569,64.5685919668747,66.1409952277439,67.6314491978578,66.0387400379766,65.3321941833892,64.8140105316179,64.0847892134552,63.0774295706005,61.8178052106999,59.9818168519011,58.6955904544446,57.6995074987055,56.3439707783329,61.8788181363171,63.3600673896424,62.4129856337431,62.5407852517821,61.9335496569455
ARG,69.5704911374779,67.7245430844106,66.8654851905205,66.2239686749733,65.7294415556833,65.4593624889105,66.2436060455811,66.0973422476575,65.309671110834,65.4925400171391,64.5671653197123,63.6001376853111,65.6973011968066,67.103329101796,66.8933550586156,67.3327731569874,67.6492827756982,67.6382529475448,67.7856649029754,67.1461701268291,66.6456347613481
ARM,37.8347838667184,37.5719335367755,37.2469859104827,36.8624390723482,36.5503351780821,36.1390455058611,35.8914475611696,35.7683435861546,35.721720269812,35.6123458922308,35.5395996448069,35.4760237002365,35.4395923695625,35.3620669502422,35.2879588294074,35.1048703662129,37.4716308542074,35.6855679444838,36.4941181573841,36.8452067115343,36.8320838553864
AUS,63.4899155345944,63.1950878045422,63.4005312110071,63.1840479446102,63.4035848892359,62.7300179827768,64.5880874572981,64.8217122181717,65.3712252337561,65.4351776232087,65.8950422032652,64.6725614788796,66.1595248680862,66.5764367506551,66.8928096081811,66.3878371088698,67.4194938946279,67.4866639680686,68.2435822336388,68.6681687964365,68.0842201458734
AUT,53.0005482432638,55.6264983250123,55.0028191298511,54.3525175244545,55.2826838111392,57.0590918302972,58.224747467721,58.1893428806315,56.9919571609432,57.10241725359,57.8504338811991,57.6122649637442,57.354891126263,57.685282921456,58.969973360928,58.6433154553743,58.6856582884933,59.0063166532771,58.6187258658129,57.8120741774943,59.2221587941448
AZE,43.5973629874313,43.5683853461372,43.3881964206762,43.5579978174162,43.6433444943146,43.5324348302322,48.1398228288162,46.6211719398345,46.2254235921717,46.2209475669206,46.5952914824418,46.7118477456521,47.0914947527315,46.8044317832033,46.8089893673462,46.8149224640102,47.0062192762323,46.7209112042271,46.5083358596131,46.5191766492546,46.6739088970264
BDI,10.6025309133396,10.7558505251912,10.9401644900596,11.5045144086077,12.0563362724028,12.6911956184289,12.932785817612,13.4388316285875,14.1032602771258,14.7123025394552,15.2945390633209,15.8795928766892,15.553327854338,15.6676781647036,15.6264652594355,16.0588456269898,16.4629142103684,16.3803603399735,16.3173969474804,16.5431806383684,16.6387811332426
BEL,62.8349547446315,61.545287289989,62.5175378125709,61.9229648422099,62.6656646468085,61.7666449614142,63.3807618407661,63.9510795775385,63.8935312097689,65.7639448165945,65.3887242764947,65.7753916722246,65.6636421910065,65.8501674789237,67.3127267516927,66.7158206830192,67.1129369022616,67.8654231735082,69.5285972282657,70.4010003352027,68.8761341255387
BEN,25.0343849538408,25.537131841533,25.7123546639763,26.1746417163567,26.8119352229988,27.4251451288199,28.1734679676507,28.7025939098636,29.3913032280305,30.2833986865786,31.4513934803445,32.8619573264384,33.9486487800758,35.0065410305501,36.5249339074669,37.9806865267356,38.9955103926097,38.5204272405392,38.7936384033437,39.4501405427216,39.9809471965161
BFA,31.0017425402041,31.5121274645584,32.484983159172,33.2577844988447,33.7956919060052,34.4069821299334,34.846863520236,35.8005421934144,36.5140846436687,37.2552466560619,37.9523737608483,38.5944255454759,39.1124149330807,39.9499668102195,40.7383344417971,41.6027699916381,42.4716172117172,41.8825795449666,41.9605674647792,43.914810045014,43.9211939321446
BGD,38.4205588506233,40.8667671449421,43.1970084525679,43.2352144064647,42.7577211528126,42.1929025684474,41.5692147383062,40.9291382020653,40.2134362146398,39.4995097346848,38.773307018903,40.4502014417593,42.1130210928417,43.7239785482422,46.1565740088748,47.4906278364214,48.8128023413012,49.2980779677791,50.3166342433286,52.1660723101271,52.2278478292418
BGR,50.6362550770889,50.3171898675284,50.344180925206,50.0993846370049,49.2633802032862,47.9874183816062,48.9709416995576,51.0098112585071,53.2767659518237,54.6596422338006,55.4796572361612,54.5732205851968,54.6776844757071,54.8142493292363,54.5105738067483,54.5904004108599,54.6162154560482,54.4530201879418,53.8972636561828,54.2567177266224,55.5369815974888
BHR,64.8688918173594,63.5343802861976,62.0267581295491,60.2651413060219,58.8076319360074,57.3031382729152,57.4601466360414,55.9567710874428,56.9597372108345,57.3290433975131,57.096418035352,56.5737804605717,56.6096943061682,56.7201205610727,56.8848387101512,57.0909568990074,57.2700801355681,57.4988247805615,57.2668040029826,57.4811145873785,57.7843181218301
BHS,70.0209038308291,66.4040600415951,64.6715133134115,65.5031065231621,66.742412287623,68.1128140208154,67.6202688362221,70.3883020875172,73.263615258461,73.4708963419785,74.4654986724107,74.6188660055937,74.9515499109699,75.1305616338439,74.9497649466808,74.8820354082519,75.1150115473441,75.5296042994676,74.8090040927694,75.0274925839332,74.9251387671633
BIH,40.8710283299421,41.2281073914485,41.4495620919986,41.7717113805929,39.8022682107399,39.3121548193116,40.3917995806694,42.0507681098329,44.2415009048058,41.6926101077696,42.6098751872788,44.3958409095969,44.4828555154737,42.3777373663421,44.1084948950327,42.9925920421613,42.2793204406474,46.2711065723457,46.2829918544299,46.0416503840333,45.021824344465
BLR,37.3928363864343,37.6839368868394,38.0167758295672,38.316365066772,38.6491496467656,38.8971101987831,39.4988344095576,39.8974071630469,40.3312656473769,40.8645831885947,41.5041225986573,42.1422631015539,43.0585476353581,43.6130278148233,43.8384444683164,43.0255484290913,43.4825409861123,43.4420033771233,43.5596187462949,44.7318386904381,44.7250114559077
BLZ,48.7568478718921,49.8616761594793,51.0623908906469,51.3848046570246,51.8268966614132,52.4051410150853,53.339914000595,54.140885604029,54.6782960434838,55.4128059066572,56.4702402082594,53.7903506116362,54.6225206181615,54.038229903116,56.13801919526,54.1589378111881,56.6901275210959,52.171868747499,54.8200060502168,54.991490678425,55.2772239227911
BOL,36.962546362169,36.9460958651336,35.9450704333044,37.4210485156455,38.0562900057968,42.1331651295703,42.298907327806,42.330956747996,42.0856489319902,43.9811701660163,43.2766727654756,40.7655788733381,41.6030808423997,41.3801458032956,41.7567781732023,41.99423713254,44.9296497068319,44.5718384375969,45.7412139642628,48.1911125502194,48.611735793676
BRA,52.6377557502077,51.683864243108,52.0426488831185,52.9290484145646,53.0139402042391,52.9115424761319,53.618242524246,54.4533254076548,55.1899125463043,55.3881887306201,55.0485718503716,55.8168179118403,56.66074774439,57.6882491692586,58.8822955673994,59.6908907307844,59.9817663741126,60.198802085743,59.3705048716931,60.1761935039441,61.0627682228276
BRB,68.5939533782984,69.5802276535506,71.1883662803908,69.7005409857015,69.9983229917827,69.1729323308271,67.6030098825447,66.6250422365541,67.5390086363306,67.8450706304338,68.0700513001946,68.496324826983,66.7952033147333,67.1131124753852,67.0591975032149,69.1387525577003,70.0508140620139,71.1397395928846,70.7677165354331,71.3691088931656,71.1884307838649
BRN,71.1446284265568,71.5523935240905,71.9551358408218,72.2218059899979,72.7999110138855,73.1181407359587,73.7722794959908,74.0751154121734,74.1800381231934,74.5032469824239,75.0368143597787,75.683940323192,76.1707681475503,76.6644111928601,76.9775940979575,72.1458207452165,68.9871831030052,65.4678581269929,65.0070062142074,69.0026087801524,69.1214499003416
BTN,31.1527581329562,31.664788288262,32.7154788898137,34.9445942234503,37.267433838342,39.3500514542599,41.3601905308709,43.3609399990499,40.860164974488,42.7474601676567,38.900858814172,37.4468834961232,37.5426874169109,37.6301522683681,37.6150879029288,37.3703584609552,39.0722878904876,41.014407126301,38.6454130564191,44.0779007282755,43.7156583159627
BWA,44.6774204685914,45.4563095300742,46.161461558044,46.9860088829629,47.0186462673315,46.9651205866685,46.7657934886608,47.6180627555049,48.4412608200306,49.5201368180571,50.506696078481,51.4434758288655,52.5256909490423,53.4481207213123,54.4868773343606,55.5138816330451,56.5130827870664,54.2610409371303,54.8624503750943,52.4310003493653,52.1088242776369
CAF,19.143218853699,19.7683796918623,19.9002798178828,20.3907964866347,20.8929818482863,21.1744993049205,22.1387846522136,22.7655620727516,23.263576966808,24.0620229774243,22.0859679939699,22.3152111559778,23.0307832881005,23.6544912660546,24.2632903162748,24.7621126900613,25.1678802068593,24.7297840205731,24.864883865099,25.1736761541837,25.2053271767246
CAN,64.0911960857157,64.0333644074887,64.1431902919879,64.8156885412876,65.4405690553555,65.4473152080318,66.6110958069059,66.7946975632492,66.8985628314247,66.6297543602069,66.6584934131101,66.9954921380976,67.5505372644329,68.0189402574356,68.2150586458866,68.3418961698867,68.8470517424976,68.994541247511,69.4986017250025,69.2199392747035,69.6041156109368
CHE,63.7343078434709,64.0899609540969,63.7422597796615,63.394475060556,62.9592703809646,63.4430276194929,64.1923878216889,63.902216437263,63.9133466633978,64.7896424881452,64.5818253891593,65.38581795157,66.1292189557002,66.3705069953664,67.0570048186499,66.8822062671374,67.6583749925661,67.639291399327,67.7058942308834,67.9245971964235,68.8813917132684
CHL,52.5433605954659,53.1220827308784,53.6852437625887,54.2441244094908,54.6822910582417,55.0274770803061,55.5130716306912,55.7815179182875,55.6638830654923,55.2801574534768,55.7125267239133,56.5999858621494,56.7028711463407,57.8203915805371,58.4169941679492,58.55552572772,58.8143680138647,60.7372461751961,59.97950810104,60.1242612053349,61.0156317305943
CHN,27.4817811341883,28.4542896921729,29.1136470049811,29.7478388115354,29.7895808330983,30.3476096285834,31.0325762765909,31.3347134093856,32.1547969244664,32.3505958873544,34.3477367161734,36.0950914645245,37.5780248900298,37.925641332141,38.1516702551135,38.4940826404671,38.9110344162181,39.291244228154,39.1640966402015,39.5759294156006,39.7647396523487
CIV,33.2139641992072,34.0018203985396,34.6372309932881,35.0981712374195,35.606399618296,36.0452236837689,36.6009089688222,37.0200120404108,37.4325904364603,38.2302284552744,38.8182033454121,38.7650160114528,38.6431017925501,38.6331444696877,38.6135399388332,37.2881934638388,35.968772996471,35.4007453408025,35.4896478457333,35.8346920876796,36.1833039633472
CMR,27.5451636473582,28.8216425237137,30.1886724136683,31.6441877066276,33.1773993339752,34.16686280793,35.1592144780719,36.104709609001,37.2068928440055,38.2165613614003,39.2297769678858,40.2419396932336,40.5935473863162,41.0225326232202,41.4588328427517,41.8603427059956,42.2691782257354,41.8697371592745,42.0723710593403,41.4162994567502,41.797754299802
COD,21.9277554389184,22.6366619770403,23.0769175367871,23.7559719134822,24.7678664453637,26.0894006097798,27.1394666363848,28.9946444463716,31.0252909734226,33.1468620843636,34.4444192128101,35.778842579026,36.7373372326996,37.1984734544262,37.769317713081,38.6301841178497,39.2228502954946,38.7428949479188,39.0793329602052,39.4793332094645,40.0486720285106
COG,36.688016426171,37.2332971876611,37.9365387910017,38.4621218584985,39.1985086544759,39.565305395786,40.0028048782215,40.3427430790964,40.8618347717767,41.2528943121583,41.8086823762029,42.318537234075,42.9002648556226,43.9027708866298,44.5833611345664,45.2671766020144,45.9699610306444,45.5107932841787,45.5819974068572,46.0039440209946,46.3802165753752
COL,49.8251796852599,49.9023101844153,49.1044853323411,49.5738137724734,51.0121741587454,51.4662117461486,50.8225222503186,50.9629158565556,50.8216497174011,51.5670371842221,53.0489573136226,53.2229958462614,53.4356522197849,53.6849034876885,53.4094041092892,53.2178668797058,53.435866780402,52.6688306179348,53.1048871254682,54.5075724703388,55.2000688325576
COM,33.0483343495372,33.6395135539099,34.3803001074587,34.991423670669,35.4156610193437,36.2134046329791,37.1905615228612,37.8307692307692,38.5431296098054,39.2632143967003,40.0193640624717,40.7754884949734,41.6844834262049,42.7493454326649,43.9690275921704,45.0907597036045,46.2663019838842,46.5308771044378,47.6556420233463,47.203940808105,47.9814502858555
CPV,45.319231356161,45.4261870503597,45.6370140602712,45.6553000323275,45.5660719585793,45.6826359673439,46.5894618688886,48.2215270536438,49.6127796987969,51.1801371090177,52.7559865945217,54.3672678491579,55.9480485721713,54.3140342751274,52.3803352741343,53.7147660963307,55.4229540803641,55.7969672653951,55.7932728457567,56.4996041317597,56.5868699179597
CRI,52.4928071536042,52.9806689850762,52.591877936163,54.0204294766689,54.6763427699291,56.1843985978503,58.2530531327705,58.1031935543375,58.1486890310817,58.0594995805083,58.9052970471671,58.3605255447438,56.6668960073843,57.2216328541107,57.5836261698208,55.8779741503566,56.7841968973323,56.404540693888,57.8179136341582,58.7452645202654,57.7564619433753
CUB,48.9559769720191,50.2473318646021,51.0055199052367,52.345173699551,53.506888790257,53.2993594319148,53.5159011965984,54.5036614013665,53.1451217562391,50.9000845837414,53.5327800637266,53.4574695750316,53.6032322252808,53.8430134888695,54.1114819303397,54.4335481546991,55.1440364705551,55.2399157083373,55.2281229408516,56.0551756812345,56.4235877430639
CYP,62.4591134569978,60.8664502172067,60.6534125057096,62.9024609268583,61.7369691246295,61.2173845767006,63.6947392011849,65.6664228612491,63.8925975374573,66.4132866163866,69.7558599405235,68.9489896083675,69.7008565374202,68.7892947366422,70.715236133642,71.6951242486,68.9548641124293,66.5300851636526,69.1836060810186,71.3775528516564,72.1902867017758
CZE,45.3067164041292,45.1833602320235,45.1560471235437,45.0838176630746,45.0558980931894,45.3296990046246,46.7484152945932,46.9977279986848,46.737302309437,46.7371657578724,47.5322373459596,47.324230902055,46.9731329203196,47.1736688830895,47.4140291480323,48.0760120523097,48.4799384278857,48.5693550973889,48.788140402628,47.8902647235588,49.3328584538829
DEU,53.9077889090627,54.1563557801451,55.9191802126865,56.2307692155795,55.680380755641,56.6202424356822,57.0404459549513,57.7225698236392,57.6080147159289,57.8383571693929,58.5184318703908,58.1305379604376,58.5499049451326,59.1540506038521,59.1636931664118,59.4259508145432,59.7387447550928,59.3156449754608,59.2158252535404,60.0385196326252,60.2938942834071
DJI,92.5245023437024,92.5318579475093,92.5173546242945,92.4617015126698,92.3721788930334,92.2419594214655,92.3019175108538,92.251603345959,92.1444974078842,92.1046572118132,92.0222121714659,91.857611148632,91.6724687899739,91.499227202473,91.3534159586926,91.2350288362273,91.0768640981407,91.1682399619603,90.9810872905984,91.0715310044169,90.9301511758119
DNK,62.397992327628,61.7270966709892,61.5396452552122,61.9105942433487,62.7615606387593,63.1456238886325,65.9403787308631,66.4518098298969,66.5880546730068,66.8490859568199,66.8300932272608,67.6797182632269,68.1523674298666,68.6800209369918,68.9352305884055,68.7476467701568,69.5968325026404,69.236836526294,68.3586529268034,69.0193778584442,69.0824955558457
DOM,53.5787128907092,52.4367705960742,54.1217290773479,53.5683101683437,54.3051872225779,56.4720098019238,58.1075462682234,58.2578872570608,58.8925820296369,59.4627453535414,61.3586791832158,60.808049906384,61.1158051150991,61.168060541495,59.5278449302782,59.8058853630166,61.4364171644587,60.4829223586124,60.6200386928948,61.9067833097428,61.9986899262909
