country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,,,,,,,,,5.1,,,,,
ALB,,,18.8,,,,,4.6,,,,,,
ARG,,9.8,,,,,,,,3.486703,,,,
ARM,,,,,,,,7.5,,,,,,
AZE,,,4.5,,,,,,,,,,,
BDI,,,11.0,,,,,32.4,,,,,,
BEN,,,,76.1,,,,,,23.7,,,,
BFA,51.0,,,34.5,,,,44.8,,,,,,
BGD,13.9129715635,,,6.4,,,,,,,4.224495,,,
BIH,,,,9.5,,,,,,,,,,
BLR,,,11.2,,,,,,,2.6,,,,
BOL,,,20.1,,,31.1,18.4,,,,20.52219,,12.59,
BRA,,4.60644,,,4.0,3.5,3.3,,2.59,,2.071282,2.20961609178223,1.53,
CAF,,,,,,,,37.9,,,,,,
CHL,3.1,,,,,,,,,2.8,,,,
CIV,,,,43.6,,,,,,36.4,,,,
CMR,,,,,43.4,,,,60.4,,,,,
COD,,,,,31.5,,,21.4,,,,43.6084959730716,,
COG,,,30.183,,,,,,,31.6,,,,
COL,,,1.8,,2.3,,4.39,,,4.7,,4.455055,4.1,
CRI,,3.5,,,,,,,1.6,,,,,0.63
DOM,,,2.7,,,,7.873248,,,1.405777,,10.3160329660876,,
DZA,,,,,,,,,,,6.48955221272624,,,
ECU,,9.3,,11.6,,,5.2,,2.5,,,,5.179114,
EGY,,,4.3,,,,0.9,,,,,,,
ETH,,,47.1,,,,,,19.5,,,,,
GAB,,,,,,,,,,22.6,,,,
GEO,,,,29.9,,,,,,,,,,
GHA,5.9,,,48.0,,,,,,28.67899,,,,
GIN,,,,,,,,44.7,,35.9,,,,
GMB,,,52.3,,,34.3,,,,,,,21.24,
GNB,,,,48.1,,,,,,,,62.4593338755161,,
GTM,16.0,10.5,,11.7,,,,,,11.4,,6.323827,4.24633155138556,
HND,,3.2,,,4.1,,,,3.0,,3.8,5.753953,,
HTI,,,,29.6,,,,,,35.2,,,,
IDN,,,,,,,6.2,3.2,,,,,,
IND,,,4.2,13.1,,,,2.1,,1.6,,,,
IRQ,,,,11.3,,,,,4.3,,,,,
JAM,,,8.3,,,,,,6.0,,,,,
JOR,,,,,0.4,,,,,,,,,0.4
KAZ,,,,2.8,,,,,,,,,,
KEN,,,,,,,33.9214473789197,,,,,,,
KGZ,,,,4.6,35.6,,,,,,,33.7031322400892,,
KHM,,48.1,,,,,33.9,,,12.1,,,,
LAO,,,,19.2,,,,9.7,,,,,,
LBR,,,,,37.1,,,15.0,,,,,,
LKA,,,,,,,8.5,,,,,,,
MAR,,3.0,,,,,,,,,,,,
MDA,,,,,,,23.0,,,,,,,
MDG,,,,,24.2,,,,,,,,,
MEX,,5.6,,,5.6,,7.6,4.7,4.4,,3.795669,,,
MKD,,,,8.6,,,,,19.2,,,,,
MLI,,,39.4,44.1,21.6,,,,,,27.0,,,
MNG,,,10.7,,8.6,,,,,15.5,12.176944811783,,,
MOZ,,,,,,27.7,,,,,,,,
MRT,,,,,18.6,,,,12.77774,,,,,
MWI,,40.3,,39.4,,,,,23.8,,,44.3497,47.0,
NER,,,,,45.0,,57.7,,,46.7,,,,
NGA,,,,,40.1,,,18.7,36.04485,,,,,
NIC,,,3.9,,,,,21.2,,38.95829,,,,
NPL,,,,,,45.4,,,,,,44.0913556662385,,
PAK,,,,,,16.2,,,13.5,,,,,
PAN,2.2,,,,,5.4,,3.1,,3.5,,4.133818,,
PER,,,,,39.4,,,,19.4,,,24.79848,21.9941019785013,
PHL,,,,,,,,,7.2,,,,,
PRY,,,7.7,,,,,,,,,4.736176,,
RWA,,,,,,7.0,,19.8,5.009021,,,5.7,,
SDN,,,,,,9.5,,,,,,26.8674516848202,,
SEN,,,12.6,,,,,,8.7,,,,13.0532759871257,
SLE,,,61.8,,14.9,52.5,,39.1,,,57.5,,,
SLV,8.1127204865,,,,3.8,,4.1,,4.357373,4.0,4.569547,,,
SOM,,,,41.5,,,,,,,,,,
SRB,,,6.6,,,,,,,,,12.88802,,
SSD,,,,,,45.7,,,,,,,,
SWZ,,,,,,,,12.1,,,,,,
SYR,,,,4.3,,,,,,,,,,
TCD,,56.2,,,,,,34.2,,,,,55.0893846020297,
TGO,,,,37.4305,,,,47.0,,,,33.0719731364292,,
THA,,,14.4,14.4,,,,,,,,,,
TJK,,,9.1,,,,,,,,,,,
TLS,,,,,17.7,,,,,,,,,
TTO,,,,2.7,,,,,,,,,,
TUN,,,,,,,,,,2.7,,,,
TUR,,,,1.8,,,,,,,,,,
TZA,,,,27.1,,,,,28.1,,,34.17038,,
UGA,,,,36.49879,,,,,,36.3,,,,
UKR,,,16.6,,,,,,,5.0,,,,
URY,,,,,,,5.0,,,,,,,
UZB,,,4.9,4.9,,,,,,,,,,
VEN,6.6,,3.6,3.3,,,,,,,2.389926,,,
VNM,,,,21.6,,,,,13.5,10.1,,,,
YEM,,,,15.9,,,,15.0,,,,,,
ZMB,,,46.76866,,,33.3,,,,,,,,
