country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,,,,,,,,,13.1,,,,,
ALB,,,25.0,,,,,6.4,,,,,,
ARG,,15.7,,,,,,,,6.394649,,,,
ARM,,,,,,,,12.0,,,,,,
AZE,,,5.8,,,,,,,,,,,
BDI,,,12.5,,,,,31.3,,,,,,
BEN,,,,72.8,,,,,,24.4,,,,
BFA,49.0,,,49.0,,,,55.6,,,,,,
BGD,20.9036756108,,,25.7,,,,,,,5.72861,,,
BIH,,,,11.7,,,,,,,,,,
BLR,,,12.1,,,,,,,2.0,,,,
BOL,,,23.9,,,33.0,21.8,,,,19.89117,,15.19,
BRA,,9.4,,,8.1,6.9,6.6,,5.75,,4.297545,4.77860482242506,3.52,
CAF,,,,,,,,36.6,,,,,,
CHL,5.1,,,,,,,,,6.2,,,,
CIV,,,,47.7,,,,,,36.6,,,,
CMR,,,,,43.5,,,,63.6,,,,,
COD,,,,,29.5,,,19.5,,,,39.1563205839221,,
COG,,,29.9,,,,,,,31.4,,,,
COL,,,6.2,,5.3,,8.29,,,9.5,,8.569861,6.92,
CRI,,8.1,,,,,,,3.4,,,,,1.94
DOM,,,9.0,,,,19.85296,,,3.854917,,15.7139390262961,,
DZA,,,,,,,,,,,8.46683524603521,,,
ECU,,14.6,,16.9,,,7.4,,3.8,,,,5.911136,
EGY,,,11.5,,,,4.8,,,,,,,
ETH,,,64.3,,,,,,32.5,,,,,
GAB,,,,,,,,,,25.6,,,,
GEO,,,,33.6,,,,,,,,,,
GHA,6.0,,,49.9,,,,,,28.83964,,,,
GIN,,,,,,,,45.1,,40.3,,,,
GMB,,,33.9,,,37.6,,,,,,,26.19,
GNB,,,,52.8,,,,,,,,65.3495248300313,,
GTM,26.2,23.1,,24.5,,,,,,26.6,,14.6219,10.0378030108829,
HND,,10.4,,,13.3,,,,12.4,,14.6,15.11724,,
HTI,,,,37.3,,,,,,40.3,,,,
IDN,,,,,,,7.0,4.2,,,,,,
IND,,,4.2,17.4,,,,2.8,,1.9,,,,
IRQ,,,,17.9,,,,,8.3,,,,,
JAM,,,11.3,,,,,,6.4,,,,,
JOR,,,,,1.6,,,,,,,,,2.01
KAZ,,,,4.4,,,,,,,,,,
KEN,,,,,,,34.9416710075228,,,,,,,
KGZ,,,,5.8,37.5,,,,,,,47.2424449040143,,
KHM,,49.6,,,,,35.0,,,11.0,,,,
LAO,,,,17.9,,,,7.6,,,,,,
LBR,,,,,37.8,,,21.7,,,,,,
LKA,,,,,,,13.0,,,,,,,
MAR,,6.0,,,,,,,,,,,,
MDA,,,,,,,34.5,,,,,,,
MDG,,,,,27.7,,,,,,,,,
MEX,,12.2,,,10.9,,16.5,11.3,9.1,,7.350553,,,
MKD,,,,14.8,,,,,20.3,,,,,
MLI,,,64.4,55.0,24.2,,,,,,32.3,,,
MNG,,,14.1,,11.4,,,,,16.5,17.2155760816837,,,
MOZ,,,,,,27.2,,,,,,,,
MRT,,,,,23.9,,,,16.41397,,,,,
MWI,,45.0,,41.3,,,,,26.3,,,50.88541,50.79,
NER,,,,,49.2,,52.6,,,50.3,,,,
NGA,,,,,41.2,,,23.3,34.07294,,,,,
NIC,,,16.2,,,,,40.5,,56.22113,,,,
NPL,,,,,,36.2,,,,,,41.5049127269705,,
PAK,,,,,,15.6,,,12.5,,,,,
PAN,7.7,,,,,12.1,,7.5,,5.4,,7.020013,,
PER,,,,,44.8,,,,21.9,,,27.37085,23.1219325657262,
PHL,,,,,,,,,10.9,,,,,
PRY,,,22.6,,,,,,,,,15.70421,,
RWA,,,,,,8.0,,18.4,4.992462,,,6.0,,
SDN,,,,,,15.2,,,,,,34.2583960979143,,
SEN,,,24.4,,,,,,17.6,,,,37.2640556863648,
SLE,,,63.6,,14.9,55.0,,40.8,,,60.7,,,
SLV,17.0550538663,,,,10.1,,10.6,,10.35156,10.0,10.94549,,,
SOM,,,,45.5,,,,,,,,,,
SRB,,,7.2,,,,,,,,,23.42707,,
SSD,,,,,,45.6,,,,,,,,
SWZ,,,,,,,,14.5,,,,,,
SYR,,,,8.8,,,,,,,,,,
TCD,,64.4,,,,,,32.1,,,,,56.7090705335878,
TGO,,,,39.84446,,,,50.3,,,,37.0804016326208,,
THA,,,15.7,15.7,,,,,,,,,,
TJK,,,8.7,,,,,,,,,,,
TLS,,,,,22.2,,,,,,,,,
TTO,,,,4.1,,,,,,,,,,
TUN,,,,,,,,,,3.9,,,,
TUR,,,,3.3,,,,,,,,,,
TZA,,,,35.0,,,,,30.8,,,35.26557,,
UGA,,,,39.82124,,,,,,37.1,,,,
UKR,,,18.0,,,,,,,5.1,,,,
URY,,,,,,,9.4,,,,,,,
UZB,,,5.3,5.3,,,,,,,,,,
VEN,11.4,,7.1,6.9,,,,,,,5.368505,,,
VNM,,,,21.0,,,,,12.5,11.7,,,,
YEM,,,,20.7,,,,17.1,,,,,,
ZMB,,,48.9289,,,35.4,,,,,,,,
