country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,,,,,,,,,9.3,,,,,
ALB,,,22.0,,,,,5.5,,,,,,
ARG,,12.9,,,,,,,,5.025251,,,,
ARM,,,,,,,,9.9,,,,,,
AZE,,,5.2,,,,,,,,,,,
BDI,,,11.7,,,,,31.9,,,,,,
BEN,,,,74.4,,,,,,24.1,,,,
BFA,50.0,,,42.1,,,,50.3,,,,,,
BGD,17.5385033159,,,16.2,,,,,,,5.002084,,,
BIH,,,,10.6,,,,,,,,,,
BLR,,,11.7,,,,,,,2.3,,,,
BOL,,,22.0,,,32.1,20.2,,,,20.20834,,13.92,
BRA,,7.0,,,6.1,5.2,5.0,,4.2,,3.215266,3.53264903343174,2.54,
CAF,,,,,,,,37.2,,,,,,
CHL,4.1,,,,,,,,,4.5,,,,
CIV,,,,45.7,,,,,,36.5,,,,
CMR,,,,,43.4,,,,62.0,,,,,
COD,,,,,30.5,,,20.5,,,,41.3914285397468,,
COG,,,30.06,,,,,,,31.5,,,,
COL,,,4.0,,3.9,,6.44,,,7.2,,6.619165,5.56,
CRI,,5.7,,,,,,,2.5,,,,,1.31
DOM,,,5.8,,,,14.05843,,,2.684442,,13.1965934572113,,
DZA,,,,,,,,,,,7.50076369799783,,,
ECU,,12.0,,14.3,,,6.3,,3.2,,,,5.562005,
EGY,,,7.9,,,,2.9,,,,,,,
ETH,,,56.0,,,,,,26.1,,,,,
GAB,,,,,,,,,,24.0,,,,
GEO,,,,31.8,,,,,,,,,,
GHA,6.0,,,48.9,,,,,,28.76078,,,,
GIN,,,,,,,,44.9,,38.1,,,,
GMB,,,43.5,,,35.9,,,,,,,23.75,
GNB,,,,50.5,,,,,,,,63.9161787836337,,
GTM,21.1,16.8,,18.2,,,,,,19.2,,10.60697,7.24264041647346,
HND,,6.8,,,8.7,,,,7.8,,9.2,10.50187,,
HTI,,,,33.4,,,,,,37.8,,,,
IDN,,,,,,,6.6,3.7,,,,,,
IND,,,4.2,15.3,,,,2.5,,1.7,,,,
IRQ,,,,14.7,,,,,6.4,,,,,
JAM,,,9.8,,,,,,6.2,,,,,
JOR,,,,,1.0,,,,,,,,,1.23
KAZ,,,,3.6,,,,,,,,,,
KEN,,,,,,,34.4388861650453,,,,,,,
KGZ,,,,5.2,36.6,,,,,,,41.0805541132616,,
KHM,,48.9,,,,,34.5,,,11.5,,,,
LAO,,,,18.6,,,,8.6,,,,,,
LBR,,,,,37.4,,,18.4,,,,,,
LKA,,,,,,,10.7,,,,,,,
MAR,,4.5,,,,,,,,,,,,
MDA,,,,,,,29.0,,,,,,,
MDG,,,,,26.0,,,,,,,,,
MEX,,8.9,,,8.3,,12.2,8.0,6.8,,5.606943,,,
MKD,,,,11.8,,,,,19.8,,,,,
MLI,,,52.3,49.5,23.0,,,,,,29.7,,,
MNG,,,12.4,,10.1,,,,,16.0,14.699067382827,,,
MOZ,,,,,,27.4,,,,,,,,
MRT,,,,,21.3,,,,14.52555,,,,,
MWI,,42.6,,40.3,,,,,25.1,,,47.57831,48.9,
NER,,,,,47.1,,55.1,,,48.5,,,,
NGA,,,,,40.7,,,21.2,35.06192,,,,,
NIC,,,10.1,,,,,31.1,,47.74977,,,,
NPL,,,,,,40.6,,,,,,42.8274929134937,,
PAK,,,,,,15.9,,,13.0,,,,,
PAN,5.1,,,,,8.9,,5.4,,4.5,,5.620417,,
PER,,,,,42.2,,,,20.7,,,26.10942,22.5665722356755,
PHL,,,,,,,,,9.0,,,,,
PRY,,,15.3,,,,,,,,,10.42105,,
RWA,,,,,,7.5,,19.1,5.000835,,,5.9,,
SDN,,,,,,12.5,,,,,,30.5550319917431,,
SEN,,,18.5,,,,,,13.1,,,,25.1388709166593,
SLE,,,62.7,,14.9,53.7,,39.9,,,59.2,,,
SLV,12.6609317489,,,,7.1,,7.4,,7.442466,7.0,7.800059,,,
SOM,,,,43.5,,,,,,,,,,
SRB,,,6.9,,,,,,,,,17.9379,,
SSD,,,,,,45.6,,,,,,,,
SWZ,,,,,,,,13.3,,,,,,
SYR,,,,6.6,,,,,,,,,,
TCD,,60.4,,,,,,33.1,,,,,55.8956202521172,
TGO,,,,38.68966,,,,48.8,,,,35.2259002149569,,
THA,,,15.1,15.1,,,,,,,,,,
TJK,,,8.9,,,,,,,,,,,
TLS,,,,,19.9,,,,,,,,,
TTO,,,,3.4,,,,,,,,,,
TUN,,,,,,,,,,3.4,,,,
TUR,,,,2.6,,,,,,,,,,
TZA,,,,31.1,,,,,29.4,,,34.73484,,
UGA,,,,38.17033,,,,,,36.7,,,,
UKR,,,17.3,,,,,,,5.0,,,,
URY,,,,,,,7.3,,,,,,,
UZB,,,5.1,5.1,,,,,,,,,,
VEN,9.1,,5.4,5.1,,,,,,,3.910936,,,
VNM,,,,21.3,,,,,13.0,10.9,,,,
YEM,,,,18.3,,,,16.1,,,,,,
ZMB,,,47.86269,,,34.4,,,,,,,,
