country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,14.178,14.228,14.323,14.472,14.686,14.957,15.256,15.576,15.895,16.208,17.138,18.107,19.113,20.156,21.24,19.808,18.304,16.473,14.666,5.159,5.155
AGO,75.589,75.606,75.618,75.626,75.631,75.631,75.626,75.621,74.865,74.633,74.401,74.167,73.933,73.698,73.461,73.224,72.985,72.731,74.695,73.179,73.224
ALB,48.461,47.845,47.242,46.652,46.076,45.513,45.955,46.835,52.561,48.937,43.783,43.958,47.116,49.888,49.736,51.407,52.93,50.616,51.887,53.183,53.207
ARE,35.833,36.496,37.187,38.33,39.537,40.728,41.818,42.886,43.962,45.013,46.08,47.143,48.192,49.233,50.926,51.312,54.382,58.18,50.452,53.057,53.475
ARG,48.903,49.963,49.098,49.738,48.902,48.064,48.788,47.689,47.947,48.055,47.641,47.418,47.498,47.582,47.666,49.146,50.0,46.486,50.26,51.868,52.957
ARM,54.804,54.551,54.364,54.279,54.34,54.378,55.183,55.414,55.516,55.535,55.634,55.751,55.872,55.962,56.038,56.015,57.831,57.865,58.289,56.853,56.786
AUS,56.013,55.774,57.048,57.582,58.135,58.603,58.792,58.676,58.931,58.833,58.739,58.704,59.151,59.381,59.877,60.523,60.959,60.205,61.273,62.314,62.374
AUT,50.232,50.059,50.866,51.541,52.379,52.872,53.539,53.648,53.942,54.446,54.711,54.763,54.827,55.349,55.352,55.426,55.514,55.224,55.35,55.688,55.812
AZE,66.626,64.222,62.978,61.162,56.405,56.428,58.092,59.793,59.434,59.237,59.364,60.244,61.096,62.043,62.213,62.63,62.427,64.382,59.679,61.473,60.952
BDI,80.577,79.526,78.357,77.057,77.675,78.219,78.77,79.267,79.631,79.95,80.235,80.46,80.816,81.064,81.163,81.15,80.96,78.558,80.47,80.352,80.138
BEL,42.881,44.311,45.687,45.818,46.589,46.928,46.98,47.774,47.103,47.155,47.805,48.125,48.045,47.81,47.974,48.77,49.097,48.66,49.367,50.029,49.831
BEN,65.78,66.244,66.715,67.187,67.66,68.136,68.616,69.1,69.588,70.202,70.81,71.412,72.007,72.597,73.179,73.755,74.325,73.677,74.791,74.264,74.183
BFA,64.907,63.478,62.022,60.545,60.107,59.695,59.305,58.935,58.586,58.258,57.954,57.676,55.634,53.596,51.563,49.536,47.517,45.033,43.385,41.315,41.294
BGD,29.028,29.104,29.184,29.242,30.797,32.398,34.041,35.723,35.02,34.316,33.616,33.571,33.531,33.497,36.676,38.079,39.376,40.407,42.34,43.687,43.712
BGR,44.865,45.711,44.646,46.742,48.069,48.92,48.062,47.819,47.201,47.958,48.534,48.388,48.725,47.437,49.604,49.175,50.223,49.307,49.026,50.649,51.043
BHR,37.536,38.199,38.917,39.711,40.59,41.556,42.602,43.59,42.579,42.806,42.952,43.095,43.369,43.548,43.492,43.306,42.821,41.511,41.58,42.684,43.096
BHS,67.528,67.452,67.597,67.661,67.623,67.235,66.664,66.626,66.533,66.679,66.317,66.391,66.407,66.291,66.502,66.774,66.721,62.759,64.517,66.321,66.733
BIH,40.699,40.678,40.638,40.659,40.673,40.701,40.457,40.317,40.153,39.867,39.686,39.449,39.357,39.218,39.077,38.916,38.683,38.161,38.411,38.537,39.533
BLR,54.928,55.173,55.409,55.711,56.04,56.47,56.943,57.387,57.81,58.139,58.378,58.541,58.644,58.727,58.566,58.055,58.25,57.856,57.995,57.862,57.385
BLZ,41.346,41.864,42.385,42.908,43.433,43.959,44.486,44.998,45.496,45.998,46.501,47.392,48.253,49.101,48.678,52.925,57.097,51.374,48.357,48.772,49.182
BOL,58.561,58.432,58.305,58.177,58.05,57.924,57.797,57.671,57.545,57.419,57.294,57.169,57.044,56.919,59.112,63.559,66.243,65.591,71.058,71.714,71.909
BRA,54.776,55.643,56.859,56.546,56.286,56.039,56.566,55.049,53.517,52.873,52.826,52.714,53.323,53.522,54.353,54.581,55.306,50.338,52.482,53.864,53.205
BRB,64.051,64.711,64.689,64.675,64.677,64.646,64.545,64.422,64.298,62.881,63.997,63.225,61.731,62.528,62.501,61.61,61.569,60.484,60.679,59.68,60.124
BRN,55.963,56.076,56.173,56.256,56.329,56.426,56.589,56.829,57.074,57.224,57.304,57.355,57.383,57.411,57.459,57.721,55.057,54.556,54.791,53.701,53.527
BTN,61.866,62.834,63.673,64.268,64.769,65.235,65.615,63.319,62.328,63.073,58.19,53.93,54.976,54.893,54.815,54.743,60.631,63.002,64.902,52.511,56.619
BWA,51.259,51.905,52.584,53.282,54.17,55.074,55.989,53.337,54.162,54.887,55.432,55.889,56.288,56.68,57.102,57.556,58.044,56.508,58.943,59.931,63.426
CAF,65.917,65.93,65.942,65.932,65.909,65.894,65.964,66.037,65.987,65.902,65.817,65.736,65.695,65.695,65.703,65.711,65.753,65.166,65.247,65.815,65.845
CAN,61.174,61.293,60.992,61.268,61.769,61.9,61.889,61.867,61.643,61.73,61.816,61.204,60.969,60.879,61.072,60.965,61.253,59.379,60.635,61.049,61.134
CHE,59.498,59.132,59.35,59.754,59.956,61.329,61.646,60.021,60.613,60.903,61.211,61.988,62.36,62.935,62.705,63.007,63.079,62.636,62.33,61.495,62.294
CHL,37.8,39.211,40.131,41.288,42.235,44.182,44.615,46.711,48.807,49.05,49.496,50.159,50.189,50.62,51.74,52.416,52.651,45.442,46.579,50.026,51.963
CHN,66.67,66.25,65.826,65.4,64.972,64.541,64.108,63.672,63.654,63.318,63.001,62.797,62.571,62.286,61.911,61.533,61.248,59.908,61.181,59.894,59.948
CIV,53.377,54.385,55.395,56.408,57.421,58.42,59.41,60.409,61.415,62.427,61.353,60.285,59.228,58.173,57.506,56.84,56.176,56.631,58.28,58.958,58.864
CMR,78.034,78.055,78.07,78.083,78.096,75.727,73.187,70.481,69.623,68.758,67.885,67.006,65.613,64.207,62.793,61.385,59.99,58.014,57.093,57.171,57.148
COD,71.292,71.278,71.275,70.091,68.88,67.643,66.381,65.095,63.787,62.458,62.456,62.452,62.445,62.464,62.487,62.475,62.447,60.259,62.329,62.347,62.309
COG,66.648,66.732,66.817,66.9,66.959,66.96,67.002,67.032,66.967,66.872,66.759,66.665,66.592,66.55,66.541,66.551,66.583,65.318,65.88,66.287,66.341
COL,53.713,52.953,51.148,50.562,49.981,50.37,53.922,54.415,54.946,56.01,55.302,55.003,55.255,54.719,54.343,53.244,52.398,51.108,51.679,50.926,51.859
COM,32.506,32.62,32.629,32.635,32.64,32.646,32.654,32.665,32.678,32.694,32.711,32.729,33.91,35.102,36.339,37.608,38.87,39.63,40.969,41.178,41.143
CPV,45.352,45.799,46.269,46.764,47.285,47.831,48.403,51.329,51.431,51.537,51.64,51.743,51.843,51.941,52.038,48.62,50.407,48.195,48.88,50.521,50.419
CRI,41.454,39.831,43.68,43.309,44.3,44.444,44.827,44.113,46.479,51.436,51.249,51.34,50.06,46.019,45.905,48.659,52.727,48.638,50.245,50.283,44.088
CUB,37.652,38.132,39.123,40.209,40.88,41.274,42.464,41.932,42.226,42.548,42.86,42.997,43.41,43.372,43.365,43.309,42.968,40.367,40.459,40.427,39.947
CYP,53.747,53.675,53.507,54.296,55.717,56.119,56.692,57.839,57.516,57.202,57.37,58.944,59.098,58.28,58.923,59.627,60.097,59.05,59.534,61.219,62.475
CZE,50.83,50.554,50.657,50.53,49.75,49.224,49.437,49.231,49.472,50.041,50.888,50.803,51.187,51.735,52.114,52.559,52.3,51.463,51.555,52.191,53.235
DEU,49.985,49.742,50.694,51.758,52.21,51.998,52.624,52.528,53.71,53.68,54.194,54.468,54.441,54.808,55.138,55.211,55.709,55.113,55.019,55.595,55.848
DJI,16.893,16.898,16.923,16.985,17.07,17.162,17.255,17.345,17.435,17.527,17.626,17.737,17.862,17.999,18.146,18.299,18.451,17.976,18.237,18.546,18.669
DNK,59.95,60.627,60.62,61.295,60.849,60.053,59.768,58.97,58.71,58.281,57.679,57.097,56.837,57.677,57.74,57.649,58.06,57.85,58.216,59.551,59.812
DOM,39.184,39.168,39.791,40.601,40.275,41.848,38.944,41.672,43.662,45.206,45.088,45.368,48.157,48.821,49.009,50.285,52.543,47.412,51.059,50.478,52.482
DZA,12.499,12.711,12.952,13.223,13.527,13.864,14.234,14.418,14.614,14.821,15.036,15.256,15.262,15.015,14.887,14.755,14.623,13.673,13.843,14.092,14.132
ECU,49.17,52.727,51.916,52.7,51.956,52.021,49.664,48.011,47.065,48.081,48.131,47.689,51.905,55.406,56.173,54.481,54.401,48.146,52.986,53.451,52.521
EGY,18.925,19.68,20.457,21.259,23.326,21.895,22.916,23.19,22.538,22.511,23.011,23.166,22.813,23.072,22.185,18.415,15.859,14.609,15.59,15.233,15.3
ERI,73.452,73.474,73.453,73.439,73.38,73.436,73.362,73.296,73.168,73.075,73.105,72.801,72.902,72.749,72.728,72.512,72.364,71.404,71.975,72.354,72.385
ESP,43.378,44.756,46.176,47.598,48.547,49.934,51.014,51.711,52.29,52.895,52.831,52.628,52.62,52.485,52.281,51.872,52.039,50.922,52.392,52.567,52.842
EST,52.274,53.198,53.512,54.656,54.02,54.784,54.714,55.069,55.617,55.38,55.341,54.54,55.747,56.295,57.006,57.281,57.34,57.133,57.777,60.138,61.049
ETH,74.568,74.568,74.571,74.525,74.481,74.439,74.399,74.36,74.322,74.286,74.251,72.195,70.141,68.087,66.034,63.977,61.915,59.234,57.555,57.495,57.378
FIN,57.631,57.573,58.157,58.337,57.33,57.374,56.862,55.871,55.743,55.865,55.568,55.297,55.407,54.982,55.028,55.688,55.678,55.175,55.927,57.267,57.489
FJI,36.606,36.192,34.969,36.711,38.475,40.268,42.086,43.912,45.741,44.326,42.925,41.54,40.016,38.51,38.503,38.509,38.531,38.078,38.31,38.59,38.593
FRA,49.761,49.582,50.138,50.229,50.62,50.74,51.065,51.083,50.995,51.196,51.318,51.012,50.956,50.83,50.626,50.813,50.615,50.05,51.59,51.871,51.826
GAB,38.194,38.404,38.607,38.907,39.119,39.47,39.787,40.025,40.269,40.543,40.812,41.079,41.311,41.516,41.697,41.835,41.897,39.09,39.793,41.888,41.863
GBR,54.111,54.533,54.83,55.345,55.115,55.428,55.563,55.499,55.652,55.909,56.229,56.499,56.703,57.05,57.248,57.514,58.009,58.246,58.0,57.703,57.365
GEO,57.762,57.075,56.141,53.845,55.089,54.335,54.781,55.938,56.267,57.394,56.566,57.46,59.114,58.054,56.859,55.742,54.716,55.206,52.927,54.925,55.037
GHA,71.19,70.701,70.208,69.711,69.209,68.703,68.192,67.678,67.16,66.638,66.112,65.583,65.05,64.609,64.184,63.764,63.345,62.249,62.257,61.819,61.815
