country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,79.716,79.6,79.474,79.33,79.154,78.94,78.699,78.446,78.202,77.974,77.116,76.226,75.308,74.361,73.401,71.376,69.398,66.75,67.288,70.225,70.233
AGO,79.154,79.085,79.033,78.995,78.972,78.968,78.979,78.99,79.899,79.569,79.235,78.897,78.557,78.212,77.864,77.512,77.156,76.823,78.13,78.168,78.396
ALB,69.355,67.778,66.178,64.556,62.916,61.259,64.459,63.935,67.629,65.406,61.437,63.307,64.257,65.075,66.751,67.535,68.004,65.26,66.164,67.987,67.984
ARE,90.366,90.93,91.57,91.983,92.015,91.648,91.083,91.238,91.638,91.86,91.989,92.07,92.136,92.401,92.135,92.545,91.67,88.88,90.216,89.288,89.475
ARG,73.84,74.613,74.628,74.522,73.99,73.448,73.392,73.314,73.98,73.258,72.851,72.007,71.478,70.948,70.414,70.466,70.981,65.925,70.836,71.453,71.944
ARM,68.166,67.886,67.691,67.616,67.711,67.701,68.822,69.085,69.169,69.122,69.229,69.336,69.443,69.62,69.513,69.443,69.816,68.122,69.133,68.775,68.433
AUS,71.662,71.623,72.196,72.33,72.61,72.7,72.369,72.442,72.254,71.813,71.471,71.038,71.176,70.698,70.791,71.074,71.228,70.16,70.808,71.231,71.332
AUT,67.936,65.847,65.83,66.123,66.999,66.95,66.772,66.556,66.3,66.365,66.388,65.921,65.928,66.318,66.244,66.682,66.544,65.75,66.165,66.325,66.13
AZE,75.07,72.305,70.652,68.987,67.964,65.856,64.285,62.086,63.19,64.278,64.777,65.621,66.304,67.59,68.185,68.45,68.274,70.328,64.879,66.788,66.342
BDI,79.803,79.157,78.506,77.857,77.678,77.524,77.522,77.542,77.457,77.404,77.389,77.359,78.176,78.847,79.11,79.025,78.595,78.535,77.764,77.926,77.643
BEL,60.158,60.196,61.378,60.852,61.152,60.864,60.424,60.899,59.82,59.826,59.733,59.306,58.954,58.771,58.95,58.793,58.908,58.305,58.93,59.323,59.161
BEN,78.112,77.632,77.155,76.677,76.194,75.71,75.227,74.742,74.257,74.46,74.663,74.865,75.068,75.271,75.473,75.676,75.878,75.922,77.198,77.322,77.014
BFA,86.388,86.11,85.821,85.527,84.256,82.945,81.586,80.173,78.706,77.18,75.602,73.97,71.478,68.958,66.415,63.851,61.258,58.285,56.283,53.821,53.741
BGD,86.753,86.821,86.88,86.945,85.842,84.676,83.447,82.151,82.084,81.995,81.897,81.323,80.736,80.134,81.407,81.16,80.986,80.633,81.368,81.386,81.097
BGR,55.846,56.493,56.019,57.678,59.435,61.247,60.587,59.608,58.296,58.774,59.738,59.962,60.111,59.64,61.667,61.957,63.4,62.692,62.104,63.213,63.153
BHR,84.473,84.067,84.012,84.315,84.919,85.706,86.539,86.922,86.482,86.699,86.74,86.575,86.695,87.026,87.167,87.093,86.809,84.634,84.348,85.626,86.05
BHS,80.307,80.133,79.846,79.589,79.37,79.317,79.359,79.188,79.092,78.932,79.044,79.005,79.036,79.159,79.193,79.228,79.361,74.68,76.32,78.426,78.277
BIH,64.043,63.928,63.839,63.787,63.761,63.784,63.796,63.784,63.706,63.505,63.265,62.98,62.716,62.426,62.1,61.709,61.255,60.752,60.585,60.496,60.625
BLR,66.823,66.934,67.097,67.348,67.67,68.147,68.717,69.274,69.812,70.233,70.561,70.789,70.949,71.095,71.494,71.949,71.358,71.337,71.163,71.367,70.795
BLZ,79.065,79.059,79.052,79.046,79.039,79.03,79.02,78.98,78.914,78.852,78.792,79.601,79.477,79.331,79.267,80.851,82.295,77.5,75.291,75.131,74.918
BOL,80.511,80.305,80.098,79.891,79.682,79.471,79.259,79.046,78.831,78.615,78.398,78.178,77.958,77.735,78.107,80.002,82.047,80.146,84.557,84.873,84.867
BRA,79.444,79.504,79.651,79.282,78.725,78.741,78.666,77.69,76.693,76.43,76.293,75.858,75.71,75.54,75.16,74.881,74.917,71.101,72.914,73.67,73.116
BRB,75.634,76.214,75.859,75.508,75.158,74.782,74.361,73.943,73.531,72.843,73.117,69.834,69.579,70.02,70.228,70.274,68.621,67.507,67.512,67.339,66.978
BRN,78.497,78.076,77.653,77.209,76.621,75.975,75.479,75.148,74.883,74.516,74.04,73.519,72.971,72.432,71.94,74.021,73.255,72.258,71.79,73.105,73.089
BTN,75.804,74.808,74.105,73.769,73.547,73.316,73.106,72.182,71.652,65.507,71.231,69.851,69.953,69.701,69.454,69.211,71.202,71.913,72.656,72.112,72.15
BWA,67.66,67.425,67.18,66.892,67.907,68.846,69.711,66.701,67.281,67.731,67.986,68.154,68.272,68.391,68.553,68.759,68.999,67.029,69.098,69.363,73.195
CAF,79.262,79.217,79.172,79.222,79.332,79.404,79.739,80.145,80.432,80.893,81.402,82.079,82.514,82.508,82.541,82.57,82.599,81.862,81.614,82.791,82.886
CAN,73.251,73.015,72.66,72.57,72.626,72.814,72.183,71.756,71.704,71.534,71.405,70.977,70.942,70.526,70.637,70.246,70.476,68.927,69.863,69.547,69.693
CHE,76.745,75.912,75.041,75.34,75.709,75.416,75.233,74.332,74.742,74.547,74.243,74.214,74.279,74.575,74.546,74.307,73.719,73.483,72.751,71.922,72.583
CHL,72.769,72.052,71.785,72.9,72.879,73.3,72.441,74.026,74.662,74.336,74.046,73.989,74.225,73.958,74.418,74.239,73.721,67.515,68.774,70.483,71.297
CHN,79.692,79.469,79.243,79.016,78.787,78.556,78.323,78.089,77.908,77.345,76.785,76.352,75.881,75.33,74.65,73.954,73.384,71.92,72.919,71.587,71.596
CIV,78.309,77.625,76.938,76.246,75.55,74.829,74.093,73.365,72.642,71.922,72.694,73.468,74.253,75.036,74.288,73.528,72.758,72.993,74.376,74.696,74.282
CMR,85.757,85.65,85.57,85.505,85.438,84.388,83.274,82.092,80.96,79.782,78.558,77.287,76.786,76.345,75.939,75.518,75.053,73.978,73.711,74.401,74.287
COD,73.886,73.932,73.94,73.36,72.773,72.177,71.574,70.963,70.343,69.715,69.716,69.727,69.744,69.678,69.596,69.635,69.732,66.723,69.329,68.907,68.583
COG,69.596,69.316,69.036,68.768,68.581,68.575,68.442,68.347,68.549,68.85,69.208,69.511,69.746,69.883,69.916,69.882,69.78,68.454,68.668,69.675,69.694
COL,81.728,80.997,80.134,79.274,78.395,78.548,80.558,80.302,80.638,80.669,79.776,79.514,79.309,78.636,78.196,77.749,76.756,76.251,77.539,75.94,76.201
COM,51.382,50.852,51.424,51.987,52.548,53.107,53.668,54.229,54.793,55.357,55.922,56.484,56.987,57.458,57.793,58.043,58.326,58.461,59.112,59.919,59.71
CPV,70.363,69.193,68.02,66.846,65.669,64.489,63.305,66.894,66.793,66.697,66.6,66.503,66.405,66.307,66.208,62.372,64.304,61.645,62.017,64.91,64.421
CRI,79.4,78.691,79.663,78.693,79.254,78.044,76.779,74.927,75.331,77.742,76.563,77.538,76.048,73.879,74.321,76.276,76.239,73.063,73.731,73.144,70.079
CUB,70.346,69.834,69.121,68.387,67.849,67.471,68.783,68.031,67.811,67.584,67.405,67.318,67.119,67.02,66.818,66.511,66.234,62.871,63.347,66.03,65.801
