country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,5259920.0,5459292.0,5672338.0,5937057.0,6089718.0,6273586.0,6563261.0,6822959.0,7148944.0,7518518.0,7857574.0,8229616.0,8575264.0,8883595.0,9223903.0,9215855.0,9194531.0,9060510.0,9183905.0,8617545.0,8866507.0
AGO,7583239.0,7870706.0,8170907.0,8483347.0,8810501.0,9150346.0,9502658.0,9873442.0,10270426.0,10636117.0,11009075.0,11376942.0,11740075.0,12119717.0,12515803.0,12917977.0,13331298.0,13743846.0,14529142.0,14885226.0,15430003.0
ALB,1290479.0,1275726.0,1259700.0,1241897.0,1222005.0,1201455.0,1247208.0,1259163.0,1376922.0,1317638.0,1217163.0,1244156.0,1295052.0,1341701.0,1363232.0,1393620.0,1415825.0,1352399.0,1367734.0,1389262.0,1376643.0
ARE,2586208.0,2767783.0,2952666.0,3203245.0,3611116.0,4039830.0,4273552.0,4379076.0,4544776.0,4739967.0,4949756.0,5206950.0,5518270.0,5831423.0,6046380.0,6158515.0,6256531.0,6178311.0,6160044.0,6499963.0,6793436.0
ARG,17006209.0,17502349.0,17624307.0,17955872.0,18001087.0,18041663.0,18399678.0,18468692.0,18857586.0,19006986.0,19111596.0,19177885.0,19343227.0,19497873.0,19643677.0,20125838.0,20580300.0,19317784.0,20993886.0,21566906.0,22069879.0
ARM,1492557.0,1493704.0,1496085.0,1499845.0,1504185.0,1501199.0,1515902.0,1510718.0,1503332.0,1499205.0,1497111.0,1491442.0,1485417.0,1478604.0,1469377.0,1463863.0,1491645.0,1476483.0,1495617.0,1480203.0,1492711.0
AUS,10032150.0,10143548.0,10443456.0,10664324.0,10951719.0,11241263.0,11482552.0,11675443.0,11857590.0,12022336.0,12191663.0,12332149.0,12568796.0,12744765.0,13022869.0,13326802.0,13603127.0,13599459.0,13821829.0,14188083.0,14593816.0
AUT,3985902.0,3946181.0,4012358.0,4078846.0,4165230.0,4207426.0,4248651.0,4265488.0,4291049.0,4340007.0,4382851.0,4407077.0,4460463.0,4541001.0,4567690.0,4608423.0,4627750.0,4607853.0,4650207.0,4715124.0,4762160.0
AZE,4242455.0,4179032.0,4180297.0,4157327.0,4042762.0,4094522.0,4219228.0,4281288.0,4368984.0,4449918.0,4508074.0,4602987.0,4693026.0,4809412.0,4876185.0,4955866.0,4998234.0,5197914.0,4843562.0,5012404.0,5009964.0
BDI,3009287.0,3123186.0,3227287.0,3316162.0,3458975.0,3627058.0,3843653.0,4037123.0,4169441.0,4302379.0,4439368.0,4568956.0,4652272.0,4699696.0,4800813.0,4962798.0,5149165.0,5256748.0,5487609.0,5695461.0,5901964.0
BEL,4395670.0,4486040.0,4627699.0,4647632.0,4735412.0,4779497.0,4801697.0,4901576.0,4884263.0,4917260.0,4966858.0,4984459.0,4994454.0,5001167.0,5037325.0,5093485.0,5146209.0,5124712.0,5217415.0,5320795.0,5367441.0
BEN,3128205.0,3235131.0,3353095.0,3468401.0,3577425.0,3695226.0,3820397.0,3950108.0,4080183.0,4235463.0,4393926.0,4557889.0,4727555.0,4901776.0,5081385.0,5267149.0,5459336.0,5605830.0,5870968.0,6035371.0,6204134.0
BFA,5337468.0,5465720.0,5591307.0,5708826.0,5817468.0,5913296.0,6005410.0,6098364.0,6195296.0,6300018.0,6404890.0,6510477.0,6487050.0,6458883.0,6422574.0,6372960.0,6310717.0,6192649.0,6176046.0,6091676.0,6287117.0
BGD,52191921.0,53128855.0,54042558.0,54908227.0,55891567.0,56846810.0,57807404.0,58796583.0,59281113.0,59869794.0,60484221.0,61204476.0,61920877.0,62629015.0,66147765.0,67707982.0,69213088.0,70410966.0,72755656.0,74651451.0,75834921.0
BGR,3340007.0,3379275.0,3314525.0,3421452.0,3500732.0,3562863.0,3489069.0,3424396.0,3339707.0,3358087.0,3382916.0,3360300.0,3349965.0,3266917.0,3364856.0,3330233.0,3377136.0,3306399.0,3252125.0,3217289.0,3131695.0
BHR,379899.0,417655.0,459923.0,507565.0,561432.0,609556.0,665645.0,701770.0,677360.0,693460.0,719472.0,745356.0,777303.0,818877.0,870904.0,868862.0,848579.0,820626.0,840354.0,868716.0,905498.0
BHS,181247.0,184263.0,187447.0,190813.0,194582.0,198100.0,201229.0,204779.0,208167.0,211442.0,214085.0,217003.0,219720.0,222209.0,224970.0,227745.0,230009.0,218012.0,224673.0,232678.0,235466.0
BIH,1775586.0,1767966.0,1755779.0,1750056.0,1735948.0,1712952.0,1681868.0,1651355.0,1620096.0,1586613.0,1560902.0,1538400.0,1516931.0,1493951.0,1470994.0,1447773.0,1422553.0,1390332.0,1370363.0,1355798.0,1366194.0
BLR,4931321.0,4947805.0,4959438.0,4972585.0,4989962.0,5017101.0,5047868.0,5072487.0,5089161.0,5094860.0,5096418.0,5096822.0,5096110.0,5091410.0,5078342.0,5052623.0,5023444.0,4980288.0,4937106.0,4905932.0,4856653.0
BLZ,97414.0,101380.0,105467.0,109679.0,114014.0,118461.0,123041.0,127831.0,132777.0,137753.0,142809.0,149447.0,155137.0,161445.0,166282.0,178447.0,189886.0,179096.0,175200.0,180679.0,186401.0
BOL,3965089.0,4045470.0,4128982.0,4215393.0,4303228.0,4391153.0,4479358.0,4567789.0,4656827.0,4745827.0,4834468.0,4923514.0,5012373.0,5100033.0,5298716.0,5649910.0,5946418.0,5939447.0,6426918.0,6569575.0,6702504.0
BRA,86794128.0,89058034.0,91599988.0,92726865.0,93712199.0,95054971.0,96857149.0,96467543.0,95987652.0,96690220.0,97945820.0,98901551.0,100587656.0,101885554.0,103476109.0,104554923.0,106262669.0,100001874.0,104085430.0,106610573.0,106356432.0
BRB,145129.0,147603.0,148476.0,149367.0,150206.0,150841.0,151202.0,151410.0,151562.0,149937.0,152318.0,148747.0,147530.0,149789.0,150755.0,150433.0,149226.0,147279.0,148049.0,147042.0,147625.0
BRN,169865.0,174224.0,178441.0,182482.0,185717.0,188400.0,191439.0,194946.0,198704.0,202252.0,205548.0,208774.0,211934.0,215000.0,218025.0,225919.0,223877.0,224617.0,227037.0,230003.0,231915.0
BTN,285485.0,296426.0,306675.0,315199.0,322998.0,330722.0,338169.0,337478.0,340377.0,331207.0,341708.0,333159.0,341579.0,346258.0,351309.0,356713.0,384922.0,400199.0,414321.0,384122.0,401413.0
BWA,667858.0,688033.0,708319.0,728696.0,758634.0,789289.0,820523.0,802345.0,828613.0,849151.0,865462.0,882070.0,899557.0,918682.0,939892.0,962977.0,987878.0,980428.0,1036012.0,1065472.0,1146757.0
CAF,1633162.0,1670331.0,1710058.0,1743881.0,1774213.0,1810032.0,1791421.0,1768615.0,1787333.0,1789171.0,1783385.0,1752553.0,1739750.0,1771652.0,1800948.0,1832281.0,1857882.0,1874715.0,1900739.0,1906249.0,1927491.0
CAN,17341662.0,17554856.0,17706025.0,17980503.0,18289463.0,18579576.0,18747581.0,18934218.0,19112505.0,19332146.0,19544962.0,19594831.0,19705946.0,19857477.0,20155417.0,20391340.0,20799435.0,20505333.0,21005652.0,21456376.0,22197237.0
CHE,4152630.0,4156420.0,4176168.0,4237789.0,4307426.0,4411012.0,4480560.0,4449019.0,4537669.0,4595555.0,4653184.0,4739164.0,4810573.0,4894095.0,4927955.0,4963632.0,4978225.0,4988638.0,4987374.0,4967649.0,5089291.0
CHL,6589050.0,6752634.0,6916575.0,7184183.0,7369317.0,7648250.0,7744258.0,8113921.0,8424492.0,8539046.0,8667171.0,8828997.0,8968101.0,9121865.0,9423968.0,9671888.0,9843775.0,8906788.0,9171143.0,9670728.0,9991796.0
CHN,735682023.0,744936890.0,754465388.0,761948735.0,766486940.0,769779554.0,772141043.0,773873234.0,778275581.0,779022561.0,779251311.0,780370287.0,781077009.0,780932880.0,779166682.0,776868988.0,775928449.0,763830073.0,781187865.0,770113477.0,774607590.0
CIV,6779544.0,6954300.0,7133307.0,7316980.0,7505748.0,7771201.0,8106769.0,8433828.0,8749057.0,9048653.0,9300550.0,9534032.0,9764022.0,10013267.0,10180365.0,10349949.0,10522774.0,10870521.0,11440310.0,11882499.0,12216126.0
CMR,7364466.0,7584923.0,7808503.0,8035761.0,8274850.0,8349122.0,8404820.0,8440780.0,8576769.0,8709448.0,8842713.0,9008472.0,9205719.0,9380145.0,9534469.0,9686544.0,9849851.0,9926535.0,10140896.0,10518217.0,10843938.0
COD,21758097.0,22393011.0,23088764.0,23509900.0,23897816.0,24276075.0,24679535.0,25138984.0,25643182.0,26140390.0,27043987.0,27971707.0,28902362.0,29975111.0,31131858.0,32171243.0,33156212.0,32851843.0,35154175.0,36183996.0,37296766.0
COG,1367288.0,1420042.0,1477494.0,1539136.0,1600292.0,1653899.0,1724220.0,1799266.0,1854014.0,1899278.0,1937002.0,1976492.0,2018485.0,2064177.0,2114024.0,2167237.0,2223063.0,2240426.0,2316880.0,2409732.0,2485719.0
COL,18966234.0,19153768.0,19163184.0,19349955.0,19533984.0,20022584.0,21321685.0,21788403.0,22348779.0,22946523.0,23081167.0,23376219.0,23770146.0,23971867.0,24367946.0,24727292.0,25000012.0,25151123.0,25915910.0,25830229.0,26490194.0
COM,127197.0,130361.0,135799.0,141390.0,147125.0,153038.0,159104.0,165266.0,171513.0,177826.0,183981.0,189935.0,198371.0,207002.0,215982.0,225278.0,234738.0,242808.0,253795.0,262624.0,268470.0
CPV,166090.0,170161.0,174138.0,178016.0,181799.0,185468.0,188994.0,204374.0,207854.0,210577.0,212810.0,214593.0,215930.0,216787.0,217299.0,204314.0,211472.0,202693.0,206591.0,218809.0,221192.0
CRI,1762605.0,1771024.0,1888687.0,1911390.0,1978866.0,2003972.0,2030924.0,2027352.0,2114264.0,2283817.0,2299128.0,2357268.0,2344336.0,2262369.0,2300637.0,2422784.0,2534006.0,2419014.0,2490873.0,2504874.0,2340587.0
CUB,4819364.0,4855362.0,4905296.0,4955093.0,4988644.0,5010521.0,5142082.0,5096065.0,5113408.0,5130811.0,5147391.0,5156828.0,5174669.0,5176250.0,5170781.0,5154678.0,5122393.0,4836553.0,4841907.0,4939595.0,4897311.0
CYP,498316.0,512182.0,525197.0,538627.0,556863.0,569349.0,583119.0,600971.0,610147.0,623910.0,635175.0,651925.0,657397.0,663048.0,678816.0,698503.0,715161.0,719491.0,735675.0,755975.0,766606.0
CZE,5134951.0,5133307.0,5175001.0,5192187.0,5188948.0,5203709.0,5244400.0,5230927.0,5223171.0,5253910.0,5300303.0,5296601.0,5305064.0,5344644.0,5370664.0,5405110.0,5394887.0,5343016.0,5242069.0,5369986.0,5536144.0
DEU,40574932.0,40416992.0,41133962.0,41693194.0,41795078.0,41800249.0,41823603.0,41860532.0,41522681.0,41764438.0,42179707.0,42451594.0,42693402.0,43118037.0,43391708.0,43612526.0,43981829.0,43372704.0,43283278.0,43953915.0,43815458.0
DJI,170669.0,173339.0,176212.0,180059.0,184506.0,188875.0,193385.0,197854.0,202246.0,206626.0,211017.0,215430.0,219843.0,224255.0,228680.0,233085.0,237422.0,237430.0,244027.0,254258.0,260365.0
DNK,2877534.0,2901221.0,2902668.0,2933792.0,2931561.0,2924360.0,2914702.0,2893686.0,2892968.0,2877238.0,2854299.0,2869233.0,2899972.0,2943425.0,2970148.0,2992952.0,3034322.0,3032016.0,3079023.0,3147518.0,3189737.0
DOM,3348018.0,3431434.0,3488715.0,3602884.0,3668718.0,3765044.0,3696350.0,3849571.0,4020502.0,4180944.0,4239112.0,4327340.0,4581646.0,4689168.0,4755988.0,4935940.0,5117215.0,4805608.0,5099149.0,5169749.0,5323558.0
DZA,9752688.0,9975430.0,10190322.0,10410056.0,10632096.0,10866131.0,11105183.0,11421278.0,11586989.0,11731223.0,11845414.0,11933136.0,12055583.0,12189762.0,12357590.0,12514356.0,12667017.0,12046917.0,12323177.0,13020342.0,13174228.0
ECU,5740735.0,6069723.0,6169877.0,6409972.0,6449993.0,6581958.0,6478792.0,6489520.0,6540161.0,6757347.0,6882742.0,7072058.0,7577726.0,7985502.0,8229598.0,8251116.0,8393240.0,7739432.0,8506635.0,8627291.0,8695838.0
EGY,22178983.0,23289758.0,24412249.0,25528081.0,26632069.0,26970086.0,27711440.0,29112224.0,29381900.0,29870854.0,30519334.0,30992087.0,30851683.0,31224055.0,30714881.0,30208878.0,30072045.0,30264331.0,31865548.0,32394044.0,33137441.0
ERI,1122394.0,1180346.0,1209721.0,1225932.0,1240437.0,1279777.0,1316115.0,1344056.0,1370456.0,1390071.0,1411308.0,1413680.0,1419966.0,1426498.0,1441854.0,1464433.0,1493025.0,1511734.0,1565482.0,1619790.0,1663860.0
ESP,19763085.0,20447306.0,21228524.0,21942920.0,22532489.0,23164314.0,23401615.0,23521339.0,23586778.0,23600632.0,23411977.0,23190285.0,23144125.0,23067207.0,23037605.0,23015874.0,23237351.0,22921347.0,23445165.0,23828133.0,24199271.0
